Date,Open,High,Low,Close,Volume
20230928,49.74,49.76,49.74,49.76,157
20230929,49.65,49.69,49.65,49.69,4340
20231002,49.69,49.69,49.69,49.69,0
20231003,49.47,49.47,49.47,49.47,30503
20231004,49.47,49.47,49.47,49.47,30000
20231005,49.47,49.47,49.47,49.47,0
20231006,49.47,49.47,49.47,49.47,0
20231009,49.65,49.65,49.65,49.65,20
20231010,49.96,49.96,49.96,49.96,120
20231011,49.91,49.91,49.91,49.91,100
20231012,50.18,50.18,50.18,50.18,19
20231013,50.18,50.18,50.18,50.18,0
20231016,50.18,50.18,50.18,50.18,0
20231017,50.18,50.18,50.18,50.18,0
20231018,49.26,49.26,49.2,49.2,313
20231019,48.88,48.88,48.88,48.88,155
20231020,48.99,48.99,48.99,48.99,101
20231023,48.9,48.96,48.81,48.81,361
20231024,49.18,49.18,49.18,49.18,100
20231025,49.05,49.05,49.05,49.05,20
20231026,48.66,48.67,48.49,48.49,4080
20231027,48.74,48.74,48.73,48.73,4000
20231030,48.53,48.53,48.45,48.45,1070
20231031,48.2,48.2,48.2,48.2,103
20231101,47.94,47.97,47.94,47.97,4001
20231102,48.74,48.74,48.71,48.71,3558
20231103,48.92,48.92,48.92,48.92,816
20231106,49.05,49.05,49.05,49.05,100
20231107,48.83,48.86,48.83,48.86,634
20231108,49.48,49.49,49.48,49.49,6000
20231109,49.68,49.68,49.68,49.68,302
20231110,49.05,49.31,49.05,49.31,8031
20231113,49.31,49.31,49.31,49.31,0
20231114,49.31,49.31,49.31,49.31,0
20231115,49.66,49.66,49.64,49.64,8000
20231116,49.64,49.64,49.64,49.64,0
20231117,49.82,49.82,49.82,49.82,200
20231120,49.82,49.82,49.82,49.82,0
20231121,49.9,49.9,49.9,49.9,1
20231122,50,50,50,50,870
20231123,49.84,49.84,49.84,49.84,360
20231124,49.62,49.65,49.56,49.65,7885
20231127,49.6,49.7,49.6,49.7,1680
20231128,49.7,49.7,49.7,49.7,0
20231129,50.24,50.27,50.24,50.27,6001
20231130,50.4,50.4,50.26,50.28,15098
20231201,49.89,49.89,49.85,49.85,10128
20231204,50.22,50.22,50.18,50.18,4001
20231205,50.19,50.21,50.19,50.21,6000
20231206,50.69,50.69,50.63,50.63,2001
20231207,50.81,50.81,50.79,50.79,124
20231208,50.7,50.7,50.66,50.66,78
20231211,50.44,50.44,50.44,50.44,200
20231212,50.54,50.6,50.54,50.6,800
20231213,50.73,50.73,50.73,50.73,103
20231214,51.29,51.29,51.29,51.29,500
20231215,51.29,51.29,51.29,51.29,0
20231218,51.29,51.29,51.29,51.29,0
20231219,51.34,51.34,51.34,51.34,857
20231220,51.34,51.34,51.34,51.34,0
20231221,51.34,51.34,51.34,51.34,0
20231222,51.34,51.34,51.34,51.34,0
20231227,51.75,51.75,51.75,51.75,2500
20231228,52.01,52.01,52.01,52.01,478
20231229,51.94,51.94,51.94,51.94,66
20240102,51.94,52.02,51.81,51.81,16066
20240103,51.81,51.81,51.81,51.81,0
20240104,51.81,51.81,51.81,51.81,0
20240105,51.39,51.39,51.39,51.39,188
20240108,51.14,51.14,51.14,51.14,2
20240109,51.16,51.16,51.16,51.16,11
20240110,51.16,51.16,51.16,51.16,0
20240111,51.16,51.16,51.16,51.16,0
20240112,51.43,51.43,51.43,51.43,293
20240115,51.38,51.42,51.38,51.42,2
20240116,51.42,51.42,51.42,51.42,0
20240117,51,51,51,51,133
20240118,50.8,50.8,50.8,50.8,153
20240119,50.8,50.8,50.8,50.8,0
20240122,50.8,50.8,50.8,50.8,0
20240123,50.8,50.8,50.8,50.8,0
20240124,51,51,51,51,98
20240125,50.87,51,50.87,51,836
20240129,51.14,51.14,51.14,51.14,17
20240130,51.35,51.35,51.35,51.35,1
20240131,51.5,51.72,51.5,51.72,1970
20240201,51.91,51.91,51.91,51.91,673
20240202,51.87,51.87,51.87,51.87,963
20240205,51.78,51.78,51.4,51.4,2299
20240206,51.29,51.29,51.29,51.29,1
20240207,51.29,51.54,51.29,51.5,1186
20240208,51.46,51.55,51.46,51.52,316
20240209,51.52,51.52,51.52,51.52,0
20240212,51.28,51.28,51.28,51.28,330
20240213,51.19,51.19,51.19,51.19,1
20240214,51,51,51,51,10
20240215,51.1,51.32,51.1,51.32,3591
20240216,51.28,51.28,51.28,51.28,1
20240219,51.28,51.28,51.28,51.28,0
20240220,51.22,51.25,51.22,51.25,339
20240221,51.31,51.31,51.25,51.25,759
20240222,51.28,51.28,51.28,51.28,153
20240223,51.28,51.28,51.28,51.28,0
20240226,51.5,51.5,51.49,51.49,818
20240227,51.49,51.49,51.49,51.49,0
20240228,51.37,51.37,51.37,51.37,645
20240229,51.53,51.53,51.53,51.53,973
20240301,51.32,51.32,51.32,51.32,1
20240304,51.43,51.44,51.43,51.44,319
20240305,51.41,51.41,51.41,51.41,193
20240306,51.66,51.73,51.62,51.73,2602
20240307,51.7,51.71,51.7,51.71,851
20240308,51.71,51.71,51.71,51.71,0
20240311,51.79,51.91,51.79,51.88,99
20240312,51.83,51.88,51.83,51.87,3000
20240313,51.73,51.88,51.73,51.88,2074
20240314,51.6,51.64,51.6,51.64,1718
20240315,51.3,51.37,51.3,51.37,1889
20240318,51.26,51.33,51.26,51.33,4636
20240319,51.32,51.39,51.32,51.37,1605
20240320,51.37,51.37,51.37,51.37,0
20240321,51.8,51.8,51.8,51.8,148
20240322,51.64,51.64,51.64,51.64,419
20240325,51.96,51.96,51.96,51.96,98
20240326,51.79,51.79,51.76,51.76,146
20240327,51.76,51.76,51.76,51.76,0
20240328,51.96,51.96,51.96,51.96,11
20240402,51.57,51.72,51.57,51.72,9954
20240403,51.72,51.72,51.72,51.72,0
20240404,51.72,51.72,51.72,51.72,0
20240405,51.72,51.72,51.72,51.72,0
20240408,51.72,51.72,51.72,51.72,0
20240409,51.36,51.36,51.36,51.36,24
20240410,51.36,51.36,51.36,51.36,0
20240411,51.17,51.17,51.12,51.17,693
20240412,51,51,51,51,3513
20240415,51.2,51.2,51.2,51.2,729
20240416,50.95,50.95,50.95,50.95,10
20240417,50.74,50.74,50.74,50.74,472
20240418,50.83,50.83,50.83,50.83,736
20240419,51.17,51.2,51.17,51.2,5268
20240422,51.2,51.2,51.2,51.2,0
20240423,50.96,51.01,50.96,50.99,901
20240424,50.99,50.99,50.99,50.99,0
20240426,50.08,50.08,50.08,50.08,93
20240429,50.27,50.27,50.22,50.24,1308
20240430,50.35,50.53,50.35,50.5,14
20240501,50.2,50.2,50.2,50.2,500
20240502,50.2,50.2,50.2,50.2,0
20240503,50.2,50.2,50.2,50.2,0
20240506,50.4,50.42,50.37,50.38,12601
20240507,50.38,50.38,50.38,50.38,0
20240508,50.79,50.79,50.79,50.79,2
20240509,50.69,50.69,50.58,50.58,799
20240510,50.68,50.73,50.68,50.73,2881
20240513,50.7,50.7,50.7,50.7,722
20240514,50.75,50.77,50.75,50.77,1392
20240515,50.76,50.76,50.71,50.74,610
20240516,51.14,51.24,51.14,51.22,161
20240517,51.17,51.2,51.17,51.2,6771
20240520,51.14,51.16,51.11,51.11,4314
20240521,51.04,51.07,51.04,51.05,678
20240522,51.1,51.13,51.06,51.06,215
20240523,51.01,51.01,50.97,50.97,11
20240524,50.89,50.89,50.85,50.85,178487
20240527,50.99,51.04,50.99,51.01,8527
20240528,51.03,51.04,51.025,51.04,10206
20240529,50.605,50.605,50.54,50.59,239
20240530,50.41,50.47,50.36,50.47,557
20240531,50.61,50.64,50.53,50.53,1270
20240603,50.53,50.63,50.53,50.6,157
20240604,50.76,50.78,50.76,50.78,2422
20240605,51.06,51.06,51,51,1965
20240606,51.12,51.12,51.08,51.08,7499
20240607,51.05,51.05,51,51,7582
20240611,50.67,50.74,50.67,50.74,11269
20240612,50.84,50.84,50.81,50.84,188
20240613,51.19,51.21,51.16,51.16,54
20240614,51.35,51.37,51.31,51.37,633
20240617,51.56,51.59,51.5,51.5,3454
20240618,51.52,51.52,51.45,51.45,233
20240619,51.38,51.38,51.28,51.31,1191
20240620,51.28,51.3,51.23,51.3,3135
20240621,51.22,51.28,51.2,51.28,156
20240624,51.33,51.36,51.3,51.3,733
20240625,51.36,51.41,51.355,51.41,102
20240626,51.36,51.36,50.93,50.94,363
20240627,50.63,50.645,50.6,50.63,264
20240628,50.88,50.89,50.88,50.89,276
20240701,50.55,50.65,50.54,50.65,9741
20240702,50.49,50.57,50.49,50.57,425158
20240703,50.5,50.5,50.5,50.5,146
20240704,50.56,50.6,50.49,50.49,12227
20240705,50.52,50.54,50.51,50.51,204
20240708,50.625,50.63,50.625,50.63,945
20240709,50.74,50.77,50.7,50.7,1096
20240710,50.68,50.78,50.68,50.78,1224
20240711,50.72,50.72,50.66,50.66,3362
20240712,50.84,50.89,50.81,50.89,1935
20240715,50.96,51,50.83,50.83,2597
20240716,51.16,51.2,51.13,51.13,688
20240717,51.21,51.23,51.17,51.17,251
20240718,51.18,51.2,51.12,51.12,1864
20240719,51.12,51.12,51.02,51.05,1196
20240722,51.04,51.04,51,51.02,1579
20240723,50.98,51.01,50.93,50.93,381
20240724,50.95,50.95,50.95,50.95,1
20240725,51.1,51.1,51.1,51.1,349
20240726,51.23,51.23,51.13,51.13,374
20240729,51.2,51.2,51.2,51.2,17
20240730,51.18,51.22,51.17,51.22,20846
20240731,52.04,52.04,51.78,51.87,1131
20240801,51.92,51.97,51.85,51.93,2619
20240802,52.12,52.21,51.96,51.97,1266
20240805,52.415,52.65,52.415,52.63,884
20240806,52.2,52.33,52.2,52.24,2117
20240807,51.91,51.91,51.86,51.86,390
20240808,51.93,51.93,51.86,51.93,1455
20240809,51.91,52,51.91,52,166
20240812,52.09,52.12,52.02,52.12,943
20240813,52.23,52.27,52.13,52.14,6720
20240814,52.35,52.41,52.3,52.36,7562
20240815,52.57,52.57,52.57,52.57,213
20240816,52.32,52.42,52.32,52.34,303
20240819,52.445,52.49,52.41,52.43,1042
20240820,52.48,52.48,52.32,52.32,277
20240821,52.53,52.63,52.52,52.63,1700
20240822,52.54,52.64,52.54,52.63,2059
20240823,52.495,52.52,52.44,52.45,568
20240826,52.67,52.67,52.67,52.67,11
20240827,52.71,52.71,52.55,52.61,5688
20240828,52.68,52.69,52.48,52.57,8456
20240829,52.53,52.54,52.49,52.49,299
20240830,52.48,52.5,52.42,52.44,930
20240902,52.24,52.24,52.215,52.24,653
20240903,52.21,52.265,52.19,52.25,3209
20240904,52.5,52.5,52.43,52.43,9701
20240905,52.57,52.58,52.48,52.5,7325
20240906,52.52,52.65,52.5,52.65,1313
20240909,52.57,52.57,52.47,52.52,9479
20240910,52.65,52.66,52.61,52.63,2550
20240911,52.85,52.91,52.77,52.91,4051
20240912,52.83,52.84,52.77,52.78,1623
20240913,52.98,53.01,52.94,53,5253
20240916,53.03,53.04,52.97,52.97,2705
20240917,53.11,53.11,53.06,53.1,6749
20240918,53.03,53.03,52.89,52.95,2072
20240919,52.78,52.78,52.62,52.64,1121
20240920,52.755,52.81,52.68,52.68,3937
20240923,52.6,52.6,52.45,52.45,1205
20240924,52.605,52.69,52.5,52.69,1973
20240925,52.75,52.75,52.63,52.72,6674
20240926,52.7,52.7,52.615,52.68,699
20240927,52.65,52.65,52.55,52.55,1652
20240930,52.69,52.69,52.57,52.57,568
20241001,52.46,52.48,52.34,52.39,5973
20241002,52.61,52.61,52.53,52.6,6799
20241003,52.38,52.41,52.36,52.4,785
20241004,52.2,52.225,52.15,52.15,103
20241007,51.66,51.69,51.62,51.67,2348
20241008,51.68,51.78,51.68,51.78,6369
20241009,51.85,51.85,51.78,51.79,1398
20241010,51.68,51.68,51.66,51.66,1988
20241011,51.72,51.72,51.68,51.68,783
20241014,51.525,51.8,51.52,51.8,7358
20241015,51.64,51.66,51.57,51.57,521
20241016,51.87,51.87,51.785,51.83,5191
20241017,51.84,51.84,51.55,51.65,836
20241018,51.42,51.45,51.33,51.33,3802
20241021,51.5,51.55,51.5,51.5,301
20241022,51.28,51.28,51.11,51.13,1404
20241023,51.11,51.11,51.01,51.05,4142
20241024,51.01,51.15,51.01,51.15,392
