Date,Open,High,Low,Close,Volume
20120308,50.03,50.03,50.03,50.03,50
20120309,50.02,50.02,50.02,50.02,15000
20120312,50.03,50.03,50.03,50.03,25300
20120313,50.03,50.03,50.03,50.03,0
20120314,50.05,50.05,50.05,50.05,2824
20120315,50.05,50.05,50.05,50.05,2940
20120316,50.05,50.05,50.05,50.05,40
20120319,50.05,50.08,50.05,50.08,1100
20120320,50.09,50.09,50.09,50.09,99
20120321,50.1,50.1,50.1,50.1,70
20120322,50.1,50.1,50.1,50.1,958
20120323,50.11,50.11,50.08,50.08,5247
20120326,50.08,50.08,50.08,50.08,0
20120327,50.14,50.14,50.14,50.14,29
20120328,50.14,50.14,50.14,50.14,0
20120329,50.14,50.14,50.14,50.14,0
20120330,50.14,50.14,50.14,50.14,0
20120402,50.04,50.04,50.04,50.04,1355
20120403,50.05,50.05,50.04,50.04,1819
20120404,50.05,50.05,50.04,50.04,599
20120405,50.06,50.06,50.06,50.06,598
20120410,50.06,50.06,50.06,50.06,0
20120411,50.08,50.08,50.08,50.08,25
20120412,50.12,50.12,50.12,50.12,1699
20120413,50.1,50.13,50.1,50.13,3030
20120416,50.13,50.13,50.13,50.13,69
20120417,50.14,50.14,50.14,50.14,112
20120418,50.13,50.16,50.13,50.16,50672
20120419,50.16,50.16,50.16,50.16,0
20120420,50.17,50.17,50.17,50.17,1200
20120423,50.18,50.18,50.18,50.18,54
20120424,50.18,50.18,50.18,50.18,0
20120426,50.21,50.21,50.19,50.19,279
20120427,50.22,50.22,50.22,50.22,175
20120430,50.23,50.23,50.23,50.23,85
20120501,50.06,50.06,50.06,50.06,522
20120502,50.06,50.06,50.06,50.06,219
20120503,50.07,50.07,50.07,50.07,139235
20120504,50.07,50.07,50.07,50.07,0
20120507,50.08,50.09,50.08,50.08,55971
20120508,50.09,50.09,50.09,50.09,1200
20120509,50.1,50.1,50.1,50.1,5926
20120510,50.09,50.09,50.09,50.09,1150
20120511,50.11,50.11,50.11,50.11,460
20120514,50.11,50.11,50.11,50.11,997
20120515,50.11,50.11,50.11,50.11,499030
20120516,50.11,50.11,50.11,50.11,0
20120517,50.14,50.14,50.14,50.14,400
20120518,50.13,50.13,50.13,50.13,498918
20120521,50.17,50.17,50.17,50.17,400
20120522,50.19,50.19,50.19,50.19,87561
20120523,50.21,50.21,50.21,50.21,1795
20120524,50.21,50.21,50.21,50.21,0
20120525,50.2,50.23,50.2,50.22,2878
20120528,50.22,50.22,50.22,50.22,0
20120529,50.22,50.22,50.22,50.22,4978
20120530,50.25,50.25,50.25,50.25,48
20120531,50.23,50.23,50.23,50.23,192
20120601,50.08,50.08,50.06,50.08,25794
20120604,50.09,50.09,50.07,50.09,2025
20120605,50.08,50.08,50.08,50.08,537
20120606,50.1,50.11,50.09,50.11,29865
20120607,50.12,50.12,50.12,50.12,2004
20120608,50.13,50.13,50.13,50.13,8975
