Date,Open,High,Low,Close,Volume
20200604,2.69,2.72,2.65,2.67,328197
20200605,2.68,2.68,2.66,2.68,148966
20200609,2.74,2.74,2.71,2.74,186503
20200610,2.72,2.76,2.72,2.76,54250
20200611,2.75,2.75,2.66,2.66,139816
20200612,2.64,2.64,2.58,2.63,93676
20200615,2.62,2.62,2.57,2.57,98692
20200616,2.63,2.65,2.63,2.65,11750
20200617,2.67,2.67,2.65,2.67,62047
20200618,2.65,2.67,2.65,2.67,23500
20200619,2.69,2.69,2.69,2.69,245
20200622,2.68,2.69,2.62,2.69,4807
20200623,2.7,2.7,2.7,2.7,29638
20200624,2.7,2.7,2.68,2.68,25180
20200625,2.65,2.65,2.65,2.65,8755
20200626,2.66,2.66,2.65,2.66,31713
20200629,2.68,2.68,2.62,2.62,33750
20200630,2.69,2.69,2.67,2.67,14474
20200701,2.58,2.6,2.58,2.58,58440
20200702,2.58,2.62,2.58,2.62,116673
20200703,2.65,2.65,2.63,2.63,1507
20200706,2.62,2.64,2.62,2.64,15893
20200707,2.64,2.64,2.64,2.64,15000
20200708,2.62,2.62,2.58,2.58,31284
20200709,2.6,2.61,2.6,2.61,2380
20200710,2.58,2.58,2.58,2.58,23675
20200713,2.6,2.61,2.6,2.6,12595
20200714,2.6,2.61,2.6,2.61,24150
20200715,2.6,2.61,2.6,2.61,2654
20200716,2.65,2.65,2.64,2.64,5175
20200717,2.65,2.65,2.64,2.64,12739
20200720,2.62,2.64,2.61,2.63,23407
20200721,2.64,2.68,2.64,2.68,39734
20200722,2.68,2.68,2.64,2.64,41965
20200723,2.65,2.65,2.65,2.65,38000
20200724,2.64,2.65,2.63,2.63,27637
20200727,2.64,2.65,2.64,2.64,31853
20200728,2.64,2.64,2.64,2.64,2805
20200729,2.62,2.63,2.62,2.63,40638
20200730,2.64,2.64,2.64,2.64,22706
20200731,2.63,2.63,2.6,2.6,7713
20200803,2.6,2.6,2.58,2.58,5419
20200804,2.63,2.65,2.63,2.65,3210
20200805,2.64,2.64,2.64,2.64,8000
20200806,2.68,2.68,2.65,2.65,9028
20200807,2.65,2.65,2.65,2.65,0
20200810,2.69,2.69,2.69,2.69,10000
20200811,2.71,2.73,2.71,2.73,10377
20200812,2.73,2.73,2.72,2.72,7332
20200813,2.71,2.71,2.71,2.71,12350
20200814,2.69,2.71,2.69,2.7,19864
20200817,2.7,2.7,2.7,2.7,42685
20200818,2.7,2.72,2.7,2.72,31889
20200819,2.73,2.75,2.73,2.74,23660
20200820,2.74,2.74,2.71,2.71,80892
20200821,2.71,2.73,2.71,2.73,413
20200824,2.73,2.73,2.73,2.73,0
20200825,2.74,2.74,2.74,2.74,300
20200826,2.73,2.73,2.71,2.71,63690
20200827,2.71,2.71,2.71,2.71,0
20200828,2.72,2.73,2.71,2.72,83557
20200831,2.72,2.72,2.72,2.72,0
20200901,2.72,2.72,2.72,2.72,0
20200902,2.7,2.72,2.7,2.72,17000
20200903,2.74,2.76,2.74,2.76,8700
20200904,2.69,2.69,2.66,2.66,23459
20200907,2.66,2.67,2.66,2.67,15600
20200908,2.7,2.7,2.69,2.69,8889
20200909,2.64,2.64,2.64,2.64,23770
20200910,2.68,2.68,2.68,2.68,7600
20200911,2.62,2.62,2.62,2.62,5000
20200914,2.65,2.65,2.65,2.65,16650
20200915,2.66,2.66,2.64,2.64,21340
20200916,2.67,2.67,2.67,2.67,730
20200917,2.67,2.67,2.67,2.67,0
20200918,2.65,2.65,2.64,2.64,15156
20200921,2.63,2.63,2.63,2.63,10960
20200922,2.62,2.62,2.61,2.61,10800
20200923,2.65,2.65,2.65,2.65,5000
20200924,2.65,2.65,2.65,2.65,16094
20200925,2.67,2.67,2.67,2.67,5100
20200928,2.67,2.67,2.67,2.67,26000
20200929,2.68,2.68,2.66,2.66,7742
20200930,2.63,2.63,2.61,2.61,33880
20201001,2.64,2.65,2.64,2.65,63827
20201002,2.62,2.62,2.62,2.62,1908
20201005,2.61,2.67,2.61,2.67,28805
20201006,2.67,2.67,2.67,2.67,13700
20201007,2.67,2.67,2.67,2.67,0
20201008,2.71,2.74,2.71,2.71,32850
20201009,2.72,2.72,2.72,2.72,919
20201012,2.73,2.73,2.73,2.73,5500
20201013,2.75,2.76,2.74,2.76,17978
20201014,2.74,2.77,2.74,2.77,11800
20201015,2.78,2.78,2.78,2.78,17300
20201016,2.78,2.78,2.77,2.77,45100
20201019,2.78,2.78,2.77,2.77,82182
20201020,2.77,2.78,2.75,2.76,40153
20201021,2.76,2.76,2.76,2.76,3256
20201022,2.74,2.75,2.73,2.75,10305
20201023,2.76,2.76,2.76,2.76,71184
20201026,2.76,2.76,2.76,2.76,0
20201027,2.72,2.72,2.7,2.7,53514
20201028,2.7,2.7,2.7,2.7,3136
20201029,2.66,2.66,2.66,2.66,15000
20201030,2.66,2.66,2.66,2.66,5000
20201102,2.65,2.65,2.65,2.65,8260
20201103,2.66,2.69,2.66,2.69,13774
20201104,2.69,2.69,2.69,2.69,0
20201105,2.7,2.7,2.7,2.7,4200
20201106,2.7,2.7,2.7,2.7,0
20201109,2.75,2.77,2.75,2.77,4000
20201110,2.84,2.84,2.84,2.84,17500
20201111,2.81,2.81,2.81,2.81,7521
20201112,2.82,2.82,2.82,2.82,1500
20201113,2.82,2.82,2.82,2.82,0
20201116,2.82,2.82,2.82,2.82,0
20201117,2.87,2.89,2.87,2.87,49894
20201118,2.88,2.88,2.88,2.88,5420
20201119,2.88,2.88,2.88,2.88,0
20201120,2.89,2.9,2.88,2.9,42130
20201123,2.92,2.92,2.91,2.92,116925
20201124,2.94,2.95,2.93,2.95,50115
20201125,2.98,2.98,2.97,2.98,41599
20201126,2.95,2.97,2.95,2.96,48700
20201127,2.95,2.95,2.95,2.95,2000
20201130,2.96,2.96,2.94,2.94,86000
20201201,2.95,2.95,2.95,2.95,18270
20201202,2.93,2.94,2.93,2.94,17732
20201203,2.94,2.94,2.94,2.94,3397
20201204,2.94,2.94,2.94,2.94,2000
20201207,2.94,2.98,2.94,2.97,14208
20201208,2.97,2.97,2.97,2.97,1000
20201209,2.99,3,2.99,3,108333
20201210,2.99,2.99,2.99,2.99,2750
20201211,2.96,2.96,2.96,2.96,1700
20201214,2.99,2.99,2.98,2.99,29555
20201215,2.98,2.98,2.98,2.98,10067
20201216,2.98,2.99,2.98,2.99,67000
20201217,3,3,3,3,625
20201218,2.98,3,2.98,2.98,45092
20201221,2.96,2.96,2.96,2.96,5688
20201222,2.95,2.96,2.94,2.94,60240
20201223,2.97,2.97,2.97,2.97,1000
20201224,2.97,2.97,2.97,2.97,0
20201229,2.97,2.97,2.97,2.97,0
20201230,2.98,3.01,2.98,3,8601
20201231,3,3,3,3,47
20210104,2.93,2.94,2.93,2.94,39000
20210105,2.94,2.97,2.94,2.97,44260
20210106,2.97,2.97,2.97,2.97,0
20210107,2.97,2.97,2.97,2.97,0
20210108,2.99,2.99,2.99,2.99,4000
20210111,3,3,2.98,2.98,73556
20210112,2.98,2.98,2.98,2.98,0
20210113,2.94,2.97,2.94,2.97,37410
20210114,2.96,2.96,2.94,2.94,13190
20210115,2.97,2.97,2.94,2.94,45013
20210118,2.94,2.94,2.94,2.94,0
20210119,2.97,2.97,2.96,2.97,4168
20210120,2.99,2.99,2.99,2.99,7513
20210121,2.99,2.99,2.99,2.99,0
20210122,3.01,3.01,3,3,39048
20210125,3.01,3.01,3.01,3.01,13639
20210127,3.01,3.01,2.97,2.97,95699
20210128,2.94,2.94,2.91,2.91,74851
20210129,2.94,2.94,2.92,2.92,28873
20210201,2.9,2.9,2.9,2.9,3400
20210202,2.9,2.9,2.9,2.9,0
20210203,2.9,2.9,2.9,2.9,0
20210204,3,3,3,3,10000
20210205,3,3,3,3,10000
20210208,3,3,3,3,0
20210209,3.03,3.03,3.03,3.03,6500
20210210,3.04,3.04,3.03,3.03,7289
20210211,3.03,3.05,3.03,3.04,6983
20210212,3.04,3.04,3.03,3.03,20875
20210215,3.04,3.04,3.04,3.04,23300
20210216,3.05,3.06,3.05,3.06,22063
20210217,3.06,3.06,3.02,3.04,153032
20210218,3.03,3.03,3.03,3.03,10800
20210219,3.03,3.03,2.98,2.98,21862
20210222,3,3,2.98,3,7311
20210223,2.99,2.99,2.99,2.99,5016
20210224,3,3,3,3,8693
20210225,3.02,3.02,3,3.02,14172
20210226,3,3,2.94,2.94,52824
20210301,2.96,2.99,2.96,2.99,9271
20210302,3,3,3,3,6666
20210303,3,3,3,3,13500
20210304,2.98,2.98,2.98,2.98,10044
20210305,2.95,2.95,2.91,2.94,30966
20210308,2.98,2.98,2.97,2.97,21665
20210309,3,3,2.96,2.98,40937
20210310,3,3,3,3,330
20210311,3,3,2.98,2.98,4355
20210312,3.01,3.01,3.01,3.01,1000
20210315,2.99,3.01,2.99,3.01,27558
20210316,3.03,3.04,3.03,3.04,39704
20210317,3.02,3.02,3.01,3.02,69899
20210318,3.02,3.03,3.02,3.02,67494
20210319,3,3.02,3,3.02,27254
20210322,3.02,3.02,3.02,3.02,2518
20210323,3.04,3.04,3.03,3.03,14811
20210324,3.04,3.06,3.04,3.06,25170
20210325,3.07,3.07,3.07,3.07,3208
20210326,3.09,3.09,3.08,3.08,7570
20210329,3.08,3.08,3.07,3.07,5925
20210330,3.06,3.06,3.03,3.03,68652
20210331,3.07,3.08,3.07,3.08,16737
20210401,3.08,3.08,3.08,3.08,0
20210406,3.07,3.09,3.07,3.09,20295
20210407,3.09,3.09,3.09,3.09,0
20210408,3.12,3.12,3.12,3.12,1500
20210409,3.14,3.14,3.13,3.14,16959
20210412,3.14,3.14,3.12,3.13,32112
20210413,3.13,3.13,3.13,3.13,4952
20210414,3.14,3.14,3.13,3.13,2074
20210415,3.16,3.17,3.16,3.17,25875
20210416,3.16,3.18,3.16,3.17,178582
20210419,3.16,3.16,3.16,3.16,7000
20210420,3.17,3.18,3.16,3.16,193025
20210421,3.14,3.15,3.13,3.14,40869
20210422,3.17,3.19,3.17,3.19,19232
20210423,3.2,3.2,3.18,3.2,20173
20210426,3.2,3.21,3.2,3.21,38412
20210427,3.2,3.21,3.2,3.21,26395
20210428,3.22,3.22,3.21,3.21,5115
20210429,3.22,3.22,3.22,3.22,4650
20210430,3.22,3.22,3.19,3.2,135699
20210503,3.2,3.2,3.18,3.19,73218
20210504,3.19,3.21,3.17,3.21,66310
20210505,3.22,3.23,3.22,3.23,40032
20210506,3.23,3.23,3.21,3.21,99082
20210507,3.23,3.23,3.23,3.23,2000
20210510,3.23,3.25,3.23,3.24,10691
20210511,3.23,3.23,3.2,3.23,23505
20210512,3.22,3.22,3.19,3.2,44366
20210513,3.19,3.19,3.18,3.18,29254
20210514,3.21,3.21,3.21,3.21,22600
20210517,3.23,3.23,3.23,3.23,5557
20210518,3.23,3.24,3.23,3.24,5875
20210519,3.2,3.2,3.18,3.19,101536
20210520,3.19,3.19,3.19,3.19,0
20210521,3.21,3.23,3.21,3.23,52642
20210524,3.23,3.23,3.22,3.22,815
20210525,3.24,3.26,3.24,3.26,23934
20210526,3.27,3.27,3.27,3.27,30020
20210527,3.27,3.28,3.26,3.26,9149
20210528,3.29,3.3,3.29,3.3,47389
