Date,Open,High,Low,Close,Volume
20180903,50.96,51.12,50.95,50.95,7839
20180904,50.9,50.93,50.62,50.66,4870
20180905,50.65,50.65,50.31,50.31,4347
20180906,50.05,50.11,49.61,50.09,4831
20180907,49.93,49.98,49.81,49.98,1879
20180910,50.34,50.38,50.2,50.21,3029
20180911,50.46,50.47,50.31,50.31,2388
20180912,50.32,50.32,49.95,50.14,7610
20180913,49.92,50.2,49.86,49.86,4925
20180914,50.7,50.7,50.64,50.64,1379
20180917,50.8,51.14,50.8,51.04,3291
20180918,50.97,51.18,50.9,51.09,2980
20180919,51.11,51.19,51.01,51.01,3145
20180920,51.3,51.31,51.15,51.15,3715
20180921,51.44,51.54,51.44,51.52,3202
20180924,51.5,51.52,51.38,51.52,7571
20180925,51.73,51.83,51.5,51.5,8839
20180926,51.38,51.38,51.18,51.22,2449
20180927,51.2,51.2,51.19,51.2,1632
20180928,51.21,51.54,51.21,51.31,2006
20181001,51.4,51.4,50.97,50.99,1529
20181002,51.6,51.6,51.31,51.4,568
20181003,51.7,51.72,51.3,51.3,3161
20181004,51.99,51.99,51.48,51.65,6374
20181005,51.59,51.59,51.26,51.26,3026
20181008,51.28,51.28,51.1,51.1,1530
20181009,51,51,50.5,50.5,2326
20181010,50.36,50.36,49.77,49.86,7267
20181011,48.97,48.97,48.17,48.31,1590
20181012,48,48.35,47.9,48.35,650
20181015,48.21,48.26,48.21,48.23,615
20181016,48.09,48.16,47.92,48.09,1430
20181017,49.04,49.13,48.95,48.95,2569
20181018,48.77,48.77,48.64,48.64,317
20181019,48.22,48.25,47.98,48.17,2621
20181022,48,48.22,47.85,48.2,3155
20181023,48.25,48.25,47.62,47.62,664
20181024,47.89,47.99,47.65,47.88,2157
20181025,46.99,47.18,46.58,47.12,2201
20181026,47.1,47.11,46.75,46.86,864
20181029,47.1,47.1,46.8,46.8,4232
20181030,46.51,46.96,46.49,46.96,8161
20181031,47.23,47.42,47.22,47.42,4669
20181101,47.99,47.99,47.8,47.82,1936
20181102,47.8,48.13,47.8,48.07,1826
20181105,48.06,48.42,48.06,48.36,3119
20181106,48.36,48.36,48.18,48.18,3929
20181107,48.43,48.43,48,48.26,1596
20181108,48.66,48.66,48.26,48.3,1003
20181109,48.41,48.41,48.12,48.12,1875
20181112,48,48,47.8,47.88,1207
20181113,47.39,47.39,46.95,46.95,991
20181114,47.45,47.45,47.4,47.4,1105
20181115,47.53,47.53,47,47.11,2602
20181116,47.61,47.61,47.42,47.42,682
20181119,47.66,47.88,47.66,47.84,637
20181120,47.39,47.39,47.2,47.2,205
20181121,46.71,46.74,46.55,46.7,1672
20181122,47,47,46.76,46.76,447
20181123,46.76,46.76,46.46,46.68,1200
20181126,46.39,46.41,46.39,46.41,330
20181127,46.95,46.95,46.95,46.95,600
20181128,47,47,46.96,47,786
20181129,47.37,47.37,47.37,47.37,100
20181130,47.32,47.32,47.29,47.3,515
20181203,47.76,47.77,47.75,47.75,402
20181204,47.75,48.02,47.45,47.45,566
20181205,46.78,47,46.78,46.9,455
20181206,47.11,47.11,46.5,46.5,1456
20181207,46.9,46.9,46.47,46.47,808
20181210,46.05,46.05,45.55,45.55,1020
20181211,45.94,45.95,45,45,1259
20181212,45.1,45.53,45.1,45.53,815
20181213,46.11,46.12,45.85,46.06,3892
20181214,46.06,46.06,45.6,45.82,1436
20181217,45.64,45.65,45.49,45.55,160
20181218,45.15,45.15,45,45,735
20181219,44.64,44.76,44.64,44.74,200
20181220,44.55,44.55,44.5,44.5,64
20181221,44.14,44.14,43.42,43.49,984
20181224,43.23,43.23,43.23,43.23,100
20181227,43,44.59,43,44.59,769
20181228,44.21,44.21,44.21,44.21,70
20181231,44.56,44.56,44.56,44.56,300
20190102,45,45,43.92,44.29,412
20190103,44.29,44.29,44.29,44.29,0
20190104,44.17,44.17,43.75,43.83,1563
20190107,44.62,45.09,44.62,45.09,6
20190108,45.25,45.48,45.25,45.48,682
20190109,45.6,45.66,45.6,45.66,130
20190110,45.96,45.96,45.6,45.6,567
20190111,45.78,45.78,45.55,45.55,1428
20190114,45.19,45.19,45.19,45.19,20
20190115,45.24,45.79,45.24,45.79,480
20190116,45.53,45.56,45.3,45.56,71
20190117,45.56,45.56,45.56,45.56,0
20190118,45.8,45.82,45.8,45.82,158
20190121,46.25,46.3,46.25,46.3,234
20190122,46.3,46.3,46.06,46.06,339
20190123,46,46,45.91,45.91,390
20190124,45.6,45.6,45.45,45.47,1950
20190125,46.1,46.43,46.1,46.43,1705
20190129,46,46,46,46,651
20190130,46,46,46,46,434
20190131,46.39,46.46,46.39,46.42,1112
20190201,46.8,46.8,46.8,46.8,65
20190204,46.84,46.86,46.84,46.86,383
20190205,47.1,47.11,46.9,46.98,151
20190206,47.3,47.3,47.3,47.3,21
20190207,47.98,47.98,47.69,47.73,1423
20190208,46.8,47.08,46.78,46.78,2237
20190211,46.3,46.3,46.07,46.23,1009
20190212,46.34,46.51,46.34,46.51,298
20190213,46.91,46.91,46.6,46.64,443
20190214,46.94,46.94,46.94,46.94,11
20190215,46.94,46.94,46.87,46.87,446
20190218,47.52,47.52,47.45,47.45,600
20190219,47.6,47.6,47.56,47.56,753
20190220,47.53,47.53,47.45,47.45,250
20190221,47.6,47.99,47.55,47.99,1862
20190222,47.9,47.9,47.86,47.86,3050
20190225,48.25,48.41,48.25,48.41,936
20190226,48.5,48.5,48.49,48.49,141
20190227,48.26,48.26,48.26,48.26,889
20190228,48.6,48.66,48.53,48.57,743
20190301,48.46,48.46,48.25,48.31,959
20190304,48.38,48.38,48.36,48.36,1225
20190305,48.12,48.13,47.85,47.85,1358
20190306,47.9,48,47.83,48,664
20190307,47.9,47.9,47.73,47.73,337
20190308,47,47.13,47,47.09,828
20190311,46.72,47.27,46.72,47.27,10011
20190312,47.41,47.83,47.41,47.6,586
20190313,47.5,47.5,47.04,47.13,630
20190314,47.46,47.47,47.37,47.47,349
20190315,47.56,47.56,47.56,47.56,63
20190318,47.56,47.56,47.26,47.26,206
20190319,47.8,47.8,47.6,47.69,2078
20190320,47.6,47.6,47.52,47.55,883
20190321,47.25,47.25,47.19,47.21,464
20190322,47.8,47.8,47.68,47.7,806
20190325,47.7,47.7,46.63,46.63,1361
20190326,46.87,46.99,46.85,46.93,983
20190327,46.62,46.62,46.56,46.56,830
20190328,46.56,46.56,46.56,46.56,19
20190329,46.66,46.66,46.66,46.66,100
20190401,47.34,47.39,47.34,47.39,561
20190402,47.81,47.94,47.73,47.94,377
20190403,48.17,48.17,48.17,48.17,21
20190404,48.3,48.55,48.21,48.21,1168
20190405,48.4,48.4,48.4,48.4,120
20190408,48.62,48.62,48.62,48.62,11
20190409,48.62,48.62,48.5,48.5,551
20190410,48.27,48.3,48.27,48.3,308
20190411,48.12,48.19,48.12,48.14,940
20190412,48.24,48.24,48.22,48.22,250
20190415,48.29,48.44,48.29,48.44,1842
20190416,48.22,48.36,48.22,48.35,292
20190417,48.73,48.73,48.73,48.73,43
20190418,48.74,48.74,48.5,48.5,430
20190423,48.75,48.85,48.75,48.8,4154
20190424,49.27,49.27,48.98,48.98,6170
20190426,48.93,48.93,48.5,48.87,1223
20190429,49,49,48.92,48.92,128
20190430,49.15,49.15,49.04,49.1,1515
20190501,49.58,49.58,49.24,49.24,1098
20190502,49.14,49.21,49.14,49.21,169
20190503,49.6,49.7,49.53,49.61,1445
20190506,49.61,49.61,49.27,49.33,1116
20190507,49.63,49.63,49.08,49.08,392
20190508,48.89,48.89,48.37,48.43,30720
20190509,48.86,48.86,48.22,48.22,246
20190510,48.3,48.3,48.22,48.22,143
20190513,47.92,47.92,47.78,47.78,1491
20190514,47.1,47.32,47.1,47.16,121
20190515,47.16,47.16,47.16,47.16,0
20190516,48.1,48.1,47.53,47.69,2145
20190517,48.18,48.29,48.18,48.29,101
20190520,48.02,48.02,47.32,47.43,1247
20190521,46.97,47.04,46.97,47.04,263
20190522,47.58,47.58,47.37,47.38,1182
20190523,47.19,47.19,46.67,46.67,1066
20190524,46.24,46.26,46.2,46.26,1205
20190527,46,46,45.89,45.89,1257
20190528,46.38,46.4,46.36,46.4,102
20190529,45.75,45.98,45.6,45.98,5442
20190530,45.92,46.16,45.85,45.99,3900
20190531,46,46.09,45.84,45.84,712
20190603,45.51,45.51,45.42,45.51,1270
20190604,45.72,45.72,45.66,45.66,118
20190605,46.71,46.78,46.71,46.78,246
20190606,46.6,46.7,46.48,46.5,1287
20190607,46.6,46.88,46.6,46.78,386
20190611,47.38,47.68,47.38,47.63,1120
20190612,48.02,48.02,47.95,47.95,53
20190613,47.55,47.81,47.55,47.81,57
20190614,47.77,47.98,47.77,47.89,759
20190617,47.49,47.61,47.49,47.57,334
20190618,48,48,48,48,166
20190619,48.05,48.41,48.05,48.3,553
20190620,48.46,48.62,48.29,48.62,1038
20190621,48.66,49,48.11,48.11,2773
20190624,48.41,48.41,48.41,48.41,103
20190625,48.41,48.41,48.41,48.41,0
20190626,48,48.13,47.52,47.52,1232
20190627,47.68,47.89,47.68,47.89,36
20190628,47.9,47.9,46.78,46.78,777
20190701,47.55,47.55,47.55,47.55,215
20190702,47.87,47.9,47.87,47.9,211
20190703,47.81,47.81,47.37,47.37,1952
