Date,Open,High,Low,Close,Volume
20220811,99.81,99.81,99.81,99.81,100
20220812,99.81,99.81,99.81,99.81,0
20220815,100,100.15,100,100.15,1100
20220816,100.15,100.15,100.15,100.15,2200
20220817,100.15,100.15,100.15,100.15,0
20220818,100.15,100.15,100.15,100.15,0
20220819,100.15,100.15,100.15,100.15,0
20220822,100.15,100.15,100.15,100.15,0
20220823,98.59,98.61,98.3,98.3,4810
20220824,98.28,98.28,98.28,98.28,1500
20220825,98.28,98.28,98.28,98.28,0
20220826,98.28,98.28,98.28,98.28,0
20220829,98.28,98.28,98.28,98.28,0
20220830,97.63,97.64,97.63,97.64,3500
20220831,97.64,97.64,97.64,97.64,0
20220901,97.64,97.64,97.64,97.64,0
20220902,97.64,97.64,97.64,97.64,0
20220905,97.64,97.64,97.64,97.64,0
20220906,97.64,97.64,97.64,97.64,0
20220907,97.64,97.64,97.64,97.64,0
20220908,97.64,97.64,97.64,97.64,0
20220909,97.64,97.64,97.64,97.64,0
20220912,97.64,97.64,97.64,97.64,0
20220913,97.64,97.64,97.64,97.64,0
20220914,97.64,97.64,97.64,97.64,0
20220915,97.64,97.64,97.64,97.64,0
20220916,97.64,97.64,97.64,97.64,0
20220919,97.64,97.64,97.64,97.64,0
20220920,97.64,97.64,97.64,97.64,0
20220921,97.64,97.64,97.64,97.64,0
20220923,97.64,97.64,97.64,97.64,0
20220926,97.64,97.64,97.64,97.64,0
20220927,97.64,97.64,97.64,97.64,0
20220928,92.89,92.89,92.79,92.79,13000
20220929,92.79,92.79,92.79,92.79,0
20220930,92.79,92.79,92.79,92.79,0
20221003,93.37,93.6,93.3,93.6,8500
20221004,93.6,93.6,93.6,93.6,0
20221005,93.6,93.6,93.6,93.6,0
20221006,93.6,93.6,93.6,93.6,0
20221007,93.6,93.6,93.6,93.6,0
20221010,93.6,93.6,93.6,93.6,0
20221011,92.79,92.79,92.7,92.7,6000
20221012,92.7,92.7,92.7,92.7,0
20221013,92.7,92.7,92.7,92.7,0
20221014,92.7,92.7,92.7,92.7,0
20221017,92.45,92.45,92.45,92.45,21
20221018,92.45,92.45,92.45,92.45,10
20221019,92.45,92.45,92.45,92.45,0
20221020,92.45,92.45,92.45,92.45,0
20221021,92.45,92.45,92.45,92.45,0
20221024,92.45,92.45,92.45,92.45,0
