Date,Open,High,Low,Close,Volume
20190711,49.89,49.98,49.89,49.93,10940
20190712,49.62,49.62,49.55,49.55,3567
20190715,49.55,49.55,49.53,49.53,342
20190716,49.7,49.76,49.7,49.74,590
20190717,49.71,49.75,49.67,49.75,1927
20190718,49.93,49.93,49.93,49.93,300
20190719,49.94,49.94,49.93,49.93,41
20190722,49.92,49.95,49.92,49.95,460
20190723,50.04,50.04,50.04,50.04,690
20190724,50.04,50.12,50.04,50.12,2330
20190725,50.26,50.26,50.26,50.26,900
20190726,50.34,50.36,50.34,50.34,2565
20190729,50.48,50.5,50.45,50.45,3610
20190730,50.47,50.47,50.45,50.45,3378
20190731,50.46,50.56,50.45,50.45,21243
20190801,50.47,50.47,50.44,50.44,2877
20190802,50.9,50.9,50.9,50.9,500
20190805,50.95,51.18,50.95,51.15,43083
20190806,51.35,51.35,51.07,51.09,40652
20190807,51.33,51.47,51.33,51.47,24400
20190808,51.52,51.52,51.4,51.44,7423
20190809,51.42,51.42,51.42,51.42,233
20190812,51.41,51.41,51.36,51.41,3576
20190813,51.41,51.41,51.41,51.41,0
20190814,51.41,51.41,51.35,51.35,900
20190815,51.69,51.69,51.66,51.69,2247
20190816,51.76,51.76,51.76,51.76,2550
20190819,51.58,51.58,51.55,51.55,914
20190820,51.5,51.5,51.5,51.5,500
20190821,51.55,51.55,51.55,51.55,1000
20190822,51.55,51.55,51.55,51.55,1000
20190823,51.46,51.46,51.39,51.39,733
20190826,51.79,51.79,51.79,51.79,1929
20190827,51.54,51.54,51.54,51.54,5446
20190828,51.72,51.72,51.7,51.7,400
20190829,51.72,51.78,51.72,51.76,7374
20190830,51.71,51.71,51.69,51.7,1990
20190902,51.58,51.58,51.5,51.5,2022
20190903,51.45,51.45,51.41,51.41,158
20190904,51.44,51.5,51.44,51.5,3308
20190905,51.44,51.44,51.24,51.24,5264
20190906,50.94,50.94,50.9,50.9,2361
20190909,51.03,51.08,51.03,51.07,1155
20190910,50.87,50.87,50.87,50.87,196
20190911,50.67,50.7,50.67,50.7,2950
