Date,Open,High,Low,Close,Volume
20240613,100.47,100.47,100.39,100.39,600
20240614,100.83,100.83,100.83,100.83,1
20240617,100.83,100.83,100.83,100.83,0
20240618,100.83,100.83,100.83,100.83,0
20240619,100.83,100.83,100.83,100.83,0
20240620,100.83,100.83,100.83,100.83,0
20240621,100.83,100.83,100.83,100.83,0
20240624,100.83,100.83,100.83,100.83,0
20240625,100.83,100.83,100.83,100.83,0
20240626,99.92,99.92,99.7,99.7,1500
20240627,97.9,98.07,97.9,98.07,1000
20240628,99.14,99.14,99.14,99.14,1000
20240701,98.03,98.37,98.03,98.37,3000
20240702,97.68,97.68,97.68,97.68,6
20240703,97.16,97.16,97.16,97.16,6
20240704,97.16,97.16,97.16,97.16,0
20240705,97.16,97.16,97.16,97.16,0
20240708,97.16,97.16,97.16,97.16,0
20240709,97.16,97.16,97.16,97.16,0
20240710,97.16,97.16,97.16,97.16,0
20240711,97.16,97.16,97.16,97.16,0
20240712,97.16,97.16,97.16,97.16,0
20240715,98.52,98.52,98.52,98.52,150
20240716,99.11,99.34,99.05,99.34,3859
20240717,99.34,99.34,99.34,99.34,0
20240718,99.34,99.34,99.34,99.34,0
20240719,99.2,99.26,99.2,99.26,1540
20240722,98.52,98.52,98.52,98.52,20
20240723,98.52,98.52,98.52,98.52,0
20240724,98.52,98.52,98.52,98.52,0
20240725,98.52,98.52,98.52,98.52,0
20240726,98.63,98.73,98.52,98.52,3062
20240729,98.52,98.52,98.52,98.52,0
20240730,98.52,98.52,98.52,98.52,0
20240731,100.91,101.18,100.91,101.18,2140
20240801,101.42,101.48,101.42,101.48,1000
20240802,102.07,102.07,102.07,102.07,998
20240805,103.14,103.29,102.92,102.97,2376
20240806,100,102.65,100,102.65,3524
20240807,101.4,101.4,101.38,101.38,1000
20240808,101.3,101.49,101.2,101.49,2692
20240809,101.49,101.49,101.49,101.49,0
20240812,101.49,101.49,101.49,101.49,0
20240813,102.54,102.65,102.47,102.65,1014
20240814,103.07,103.07,103.07,103.07,1000
20240815,104.17,104.17,103.85,104.01,3501
20240816,103.6,103.87,103.6,103.78,13440
20240819,103.78,104.06,103.78,104.06,103
20240820,104.17,104.19,103.86,103.86,1416
20240821,105.07,105.17,104.84,105.02,13894
20240822,104.6,104.6,104.45,104.53,301
20240823,104,104,103.98,103.98,2031
20240826,103.98,103.98,103.98,103.98,0
20240827,104.69,104.69,104.35,104.35,3858
20240828,104.24,104.24,103.66,103.81,1344
20240829,103.56,103.56,103.56,103.56,240
20240830,103.56,103.56,103.56,103.56,0
20240902,102.91,103.04,102.9,102.9,15
20240903,102.86,102.97,102.66,102.66,19
20240904,103.82,103.82,103.56,103.66,8329
20240905,103.95,103.95,103.45,103.46,4621
20240906,103.46,103.46,103.46,103.46,0
20240909,103.25,103.4,103.18,103.18,134
20240910,103.85,103.92,103.79,103.84,4353
20240911,104.78,105.1,104.47,105.1,75597
20240912,104.95,105.04,104.69,105.04,330
20240913,105.63,105.74,105.44,105.64,1148
20240916,105.69,106.08,105.65,105.73,49038
20240917,105.88,106.27,105.87,105.96,13443
20240918,105.65,105.67,105.34,105.56,6856
20240919,104.34,104.36,104.04,104.3,356
20240920,104.3,104.54,104.16,104.16,1526
20240923,103.66,103.66,103.26,103.3,1074
20240924,103.83,103.83,103.31,103.8,793
20240925,104.12,104.12,103.49,103.49,1050
20240926,103.39,103.42,102.98,103.32,3949
20240927,103.11,103.12,102.77,102.96,511
20240930,103.18,103.21,102.83,102.83,1329
20241001,102.89,103.09,102.5,102.5,7209
20241002,103.59,103.66,103.33,103.65,2432
20241003,102.74,102.89,102.56,102.68,2828
20241004,102.06,102.22,101.81,102.01,1545
20241007,101.95,101.95,99.63,100.13,511
20241008,99.64,102.3,99.63,100.9,25257
20241009,100.96,100.96,100.25,100.25,2366
20241010,99.32,99.39,99.16,99.32,232
20241011,99.29,99.56,99.27,99.27,3980
20241014,98.38,98.6,98.3,98.36,4889
20241015,98.74,99.03,98.74,98.82,1456
20241016,99.67,99.93,99.65,99.76,5026
20241017,100.04,100.04,98.9,99.28,4647
20241018,98.35,98.365,98.03,98.09,1522
20241021,98.15,98.58,98.15,98.52,571
20241022,97.94,97.94,96.85,96.85,2254
20241023,96.81,96.81,96.43,96.54,1767
20241024,96.43,96.86,96.29,96.83,1213
20241025,97.35,97.62,97.35,97.46,2371
20241028,96.94,97.01,96.64,96.72,928
20241029,97.04,97.13,96.84,96.84,484
20241030,97.06,97.2,96.75,96.97,4181
20241031,96.5,96.53,96.24,96.53,1863
20241101,96.16,96.16,95.84,95.95,1224
20241104,96.02,96.1,95.81,95.81,1268
20241105,96.03,96.03,95.69,95.91,2406
20241106,96.1,96.1,94.28,94.55,3496
20241107,95.26,95.26,95.16,95.21,1442
20241108,96.22,96.43,96.01,96.25,1642
20241111,96.32,96.32,96,96,1111
20241112,96.14,96.51,96.14,96.51,221
20241113,95.39,95.4,95.11,95.36,431
20241114,95.05,95.05,94.61,94.67,3255
20241115,95.5,95.8,95.5,95.8,2247
20241118,96.18,96.18,95.82,96,12993
20241119,96.33,96.37,96.15,96.15,1623
20241120,96.41,96.51,96.17,96.37,1545
20241121,96.15,96.33,96.09,96.09,900
20241122,96.52,96.67,96.37,96.6,2800
20241125,97.92,97.92,97.74,97.74,848
20241126,98.78,98.78,98.17,98.17,526
20241127,98.21,98.51,98.18,98.51,154
20241128,98.82,99.03,98.65,98.95,1708
20241129,99,99.16,98.735,99.16,2362
20241202,99.77,99.77,99.55,99.75,3591
20241203,100.2,100.2,99.99,100.11,614
20241204,99.55,100.77,99.55,100.49,4830
20241205,101.16,101.16,100.96,101.07,1425
20241206,100.76,101.11,100.39,100.84,331
20241209,101.24,101.3,101.06,101.06,574
20241210,100.58,101.95,100.58,101.95,1939
20241211,101.6,101.6,101.08,101.17,1699
20241212,101,101,99.66,100.12,1638
20241213,100.46,100.46,99.32,99.79,1373
20241216,99.49,99.74,99.445,99.74,1329
20241217,99.59,100.08,99.59,99.98,1451
20241218,99.82,100.26,99.82,100.26,102
20241219,99.58,99.62,98.48,98.48,1994
20241220,97.91,97.92,97.21,97.21,851
20241223,98.12,98.69,98.11,98.69,590
20241224,98.06,98.3,97.88,97.9,258
20241227,98.16,99.08,98.16,99.08,1562
20241230,98.54,98.54,97.5,97.72,9844
20241231,98.77,98.86,98.77,98.86,393
20250102,98.36,98.37,98.12,98.17,1072
20250103,98.275,98.71,98.275,98.71,1102
20250106,98.1,98.1,97.75,97.75,10578
20250107,96.99,97.05,96.84,96.9,12388
20250108,96.15,96.81,96,96.55,25003
20250109,96.09,96.38,95.75,96.38,7076
20250110,96.32,96.32,95.9,95.95,11905
20250113,94.8,95.17,94.575,94.94,12536
20250114,95.45,95.45,95.05,95.24,4848
20250115,94.75,94.93,94.75,94.93,7680
20250116,96.32,96.38,96.04,96.38,109
20250117,96.63,96.68,96.39,96.53,6648
