Date,Open,High,Low,Close,Volume
20220407,24.98,24.98,24.82,24.85,30665
20220408,25.08,25.08,24.83,24.88,16714
20220411,24.89,24.96,24.82,24.88,5976
20220412,24.82,24.82,24.68,24.72,17050
20220413,24.79,24.805,24.68,24.68,1520
20220414,24.91,24.91,24.79,24.85,4945
20220419,24.92,24.95,24.92,24.92,107
20220420,25.02,25.02,25.02,25.02,199
20220421,25.16,25.17,25.02,25.17,1862
20220422,25.11,25.11,24.8,24.89,6862
20220426,25.03,25.03,24.44,24.59,3792
20220427,24.34,24.34,24.15,24.17,16799
20220428,24.19,24.3,24.19,24.3,2009
20220429,24.51,24.51,24.45,24.5,3996
20220502,24.2,24.2,24,24.11,2385
20220503,24.05,24.06,24,24,3381
20220504,24.03,24.03,23.9,23.9,27625
20220505,24.05,24.05,24.05,24.05,1246
20220506,23.71,23.71,23.46,23.48,26196
20220509,23.19,23.19,23.09,23.09,1710
20220510,22.93,22.93,22.85,22.85,2290
20220511,22.94,23.1,22.94,23.1,129
20220512,23.01,23.01,22.56,22.56,10197
20220513,22.95,22.95,22.95,22.95,404
20220516,23.15,23.15,23.12,23.12,169
20220517,23.18,23.18,23,23,2408
20220518,23.16,23.16,23.16,23.16,4475
20220519,22.67,22.78,22.65,22.78,2510
20220520,22.77,23.04,22.77,23.015,879
20220523,23.09,23.18,22.98,22.98,290
20220524,23.14,23.14,23.14,23.14,39
20220525,23.05,23.05,23.05,23.05,22
20220526,22.88,22.88,22.88,22.88,250
20220527,22.98,22.98,22.92,22.92,373
20220530,23.28,23.42,23.28,23.42,480
20220531,23.46,23.46,23.32,23.32,925
20220601,23.32,23.32,23.32,23.32,40
20220602,23.09,23.09,22.99,23.03,2523
20220603,23.3,23.3,23.3,23.3,3712
20220606,23.3,23.3,23.3,23.3,0
20220607,23.13,23.13,22.5,22.54,4218
20220608,22.54,22.54,22.54,22.54,0
20220609,22.5,22.5,22.5,22.5,664
20220610,22.4,22.4,22,22.01,2158
20220614,21.11,21.11,20.75,20.75,2245
20220615,21.03,21.05,20.88,20.88,871
20220616,21,21.06,20.865,20.865,1590
20220617,20.56,20.56,20.41,20.41,590
20220620,20.71,20.76,20.69,20.69,1348
20220621,20.86,20.9,20.85,20.9,2375
20220622,20.9,20.9,20.9,20.9,1200
20220623,20.97,21.02,20.97,20.98,339
20220624,20.99,20.99,20.99,20.99,47
20220627,21.55,21.64,21.54,21.64,3078
20220628,21.65,21.65,21.65,21.65,230
20220629,21.6,21.6,21.31,21.32,1310
20220630,21.42,21.42,21.08,21.08,1041
20220701,20.99,20.99,20.89,20.89,346
20220704,21.19,21.19,21.15,21.15,21420
20220705,21.02,21.18,21.02,21.18,1620
20220706,21.08,21.36,21.05,21.24,860
20220707,21.34,21.34,21.34,21.34,10000
20220708,21.55,21.63,21.55,21.56,377
20220711,21.35,21.35,21.3,21.3,600
20220712,21.32,21.35,21.27,21.27,565
20220713,21.17,21.32,21.17,21.32,6700
20220714,21.42,21.42,21.42,21.42,2
20220715,21.32,21.32,21.11,21.11,980
20220718,21.26,21.5,21.26,21.5,6646
20220719,21.5,21.56,21.48,21.48,627
20220720,21.91,21.92,21.91,21.92,1114
20220721,21.95,22.11,21.95,22.11,1603
20220722,22.24,22.24,22.24,22.24,90
20220725,22.24,22.24,22.24,22.24,0
20220726,22.12,22.12,21.95,21.95,21
20220727,22.03,22.03,22.01,22.01,680
20220728,22.28,22.28,22.28,22.28,1360
20220729,22.28,22.28,22.28,22.28,0
20220801,22.28,22.28,22.28,22.28,0
20220802,22.68,22.81,22.65,22.81,467
20220803,22.8,22.8,22.8,22.8,55
20220804,22.84,22.93,22.84,22.93,89
20220805,22.92,22.98,22.84,22.98,3507
20220808,22.98,22.98,22.98,22.98,1088
