Date,Open,High,Low,Close,Volume
20241004,15.2,15.2,15.2,15.2,1400
20241007,15.2,15.2,15.2,15.2,0
20241008,15.37,15.42,15.37,15.42,975
20241009,15.52,15.55,15.52,15.52,21530
20241010,15.68,15.68,15.6,15.63,17416
20241011,15.54,15.54,15.37,15.39,56017
20241014,16.2,16.2,15.49,15.57,6762
20241015,15.79,15.79,15.73,15.75,5246
20241016,15.74,15.74,15.69,15.69,11137
20241017,15.89,15.89,15.8,15.81,2983
20241018,15.86,15.88,15.83,15.86,6479
20241021,16,16,15.9,15.93,1871
20241022,16,16,15.93,15.99,15706
20241023,15.96,15.96,15.78,15.82,2905
20241024,15.86,15.86,15.8,15.8,1946
20241025,15.88,15.9,15.88,15.9,6414
20241028,16,16.07,16,16.03,4842
20241029,16.06,16.11,16.06,16.11,2918
20241030,16.14,16.14,16.07,16.1,5303
20241031,16.09,16.09,15.95,15.95,19135
20241101,15.66,15.67,15.62,15.67,3422
20241104,15.7,15.72,15.65,15.72,5857
20241105,16,16,15.69,15.84,30396
20241106,16.1,16.43,16.1,16.43,22117
20241107,16.73,16.77,16.65,16.68,6321
20241108,16.75,16.78,16.68,16.78,3082
20241111,17.23,17.23,17.17,17.18,10255
20241112,17.46,17.51,17.42,17.5,13297
20241113,17.5,17.5,17.4,17.4,18278
20241114,17.56,17.56,17.43,17.48,3375
20241115,17.39,17.39,16.82,16.87,10110
20241118,16.85,16.99,16.85,16.88,2349
20241119,16.67,16.67,16.51,16.52,2261
20241120,16.52,16.7,16.52,16.7,4188
20241121,16.65,16.65,16.53,16.56,130234
20241122,16.76,16.79,16.75,16.79,15870
20241125,16.87,16.98,16.87,16.98,1494
20241126,16.82,16.82,16.68,16.68,5626
20241127,16.82,16.91,16.82,16.9,5788
20241128,16.87,16.88,16.87,16.87,6428
20241129,16.9,16.92,16.82,16.89,3486
20241202,16.98,16.99,16.88,16.88,2432
20241203,16.88,16.93,16.88,16.92,8266
20241204,17.09,17.22,17.09,17.19,3973
20241205,17.26,17.26,17.2,17.22,5401
20241206,17.08,17.11,17.06,17.1,6542
20241209,17.1,17.31,17.1,17.3,1565
20241210,16.82,16.85,16.73,16.85,3443
20241211,16.87,16.87,16.79,16.82,5027
20241212,16.77,16.77,16.68,16.68,7999
20241213,16.78,16.83,16.78,16.79,2461
20241216,16.81,16.96,16.81,16.92,13241
20241217,16.96,17.05,16.96,17.05,27928
20241218,17,17,16.92,16.97,2442
20241219,16.97,16.97,16.8,16.8,3927
20241220,16.88,16.88,16.77,16.77,2990
20241223,16.9,17.09,16.9,17.05,1942
20241224,17.09,17.1,17.08,17.09,1172
20241227,17.09,17.27,17.09,17.23,2959
20241230,17.5,17.5,17.08,17.08,4067
20241231,17.5,17.5,16.99,17.04,3211
20250102,17.11,17.11,17.02,17.02,709
20250103,17.02,17.02,16.98,17.01,554
20250106,17.1,17.18,17.09,17.14,5084
20250107,16.97,16.97,16.8,16.8,4059
20250108,16.88,16.88,16.76,16.76,5841
20250109,16.9,17.01,16.9,16.97,10772
20250110,17.1,17.1,16.96,17,367
20250113,17.04,17.1,17,17.06,3211
20250114,17.15,17.18,17.14,17.14,934
20250115,17.2,17.37,17.2,17.29,1489
20250116,17.44,17.44,17.3,17.33,3281
20250117,17.45,17.56,17.45,17.55,1290
