Date,Open,High,Low,Close,Volume
20221109,1.01,1.01,1.01,1.01,2501
20221110,1.01,1.01,1.01,1.01,0
20221111,1.01,1.01,1.01,1.01,0
20221114,1.05,1.05,1.05,1.05,34615
20221115,1.05,1.05,1.05,1.05,95
20221116,1.05,1.05,1.05,1.05,0
20221117,1.05,1.05,1.05,1.05,0
20221118,1.05,1.05,1.05,1.05,0
20221121,1.05,1.05,1.05,1.05,0
20221122,1.05,1.05,1.05,1.05,0
20221123,1.05,1.05,1.05,1.05,0
20221124,1.05,1.05,1.05,1.05,0
20221125,1.08,1.08,1.08,1.08,3
20221128,1.08,1.08,1.08,1.08,0
20221129,1.08,1.08,1.08,1.08,0
20221130,1.08,1.08,1.08,1.08,0
20221201,1.08,1.08,1.08,1.08,2
20221202,1.08,1.08,1.08,1.08,0
20221205,1.08,1.08,1.08,1.08,2
20221206,1.08,1.08,1.08,1.08,0
20221207,1.11,1.11,1.1,1.1,141023
20221208,1.1,1.1,1.1,1.1,0
20221209,1.1,1.1,1.1,1.1,0
20221212,1.095,1.095,1.095,1.095,14155
20221213,1.095,1.095,1.095,1.095,0
20221214,1.095,1.095,1.095,1.095,0
20221215,1.095,1.095,1.095,1.095,0
20221216,1.095,1.095,1.095,1.095,0
20221219,1.095,1.095,1.095,1.095,0
20221220,1.095,1.095,1.095,1.095,0
20221221,1.095,1.095,1.095,1.095,0
20221222,1.095,1.095,1.095,1.095,0
20221223,1.095,1.095,1.095,1.095,0
20221228,1.125,1.125,1.125,1.125,426
20221229,1.085,1.085,1.085,1.085,20
20221230,1.085,1.085,1.085,1.085,0
20230103,1.075,1.075,1.075,1.075,35500
20230104,1.105,1.105,1.105,1.105,3
20230105,1.105,1.105,1.105,1.105,0
20230106,1.105,1.105,1.105,1.105,0
20230109,1.135,1.135,1.125,1.125,470
20230110,1.125,1.125,1.125,1.125,0
20230111,1.125,1.125,1.125,1.125,0
20230112,1.13,1.13,1.13,1.13,8
20230113,1.13,1.13,1.13,1.13,0
20230116,1.13,1.13,1.13,1.13,0
20230117,1.14,1.14,1.14,1.14,35386
20230118,1.14,1.14,1.14,1.14,0
20230119,1.14,1.14,1.14,1.14,0
20230120,1.14,1.14,1.14,1.14,0
20230123,1.14,1.14,1.14,1.14,0
20230124,1.14,1.14,1.14,1.14,0
20230125,1.15,1.15,1.15,1.15,20
20230127,1.15,1.15,1.15,1.15,0
20230130,1.15,1.15,1.15,1.15,0
20230131,1.135,1.135,1.135,1.135,3
20230201,1.135,1.135,1.135,1.135,0
20230202,1.135,1.135,1.135,1.135,0
20230203,1.135,1.135,1.135,1.135,0
20230206,1.14,1.14,1.14,1.14,2000
20230207,1.14,1.14,1.14,1.14,0
20230208,1.14,1.14,1.14,1.14,0
