Date,Open,High,Low,Close,Volume
20180921,6.14,6.14,6.14,6.14,2314
20180924,6.07,6.07,6.05,6.06,12369
20180925,6.07,6.08,6.06,6.07,55949
20180926,6.1,6.14,6.09,6.13,163470
20180927,6.12,6.14,6.09,6.1,302330
20180928,6.16,6.17,6.12,6.12,165095
20181001,6.12,6.13,6.09,6.13,33926
20181002,6.1,6.11,6.02,6.05,77278
20181003,6.03,6.03,5.99,6,43622
20181004,6.02,6.02,5.96,5.96,291513
20181005,5.93,5.93,5.89,5.9,29187
20181008,5.89,5.9,5.85,5.86,47923
20181009,5.8,5.8,5.77,5.77,233156
20181010,5.71,5.77,5.69,5.73,329549
20181011,5.73,5.73,5.39,5.39,315605
20181012,5.46,5.59,5.46,5.59,336189
20181015,5.66,5.66,5.56,5.59,90285
20181016,5.54,5.57,5.52,5.53,55566
20181017,5.66,5.71,5.65,5.65,46218
20181018,5.58,5.58,5.51,5.51,59527
20181019,5.4,5.48,5.38,5.48,152986
20181022,5.47,5.55,5.42,5.54,38219
20181023,5.57,5.57,5.46,5.48,34804
20181024,5.48,5.49,5.37,5.44,51216
20181025,5.28,5.28,5.18,5.21,103299
20181026,5.31,5.35,5.18,5.21,146202
20181029,5.24,5.25,5.18,5.21,89709
20181030,5.14,5.18,5.1,5.15,61502
20181031,5.24,5.26,5.21,5.26,279187
20181101,5.37,5.41,5.34,5.4,127353
20181102,5.47,5.54,5.47,5.54,69081
20181105,5.52,5.52,5.42,5.43,127478
20181106,5.46,5.46,5.39,5.39,252158
20181107,5.49,5.49,5.41,5.47,75310
20181108,5.54,5.55,5.5,5.52,131929
20181109,5.6,5.6,5.36,5.37,164376
20181112,5.28,5.31,5.25,5.31,183274
20181113,5.23,5.26,5.18,5.24,107584
20181114,5.3,5.3,5.26,5.28,40609
20181115,5.31,5.32,5.26,5.28,243849
20181116,5.41,5.43,5.34,5.39,84937
20181119,5.35,5.35,5.29,5.33,269138
20181120,5.28,5.28,5.23,5.23,13379
20181121,5.21,5.25,5.15,5.23,110192
20181122,5.26,5.29,5.26,5.27,105379
20181123,5.29,5.3,5.23,5.25,45087
20181126,5.25,5.3,5.23,5.27,23975
20181127,5.3,5.35,5.3,5.33,33255
20181128,5.4,5.4,5.35,5.4,216394
20181129,5.49,5.49,5.44,5.45,38198
20181130,5.4,5.4,5.35,5.39,43190
20181203,5.55,5.62,5.51,5.55,168604
20181204,5.57,5.57,5.47,5.47,123194
20181205,5.38,5.45,5.38,5.44,584667
20181206,5.5,5.5,5.33,5.33,103423
20181207,5.36,5.37,5.34,5.36,54557
20181210,5.31,5.31,5.23,5.25,42888
20181211,5.29,5.29,5.25,5.25,34766
20181212,5.31,5.35,5.3,5.35,30421
20181213,5.39,5.41,5.37,5.4,44121
20181214,5.38,5.38,5.32,5.33,29583
20181217,5.32,5.34,5.29,5.34,55231
20181218,5.25,5.25,5.18,5.18,178622
20181219,5.14,5.16,5.13,5.15,35190
20181220,5.1,5.15,5.05,5.05,265010
20181221,5.07,5.1,5.03,5.1,261347
20181224,5.08,5.12,5.05,5.12,35387
20181227,5.21,5.3,5.19,5.22,50057
20181228,5.25,5.25,5.22,5.22,9516
20181231,5.22,5.32,5.22,5.27,120175
20190102,5.31,5.31,5.12,5.12,86740
20190103,5.16,5.22,5.12,5.12,15261
20190104,5.03,5.05,4.98,5.05,32964
20190107,5.12,5.15,5.1,5.1,23682
20190108,5.2,5.2,5.12,5.14,24564
20190109,5.15,5.23,5.14,5.23,9852
20190110,5.29,5.29,5.23,5.24,24901
20190111,5.29,5.29,5.24,5.25,27399
20190114,5.25,5.25,5.16,5.17,14468
20190115,5.14,5.21,5.12,5.2,36954
20190116,5.22,5.25,5.22,5.25,7365
20190117,5.3,5.33,5.3,5.33,78122
20190118,5.35,5.35,5.32,5.33,19386
20190121,5.42,5.42,5.38,5.4,20033
20190122,5.42,5.43,5.36,5.38,52787
20190123,5.33,5.33,5.31,5.32,55647
20190124,5.32,5.34,5.32,5.33,38117
20190125,5.41,5.5,5.41,5.5,32061
20190129,5.5,5.5,5.46,5.47,21551
20190130,5.47,5.5,5.45,5.49,24592
20190131,5.58,5.6,5.54,5.56,66794
20190201,5.58,5.64,5.58,5.6,19887
20190204,5.62,5.63,5.6,5.62,15184
20190205,5.68,5.68,5.61,5.63,63113
20190206,5.73,5.81,5.73,5.81,11335
20190207,5.81,5.81,5.75,5.79,71422
20190208,5.73,5.73,5.66,5.67,47811
20190211,5.72,5.72,5.68,5.72,47565
20190212,5.77,5.8,5.76,5.8,29538
20190213,5.81,5.82,5.79,5.81,51648
20190214,5.8,5.81,5.79,5.79,30003
20190215,5.81,5.81,5.74,5.75,37684
20190218,5.75,5.75,5.71,5.73,13442
20190219,5.74,5.74,5.71,5.71,35322
20190220,5.72,5.74,5.7,5.73,77930
20190221,5.76,5.82,5.72,5.82,15156
20190222,5.82,5.83,5.8,5.82,44780
20190225,5.87,5.89,5.87,5.89,60585
20190226,5.91,5.94,5.89,5.91,147688
20190227,5.88,5.91,5.86,5.88,33055
20190228,5.92,5.92,5.89,5.91,22605
20190301,5.92,5.93,5.91,5.93,3517
20190304,5.91,5.98,5.91,5.98,140967
20190305,5.95,5.98,5.91,5.96,144715
20190306,6,6.05,6,6.05,28036
20190307,6.04,6.04,5.98,5.99,30683
20190308,5.9,5.9,5.84,5.84,145122
20190311,5.81,5.87,5.78,5.87,287264
20190312,5.92,5.95,5.9,5.92,27585
20190313,5.91,5.91,5.83,5.83,38119
20190314,5.89,5.89,5.84,5.84,26504
20190315,5.83,5.88,5.81,5.87,44969
20190318,5.98,5.98,5.92,5.95,62268
20190319,6,6.06,5.95,5.95,29651
20190320,5.95,6,5.92,5.92,33237
20190321,5.92,5.95,5.9,5.9,34630
20190322,5.98,6.03,5.93,5.93,86399
20190325,5.91,5.91,5.83,5.84,66496
20190326,5.85,5.89,5.83,5.83,180452
20190327,5.84,5.89,5.81,5.89,45278
20190328,5.89,5.89,5.86,5.87,4683
20190329,5.88,5.96,5.88,5.93,23303
20190401,6.02,6.08,6.02,6.05,233043
20190402,6.09,6.14,6.08,6.11,43310
20190403,6.15,6.15,6.1,6.13,26914
20190404,6.17,6.19,6.12,6.14,32591
20190405,6.15,6.18,6.15,6.16,55125
20190408,6.24,6.26,6.18,6.18,53589
20190409,6.21,6.23,6.19,6.21,109591
20190410,6.22,6.26,6.21,6.23,58283
20190411,6.21,6.22,6.16,6.22,25100
20190412,6.16,6.19,6.16,6.18,21268
20190415,6.19,6.26,6.19,6.22,140796
20190416,6.21,6.22,6.15,6.22,22404
20190417,6.21,6.22,6.19,6.19,35523
20190418,6.22,6.26,6.19,6.19,51920
20190423,6.29,6.29,6.22,6.27,8302
20190424,6.31,6.38,6.3,6.33,75334
20190426,6.3,6.31,6.25,6.28,39804
20190429,6.28,6.28,6.26,6.28,35045
20190430,6.33,6.33,6.23,6.27,22127
20190501,6.27,6.33,6.27,6.33,21267
20190502,6.33,6.34,6.32,6.34,42188
20190503,6.34,6.38,6.31,6.38,61800
20190506,6.29,6.29,6.15,6.15,136005
20190507,6.25,6.25,6.16,6.18,71405
20190508,6.15,6.21,6.12,6.16,73042
20190509,6.16,6.16,6.08,6.08,183144
20190510,6.07,6.09,6.05,6.05,24330
20190513,6.04,6.04,5.98,6,32167
20190514,5.89,5.96,5.82,5.93,135610
20190515,6,6.04,6,6.03,3373
20190516,6.03,6.04,6,6,49774
20190517,6.02,6.02,5.94,5.94,52592
20190520,5.88,5.88,5.8,5.8,127136
20190521,5.68,5.78,5.64,5.77,95807
20190522,5.79,5.79,5.74,5.76,16088
20190523,5.75,5.75,5.66,5.67,108062
20190524,5.6,5.61,5.57,5.6,140354
20190527,5.55,5.55,5.52,5.55,43847
20190528,5.55,5.59,5.53,5.58,15671
20190529,5.52,5.52,5.47,5.5,76315
20190530,5.5,5.53,5.5,5.51,18811
20190531,5.51,5.57,5.48,5.55,75862
20190603,5.52,5.55,5.5,5.54,155906
20190604,5.54,5.54,5.47,5.47,96371
20190605,5.57,5.6,5.55,5.56,87545
20190606,5.52,5.53,5.5,5.5,54446
20190607,5.5,5.56,5.5,5.54,86682
20190611,5.67,5.77,5.67,5.76,74334
20190612,5.79,5.8,5.72,5.73,48478
20190613,5.73,5.73,5.68,5.69,50947
20190614,5.71,5.72,5.71,5.72,16786
20190617,5.72,5.72,5.67,5.69,32514
20190618,5.69,5.75,5.69,5.73,27891
20190619,5.82,5.89,5.82,5.89,123474
20190620,5.89,5.92,5.87,5.92,64680
20190621,5.95,5.95,5.88,5.88,193225
20190624,5.88,5.91,5.88,5.91,25620
20190625,5.91,5.91,5.84,5.86,60922
20190626,5.84,5.85,5.8,5.85,43686
20190627,5.87,5.94,5.87,5.93,89371
20190628,5.95,5.97,5.89,5.91,55336
20190701,5.97,6.04,5.97,6.04,61363
20190702,6.05,6.09,6.03,6.04,37394
20190703,6.05,6.05,5.97,5.97,86123
20190704,6,6.01,5.98,6.01,39268
20190705,6,6,5.97,5.99,34987
20190708,5.96,5.96,5.9,5.91,56135
20190709,5.88,5.88,5.84,5.85,48251
20190710,5.92,5.96,5.92,5.95,9150
20190711,5.98,6,5.94,5.94,241518
20190712,5.96,5.96,5.92,5.92,28668
20190715,5.92,5.94,5.89,5.93,34228
20190716,5.95,6,5.94,6,27559
20190717,6,6,5.97,5.97,9152
20190718,5.94,5.94,5.9,5.91,15750
20190719,5.92,5.96,5.92,5.92,13077
20190722,5.92,5.98,5.92,5.96,8350
20190723,6.02,6.02,6.01,6.02,23509
20190724,6.05,6.13,6.05,6.11,50671
20190725,6.11,6.17,6.11,6.17,14471
20190726,6.15,6.16,6.12,6.16,39713
20190729,6.15,6.16,6.11,6.11,31115
20190730,6.14,6.19,6.14,6.17,19682
20190731,6.14,6.14,6.05,6.08,36858
20190801,6.07,6.11,6.07,6.11,26463
20190802,5.98,6.01,5.96,5.97,32542
20190805,5.93,5.93,5.78,5.79,185260
20190806,5.61,5.74,5.54,5.72,93910
20190807,5.74,5.8,5.72,5.78,63495
20190808,5.8,5.81,5.76,5.8,22326
20190809,5.81,5.82,5.8,5.82,25305
20190812,5.81,5.84,5.8,5.84,29464
20190813,5.78,5.81,5.78,5.78,8625
20190814,5.78,5.94,5.78,5.89,97095
20190815,5.77,5.82,5.77,5.81,82711
20190816,5.82,5.86,5.82,5.86,30309
20190819,5.94,5.99,5.94,5.98,38842
