Date,Open,High,Low,Close,Volume
20200305,14.85,15,14.62,14.64,85555
20200306,14.61,14.61,14.13,14.13,22299
20200309,14.1,14.1,12.9,12.92,22389
20200310,12.27,13.31,12.12,13.25,15235
20200311,13.59,13.59,13.05,13.06,20340
20200312,12.77,12.79,11.94,12.09,19167
20200313,12,12.14,11.2,12.14,17934
20200316,12.1,12.1,11.06,11.12,12400
20200317,10.65,11.44,10.63,11.44,9773
20200318,11.16,11.16,10.45,10.66,17005
20200319,10.39,10.39,10.1,10.11,2093
20200320,10.31,10.89,10.31,10.55,8913
20200323,10,10,9.28,9.62,10100
20200324,9.7,10.12,9.7,10,3995
20200325,10.94,11,10.32,10.4,7565
20200326,10.98,11.42,10.8,11.36,8296
20200327,11.84,11.93,11,11,12974
20200330,10.97,11.7,10.97,11.7,3639
20200331,12,12.5,11.7,11.7,31044
20200401,11.95,12.11,11.85,12,3003
20200402,11.87,12,11.75,11.77,8008
20200403,12,12,11.49,11.5,9428
20200406,11.74,12,11.74,12,7428
20200407,12.45,12.51,12.2,12.31,7937
20200408,12.35,12.35,12,12.2,11655
20200409,12.55,12.75,12.5,12.74,14056
20200414,13.02,13.44,12.97,13.44,14464
20200415,13.62,13.66,13.44,13.46,19922
20200416,13.27,13.32,13.2,13.27,9798
20200417,13.5,13.75,13.5,13.6,6675
20200420,13.55,13.55,13.38,13.38,8265
20200421,13.35,13.35,12.8,12.86,20078
20200422,12.59,12.83,12.46,12.81,7184
20200423,13.02,13.1,12.81,12.81,24642
20200424,12.99,13,12.9,12.96,10701
20200427,13.02,13.45,13.02,13.45,41788
20200428,13.56,13.63,13.48,13.48,43638
20200429,13.59,13.7,13.47,13.68,20417
20200430,14,14.3,13.96,14.3,60727
20200501,14.25,14.25,13.81,13.83,21207
20200504,13.96,14.25,13.9,14.25,10071
20200505,14.66,14.66,14.43,14.61,15130
20200506,14.68,14.88,14.66,14.88,23971
20200507,14.88,15,14.79,14.97,48403
20200508,15.21,15.28,15.21,15.25,33877
20200511,15.45,15.57,15.37,15.57,109776
20200512,15.49,15.49,15.22,15.3,50051
20200513,15.05,15.34,14.94,15.33,25619
20200514,15.19,15.33,14.98,14.99,62149
20200515,15.1,15.15,14.75,14.83,67915
20200518,15.17,15.22,15.09,15.15,30124
20200519,15.44,15.59,15.28,15.34,34991
20200520,15.28,15.79,15.28,15.72,18875
20200521,16,16,15.72,15.8,56019
20200522,15.81,15.91,15.74,15.77,21574
20200525,15.92,16.3,15.92,16.3,58371
20200526,16.41,16.75,16.41,16.66,104291
20200527,16.67,16.67,16.3,16.3,71752
20200528,16.67,16.67,16.29,16.35,55219
20200529,16.29,16.45,16.28,16.39,24993
20200601,16.29,16.54,16.27,16.48,26431
20200602,16.5,16.74,16.5,16.72,44992
20200603,16.93,17.32,16.82,17.32,38369
20200604,17.33,17.33,16.94,17.07,63352
20200605,17.05,17.05,16.75,16.84,33867
20200609,17.1,17.1,16.69,16.7,42812
20200610,16.68,17.22,16.68,17.21,39407
20200611,17.03,17.08,16.68,16.68,116009
20200612,15.99,16.47,15.75,16.35,138617
20200615,16.34,16.61,16,16,41672
20200616,16.6,16.98,16.55,16.98,19719
20200617,17.22,17.3,17.08,17.3,42558
20200618,17.32,17.34,17.1,17.16,36594
20200619,17.41,17.62,17.25,17.5,17398
20200622,17.25,17.37,17.14,17.29,38317
20200623,17.55,17.6,17.01,17.2,57461
20200624,17.56,17.66,17.42,17.42,41949
20200625,17.15,17.3,16.9,16.91,53157
20200626,17.14,17.14,16.85,17.03,30447
20200629,16.8,17,16.7,16.75,35921
20200630,17.05,17.5,17,17.5,20255
20200701,17.13,17.39,17,17.18,28892
20200702,17.49,17.78,17.4,17.72,252170
20200703,17.85,18.02,17.65,17.74,65499
20200706,17.81,17.99,17.81,17.86,61854
20200707,18,18.17,17.88,17.97,95616
20200708,17.88,17.88,17.6,17.6,95720
20200709,17.79,18.28,17.74,18.08,89622
20200710,18.26,18.37,17.89,18.08,75443
20200713,18.22,18.22,17.6,17.72,71648
20200714,17.64,17.64,17.14,17.15,82196
20200715,17.51,17.65,17.4,17.6,27735
20200716,17.98,17.98,17.51,17.55,26459
20200717,17.54,17.7,17.32,17.5,20362
20200720,17.5,17.7,17.5,17.65,29780
20200721,17.91,18.59,17.91,18.59,48552
20200722,18.56,18.56,18.14,18.21,69381
20200723,18.21,18.28,18.04,18.19,36543
20200724,17.97,18,17.7,17.8,86822
20200727,17.85,18.06,17.74,18.01,30597
20200728,18.2,18.2,17.81,18.08,35977
20200729,17.82,17.82,17.5,17.51,39227
20200730,17.73,17.97,17.68,17.96,40532
20200731,18,18.07,17.54,17.63,50901
20200803,17.49,17.62,17.4,17.56,30425
20200804,17.9,18.25,17.9,18.11,41950
20200805,18,18.06,17.87,18.06,11451
20200806,18.12,18.17,17.97,18.05,24394
20200807,18.06,18.2,17.98,18.05,25396
20200810,17.95,18.34,17.95,18.29,12244
20200811,18.29,18.29,17.98,18,83665
20200812,17.88,17.88,17.65,17.72,36743
20200813,17.83,18.09,17.8,17.84,43931
20200814,17.85,18.37,17.85,18.37,17900
20200817,18.34,18.34,18.14,18.16,26771
20200818,18.33,18.62,18.33,18.55,21262
20200819,18.74,19.04,18.73,19.04,98149
20200820,19.2,19.25,19,19.07,33005
20200821,19.35,19.39,19.18,19.29,43564
20200824,19.4,19.98,19.22,19.98,60062
20200825,20.09,20.33,19.89,20.14,88595
20200826,20.19,20.19,20,20.06,58852
20200827,20.15,20.21,19.79,20.12,107712
20200828,20.01,20.01,19.6,19.7,79418
20200831,19.71,20.1,19.61,19.97,42177
20200901,19.76,19.76,19.33,19.54,82278
20200902,19.48,19.81,19.25,19.63,55483
20200903,19.76,20.09,19.6,19.66,39986
20200904,19,19.01,18.69,18.7,74687
20200907,18.4,18.66,18.28,18.57,84780
20200908,18.85,18.9,18.53,18.6,25098
20200909,18.06,18.21,17.95,18.1,70455
20200910,18.38,18.72,18.3,18.37,69923
20200911,18.15,18.22,18.03,18.15,50366
20200914,18.2,18.34,17.8,18.34,43671
20200915,18.21,18.34,18.17,18.23,28270
20200916,18.5,18.8,18.5,18.8,25585
20200917,18.88,18.89,18.3,18.3,25388
20200918,18.45,18.58,18.34,18.53,22008
20200921,18.54,18.54,18.2,18.24,13732
20200922,18.23,18.62,18.11,18.59,11748
20200923,18.82,19.15,18.81,19.11,26065
20200924,18.7,18.75,18.53,18.57,39104
20200925,18.62,18.76,18.5,18.62,191601
20200928,18.72,19.05,18.72,19.05,120312
20200929,19.15,19.35,19.1,19.35,30356
20200930,19.26,19.27,19.02,19.06,39137
20201001,19.16,19.3,19.1,19.1,13522
20201002,19.19,19.47,18.95,18.95,20171
20201005,19.15,19.19,19.05,19.19,4415
20201006,19.35,19.64,19.25,19.56,21704
20201007,19.55,19.95,19.5,19.95,17745
20201008,20.06,20.4,20.06,20.4,36851
20201009,20.42,20.66,20.35,20.66,59160
20201012,20.64,20.91,20.6,20.91,14660
20201013,21.26,21.32,21.11,21.15,25213
20201014,21.23,21.44,21.15,21.38,27553
20201015,21.5,21.5,21.13,21.17,38162
20201016,21.17,21.29,21.1,21.19,22676
20201019,21.38,21.59,21.32,21.54,21406
20201020,21.5,21.92,21.43,21.76,38706
20201021,21.99,21.99,21.52,21.62,44540
20201022,21.61,21.61,21.25,21.54,41114
20201023,21.69,21.69,21.39,21.42,25211
20201026,21.52,21.8,21.26,21.26,37088
20201027,21,21.01,20.57,20.71,57312
20201028,20.65,21.19,20.57,21,165332
20201029,20.55,20.7,20.43,20.62,173450
20201030,20.75,20.85,20.09,20.49,44387
20201102,20.03,20.26,19.93,20.15,62675
20201103,20.37,20.7,20.3,20.47,19571
20201104,20.65,21.07,20.38,21,66953
20201105,21.31,21.55,21.3,21.4,35506
20201106,21.7,21.71,21.26,21.26,87948
20201109,21.64,22.1,21.64,22.1,48463
20201110,22.22,22.22,20.74,21,146229
20201111,21.09,21.45,20.96,21.35,52702
20201112,21.56,21.94,21.48,21.48,58425
20201113,21.45,21.65,21.42,21.64,39048
20201116,22,22,21.7,21.7,5487
20201117,21.81,21.85,21.19,21.19,84488
20201118,21.34,21.34,21.18,21.24,23734
20201119,21.25,21.34,21.1,21.34,28717
20201120,21.39,21.65,21.39,21.46,42693
20201123,21.5,21.67,21.35,21.5,48015
20201124,21.69,22.05,21.59,22.05,20481
20201125,22.04,22.08,21.37,21.4,74512
20201126,21.4,21.59,21.38,21.48,159544
20201127,21.5,21.74,21.25,21.37,35937
20201130,21.55,21.78,21.38,21.55,43073
20201201,21.68,21.85,21.5,21.75,51760
20201202,21.9,21.92,21.54,21.67,47326
20201203,21.8,21.8,21.5,21.53,30707
20201204,21.5,21.66,21.45,21.5,23358
20201207,21.73,22.01,21.57,21.66,37830
20201208,21.71,21.88,21.68,21.8,25188
20201209,21.95,22.13,21.94,22.09,52432
20201210,21.93,21.93,21.57,21.64,167143
20201211,21.6,21.93,21.6,21.85,29170
20201214,21.88,22.35,21.88,22.35,52539
20201215,22.27,22.56,22.08,22.23,93790
20201216,22.53,22.82,22.48,22.79,29958
20201217,22.95,23.4,22.95,23.38,16400
20201218,23.45,23.45,22.92,23.14,42962
20201221,23.4,23.4,22.74,22.84,27214
20201222,22.86,22.86,22.5,22.61,35575
20201223,22.79,23.07,22.79,22.84,60750
20201224,22.9,23.04,22.9,22.95,9189
20201229,23.1,23.33,23.09,23.33,23646
20201230,23.31,23.35,23.03,23.08,10140
20201231,23.15,23.25,23.05,23.05,13689
20210104,23.24,23.31,23.07,23.21,50758
20210105,23.18,23.34,23.05,23.28,48200
20210106,23.18,23.21,22.51,22.6,50675
20210107,22.68,22.69,21.98,22.05,51844
20210108,22.27,22.44,22.23,22.44,28696
20210111,22.45,22.45,22.09,22.09,37803
20210112,21.99,22.18,21.88,21.91,23154
20210113,21.9,21.9,21.61,21.73,28541
20210114,21.81,22.39,21.81,22.34,12711
20210115,22.4,22.83,22.39,22.78,26331
20210118,22.7,23.09,22.68,22.83,28991
20210119,23.02,23.15,22.92,23.15,9609
20210120,23.24,23.67,23.24,23.67,24329
20210121,23.87,24.19,23.7,24.12,44121
20210122,24.24,24.24,23.72,23.72,72838
20210125,23.93,24.15,23.8,24.01,24365
20210127,24.04,24.47,24.01,24.3,29767
20210128,23.92,23.92,23.27,23.36,56365
20210129,23.9,23.9,23.18,23.22,27641
20210201,23.05,23.2,22.53,23.1,36530
20210202,23.51,24.07,23.5,23.91,65185
20210203,24.08,24.34,24.08,24.18,22347
20210204,24.18,24.25,24.08,24.08,18635
20210205,24.34,24.5,24.33,24.5,12614
20210208,24.62,24.92,24.55,24.76,20020
20210209,24.77,25,24.55,24.57,23618
20210210,24.67,25.07,24.55,25,35803
20210211,25.08,25.08,24.6,24.78,37520
20210212,24.61,24.9,24.5,24.63,23481
20210215,24.78,24.91,24.65,24.83,24525
20210216,25.07,25.07,24.51,25,58522
20210217,24.71,24.71,24.02,24.28,43569
20210218,24.3,24.45,24.15,24.25,33215
20210219,24.42,24.6,24.24,24.3,33178
20210222,24.21,24.23,24.01,24.05,45643
20210223,23.85,23.85,22.9,23.06,86338
20210224,23,23,22.32,22.4,66993
20210225,22.5,22.7,22.11,22.38,56281
20210226,22,22.01,21.09,21.5,123627
20210301,21.61,22.26,21.61,22.08,34428
20210302,22.57,22.7,21.94,21.94,35371
20210303,21.92,21.92,21.6,21.8,44050
20210304,21.64,21.64,21.26,21.31,72479
20210305,21,21.11,20.51,20.95,68563
20210308,21.26,21.52,20.79,20.83,48815
20210309,20.6,20.6,20.01,20.55,148809
20210310,21.06,21.48,21.06,21.19,81471
20210311,21.29,21.29,20.53,21.25,58702
20210312,21.26,21.55,21.25,21.47,46783
20210315,21.5,21.5,21.11,21.26,29016
20210316,21.4,21.77,21.24,21.77,51372
20210317,21.79,21.86,21.57,21.86,33978
20210318,21.86,21.92,21.6,21.66,32816
20210319,21.4,21.6,21.18,21.56,22200
20210322,21.24,21.72,21.24,21.65,40930
20210323,21.7,21.76,21.45,21.45,10735
20210324,21.45,21.73,21.39,21.57,18631
20210325,21.5,21.5,21.2,21.3,15599
20210326,21.31,21.72,21.31,21.72,17238
20210329,21.75,21.75,21,21,90617
20210330,21.15,21.25,20.91,20.91,21746
20210331,20.91,21.23,20.91,21.23,21566
20210401,21.28,21.63,21.26,21.63,189892
20210406,22.08,22.59,22.08,22.59,57428
20210407,22.63,22.92,22.63,22.71,38527
20210408,23,23,22.85,22.99,34170
20210409,23.1,23.3,23.06,23.22,64182
20210412,23.24,23.33,23.12,23.23,15505
20210413,23.34,23.55,23.3,23.44,40643
20210414,23.99,23.99,23.71,23.9,25605
20210415,23.71,23.9,23.55,23.85,24948
20210416,24,24.06,23.87,24.01,58573
20210419,24,24.04,23.8,23.8,46277
20210420,23.94,23.94,23.65,23.66,16446
20210421,23.5,23.5,23.04,23.19,18267
20210422,23.26,23.45,23.26,23.44,11840
20210423,23.4,23.5,23.33,23.46,7310
20210426,23.53,23.53,23.3,23.33,21157
20210427,23.39,23.39,22.92,22.92,24305
20210428,23,23.04,22.77,23.02,25432
20210429,23.34,23.48,23.03,23.4,31562
20210430,23.4,23.4,23.07,23.07,14353
20210503,23.2,23.2,22.72,22.73,17710
20210504,22.84,22.84,22.35,22.41,57525
20210505,22.23,22.32,22.08,22.17,21830
20210506,22.17,22.17,21.48,21.52,27756
20210507,21.6,21.6,21.15,21.19,16238
20210510,21.2,21.4,21.2,21.4,17631
20210511,21.16,21.16,20.54,20.54,44404
20210512,20.54,21.09,20.5,20.73,22614
20210513,20.44,20.44,19.87,19.94,52489
20210514,20.01,20.2,19.92,19.99,14170
20210517,20.47,20.47,19.97,20.15,22918
20210518,20.22,20.22,19.98,20.12,16220
20210519,20.02,20.02,19.75,19.9,31524
20210520,20,20.55,20,20.49,23737
20210521,21,21.05,20.71,20.78,16768
20210524,20.89,20.95,20.7,20.83,7911
20210525,20.99,21.2,20.96,21.07,18273
20210526,21.19,21.5,21.1,21.37,16245
20210527,21.5,21.66,21.24,21.65,25251
20210528,21.81,21.89,21.6,21.64,13609
20210531,21.7,21.72,21.47,21.5,21838
20210601,21.5,21.53,21.28,21.52,19053
20210602,21.58,21.58,21.21,21.28,19806
20210603,21.33,21.52,21.3,21.5,13876
20210604,21.4,21.45,21.26,21.45,17642
20210607,21.5,21.88,21.5,21.79,195075
20210608,21.81,22.08,21.81,22.06,40091
20210609,22.06,22.32,21.97,22.01,39344
20210610,22.05,22.4,22.05,22.39,26227
20210611,22.4,22.8,22.4,22.68,17301
20210615,22.71,23.01,22.71,22.94,31047
20210616,22.97,22.97,22.75,22.93,19912
20210617,22.89,23,22.68,22.97,20572
20210618,23.21,23.83,23.21,23.63,62320
20210621,23.47,23.53,23.26,23.52,33672
20210622,23.64,23.76,23.52,23.67,31972
20210623,23.85,23.98,23.7,23.7,40431
20210624,23.99,24.27,23.96,24.12,22876
20210625,24.3,24.3,24.06,24.13,34686
20210628,24.15,24.16,23.5,23.6,19131
20210629,23.83,23.83,23.59,23.71,7355
20210630,23.84,23.91,23.66,23.66,23216
20210701,23.13,23.13,22.92,23.06,23638
20210702,23.36,23.36,22.85,23,31853
20210705,23.5,23.5,22.83,22.88,34352
20210706,22.8,23,22.47,22.47,46303
20210707,22.42,23.05,22.42,23.05,23378
