Date,Open,High,Low,Close,Volume
20170130,15.45,15.45,15.45,15.45,100
20170131,15.45,15.45,15.45,15.45,0
20170201,15.45,15.45,15.45,15.45,0
20170202,15.45,15.45,15.45,15.45,0
20170203,15.9,15.9,15.9,15.9,300
20170206,15.95,15.95,15.95,15.95,100
20170207,15.95,15.95,15.95,15.95,0
20170208,15.95,15.95,15.95,15.95,0
20170209,15.95,15.95,15.95,15.95,0
20170210,15.95,15.95,15.95,15.95,0
20170213,15.95,15.95,15.95,15.95,0
20170214,15.86,15.98,15.86,15.98,4833
20170215,15.98,15.98,15.98,15.98,0
20170216,15.98,15.98,15.98,15.98,0
20170217,15.98,15.98,15.98,15.98,0
20170220,15.94,15.94,15.94,15.94,35
20170221,15.94,15.94,15.94,15.94,0
20170222,15.94,15.94,15.94,15.94,0
20170223,15.94,15.94,15.94,15.94,0
20170224,15.94,15.94,15.94,15.94,0
20170227,16.06,16.06,16.06,16.06,1200
20170228,16.06,16.06,16.06,16.06,0
20170301,16.06,16.06,16.06,16.06,0
20170302,16.06,16.06,16.06,16.06,0
20170303,15.49,15.49,15.49,15.49,1000
20170306,15.58,15.58,15.58,15.58,1000
20170307,15.58,15.58,15.58,15.58,0
20170308,15.58,15.58,15.58,15.58,0
20170309,15.58,15.58,15.58,15.58,0
20170310,15.58,15.58,15.58,15.58,0
20170313,15.58,15.58,15.58,15.58,0
20170314,15.58,15.58,15.58,15.58,0
20170315,15.58,15.58,15.58,15.58,0
20170316,15.58,15.58,15.58,15.58,0
20170317,15.58,15.58,15.58,15.58,0
20170320,15.58,15.58,15.58,15.58,0
20170321,15.58,15.58,15.58,15.58,0
20170322,15.93,15.93,15.93,15.93,200
20170323,15.93,15.93,15.93,15.93,0
20170324,15.93,15.93,15.93,15.93,0
20170327,15.93,15.93,15.93,15.93,0
20170328,15.93,15.93,15.93,15.93,0
20170329,15.93,15.93,15.93,15.93,0
20170330,15.93,15.93,15.93,15.93,0
20170331,15.83,15.83,15.83,15.83,2523
20170403,15.83,15.83,15.83,15.83,0
20170404,15.83,15.83,15.83,15.83,0
20170405,15.83,15.83,15.83,15.83,0
20170406,15.83,15.83,15.83,15.83,0
20170407,15.83,15.83,15.83,15.83,0
20170410,15.83,15.83,15.83,15.83,0
20170411,15.83,15.83,15.83,15.83,0
20170412,15.83,15.83,15.83,15.83,0
20170413,15.42,15.42,15.42,15.42,330
20170418,15.42,15.42,15.42,15.42,0
20170419,15.42,15.42,15.42,15.42,0
20170420,15.42,15.42,15.42,15.42,0
20170421,15.42,15.42,15.42,15.42,0
20170424,15.42,15.42,15.42,15.42,0
20170426,15.43,15.43,15.43,15.43,64
20170427,15.11,15.17,15.11,15.17,989
20170428,15.17,15.17,15.17,15.17,0
20170501,15.17,15.17,15.17,15.17,0
20170502,15.38,15.38,15.38,15.38,659
20170503,15.38,15.38,15.38,15.38,0
20170504,15.38,15.38,15.38,15.38,0
20170505,15.38,15.38,15.38,15.38,0
20170508,14.69,14.85,14.69,14.85,2700
20170509,14.59,14.59,14.54,14.54,1843
20170510,14.54,14.54,14.54,14.54,0
20170511,14.54,14.54,14.54,14.54,0
20170512,14.54,14.54,14.54,14.54,0
20170515,14.75,14.75,14.75,14.75,350
20170516,14.75,14.75,14.75,14.75,0
20170517,14.75,14.75,14.75,14.75,0
20170518,14.97,14.97,14.97,14.97,343
20170519,14.97,14.97,14.97,14.97,0
20170522,14.97,14.97,14.97,14.97,0
20170523,14.97,14.97,14.97,14.97,0
20170524,14.97,14.97,14.97,14.97,0
20170525,14.97,14.97,14.97,14.97,0
20170526,14.97,14.97,14.97,14.97,0
20170529,14.97,14.97,14.97,14.97,0
20170530,14.97,14.97,14.97,14.97,0
20170531,14.97,14.97,14.97,14.97,0
20170601,14.97,14.97,14.97,14.97,0
20170602,14.64,14.72,14.64,14.72,2340
20170605,14.89,14.89,14.89,14.89,340
20170606,14.89,14.89,14.89,14.89,0
20170607,14.89,14.89,14.89,14.89,0
20170608,14.89,14.89,14.89,14.89,0
20170609,15.44,15.44,15.44,15.44,518
20170613,15.44,15.44,15.44,15.44,0
20170614,15.44,15.44,15.44,15.44,0
20170615,15.86,15.86,15.8,15.8,60000
20170616,15.66,15.66,15.66,15.66,750
20170619,15.66,15.66,15.66,15.66,0
20170620,15.72,15.72,15.72,15.72,750
20170621,15.72,15.72,15.72,15.72,0
20170622,15.72,15.72,15.72,15.72,0
20170623,15.72,15.72,15.72,15.72,0
20170626,15.72,15.72,15.72,15.72,0
20170627,15.72,15.72,15.72,15.72,0
20170628,15.72,15.72,15.72,15.72,0
20170629,15.98,15.98,15.98,15.98,10000
20170630,15.98,15.98,15.98,15.98,0
20170703,15.98,15.98,15.98,15.98,0
20170704,15.98,15.98,15.98,15.98,0
20170705,15.49,15.49,15.49,15.49,326
20170706,15.49,15.49,15.49,15.49,0
20170707,15.49,15.49,15.49,15.49,0
20170710,15.49,15.49,15.49,15.49,0
20170711,15.49,15.49,15.49,15.49,0
20170712,15.49,15.49,15.49,15.49,0
20170713,15.82,15.82,15.82,15.82,1264
20170714,16.03,16.03,16.02,16.02,1751
20170717,16.39,16.41,16.39,16.41,1252
20170718,16.56,16.72,16.56,16.72,20711
20170719,16.86,16.86,16.85,16.86,994
20170720,16.86,16.86,16.86,16.86,0
20170721,16.79,16.79,16.79,16.79,10000
20170724,16.79,16.84,16.79,16.84,2210
20170725,16.84,16.84,16.84,16.84,0
20170726,16.84,16.84,16.84,16.84,0
20170727,17.18,17.18,17.18,17.18,200
20170728,17.07,17.07,17.07,17.07,291
20170731,17.07,17.07,17.07,17.07,0
20170801,17.25,17.25,17.25,17.25,594
20170802,16.98,16.98,16.98,16.98,580
20170803,16.88,16.88,16.88,16.88,593
20170804,16.88,16.88,16.88,16.88,0
20170807,16.89,16.89,16.89,16.89,619
20170808,16.87,16.87,16.87,16.87,120
20170809,16.87,16.87,16.87,16.87,0
20170810,16.87,16.87,16.87,16.87,0
20170811,16.87,16.87,16.87,16.87,0
20170814,16.69,16.69,16.69,16.69,146
20170815,16.69,16.69,16.69,16.69,0
20170816,16.32,16.32,16.32,16.32,539
20170817,16.89,16.89,16.89,16.89,15000
20170818,16.89,16.89,16.89,16.89,0
20170821,16.89,16.89,16.89,16.89,0
20170822,16.89,16.89,16.89,16.89,0
20170823,16.89,16.89,16.89,16.89,0
20170824,16.67,16.67,16.67,16.67,300
20170825,16.67,16.67,16.67,16.67,0
20170828,16.9,16.9,16.9,16.9,200
20170829,16.83,16.83,16.83,16.83,125
20170830,16.99,17.08,16.99,17.08,1993
20170831,16.77,16.77,16.77,16.77,450
20170901,16.95,16.95,16.95,16.95,3000
20170904,17.04,17.04,17.04,17.04,300
20170905,17.04,17.04,17.04,17.04,0
20170906,17.19,17.26,17.19,17.25,30075
20170907,17.22,17.22,17.16,17.16,7329
20170908,17.44,17.71,17.44,17.71,3241
20170911,17.42,17.42,17.38,17.38,329
20170912,17.28,17.28,17.28,17.28,2000
20170913,17.32,17.33,17.32,17.33,3427
20170914,17.08,17.2,17.08,17.2,30450
20170915,17.17,17.17,17.17,17.17,300
20170918,17.17,17.17,17.17,17.17,0
20170919,17.17,17.17,17.17,17.17,0
20170920,17.24,17.24,17.24,17.24,300
20170921,17.24,17.24,17.19,17.19,20400
20170922,17.19,17.19,17.19,17.19,0
20170925,17,17,17,17,50
20170926,17,17,17,17,0
20170927,17,17,17,17,0
20170928,16.5,16.5,16.4,16.4,959
20170929,16.46,16.46,16.46,16.46,2000
20171002,16.41,16.41,16.4,16.4,1100
20171003,16.22,16.24,16.22,16.24,1711
20171004,16.5,16.5,16.5,16.5,2109
20171005,16.41,16.41,16.41,16.41,3000
20171006,16.19,16.19,15.98,15.98,2000
20171009,16.1,16.1,16.1,16.1,710
20171010,16.15,16.15,16.15,16.15,1750
20171011,16.22,16.22,16.15,16.15,31850
20171012,16.15,16.15,16.15,16.15,0
20171013,16.15,16.15,16.15,16.15,0
