Date,Open,High,Low,Close,Volume
20161026,24.51,24.51,24.51,24.51,40
20161027,24.51,24.51,24.51,24.51,0
20161028,24.51,24.51,24.51,24.51,0
20161031,24.51,24.51,24.51,24.51,0
20161101,24.51,24.51,24.51,24.51,0
20161102,24.25,24.25,24.25,24.25,1000
20161103,24.25,24.25,24.25,24.25,0
20161104,24.25,24.25,24.25,24.25,0
20161107,24.25,24.25,24.25,24.25,0
20161108,24.25,24.25,24.25,24.25,0
20161109,24.25,24.25,24.25,24.25,0
20161110,24.25,24.25,24.25,24.25,0
20161111,24.55,24.55,24.55,24.55,207
20161114,24.55,24.55,24.55,24.55,0
20161115,24.55,24.55,24.55,24.55,0
20161116,24.55,24.55,24.55,24.55,0
20161117,24.55,24.55,24.55,24.55,0
20161118,24.55,24.55,24.55,24.55,0
20161121,24.55,24.55,24.55,24.55,0
20161122,24.55,24.55,24.55,24.55,0
20161123,24.55,24.55,24.55,24.55,0
20161124,24.55,24.55,24.55,24.55,0
20161125,24.55,24.55,24.55,24.55,0
20161128,24.55,24.55,24.55,24.55,0
20161129,24.55,24.55,24.55,24.55,0
20161130,24.8,24.8,24.8,24.8,500
20161201,24.8,24.8,24.8,24.8,0
20161202,24.8,24.8,24.8,24.8,0
20161205,24.8,24.8,24.8,24.8,0
20161206,24.8,24.8,24.8,24.8,0
20161207,24.67,24.67,24.67,24.67,5633
20161208,24.67,24.67,24.67,24.67,0
20161209,24.67,24.67,24.67,24.67,0
20161212,24.67,24.67,24.67,24.67,0
20161213,24.67,24.67,24.67,24.67,0
20161214,24.67,24.67,24.67,24.67,0
20161215,24.67,24.67,24.67,24.67,0
20161216,24.67,24.67,24.67,24.67,0
20161219,24.67,24.67,24.67,24.67,0
20161220,24.67,24.67,24.67,24.67,0
20161221,24.67,24.67,24.67,24.67,0
20161222,24.67,24.67,24.67,24.67,0
20161223,24.67,24.67,24.67,24.67,0
20161228,24.67,24.67,24.67,24.67,0
20161229,24.67,24.67,24.67,24.67,0
20161230,24.67,24.67,24.67,24.67,0
20170103,24.67,24.67,24.67,24.67,0
20170104,24.67,24.67,24.67,24.67,0
20170105,24.67,24.67,24.67,24.67,0
20170106,26.22,26.22,26.22,26.22,100
20170109,26.22,26.22,26.22,26.22,0
20170110,26.2,26.2,26.2,26.2,1900
20170111,26.2,26.2,26.2,26.2,0
20170112,26.2,26.2,26.2,26.2,0
20170113,26.2,26.2,26.2,26.2,0
20170116,26.2,26.2,26.2,26.2,0
20170117,26.2,26.2,26.2,26.2,0
20170118,26.2,26.2,26.2,26.2,0
20170119,26.2,26.2,26.2,26.2,0
20170120,26.2,26.2,26.2,26.2,0
20170123,26.2,26.2,26.2,26.2,0
20170124,26.2,26.2,26.2,26.2,0
20170125,26.03,26.03,25.95,25.95,169
20170127,26.04,26.04,26.04,26.04,1400
20170130,26.04,26.04,26.04,26.04,0
20170131,25.63,25.63,25.63,25.63,895
20170201,25.63,25.63,25.63,25.63,0
20170202,25.63,25.63,25.63,25.63,0
20170203,25.63,25.63,25.63,25.63,0
20170206,25.63,25.63,25.63,25.63,0
20170207,25.63,25.63,25.63,25.63,175
20170208,25.86,25.9,25.86,25.9,3000
20170209,25.9,25.9,25.9,25.9,127
20170210,25.9,25.9,25.9,25.9,0
20170213,25.9,25.9,25.9,25.9,0
20170214,26.5,26.5,26.5,26.5,1000
20170215,26.68,26.68,26.68,26.68,7700
20170216,26.68,26.68,26.68,26.68,0
20170217,26.75,26.75,26.75,26.75,37
20170220,26.75,26.75,26.75,26.75,0
20170221,26.44,26.44,26.44,26.44,1400
20170222,26.44,26.44,26.44,26.44,0
20170223,26.44,26.44,26.44,26.44,0
20170224,26.44,26.44,26.44,26.44,0
20170227,26.44,26.44,26.44,26.44,0
20170228,26.44,26.44,26.44,26.44,0
20170301,26.44,26.44,26.44,26.44,0
20170302,26.44,26.44,26.44,26.44,0
20170303,26.44,26.44,26.44,26.44,0
20170306,26.44,26.44,26.44,26.44,0
20170307,26.44,26.44,26.44,26.44,0
20170308,26.44,26.44,26.44,26.44,0
20170309,26.44,26.44,26.44,26.44,0
20170310,26.63,26.63,26.63,26.63,2878
20170313,26.63,26.63,26.63,26.63,0
20170314,26.63,26.63,26.63,26.63,0
20170315,26.63,26.63,26.63,26.63,0
20170316,26.63,26.63,26.63,26.63,0
20170317,26.63,26.63,26.63,26.63,0
20170320,26.63,26.63,26.63,26.63,0
20170321,26.63,26.63,26.63,26.63,0
20170322,26.63,26.63,26.63,26.63,0
20170323,26.49,26.49,26.49,26.49,900
20170324,26.52,26.52,26.52,26.52,100
20170327,26.45,26.45,26.45,26.45,265
20170328,26.75,26.75,26.75,26.75,373
20170329,27.06,27.06,27.06,27.06,184
20170330,27.06,27.06,27.06,27.06,50
20170331,27.05,27.05,27.05,27.05,450
20170403,27.05,27.05,27.05,27.05,0
20170404,27.05,27.05,27.05,27.05,0
20170405,27.05,27.05,27.05,27.05,0
20170406,27.05,27.05,27.05,27.05,0
20170407,27.05,27.05,27.05,27.05,0
20170410,27.05,27.05,27.05,27.05,0
20170411,27.05,27.05,27.05,27.05,0
20170412,27.05,27.05,27.05,27.05,0
20170413,27,27,27,27,75
20170418,27,27,27,27,0
20170419,27,27,27,27,0
20170420,27,27,27,27,0
20170421,27,27,27,27,0
20170424,27,27,27,27,0
20170426,27,27,27,27,0
20170427,27,27,27,27,0
20170428,27,27,27,27,0
20170501,27,27,27,27,0
20170502,27,27,27,27,0
20170503,27.31,27.31,27.31,27.31,369
20170504,27.31,27.31,27.31,27.31,0
20170505,27.31,27.31,27.31,27.31,0
20170508,27.31,27.31,27.31,27.31,0
20170509,27.31,27.31,27.31,27.31,0
20170510,27.31,27.31,27.31,27.31,0
20170511,27.31,27.31,27.31,27.31,0
20170512,27.31,27.31,27.31,27.31,0
20170515,27.31,27.31,27.31,27.31,0
20170516,27.31,27.31,27.31,27.31,0
20170517,26.81,26.81,26.81,26.81,1000
20170518,26.58,26.58,26.58,26.58,932
20170519,26.5,26.5,26.5,26.5,200
20170522,26.5,26.5,26.5,26.5,0
20170523,26.72,26.75,26.72,26.75,3787
20170524,26.67,26.67,26.67,26.67,1000
20170525,26.67,26.67,26.67,26.67,0
20170526,26.67,26.67,26.67,26.67,0
20170529,26.5,26.5,26.26,26.26,4975
20170530,26.22,26.22,26.22,26.22,30
20170531,26.22,26.22,26.22,26.22,0
20170601,26.39,26.39,26.39,26.39,495
20170602,26.39,26.39,26.39,26.39,0
20170605,26.48,26.48,26.48,26.48,2000
20170606,26.48,26.48,26.48,26.48,0
20170607,26.48,26.48,26.48,26.48,0
20170608,26.48,26.48,26.48,26.48,0
20170609,26.48,26.48,26.48,26.48,0
20170613,26.48,26.48,26.48,26.48,0
20170614,26.48,26.48,26.48,26.48,0
20170615,26.48,26.48,26.48,26.48,0
20170616,26.48,26.48,26.48,26.48,0
20170619,26.48,26.48,26.48,26.48,0
20170620,26.48,26.48,26.48,26.48,0
20170621,26.48,26.48,26.48,26.48,61
20170622,26.48,26.48,26.48,26.48,0
20170623,26.48,26.48,26.48,26.48,0
20170626,26.48,26.48,26.48,26.48,0
20170627,26.48,26.48,26.48,26.48,0
20170628,26.48,26.48,26.48,26.48,0
20170629,27.19,27.23,27.19,27.23,6458
20170630,26.9,26.9,26.87,26.89,15774
20170703,26.34,26.34,26.34,26.34,200
20170704,26.56,26.56,26.56,26.56,4
20170705,26.56,26.56,26.56,26.56,0
20170706,26.41,26.41,26.41,26.41,3590
20170707,26.13,26.13,26.13,26.13,20
20170710,26.13,26.13,26.13,26.13,0
20170711,26.13,26.13,26.13,26.13,0
20170712,26.13,26.13,26.13,26.13,0
20170713,26.13,26.13,26.13,26.13,0
20170714,26.54,26.54,26.54,26.54,376
20170717,26.54,26.54,26.54,26.54,0
20170718,26.54,26.54,26.24,26.24,2274
20170719,26.24,26.24,26.24,26.24,0
20170720,26.5,26.5,26.5,26.5,1000
20170721,26.35,26.35,26.35,26.35,1000
20170724,26.35,26.35,26.35,26.35,0
20170725,26.35,26.35,26.35,26.35,0
20170726,26.35,26.35,26.35,26.35,0
20170727,26.35,26.35,26.35,26.35,0
20170728,26.35,26.35,26.35,26.35,0
20170731,26.35,26.35,26.35,26.35,33
20170801,26.35,26.35,26.35,26.35,0
20170802,26.35,26.35,26.35,26.35,0
20170803,26.35,26.35,26.35,26.35,0
20170804,26.35,26.35,26.35,26.35,0
20170807,26.35,26.35,26.35,26.35,0
20170808,26.68,26.68,26.68,26.68,2342
