Date,Open,High,Low,Close,Volume
20151110,14.7,14.7,14.7,14.7,678
20151111,14.75,14.75,14.75,14.75,1775
20151112,14.76,14.78,14.73,14.78,1223
20151113,14.68,14.68,14.68,14.68,88
20151116,14.68,14.68,14.68,14.68,0
20151117,14.68,14.68,14.68,14.68,0
20151118,14.68,14.68,14.68,14.68,0
20151119,14.68,14.68,14.68,14.68,0
20151120,14.68,14.68,14.68,14.68,0
20151123,15.01,15.01,15.01,15.01,700
20151124,15.01,15.01,15.01,15.01,0
20151125,14.93,14.93,14.93,14.93,35000
20151126,14.94,14.94,14.92,14.92,36000
20151127,14.92,14.92,14.92,14.92,3300
20151130,14.92,14.92,14.92,14.92,0
20151201,14.92,14.92,14.92,14.92,0
20151202,14.92,14.92,14.92,14.92,0
20151203,14.92,14.92,14.92,14.92,0
20151204,14.79,14.8,14.79,14.8,45000
20151207,14.8,14.8,14.8,14.8,0
20151208,14.8,14.8,14.8,14.8,0
20151209,14.75,14.75,14.74,14.74,1680
20151210,14.63,14.63,14.63,14.63,1017
20151211,14.67,14.67,14.61,14.62,23724
20151214,14.51,14.51,14.51,14.51,8956
20151215,14.42,14.42,14.42,14.42,338
20151216,14.42,14.42,14.42,14.42,0
20151217,14.76,14.76,14.76,14.76,2688
20151218,14.73,14.74,14.73,14.74,4350
20151221,14.74,14.74,14.74,14.74,0
20151222,14.74,14.74,14.74,14.74,0
20151223,14.81,14.85,14.81,14.84,12688
20151224,14.84,14.84,14.84,14.84,0
20151229,14.84,14.84,14.84,14.84,0
20151230,14.84,14.84,14.84,14.84,0
20151231,14.84,14.84,14.84,14.84,0
20160104,14.84,14.84,14.84,14.84,0
20160105,14.93,14.93,14.93,14.93,802
20160106,14.93,14.93,14.93,14.93,0
20160107,14.93,14.93,14.93,14.93,0
20160108,14.93,14.93,14.93,14.93,0
20160111,14.93,14.93,14.93,14.93,0
20160112,14.5,14.5,14.5,14.5,1367
20160113,14.47,14.47,14.47,14.47,2750
20160114,14.4,14.44,14.4,14.43,5094
20160115,14.43,14.43,14.43,14.43,0
20160118,14.43,14.43,14.43,14.43,0
20160119,14.39,14.39,14.39,14.39,1110
20160120,14.38,14.38,14.38,14.38,6950
20160121,14.38,14.38,14.38,14.38,0
20160122,14.38,14.38,14.38,14.38,0
20160125,14.38,14.38,14.38,14.38,0
20160127,14.38,14.38,14.38,14.38,0
20160128,14.46,14.52,14.46,14.52,10353
20160129,14.52,14.52,14.52,14.52,6749
20160201,14.52,14.52,14.52,14.52,0
