Date,Open,High,Low,Close,Volume
20230202,10.06,10.06,10.03,10.05,2350
20230203,10.05,10.05,10.05,10.05,0
20230206,10.05,10.05,10.05,10.05,0
20230207,10.05,10.05,10.05,10.05,3000
20230208,10.05,10.05,10.05,10.05,0
20230209,10.06,10.06,10.06,10.06,7000
20230210,10.04,10.04,10.04,10.04,1019
20230213,10.03,10.03,10.03,10.03,50
20230214,10.03,10.03,10.03,10.03,0
20230215,10.01,10.04,10,10.04,15050
20230216,10.04,10.04,10.02,10.02,154
20230217,10.04,10.04,10.02,10.02,609
20230220,10.02,10.02,10.02,10.02,0
20230221,10.02,10.02,10.02,10.02,0
20230222,9.99,10.01,9.99,10.01,2000
20230223,10.01,10.01,10.01,10.01,0
20230224,10.01,10.01,10.01,10.01,0
20230227,10.03,10.03,9.96,9.96,503
20230228,9.96,9.96,9.96,9.96,0
20230301,9.96,9.96,9.96,9.96,0
20230302,9.96,9.96,9.96,9.96,0
20230303,10.09,10.09,10.09,10.09,5
20230306,10.14,10.14,10.09,10.09,3
20230307,10.09,10.09,10.09,10.09,0
20230308,10.16,10.16,10.09,10.09,5296
20230309,10.09,10.09,10.09,10.09,0
20230310,10.02,10.02,9.99,9.99,850
20230313,9.96,9.96,9.96,9.96,51
20230314,9.83,9.83,9.83,9.83,3050
20230315,9.91,9.91,9.91,9.91,3048
20230316,9.95,9.95,9.95,9.95,60
20230317,9.95,9.95,9.95,9.95,0
20230320,9.73,9.85,9.72,9.85,10002
20230321,9.86,9.88,9.86,9.88,5001
20230322,9.88,9.88,9.88,9.88,0
20230323,9.91,9.91,9.91,9.91,11
20230324,9.91,9.91,9.91,9.91,0
20230327,9.93,9.93,9.93,9.93,1
20230328,9.95,9.95,9.94,9.94,5624
20230329,9.96,9.96,9.96,9.96,100
20230330,10.02,10.02,10,10.01,1571
20230331,9.79,9.79,9.73,9.77,16
20230403,9.75,9.8,9.75,9.8,123
20230404,9.8,9.8,9.8,9.8,0
20230405,9.8,9.8,9.8,9.8,154
20230406,9.78,9.78,9.78,9.78,1021
20230411,9.78,9.78,9.78,9.78,0
20230412,9.86,9.86,9.86,9.86,15
20230413,9.84,9.84,9.84,9.84,1016
20230414,9.84,9.84,9.84,9.84,0
20230417,9.9,9.9,9.85,9.85,510
20230418,9.85,9.85,9.85,9.85,0
20230419,9.88,9.88,9.88,9.88,4
20230420,9.89,9.89,9.89,9.89,51
20230421,9.86,9.86,9.86,9.86,527
20230424,9.86,9.86,9.86,9.86,0
20230426,9.87,9.87,9.87,9.87,101
20230427,9.9,9.9,9.85,9.85,16
20230428,9.93,9.93,9.93,9.93,34
20230501,9.93,9.93,9.93,9.93,0
20230502,9.93,9.93,9.93,9.93,0
20230503,9.85,9.85,9.82,9.82,16645
20230504,9.8,9.8,9.8,9.8,1300
20230505,9.8,9.8,9.8,9.8,0
20230508,9.89,9.89,9.89,9.89,3
20230509,9.85,9.85,9.85,9.85,100
20230510,9.85,9.85,9.85,9.85,0
20230511,9.91,9.91,9.9,9.9,98
20230512,9.91,9.91,9.91,9.91,99
20230515,9.92,9.92,9.89,9.89,58
20230516,10,10,9.91,9.91,1437
20230517,9.91,9.91,9.9,9.9,377
20230518,9.92,9.92,9.92,9.92,144
20230519,9.95,9.95,9.93,9.93,6
20230522,9.93,9.93,9.93,9.93,0
20230523,9.93,9.93,9.93,9.93,0
20230524,9.93,9.93,9.93,9.93,127
20230525,9.9,9.91,9.9,9.91,142
20230526,9.9,9.91,9.9,9.9,534
20230529,9.96,9.96,9.92,9.92,8002
20230530,9.92,9.92,9.92,9.92,0
20230531,9.94,9.94,9.92,9.93,2239
20230601,9.92,9.92,9.92,9.92,900
20230602,9.94,9.94,9.94,9.94,1006
20230605,9.97,9.98,9.97,9.98,510
20230606,10.01,10.01,9.93,9.93,20
20230607,9.95,9.95,9.95,9.95,160
20230608,9.96,9.96,9.93,9.93,12058
20230609,9.98,9.98,9.97,9.97,9
20230613,10.01,10.01,9.96,9.96,116
20230614,10,10,9.97,9.97,4
20230615,9.99,10.02,9.99,10.02,5
20230616,10.02,10.02,10.02,10.02,0
20230619,10.08,10.08,10.06,10.08,2504
20230620,10.12,10.14,10.12,10.14,2113
20230621,10.1,10.1,10.1,10.1,2969
20230622,10.06,10.08,10.02,10.06,743
20230623,10.05,10.05,9.95,9.95,1097
20230626,9.93,9.93,9.9,9.9,12
20230627,9.99,9.99,9.96,9.97,91
20230628,9.99,10.04,9.99,10.04,583
20230629,10.06,10.06,10.06,10.06,500
20230630,9.81,9.81,9.76,9.76,1021
20230703,9.77,9.79,9.77,9.79,1401
20230704,9.79,9.79,9.79,9.79,0
20230705,9.79,9.79,9.79,9.79,0
20230706,9.88,9.88,9.76,9.78,21
20230707,9.62,9.65,9.62,9.62,517
20230710,9.66,9.66,9.6,9.6,4249
20230711,9.6,9.6,9.6,9.6,0
20230712,9.77,9.77,9.7,9.73,614
20230713,9.73,9.73,9.73,9.73,0
20230714,9.73,9.73,9.73,9.73,0
20230717,9.85,9.85,9.85,9.85,4
20230718,9.84,9.84,9.84,9.84,112
20230719,9.86,9.86,9.86,9.86,3
20230720,9.9,9.9,9.86,9.86,2005
20230721,9.87,9.87,9.86,9.86,38
20230724,9.86,9.88,9.86,9.88,702
20230725,9.88,9.88,9.88,9.88,706
20230726,9.91,9.93,9.91,9.92,25672
20230727,9.92,9.93,9.92,9.93,7332
20230728,9.9,10,9.9,9.95,37178
20230731,9.95,9.95,9.91,9.92,96286
20230801,9.93,9.94,9.9,9.91,12625
20230802,9.92,9.93,9.88,9.9,7334
20230803,9.93,9.93,9.87,9.87,411
20230804,9.88,10.19,9.88,10.19,8405
20230807,9.91,10.21,9.88,10.21,84592
20230808,9.92,9.93,9.91,9.93,18439
20230809,9.9,9.95,9.9,9.95,11098
20230810,9.93,9.96,9.93,9.96,10049
20230811,9.94,9.94,9.94,9.94,100
20230814,9.96,9.96,9.9,9.9,146
20230815,9.92,9.94,9.92,9.94,13417
20230816,9.89,9.89,9.89,9.89,4
20230817,9.85,9.85,9.8,9.84,1555
20230818,9.83,9.86,9.83,9.86,401
20230821,9.83,9.83,9.82,9.82,2544
