Date,Open,High,Low,Close,Volume
20240724,10.02,10.02,10.01,10.02,126793
20240725,10.03,10.03,10.01,10.02,5994
20240726,10.02,10.02,10.01,10.02,7167
20240729,10.02,10.02,10.01,10.01,4651
20240730,10.02,10.02,10.01,10.01,35902
20240731,10.02,10.04,10.01,10.04,1814
20240801,10.05,10.05,10.02,10.03,9816
20240802,10.05,10.06,10.04,10.05,2386
20240805,10.06,10.07,10.04,10.04,1099
20240806,10.06,10.06,10.04,10.04,7544
20240807,10.05,10.05,10.03,10.03,61
20240808,10.05,10.05,10.03,10.03,342
20240809,10.04,10.04,10.04,10.04,650
20240812,10.04,10.04,10.03,10.04,5348
20240813,10.04,10.05,10.04,10.04,5129
20240814,10.05,10.06,10.04,10.04,2886
20240815,10.06,10.06,10.06,10.06,5
20240816,10.06,10.06,10.06,10.06,4011
20240819,10.06,10.06,10.04,10.06,561
20240820,10.06,10.06,10.06,10.06,0
20240821,10.06,10.07,10.06,10.06,107
20240822,10.07,10.07,10.06,10.06,22576
20240823,10.07,10.07,10.06,10.07,144
20240826,10.07,10.08,10.06,10.08,35293
20240827,10.06,10.07,10.04,10.07,49548
20240828,10.07,10.08,10.06,10.07,76185
20240829,10.07,10.07,10.06,10.07,19584
20240830,10.05,10.06,10.05,10.06,40502
20240902,10.09,10.09,10.04,10.05,234
20240903,10.05,10.05,10.03,10.03,8956
20240904,10.07,10.07,10.05,10.05,973
20240905,10.05,10.05,10.05,10.05,1000
20240906,10.07,10.08,10.07,10.08,2020
20240909,10.08,10.08,10.08,10.08,24877
20240910,10.06,10.08,10.06,10.08,2012
20240911,10.095,10.1,10.09,10.09,18593
20240912,10.11,10.11,10.09,10.09,17399
20240913,10.11,10.12,10.08,10.09,53374
20240916,10.11,10.11,10.08,10.1,59137
20240917,10.1,10.11,10.1,10.11,1977
20240918,10.11,10.11,10.11,10.11,1242
20240919,10.11,10.11,10.1,10.1,6924
20240920,10.09,10.12,10.09,10.12,32647
20240923,10.12,10.12,10.1,10.11,1334
20240924,10.11,10.11,10.11,10.11,4781
20240925,10.12,10.13,10.09,10.12,96193
20240926,10.12,10.21,10.11,10.11,47617
20240927,10.12,10.12,10.11,10.11,4198
20240930,10.06,10.07,10.05,10.05,34638
20241001,10.07,10.08,10.06,10.06,281863
20241002,10.07,10.08,10.07,10.08,117408
20241003,10.07,10.07,10.06,10.06,1104
20241004,10.07,10.08,10.06,10.08,52408
20241007,10.07,10.07,10.06,10.06,13750
20241008,10.07,10.08,10.07,10.08,10000
20241009,10.07,10.09,10.07,10.07,101904
20241010,10.07,10.07,10.05,10.07,1182
20241011,10.08,10.08,10.07,10.07,12816
20241014,10.06,10.06,10.04,10.06,98664
20241015,10.08,10.09,10.08,10.09,19076
20241016,10.07,10.09,10.07,10.08,11207
20241017,10.08,10.09,10.08,10.09,54267
20241018,10.09,10.09,10.09,10.09,5004
20241021,10.1,10.1,10.1,10.1,927
20241022,10.08,10.1,10.08,10.08,25726
20241023,10.08,10.1,10.07,10.09,57400
20241024,10.07,10.08,10.07,10.08,3947
20241025,10.09,10.1,10.08,10.08,13264
20241028,10.1,10.1,10.08,10.09,20073
20241029,10.1,10.1,10.08,10.08,21000
20241030,10.1,10.11,10.08,10.1,8877
20241031,10.05,10.08,10.05,10.08,22328
20241101,10.08,10.08,10.05,10.08,1424
20241104,10.08,10.08,10.08,10.08,52748
20241105,10.07,10.08,10.06,10.08,21495
20241106,10.08,10.08,10.04,10.04,301701
20241107,10.06,10.06,10.05,10.05,37771
20241108,10.05,10.07,10.05,10.06,1183
20241111,10.07,10.07,10.07,10.07,701
20241112,10.08,10.09,10.07,10.09,29172
20241113,10.15,10.15,10.06,10.06,26784
20241114,10.07,10.08,10.07,10.08,12073
20241115,10.07,10.09,10.07,10.09,14347
20241118,10.1,10.1,10.08,10.08,9975
20241119,10.09,10.09,10.08,10.09,3339
20241120,10.08,10.09,10.08,10.08,18911
20241121,10.09,10.09,10.08,10.08,43341
20241122,10.08,10.08,10.07,10.08,20009
20241125,10.08,10.08,10.06,10.06,79934
20241126,10.06,10.06,10.06,10.06,0
20241127,10.09,10.09,10.09,10.09,1006
20241128,10.09,10.09,10.08,10.08,53066
20241129,10.07,10.08,10.04,10.05,50033
