Date,Open,High,Low,Close,Volume
20230501,1.975,1.975,1.975,1.975,85057
20230502,2,2,1.965,1.965,7590
20230503,1.965,1.965,1.96,1.96,131259
20230504,1.95,1.95,1.95,1.95,5573
20230505,1.93,1.93,1.915,1.915,50753
20230508,1.93,1.93,1.93,1.93,92330
20230509,1.925,1.925,1.925,1.925,41343
20230510,1.925,1.925,1.925,1.925,0
20230511,1.935,1.94,1.935,1.94,73502
20230512,1.94,1.94,1.94,1.94,0
20230515,2,2,1.96,1.97,73492
20230516,1.95,1.955,1.95,1.955,34230
20230517,1.96,1.96,1.96,1.96,6090
20230518,1.96,1.965,1.96,1.965,148672
20230519,1.965,1.965,1.965,1.965,0
20230522,1.99,1.99,1.985,1.985,14500
20230523,1.99,1.99,1.99,1.99,27033
20230524,1.955,1.955,1.955,1.955,15000
20230525,1.965,1.965,1.965,1.965,37739
20230526,1.98,1.98,1.98,1.98,5438
20230529,2.02,2.02,2.02,2.02,40000
20230530,2.03,2.03,2.01,2.01,48642
20230531,2.02,2.02,2.02,2.02,50000
20230601,2.01,2.01,2.01,2.01,7478
20230602,2.01,2.01,2.01,2.01,0
20230605,2.01,2.01,2.01,2.01,5000
20230606,1.995,1.995,1.995,1.995,4000
20230607,1.985,1.985,1.985,1.985,20130
20230608,1.99,1.99,1.985,1.985,103476
20230609,1.985,1.985,1.985,1.985,11573
20230613,2.01,2.01,2.01,2.01,47462
20230614,1.995,1.995,1.995,1.995,67750
20230615,2,2,1.99,1.995,23143
20230616,1.985,1.985,1.985,1.985,2200
20230619,1.985,1.985,1.985,1.985,0
20230620,1.99,1.99,1.99,1.99,70000
20230621,1.99,1.99,1.99,1.99,0
20230622,1.995,1.995,1.995,1.995,25062
20230623,2.01,2.01,2.01,2.01,20000
20230626,2.01,2.01,2.01,2.01,0
20230627,2.01,2.01,2.01,2.01,7462
20230628,2.01,2.01,2.01,2.01,4240
20230629,2.06,2.06,2.06,2.06,12063
20230630,2.06,2.06,2.06,2.06,3333
20230703,2.06,2.06,2.06,2.06,12235
20230704,2.06,2.06,2.06,2.06,4790
20230705,2.05,2.05,2.05,2.05,961
20230706,2.04,2.04,2.04,2.04,14500
20230707,2.04,2.04,2.04,2.04,241
20230710,2.01,2.01,2.01,2.01,15627
20230711,2.01,2.01,2.01,2.01,0
20230712,2.03,2.03,2.03,2.03,6000
20230713,2.03,2.04,2.03,2.04,5769
20230714,2.02,2.02,2.02,2.02,29199
20230717,2.04,2.04,2.04,2.04,6000
20230718,2.05,2.05,2.05,2.05,26312
20230719,2.06,2.06,2.06,2.06,30000
20230720,2.06,2.06,2.05,2.05,43902
20230721,2.05,2.05,2.05,2.05,3239
20230724,2.05,2.05,2.05,2.05,0
20230725,2.06,2.06,2.06,2.06,70000
20230726,2.06,2.07,2.06,2.07,58970
20230727,2.06,2.06,2.06,2.06,60665
20230728,2.08,2.08,2.08,2.08,1250
20230731,2.08,2.08,2.08,2.08,12044
