Date,Open,High,Low,Close,Volume
20231206,19.38,19.38,19.34,19.34,3
20231207,19.34,19.34,19.34,19.34,0
20231208,19.34,19.34,19.34,19.34,0
20231211,19.34,19.34,19.34,19.34,0
20231212,19.34,19.34,19.34,19.34,0
20231213,19.34,19.34,19.34,19.34,0
20231214,19.34,19.34,19.34,19.34,0
20231215,19.34,19.34,19.34,19.34,0
20231218,19.34,19.34,19.34,19.34,0
20231219,19.34,19.34,19.34,19.34,0
20231220,18.49,18.49,18.44,18.44,2
20231221,18.26,18.26,18.26,18.26,100
20231222,18.26,18.26,18.26,18.26,0
20231227,18.26,18.26,18.26,18.26,0
20231228,18.26,18.26,18.26,18.26,0
20231229,18.26,18.26,18.26,18.26,0
20240102,18.26,18.26,18.26,18.26,0
20240103,18.26,18.26,18.26,18.26,0
20240104,18.26,18.26,18.26,18.26,0
20240105,18.26,18.26,18.26,18.26,0
20240108,18.26,18.26,18.26,18.26,0
20240109,18.26,18.26,18.26,18.26,0
20240110,18.26,18.26,18.26,18.26,0
20240111,18.26,18.26,18.26,18.26,0
20240112,18.26,18.26,18.26,18.26,0
20240115,18.26,18.26,18.26,18.26,0
20240116,18.26,18.26,18.26,18.26,0
20240117,18.26,18.26,18.26,18.26,0
20240118,18.26,18.26,18.26,18.26,0
20240119,18.26,18.26,18.26,18.26,0
20240122,18.26,18.26,18.26,18.26,0
20240123,18.26,18.26,18.26,18.26,0
20240124,18.26,18.26,18.26,18.26,0
20240125,18.26,18.26,18.26,18.26,0
20240129,19.15,19.15,19.13,19.13,6000
20240130,19.13,19.13,19.13,19.13,0
20240131,18.74,18.74,18.54,18.54,14051
20240201,18.54,18.54,18.54,18.54,0
20240202,18.54,18.54,18.54,18.54,0
20240205,18.54,18.54,18.54,18.54,0
20240206,18.54,18.54,18.54,18.54,0
20240207,18.54,18.54,18.54,18.54,0
20240208,18.54,18.54,18.54,18.54,0
20240209,18.54,18.54,18.54,18.54,0
20240212,18.54,18.54,18.54,18.54,0
20240213,18.54,18.54,18.54,18.54,0
20240214,18.54,18.54,18.54,18.54,0
20240215,18.54,18.54,18.54,18.54,0
20240216,18.54,18.54,18.54,18.54,0
20240219,18.54,18.54,18.54,18.54,0
20240220,18.54,18.54,18.54,18.54,0
20240221,18.54,18.54,18.54,18.54,0
20240222,18.54,18.54,18.54,18.54,0
20240223,18.54,18.54,18.54,18.54,0
20240226,18.63,18.63,18.63,18.63,1
20240227,18.63,18.63,18.63,18.63,0
20240228,18.63,18.63,18.63,18.63,0
20240229,18.63,18.63,18.63,18.63,0
20240301,18.63,18.63,18.63,18.63,0
20240304,18.63,18.63,18.63,18.63,0
20240305,18.63,18.63,18.63,18.63,0
20240306,18.63,18.63,18.63,18.63,0
20240307,18.13,18.13,18.13,18.13,1
20240308,18.13,18.13,18.13,18.13,0
20240311,18.22,18.22,18.22,18.22,1
20240312,18.22,18.22,18.22,18.22,0
20240313,18.16,18.16,18.16,18.16,1
20240314,18.16,18.16,18.16,18.16,0
20240315,18.16,18.16,18.16,18.16,0
20240318,18.16,18.16,18.16,18.16,0
20240319,18.16,18.16,18.16,18.16,0
20240320,18.16,18.16,18.16,18.16,0
20240321,18.16,18.16,18.16,18.16,0
20240322,18.16,18.16,18.16,18.16,0
20240325,18.33,18.33,18.33,18.33,5
20240326,18.33,18.33,18.33,18.33,0
20240327,18.33,18.33,18.33,18.33,0
20240328,18.33,18.33,18.33,18.33,0
20240402,18.33,18.33,18.33,18.33,0
20240403,18.33,18.33,18.33,18.33,0
20240404,18.33,18.33,18.33,18.33,0
20240405,18.33,18.33,18.33,18.33,0
20240408,19.01,19.07,19.01,19.07,255
20240409,19.07,19.07,19.07,19.07,0
20240410,19.07,19.07,19.07,19.07,0
20240411,19.07,19.07,19.07,19.07,0
20240412,19.07,19.07,19.07,19.07,0
20240415,19.07,19.07,19.07,19.07,0
20240416,19.07,19.07,19.07,19.07,0
20240417,19.07,19.07,19.07,19.07,0
20240418,19.07,19.07,19.07,19.07,0
20240419,19.07,19.07,19.07,19.07,0
20240422,19.07,19.07,19.07,19.07,0
20240423,19.07,19.07,19.07,19.07,0
20240424,19.91,19.91,19.91,19.91,1
20240426,20.39,20.39,20.39,20.39,51
20240429,20.39,20.39,20.39,20.39,0
20240430,20.39,20.39,20.39,20.39,0
20240501,20.39,20.39,20.39,20.39,0
20240502,20.39,20.39,20.39,20.39,0
20240503,20.39,20.39,20.39,20.39,0
20240506,19.98,19.98,19.98,19.98,876
20240507,19.76,19.76,19.61,19.61,801
20240508,19.48,19.48,19.48,19.48,1
20240509,19.77,19.77,19.77,19.77,200
20240510,19.77,19.77,19.77,19.77,0
20240513,19.77,19.77,19.77,19.77,0
20240514,19.77,19.77,19.77,19.77,0
20240515,19.77,19.77,19.77,19.77,0
20240516,19.77,19.77,19.77,19.77,0
20240517,19.77,19.77,19.77,19.77,0
20240520,19.77,19.77,19.77,19.77,0
20240521,19.77,19.77,19.77,19.77,0
20240522,19.45,19.45,19.45,19.45,201
20240523,19.45,19.45,19.45,19.45,0
20240524,19.45,19.45,19.45,19.45,0
20240527,19.45,19.45,19.45,19.45,0
20240528,19.45,19.45,19.45,19.45,0
20240529,19.45,19.45,19.45,19.45,0
20240530,19.45,19.45,19.45,19.45,0
20240531,19.45,19.45,19.45,19.45,0
20240603,19.45,19.45,19.45,19.45,0
20240604,19.45,19.45,19.45,19.45,0
20240605,19.45,19.45,19.45,19.45,0
20240606,19.45,19.45,19.45,19.45,0
20240607,19.36,19.36,19.36,19.36,1
20240611,19.36,19.36,19.36,19.36,0
20240612,19.36,19.36,19.36,19.36,0
20240613,19.36,19.36,19.36,19.36,0
20240614,18.97,18.97,18.97,18.97,1
20240617,18.87,18.87,18.86,18.86,2008
20240618,18.86,18.86,18.86,18.86,0
20240619,19.1,19.1,19.1,19.1,9
20240620,19.31,19.31,19.31,19.31,51
20240621,19.31,19.31,19.31,19.31,0
20240624,19.31,19.31,19.31,19.31,0
20240625,19.31,19.31,19.31,19.31,0
20240626,19.31,19.31,19.31,19.31,0
20240627,20.14,20.14,20.14,20.14,7
20240628,20.14,20.14,20.14,20.14,0
20240701,19.07,19.15,19.07,19.09,27
20240702,19.09,19.09,19.09,19.09,0
20240703,19.28,19.28,19.28,19.28,7
20240704,19.3,19.3,19.3,19.3,2
20240705,19.3,19.3,19.3,19.3,0
20240708,19.3,19.3,19.3,19.3,0
20240709,19.05,19.05,19.05,19.05,1
20240710,19.08,19.08,19.08,19.08,1
20240711,19.08,19.08,19.08,19.08,0
20240712,19.08,19.08,19.08,19.08,0
20240715,19.08,19.08,19.08,19.08,0
20240716,18.67,18.67,18.59,18.59,2
20240717,18.59,18.59,18.59,18.59,0
20240718,18.59,18.59,18.59,18.59,0
20240719,18.59,18.59,18.59,18.59,0
20240722,18.59,18.59,18.59,18.59,0
20240723,18.59,18.59,18.59,18.59,0
20240724,18.59,18.59,18.59,18.59,0
20240725,18.59,18.59,18.59,18.59,0
20240726,18.59,18.59,18.59,18.59,0
20240729,18.59,18.59,18.59,18.59,0
20240730,18.59,18.59,18.59,18.59,0
20240731,18.59,18.59,18.59,18.59,0
20240801,17.89,17.89,17.89,17.89,2
20240802,17.7,17.87,17.7,17.84,464
20240805,17.42,17.42,17.37,17.37,4697
20240806,17.63,17.63,17.63,17.63,2500
20240807,17.63,17.63,17.63,17.63,0
20240808,17.63,17.63,17.63,17.63,0
20240809,17.63,17.63,17.63,17.63,0
20240812,17.63,17.63,17.63,17.63,0
20240813,17.63,17.63,17.63,17.63,0
20240814,17.63,17.63,17.63,17.63,0
20240815,17.27,17.27,17.27,17.27,200
20240816,17.44,17.44,17.41,17.41,158
20240819,17.41,17.41,17.41,17.41,0
20240820,17.41,17.41,17.41,17.41,0
20240821,17.41,17.41,17.41,17.41,0
20240822,17.41,17.41,17.41,17.41,0
20240823,17.41,17.41,17.41,17.41,0
20240826,17.41,17.41,17.41,17.41,0
20240827,17.34,17.34,17.34,17.34,41
20240828,17.35,17.35,17.35,17.35,56
20240829,17.52,17.52,17.5,17.5,67
20240830,17.65,17.65,17.65,17.65,6
20240902,17.8,17.8,17.8,17.8,1
20240903,17.72,17.72,17.72,17.72,18
20240904,17.72,17.72,17.72,17.72,0
20240905,17.72,17.72,17.72,17.72,0
20240906,17.72,17.72,17.72,17.72,0
20240909,17.72,17.72,17.72,17.72,0
20240910,17.72,17.72,17.72,17.72,0
20240911,17.72,17.72,17.72,17.72,0
20240912,17.72,17.72,17.72,17.72,0
20240913,17.72,17.72,17.72,17.72,0
20240916,17.07,17.07,17.07,17.07,2
20240917,17.07,17.07,17.07,17.07,0
20240918,17.16,17.16,17.16,17.16,56
20240919,17.57,17.57,17.57,17.57,2
20240920,17.57,17.57,17.57,17.57,0
20240923,17.57,17.57,17.57,17.57,0
20240924,17.57,17.57,17.57,17.57,0
20240925,17.57,17.57,17.57,17.57,0
20240926,17.57,17.57,17.57,17.57,0
20240927,17.65,17.65,17.65,17.65,1
20240930,17.65,17.65,17.65,17.65,0
20241001,17.65,17.65,17.65,17.65,0
20241002,17.65,17.65,17.65,17.65,0
20241003,17.65,17.65,17.65,17.65,0
20241004,17.65,17.65,17.65,17.65,0
20241007,17.65,17.65,17.65,17.65,0
20241008,18.51,18.51,18.47,18.47,54
20241009,18.33,18.33,18.33,18.33,19
20241010,18.33,18.33,18.33,18.33,0
20241011,18.33,18.33,18.33,18.33,0
20241014,18.33,18.33,18.33,18.33,0
20241015,18.33,18.33,18.33,18.33,0
20241016,18.51,18.51,18.51,18.51,3
20241017,18.51,18.51,18.51,18.51,0
20241018,18.51,18.51,18.51,18.51,0
20241021,18.51,18.51,18.51,18.51,0
20241022,19.33,19.33,19.33,19.33,16
20241023,19.33,19.33,19.33,19.33,500
20241024,19.33,19.33,19.33,19.33,0
20241025,19.33,19.33,19.33,19.33,0
20241028,19.59,19.59,19.59,19.59,2
20241029,19.63,19.63,19.445,19.445,33
20241030,19.445,19.445,19.445,19.445,0
20241031,19.445,19.445,19.445,19.445,0
20241101,19.445,19.445,19.445,19.445,0
20241104,19.445,19.445,19.445,19.445,0
20241105,19.445,19.445,19.445,19.445,0
20241106,19.89,20.15,19.89,20.15,8
20241107,20.15,20.15,20.15,20.15,0
20241108,20.15,20.15,20.15,20.15,0
20241111,20.15,20.15,20.15,20.15,0
20241112,20.15,20.15,20.15,20.15,0
20241113,20.17,20.17,20.17,20.17,1
20241114,20.17,20.17,20.17,20.17,0
20241115,20.36,20.36,20.36,20.36,2000
20241118,20.36,20.36,20.36,20.36,0
20241119,20.36,20.36,20.36,20.36,0
20241120,20.36,20.36,20.36,20.36,0
20241121,20.36,20.36,20.36,20.36,0
20241122,20.36,20.36,20.36,20.36,0
20241125,20.36,20.36,20.36,20.36,0
20241126,20.36,20.36,20.36,20.36,0
20241127,20.36,20.36,20.36,20.36,0
20241128,20.36,20.36,20.36,20.36,0
20241129,20.36,20.36,20.36,20.36,0
20241202,20.36,20.36,20.36,20.36,0
20241203,20.36,20.36,20.36,20.36,0
20241204,20.36,20.36,20.36,20.36,0
20241205,20.36,20.36,20.36,20.36,0
20241206,20.36,20.36,20.36,20.36,0
20241209,20.36,20.36,20.36,20.36,0
20241210,20.36,20.36,20.36,20.36,0
20241211,20.36,20.36,20.36,20.36,0
20241212,18.45,18.45,18.45,18.45,1
20241213,18.45,18.45,18.45,18.45,0
20241216,18.45,18.45,18.45,18.45,0
20241217,18.45,18.45,18.45,18.45,0
20241218,18.45,18.45,18.45,18.45,0
20241219,18.45,18.45,18.45,18.45,0
20241220,18.45,18.45,18.45,18.45,0
20241223,18.45,18.45,18.45,18.45,0
20241224,18.45,18.45,18.45,18.45,0
20241227,19.43,19.43,19.43,19.43,7
20241230,19.43,19.43,19.43,19.43,0
20241231,19.43,19.43,19.43,19.43,0
20250102,19.43,19.43,19.43,19.43,0
20250103,19.43,19.43,19.43,19.43,0
20250106,19.43,19.43,19.43,19.43,0
20250107,19.43,19.43,19.43,19.43,0
20250108,19.74,19.74,19.74,19.74,200
20250109,19.74,19.74,19.74,19.74,0
20250110,19.74,19.74,19.74,19.74,0
20250113,19.74,19.74,19.74,19.74,0
20250114,19.74,19.74,19.74,19.74,0
20250115,20.33,20.33,20.24,20.24,51
20250116,20.24,20.24,20.24,20.24,0
20250117,20.24,20.24,20.24,20.24,0
