Date,Open,High,Low,Close,Volume
20231206,19.56,19.59,19.56,19.59,4
20231207,19.59,19.59,19.59,19.59,0
20231208,19.41,19.41,19.32,19.32,1530
20231211,19.32,19.32,19.32,19.32,0
20231212,19.32,19.32,19.32,19.32,0
20231213,19.32,19.32,19.32,19.32,0
20231214,19.32,19.32,19.32,19.32,0
20231215,19.32,19.32,19.32,19.32,0
20231218,19.32,19.32,19.32,19.32,0
20231219,19.32,19.32,19.32,19.32,0
20231220,18.44,18.44,18.44,18.44,1
20231221,18.44,18.44,18.44,18.44,0
20231222,18.28,18.28,18.28,18.28,2
20231227,18.28,18.28,18.28,18.28,0
20231228,18.08,18.08,18.08,18.08,54
20231229,18.08,18.08,18.08,18.08,0
20240102,18.08,18.08,18.08,18.08,0
20240103,18.58,18.58,18.58,18.58,54
20240104,18.58,18.58,18.58,18.58,0
20240105,18.81,18.81,18.81,18.81,1
20240108,18.81,18.81,18.81,18.81,0
20240109,18.81,18.81,18.81,18.81,0
20240110,18.81,18.81,18.81,18.81,0
20240111,18.81,18.81,18.81,18.81,0
20240112,18.81,18.81,18.81,18.81,0
20240115,18.81,18.81,18.81,18.81,0
20240116,18.81,18.81,18.81,18.81,0
20240117,18.81,18.81,18.81,18.81,0
20240118,18.81,18.81,18.81,18.81,0
20240119,18.81,18.81,18.81,18.81,0
20240122,18.81,18.81,18.81,18.81,0
20240123,18.81,18.81,18.81,18.81,0
20240124,18.81,18.81,18.81,18.81,0
20240125,18.81,18.81,18.81,18.81,0
20240129,18.81,18.81,18.81,18.81,0
20240130,19.33,19.33,19.31,19.31,2300
20240131,19.14,19.17,19.08,19.08,8810
20240201,19.08,19.08,19.08,19.08,0
20240202,19.08,19.08,19.08,19.08,0
20240205,19.08,19.08,19.08,19.08,0
20240206,19.08,19.08,19.08,19.08,0
20240207,19.08,19.08,19.08,19.08,0
20240208,19.08,19.08,19.08,19.08,0
20240209,19.08,19.08,19.08,19.08,0
20240212,19.08,19.08,19.08,19.08,0
20240213,19.08,19.08,19.08,19.08,0
20240214,20.52,20.52,20.52,20.52,1
20240215,20.22,20.22,20.22,20.22,3
20240216,20.22,20.22,20.22,20.22,0
20240219,20.22,20.22,20.22,20.22,0
20240220,20.4,20.45,20.36,20.39,931
20240221,20.39,20.39,20.39,20.39,0
20240222,20.39,20.39,20.39,20.39,0
20240223,20.45,20.45,20.45,20.45,1600
20240226,20.45,20.45,20.45,20.45,0
20240227,20.27,20.27,20.17,20.17,5115
20240228,20.17,20.17,20.17,20.17,0
20240229,20.24,20.24,20.23,20.23,1245
20240301,20.23,20.23,20.23,20.23,0
20240304,20.23,20.23,20.23,20.23,0
20240305,20.23,20.23,20.23,20.23,0
20240306,19.65,19.65,19.65,19.65,3
20240307,19.65,19.65,19.65,19.65,0
20240308,19.65,19.65,19.65,19.65,0
20240311,19.4,19.4,19.4,19.4,10
20240312,19.4,19.4,19.4,19.4,0
20240313,19.4,19.4,19.4,19.4,0
20240314,19.4,19.4,19.4,19.4,0
20240315,20.3,20.3,20.3,20.3,350
20240318,20.3,20.3,20.3,20.3,0
20240319,20.3,20.3,20.3,20.3,0
20240320,20.3,20.3,20.3,20.3,0
20240321,20.2,20.2,20.2,20.2,620
