Date,Open,High,Low,Close,Volume
20150420,25.58,25.58,25.5,25.5,140
20150421,24.87,25.19,24.87,25.07,11290
20150422,25.07,25.52,25,25.47,13864
20150423,25.5,25.5,25.37,25.37,9594
20150424,24.99,24.99,24.46,24.48,14230
20150427,24.21,24.21,23.9,23.95,23610
20150428,24.09,24.18,23.95,24.18,16270
20150429,24.57,25.39,24.57,25.39,23900
20150430,25.87,26.24,25.75,25.95,14827
20150501,25.91,26.11,25.6,25.69,11235
20150504,25.75,25.89,25.42,25.54,50093
20150505,24.87,25.74,24.81,25.57,7814
20150506,26.33,26.86,26.33,26.84,30678
20150507,27.85,27.99,27.4,27.59,32798
20150508,27.04,27.59,27.04,27.59,13296
20150511,26.83,27.77,26.83,27.75,18968
20150512,27.26,27.33,26.87,26.9,5934
20150513,26.81,26.86,26.42,26.43,8214
20150514,26.79,26.79,26.68,26.74,3866
20150515,25.96,26.37,25.93,26.37,8942
20150518,25.95,26.89,25.92,26.89,4921
20150519,27.06,27.5,26.95,26.95,2869
20150520,27.56,27.82,27.42,27.48,11067
20150521,27.28,27.28,26.9,26.9,4195
20150522,26.56,26.91,26.54,26.88,11652
20150525,26.74,26.74,26.08,26.37,39651
20150526,26,26,25.58,25.77,13219
20150527,26.06,26.26,25.91,26.22,13981
20150528,25.83,26.58,25.83,26.15,7578
20150529,25.86,25.86,25.29,25.48,35078
20150601,25.99,26.61,25.91,26.1,10247
20150602,28.5,28.5,26.6,27,10025
20150603,27.47,27.85,27.47,27.82,61559
20150604,28.1,28.66,28.04,28.66,28467
20150605,28.78,28.98,28.52,28.78,28119
20150609,28.76,28.88,28.62,28.66,1702
20150610,29.07,29.22,28.95,29.05,7020
20150611,28.56,28.56,28.11,28.24,14086
20150612,28.19,28.34,28.19,28.34,2460
20150615,28.76,28.83,28.41,28.41,13246
20150616,28.32,28.32,27.93,28.19,10603
20150617,27.97,27.97,27.61,27.61,13410
20150618,27.87,28.73,25.85,28.53,7719
20150619,28.06,28.06,27.51,27.76,11162
20150622,27.69,28,27.5,27.5,33036
20150623,26.8,26.87,26.65,26.75,43268
20150624,26.51,26.78,26.51,26.53,4690
20150625,26.96,27.15,26.96,27.13,2446
20150626,27.9,28.46,27.9,28.23,78627
20150629,29.13,29.71,29.07,29.69,48988
20150630,30.1,30.1,29.1,29.1,94593
20150701,26.76,26.76,26.14,26.14,37340
20150702,25.83,25.83,24.84,24.96,79658
20150703,25.17,26.1,25.11,25.66,57024
20150706,27.1,27.18,26.19,26.28,66745
20150707,25.94,25.94,25.15,25.19,34181
20150708,25.84,26.34,25.55,26.34,46332
20150709,26.85,27.27,26.22,26.3,56900
20150710,25.89,26.13,25.8,26.11,19173
20150713,26.48,26.52,25.71,26.32,17695
20150714,25.39,25.43,25.15,25.2,49252
20150715,25.03,25.03,24.63,24.67,72500
20150716,24.12,24.42,24.08,24.31,36633
20150717,24.09,24.52,24.09,24.3,20760
20150720,24.23,24.45,24.2,24.21,19933
20150721,23.92,24.06,23.8,23.83,29836
20150722,24.35,24.89,24.32,24.89,25040
20150723,25,25.18,24.85,25,84169
20150724,25.5,25.6,25,25.41,48233
20150727,25.75,25.75,25.17,25.17,40947
20150728,25.74,25.79,24.98,25.21,42912
20150729,24.56,24.69,24.56,24.69,26709
20150730,24.47,24.55,24.29,24.29,37377
20150731,24.22,24.22,24.04,24.06,23049
20150803,24.08,24.34,24.08,24.27,11156
20150804,24.45,24.45,23.74,24,21408
20150805,24.25,24.68,24.2,24.48,39648
20150806,24.7,25.27,24.7,25.17,83172
20150807,25.92,26.39,25.85,26.39,215729
20150810,26.55,26.6,26.03,26.06,24265
20150811,25.6,26.44,25.6,26.3,58553
20150812,26.57,27.68,26.16,27.47,187566
20150813,27.32,27.35,26.77,27.29,28348
20150814,27.44,27.87,27.18,27.77,27496
20150817,27.47,27.48,27.14,27.38,14530
20150818,27.23,28.05,27,28,36314
20150819,27.63,27.63,27.1,27.2,32402
20150820,27.79,28.3,27.67,28.23,24377
20150821,29,29.65,28.68,29.16,80319
20150824,30.52,31.68,30.25,31.47,356799
20150825,33.36,33.4,29.25,29.51,632159
20150826,31.06,31.19,28.76,28.88,118588
20150827,27.82,27.94,27.5,27.93,82043
20150828,27.16,28.03,27.02,27.67,71775
20150831,28.11,28.93,28,28.35,53571
20150901,28.76,29.78,28.21,29.72,64331
20150902,30.35,30.71,29.6,29.63,91170
20150903,28.96,30.48,28.66,30.48,50021
20150904,30.28,30.89,30,30.32,49297
20150907,30.27,31.15,30.12,30.36,80729
20150908,30,30,29.19,29.19,62822
20150909,28.32,28.32,27.55,27.57,79941
20150910,29.04,29.4,28.83,29.33,49165
20150911,29.4,30.11,29.24,29.77,51516
20150914,28.65,29.63,28.65,29.29,50229
20150915,29.05,30.39,29.05,30.39,220455
20150916,29.71,30.07,29.24,29.24,64023
20150917,28.05,28.71,27.88,28.6,86682
20150918,28.79,29.3,27.87,28.22,79267
