Date,Open,High,Low,Close,Volume
20230710,10.1,10.1,10.1,10.1,950
20230711,10.12,10.12,10.12,10.12,900
20230712,10.13,10.13,10.12,10.12,102000
20230713,10.03,10.03,10.03,10.03,960
20230714,10.03,10.03,10.03,10.03,0
20230717,10.03,10.03,10.03,10.03,0
20230718,10.03,10.03,10.03,10.03,0
20230719,10.03,10.03,10.03,10.03,0
20230720,10.03,10.03,10.03,10.03,0
20230721,10.03,10.03,10.03,10.03,0
20230724,10.03,10.03,10.03,10.03,0
20230725,10.03,10.03,10.03,10.03,0
20230726,10.53,10.53,10.53,10.53,480
20230727,10.53,10.53,10.47,10.47,101
20230728,10.49,10.49,10.49,10.49,35
20230731,10.53,10.53,10.53,10.53,5
20230801,10.53,10.53,10.53,10.53,0
20230802,10.68,10.7,10.66,10.66,97
20230803,10.66,10.66,10.66,10.66,0
20230804,10.64,10.64,10.63,10.63,247
20230807,10.73,10.73,10.58,10.58,152
20230808,10.58,10.58,10.58,10.58,0
20230809,10.58,10.58,10.58,10.58,0
20230810,10.58,10.58,10.58,10.58,0
20230811,10.58,10.58,10.58,10.58,0
20230814,10.58,10.58,10.58,10.58,0
20230815,10.58,10.58,10.58,10.58,0
20230816,10.69,10.7,10.65,10.66,597896
20230817,10.69,10.75,10.69,10.75,940
20230818,10.74,10.77,10.74,10.77,13742
20230821,10.81,10.86,10.81,10.86,176227
20230822,10.86,10.86,10.74,10.79,3269
20230823,10.76,10.76,10.7,10.76,2742
20230824,10.69,10.73,10.69,10.73,902
20230825,10.85,10.87,10.85,10.87,114166
20230828,10.92,10.93,10.92,10.92,37728
20230829,10.88,10.88,10.82,10.87,7810
20230830,10.86,10.86,10.81,10.85,5917
20230831,10.85,10.85,10.83,10.85,27378
20230901,10.85,10.91,10.85,10.87,8470
20230904,10.88,10.93,10.88,10.92,7830
20230905,10.97,10.97,10.91,10.94,5389
20230906,11.07,11.11,11.07,11.08,825
20230907,11.03,11.08,11.03,11.03,8942
20230908,10.96,11,10.96,10.96,14167
20230911,10.97,10.97,10.93,10.93,1124
20230912,10.98,11.01,10.98,11.01,3559
20230913,10.99,11.02,10.99,11.02,573
20230914,11.13,11.13,11,11.02,2493
20230915,11.02,11.07,11.02,11.06,1743
20230918,11.04,11.06,11,11.04,14334
20230919,11.04,11.04,10.99,11.03,802
20230920,10.92,10.96,10.92,10.96,2007
20230921,10.93,10.98,10.93,10.96,4848
20230922,10.95,10.96,10.92,10.96,3413
20230925,10.88,10.93,10.86,10.93,1130
20230926,10.91,10.91,10.86,10.86,2475
20230927,10.92,10.92,10.89,10.89,2602
20230928,10.98,10.98,10.92,10.92,2095
20230929,10.86,10.86,10.82,10.84,3031
20231002,10.69,10.77,10.69,10.77,40448
20231003,10.73,10.81,10.73,10.81,20196
20231004,10.85,10.85,10.8,10.84,3966
20231005,10.62,10.62,10.57,10.57,3546
20231006,10.59,10.59,10.55,10.55,4062
20231009,10.8,10.82,10.8,10.82,3266
20231010,10.66,10.66,10.62,10.66,1595
20231011,10.62,10.66,10.62,10.63,10236
20231012,10.75,10.75,10.59,10.59,3036
20231013,10.81,10.83,10.8,10.8,16580
20231016,11.04,11.04,10.98,11.02,9357
20231017,10.94,10.95,10.85,10.85,11099
20231018,10.92,11,10.91,10.99,23863
20231019,11.03,11.1,11.03,11.1,1677
20231020,11.14,11.14,11.09,11.09,6472
20231023,11.02,11.04,11,11.04,7082
20231024,10.93,10.95,10.93,10.95,8645
20231025,10.82,10.87,10.82,10.87,3358
20231026,11.04,11.08,11.04,11.08,3839
20231027,11,11.29,10.94,10.95,11916
20231030,10.96,11.01,10.96,10.99,6086
20231031,10.89,10.89,10.84,10.86,2585
20231101,10.6,10.97,10.6,10.93,4308
20231102,10.8,10.8,10.75,10.79,14095
20231103,10.86,10.86,10.84,10.86,1411
20231106,10.84,10.84,10.67,10.67,2047
20231107,10.72,10.75,10.59,10.59,2562
20231108,10.64,10.68,10.64,10.65,1452
20231109,10.61,10.64,10.61,10.61,4477
20231110,10.66,10.75,10.66,10.75,249239
20231113,10.73,10.73,10.62,10.65,61904
20231114,10.79,10.8,10.75,10.8,14014
20231115,10.58,10.61,10.56,10.57,22687
20231116,10.59,10.59,10.55,10.59,3152
20231117,10.52,10.52,10.48,10.52,1847
20231120,10.5,10.5,10.4,10.44,1404
20231121,10.46,10.47,10.43,10.43,3224
20231122,10.49,10.49,10.49,10.49,2719
20231123,10.44,10.44,10.38,10.38,3442
20231124,10.42,10.42,10.39,10.42,4112
20231127,10.305,10.32,10.28,10.31,8999
20231128,10.28,10.28,10.21,10.21,7547
20231129,10.25,10.28,10.25,10.28,6211
20231130,10.36,10.36,10.32,10.32,298
20231201,10.29,10.3,10.27,10.27,55012
20231204,10.32,10.32,10.13,10.15,1367
20231205,10.17,10.2,10.17,10.2,14606
20231206,10.17,10.17,10.15,10.16,1216
20231207,10,10.06,10,10.05,2940
20231208,10.05,10.05,9.99,9.99,5742
20231211,9.97,10.02,9.97,10,3436
20231212,9.99,9.99,9.96,9.97,56357
20231213,9.91,9.91,9.88,9.9,2430
20231214,9.84,9.84,9.78,9.78,7456
20231215,9.94,9.94,9.92,9.93,3825
20231218,9.94,9.96,9.93,9.94,3459
20231219,9.95,9.96,9.91,9.94,4487
20231220,9.93,9.95,9.92,9.95,1665
20231221,9.89,9.89,9.85,9.85,17025
20231222,9.86,9.86,9.83,9.86,1985
20231227,9.89,9.89,9.86,9.87,1343
20231228,9.86,9.87,9.86,9.87,439
20231229,9.82,9.82,9.8,9.8,10400
20240102,9.84,9.85,9.81,9.85,3677
20240103,9.8,9.81,9.77,9.81,1230
20240104,9.87,9.89,9.85,9.85,1148
20240105,9.9,9.92,9.9,9.92,65
20240108,9.92,9.92,9.85,9.87,5476
