Date,Open,High,Low,Close,Volume
20120709,24.27,24.27,24.27,24.27,410
20120710,24.22,24.41,24.22,24.41,1129
20120711,24.51,24.53,24.41,24.44,9605
20120712,24.38,24.61,24.38,24.61,10018
20120713,24.56,24.56,24.47,24.47,23277
20120716,24.27,24.4,24.27,24.39,51700
20120717,24.36,24.36,24.31,24.31,17900
20120718,24.2,24.28,24.2,24.28,1324
20120719,24,24,23.94,23.95,4190
20120720,23.84,23.84,23.82,23.83,3247
20120723,24.08,24.28,24.08,24.28,26980
20120724,25,25,24.24,24.25,16764
20120725,24.59,24.59,24.33,24.33,1605
20120726,24.4,24.4,24.18,24.19,22370
20120727,23.94,24.01,23.82,23.82,28631
20120730,23.82,23.82,23.57,23.61,4280
20120731,23.57,23.57,23.35,23.47,43950
20120801,23.54,23.55,23.51,23.53,14000
20120802,23.52,23.52,23.41,23.44,15556
20120803,23.73,23.78,23.69,23.78,33252
20120806,23.36,23.48,23.36,23.43,11441
20120807,23.4,23.41,23.33,23.37,54492
20120808,23.27,23.27,23.18,23.21,16721
20120809,23.22,23.22,23.14,23.14,3676
20120810,23.21,23.41,23.21,23.39,63215
20120813,23.27,23.37,23.26,23.37,4098
20120814,23.34,23.35,23.3,23.35,39310
20120815,23.37,23.5,23.37,23.5,26473
20120816,23.29,23.29,23.21,23.21,2998
20120817,23.14,23.17,22.95,22.98,8774
20120820,22.89,22.93,22.79,22.79,2790
20120821,22.8,22.8,22.67,22.69,21865
20120822,22.74,22.81,22.74,22.79,7585
20120823,22.6,22.78,22.6,22.7,7552
20120824,22.91,22.95,22.87,22.91,19605
20120827,22.79,22.87,22.79,22.87,4900
20120828,22.9,22.93,22.89,22.89,9620
20120829,22.88,22.88,22.88,22.88,100
20120830,22.94,23.12,22.93,23.04,153470
20120831,23.03,23.09,23.02,23.04,35413
20120903,23.04,23.13,22.88,22.98,14196
20120904,22.92,23.07,22.92,23.07,5599
20120905,23,23.29,23,23.22,41031
20120906,22.97,23.03,22.95,23.03,9217
20120907,22.78,22.97,22.78,22.94,20930
20120910,22.87,22.92,22.87,22.92,10482
20120911,22.91,22.98,22.91,22.93,5910
20120912,22.9,22.9,22.74,22.76,25374
20120913,22.88,22.89,22.84,22.89,47155
20120914,22.73,22.73,22.58,22.6,23320
20120917,22.55,22.61,22.5,22.54,36732
20120918,22.63,22.63,22.54,22.54,16256
20120919,22.6,22.6,22.45,22.45,16282
20120920,22.43,22.54,22.43,22.53,2147
20120921,22.53,22.53,22.48,22.48,6220
20120924,22.68,22.68,22.61,22.63,10863
20120925,22.7,22.72,22.68,22.72,11515
20120926,22.79,22.82,22.77,22.77,5440
20120927,22.86,22.91,22.65,22.66,26548
20120928,22.69,22.7,22.63,22.63,7379
20121001,22.77,22.77,22.63,22.66,7850
20121002,22.5,22.5,22.43,22.43,5324
20121003,22.39,22.42,22.33,22.42,23097
20121004,22.38,22.38,22.32,22.34,4811
20121005,22.21,22.23,22.1,22.1,12155
20121008,22.12,22.19,22.12,22.18,4925
20121009,22.15,22.15,22.01,22.02,20440
20121010,22.19,22.2,22.11,22.15,28343
20121011,22.26,22.26,22.14,22.14,11018
20121012,22.15,22.17,22.15,22.16,4047
20121015,22.2,22.2,22.15,22.19,6085
20121016,22.03,22.14,22.03,22.13,5256
20121017,21.95,21.99,21.92,21.92,31581
20121018,21.75,21.82,21.71,21.82,12220
20121019,21.85,21.93,21.76,21.76,6367
20121022,21.98,21.98,21.9,21.91,12420
20121023,21.9,21.92,21.8,21.92,26973
20121024,22.16,22.16,22.03,22.07,10020
20121025,22.14,22.14,22.06,22.06,3987
20121026,22.07,22.29,22.07,22.29,9980
20121029,22.19,22.22,22.15,22.22,6511
20121030,22.22,22.27,22.2,22.22,7026
20121031,22.15,22.15,22.04,22.04,10880
20121101,22,22.36,22,22.36,3704
20121102,22.23,22.34,22.23,22.34,31450
20121105,22.36,22.47,22.29,22.3,8935
20121106,22.25,22.25,22.25,22.25,800
20121107,22.2,22.26,22.1,22.1,7454
20121108,22.29,22.34,22.22,22.24,262650
20121109,22.33,22.33,22.2,22.26,21500
20121112,22.3,22.32,22.24,22.26,38285
20121113,22.33,22.61,22.33,22.61,45122
20121114,22.62,22.7,22.59,22.61,66379
20121115,22.84,22.84,22.75,22.8,28250
20121116,22.87,22.87,22.83,22.84,8846
20121119,22.8,22.8,22.73,22.75,6701
20121120,22.62,22.68,22.59,22.6,82998
20121121,22.7,22.73,22.7,22.7,2340
20121122,22.5,22.5,22.42,22.44,4056
20121123,22.54,22.54,22.49,22.49,4386
20121126,22.45,22.46,22.41,22.42,4420
20121127,22.44,22.44,22.25,22.29,27196
20121128,22.39,22.39,22.35,22.35,17205
20121129,22.34,22.34,22.19,22.19,2832
20121130,22.07,22.08,22.02,22.02,36739
20121203,22.02,22.04,21.9,21.93,8404
20121204,21.9,22.08,21.9,22.07,14321
20121205,22.04,22.04,21.98,21.99,6649
20121206,22,22.05,21.96,22.05,7750
20121207,22.04,22.04,21.83,21.86,7361
20121210,21.81,21.81,21.75,21.8,10819
20121211,21.74,21.74,21.72,21.72,1650
20121212,21.62,21.7,21.61,21.7,510023
20121213,21.66,21.67,21.65,21.67,1800
20121214,21.65,21.69,21.65,21.69,2522
20121217,21.73,21.73,21.73,21.73,3000
20121218,21.64,21.64,21.58,21.59,19246
20121219,21.56,21.56,21.53,21.54,269410
20121220,21.56,21.57,21.45,21.45,2162
20121221,21.36,21.57,21.36,21.55,15166
20121224,21.45,21.47,21.43,21.44,3158
20121227,21.48,21.48,21.48,21.48,250
20121228,21.28,21.28,21.23,21.27,2629
20121231,21.43,21.43,21.37,21.37,5900
20130102,21.1,21.36,21.1,21.15,37650
20130103,21.04,21.07,20.97,20.98,38300
20130104,20.75,21.08,20.75,21.08,7710
20130107,21.15,21.15,20.93,21.05,26710
20130108,21.02,21.21,21.01,21.21,2796
20130109,21.15,21.15,21.11,21.15,6840
20130110,21.14,21.17,21.12,21.12,2615
20130111,21.05,21.14,21.05,21.09,18080
20130114,21.1,21.13,21.08,21.08,3783
20130115,21.07,21.15,21.07,21.14,9350
20130116,21.08,21.08,21.02,21.04,2553
20130117,21,21,20.82,20.85,68610
20130118,20.85,20.9,20.85,20.89,119556
20130121,20.94,20.94,20.87,20.87,116285
20130122,20.85,20.88,20.81,20.87,2800
20130123,20.76,20.79,20.76,20.78,4130
20130124,21.24,21.24,20.73,20.74,36381
20130125,20.64,20.67,20.63,20.63,27845
20130129,20.53,20.53,20.42,20.42,34889
20130130,20.36,20.4,20.31,20.37,8602
20130131,20.37,20.43,20.32,20.42,47769
20130201,20.33,20.33,20.24,20.24,47999
20130204,20.2,20.32,20.2,20.32,2703
20130205,20.6,20.6,20.4,20.43,15018
20130206,20.32,20.33,20.24,20.27,8609
20130207,20.32,20.32,20.21,20.22,7300
20130208,20.25,20.25,20.08,20.09,3440
20130211,20.08,20.09,20.03,20.09,23323
20130212,20.06,20.11,20.04,20.08,2015
