Date,Open,High,Low,Close,Volume
20230511,50.09,50.23,50.09,50.23,1000003
20230512,50.59,50.71,50.57,50.67,28541
20230515,50.83,50.83,50.71,50.71,2153
20230516,50.65,50.79,50.59,50.79,2131
20230517,50.72,50.77,50.68,50.77,5849
20230518,51.12,51.23,51.05,51.18,22500
20230519,51.74,51.8,51.67,51.69,2902
20230522,51.44,51.62,51.42,51.62,5065
20230523,51.8,51.8,51.55,51.61,43454
20230524,51.53,51.53,51.36,51.37,3031
20230525,51.48,51.62,51.47,51.57,46671
20230526,51.82,51.87,51.72,51.72,2064
20230529,52.55,52.55,52.25,52.25,2698
20230530,52.3,52.55,52.15,52.55,2318
20230531,52.29,52.33,52.25,52.27,2696
20230601,52.12,52.24,52.05,52.07,2999
20230602,52.5,52.5,51.87,51.87,6797
20230605,52.54,52.57,52.46,52.54,1788
20230606,52.34,52.4,52.01,52.01,10901
20230607,52.06,52.11,52.01,52.02,4405
20230608,52.11,52.11,51.78,51.8,1818
20230609,51.8,52,51.8,51.96,2377
20230613,51.96,52.17,51.96,52.11,4612
20230614,52.26,52.29,52.2,52.29,274
20230615,52.2,52.24,51.96,51.96,14057
20230616,52.01,52.14,51.99,52.09,574
20230619,52.1,52.21,52,52,2875
20230620,52.1,52.35,51.97,52.32,16753
20230621,52.32,52.41,52.26,52.28,28532
20230622,52.23,52.23,51.94,52.17,1429
20230623,52.5,52.5,52.3,52.49,8192
20230626,52.52,52.59,52.5,52.57,15902
20230627,52.61,52.61,52.12,52.21,3178
20230628,52.88,53.21,52.88,53.14,26714
20230629,53.72,53.72,53.46,53.46,727
20230630,53.58,53.62,53.42,53.46,4147
20230703,53.91,53.91,53.7,53.7,3830
20230704,56.65,56.65,53.57,53.72,5766
20230705,53.5,53.52,53.4,53.46,2210
20230706,54,54,53.28,53.28,2683
20230707,53.25,53.28,53.11,53.11,3070
20230710,52.78,52.82,52.64,52.78,1405
20230711,53.04,53.04,52.92,52.98,536
20230712,53.27,53.27,52.9,53.18,6984
20230713,53.16,53.16,53.03,53.04,710
20230714,52.88,52.92,52.78,52.78,8092
20230717,53.08,53.27,53.01,53.27,26571
20230718,53.46,53.49,53.29,53.37,70413
20230719,53.89,54.06,53.85,54,2722
20230720,54.22,54.22,53.72,53.75,2239
20230721,53.86,53.98,53.86,53.97,3137
20230724,54.27,54.31,54.21,54.21,1888
20230725,54.38,54.4,54.1,54.13,922
20230726,54.1,54.32,54.03,54.25,11165
20230727,55,55,54.05,54.11,2540
20230728,54.53,55.09,54.5,55.03,29693
20230731,55.46,55.46,55.1,55.13,2999
20230801,55.14,55.44,54.96,55.37,2554
20230802,55.37,55.86,55.37,55.59,4724
20230803,55.41,55.45,55.33,55.33,3196
20230804,55.16,55.16,54.95,55.07,2704
20230807,54.82,54.91,54.76,54.89,5132
20230808,55.19,55.27,55.18,55.27,859
20230809,55.25,55.32,55.12,55.18,1783
20230810,55.1,55.16,55.07,55.11,13304
20230811,55.33,55.34,55.15,55.25,2622
20230814,55.35,55.4,55.19,55.19,4205
20230815,55.54,55.65,55.4,55.42,2757
20230816,55.08,55.18,55.01,55.06,10116
20230817,55.03,55.26,54.93,55.17,121940
20230818,54.66,54.76,54.56,54.67,4182
20230821,54.66,54.72,54.6,54.63,695
20230822,54.84,54.88,54.75,54.85,15189
20230823,54.73,54.81,54.66,54.81,18662
20230824,55.21,55.24,55.1,55.17,19571
20230825,54.73,54.78,54.66,54.66,124970
20230828,55.09,55.09,54.94,54.94,3048
20230829,55.2,55.37,55.1,55.18,44745
20230830,55.58,55.84,55.58,55.69,2485
20230831,55.86,55.88,55.65,55.8,1267
20230901,55.72,55.94,55.65,55.82,2636
20230904,55.89,55.98,55.89,55.92,691
20230905,56,56.25,55.94,56.23,1945
20230906,57.25,57.25,56.21,56.24,2543
20230907,56.1,56.16,55.87,55.87,4275
20230908,55.97,55.97,55.77,55.77,11035
20230911,55.91,55.92,55.62,55.67,2798
20230912,55.86,55.95,55.83,55.92,8806
20230913,55.77,55.81,55.67,55.79,8365
20230914,55.9,55.9,55.63,55.79,6034
20230915,56.19,56.21,56.03,56.07,40607
20230918,55.66,55.76,55.64,55.64,5077
20230919,55.65,55.67,55.55,55.6,3998
20230920,55.39,55.4,55.26,55.28,10387
20230921,55.1,55.14,54.99,55.08,2390
20230922,54.49,54.49,54.38,54.46,9804
20230925,54.22,54.38,54.03,54.35,1415
20230926,54.4,54.4,54.1,54.18,3437
20230927,53.94,54.11,53.83,54.11,20660
20230928,54.24,54.24,53.94,54.02,33854
20230929,53.91,53.91,53.53,53.53,2998
20231002,53.75,54.15,53.75,54.07,4581
20231003,54.61,54.61,53.98,54.19,1012
20231004,53.82,53.82,53.5,53.5,2594
20231005,53.73,53.86,53.62,53.65,6411
20231006,53.63,53.68,53.52,53.57,3942
20231009,53.96,53.96,53.76,53.94,3665
20231010,54.14,54.32,54.1,54.29,12135
20231011,54.47,54.57,54.33,54.56,46705
20231012,54.91,55.03,54.91,54.97,42454
20231013,55.33,55.33,55.23,55.29,6274
20231016,55.12,55.15,54.94,54.94,5355
20231017,55.27,55.27,55,55,529
20231018,54.96,54.97,54.8,54.84,11930
20231019,54.55,54.79,54.51,54.72,8018
20231020,54.08,54.17,53.95,54.17,7225
20231023,53.67,53.76,53.65,53.73,1165
20231024,53.54,53.54,53.26,53.34,5334
20231025,53.48,53.49,53.15,53.23,5233
20231026,53.27,53.27,53.09,53.1,4947
20231027,52.78,52.79,52.625,52.77,3036
20231030,52.39,52.4,52.25,52.25,9634
20231031,52.59,52.63,52.48,52.62,4811
20231101,53,53.19,53,53.15,12252
20231102,53.19,53.24,53.01,53.11,7423
20231103,53.95,53.99,53.85,53.95,67750
20231106,54.85,54.85,53.7,53.77,41645
20231107,53.95,54.26,53.76,54.26,8819
20231108,54.61,54.61,54.28,54.32,10458
20231109,55.01,55.01,54.65,54.66,10785
20231110,54.68,54.87,54.68,54.83,22377
20231113,55.44,55.44,55.26,55.26,4233
20231114,55.95,55.95,55.36,55.45,7408
20231115,56.07,56.07,55.55,55.59,84697
20231116,55.6,55.71,55.4,55.65,3983
20231117,56,56,55.83,55.92,2153184
20231120,56,56,55.28,55.32,47539
20231121,55.71,55.72,55.5,55.5,7018
20231122,55.64,55.66,55.46,55.63,18779
20231123,56,56,55.72,55.72,44399
20231124,55.93,55.93,55.75,55.76,27322
20231127,56,56,55.5,55.57,2262
20231128,55.57,55.57,55.2,55.24,2430
20231129,55.23,55.23,55,55.12,59079
20231130,55.44,55.44,55.25,55.25,446443
20231201,55.6,55.64,55.43,55.58,142028
20231204,55.99,55.99,55.24,55.46,9563
20231205,55.45,55.78,55.44,55.68,23805
20231206,56,56.12,55.93,56.05,4109
20231207,56.12,56.12,55.88,56.04,2001
20231208,56.04,56.04,55.71,55.71,2478
20231211,57,57.07,56.36,56.44,2115
20231212,56.64,56.65,56.4,56.4,11202
20231213,56.94,56.96,56.86,56.88,3544
20231214,56.9,56.93,56.39,56.56,462031
20231215,56.75,56.76,56.59,56.61,120106
20231218,56.6,56.6,56.44,56.49,8669
20231219,56.71,56.72,56.54,56.59,20749
20231220,56.64,56.68,56.53,56.6,6440
