Date,Open,High,Low,Close,Volume
20240508,25.05,25.05,25.03,25.03,5001
20240509,25.06,25.06,25.06,25.06,1592
20240510,25.07,25.07,25.07,25.07,3491
20240513,25.07,25.07,25.06,25.06,8297
20240514,25.1,25.1,25.08,25.09,51238
20240515,25.09,25.1,25.09,25.1,51195
20240516,25.1,25.11,25.09,25.11,34558
20240517,25.12,25.12,25.12,25.12,357
20240520,25.13,25.13,25.13,25.13,32
20240521,25.14,25.14,25.14,25.14,15003
20240522,25.14,25.15,25.13,25.15,28139
20240523,25.16,25.16,25.16,25.16,90
20240524,25.17,25.18,25.17,25.18,15172
20240527,25.19,25.19,25.18,25.18,21082
20240528,25.2,25.2,25.19,25.2,145
20240529,25.21,25.21,25.2,25.21,2386
20240530,25.22,25.23,25.21,25.23,7508
20240531,25.23,25.23,25.22,25.22,63912
20240603,25.23,25.24,25.22,25.24,246441
20240604,25.23,25.23,25.23,25.23,6
20240605,25.26,25.26,25.24,25.26,4763
20240606,25.25,25.26,25.25,25.25,21343
20240607,25.27,25.27,25.26,25.27,29640
20240611,25.27,25.28,25.27,25.27,21823
20240612,25.29,25.29,25.26,25.26,2601
20240613,25.3,25.3,25.28,25.28,5765
20240614,25.31,25.31,25.29,25.31,7982
20240617,25.31,25.32,25.3,25.31,475
20240618,25.3,25.3,25.3,25.3,40
20240619,25.3,25.31,25.3,25.31,3261
20240620,25.31,25.31,25.31,25.31,2388
20240621,25.32,25.32,25.31,25.32,3598
20240624,25.33,25.33,25.31,25.33,5240
20240625,25.34,25.34,25.34,25.34,1183
20240626,25.34,25.34,25.34,25.34,6531
20240627,25.36,25.36,25.36,25.36,6
20240628,25.38,25.38,25.37,25.37,10178
20240701,25.29,25.29,25.26,25.26,21
20240702,25.28,25.31,25.28,25.3,3826
20240703,25.31,25.31,25.31,25.31,11961
20240704,25.31,25.31,25.28,25.3,67863
20240705,25.3,25.3,25.3,25.3,0
20240708,25.34,25.34,25.34,25.34,233
20240709,25.34,25.34,25.34,25.34,4287
20240710,25.35,25.35,25.34,25.34,2250
20240711,25.35,25.35,25.31,25.33,25166
20240712,25.33,25.36,25.33,25.34,44911
20240715,25.37,25.37,25.35,25.35,2678
20240716,25.37,25.38,25.36,25.37,73
20240717,25.38,25.38,25.34,25.36,211
20240718,25.37,25.38,25.36,25.36,5040
20240719,25.38,25.38,25.37,25.38,51900
20240722,25.38,25.38,25.37,25.37,33279
20240723,25.39,25.39,25.37,25.39,47232
20240724,25.4,25.4,25.4,25.4,4183
20240725,25.4,25.4,25.4,25.4,2571
20240726,25.4,25.4,25.39,25.39,63
20240729,25.41,25.41,25.39,25.4,82103
20240730,25.42,25.42,25.39,25.39,3293
20240731,25.42,25.43,25.42,25.43,35984
20240801,25.32,25.33,25.31,25.32,392345
20240802,25.32,25.35,25.32,25.34,390375
20240805,25.32,25.43,25.32,25.36,26367
20240806,25.33,25.37,25.32,25.37,21093
20240807,25.34,25.34,25.3,25.3,8991
20240808,25.3,25.33,25.29,25.31,74355
20240809,25.33,25.34,25.32,25.34,20792
20240812,25.28,25.35,25.28,25.31,9550
20240813,25.36,25.36,25.34,25.34,9460
20240814,25.37,25.37,25.32,25.32,44679
20240815,25.32,25.37,25.32,25.32,57660
20240816,25.39,25.39,25.34,25.35,21911
20240819,25.36,25.36,25.34,25.36,13670
20240820,25.37,25.37,25.17,25.3,173029
20240821,25.34,25.37,25.34,25.37,47424
20240822,25.37,25.37,25.36,25.36,7417
20240823,25.37,25.37,25.35,25.35,55312
20240826,25.37,25.39,25.37,25.37,24595
20240827,25.4,25.4,25.4,25.4,1
20240828,25.42,25.42,25.42,25.42,21681
20240829,25.42,25.44,25.4,25.44,30990
20240830,25.45,25.45,25.4,25.4,9756
20240902,25.35,25.35,25.32,25.35,53253
20240903,25.34,25.36,25.31,25.36,23702
20240904,25.37,25.37,25.36,25.37,1681
20240905,25.38,25.38,25.37,25.38,2756
20240906,25.38,25.38,25.32,25.37,35005
20240909,25.38,25.38,25.38,25.38,946
20240910,25.38,25.38,25.37,25.38,9704
20240911,25.38,25.38,25.38,25.38,159287
20240912,25.38,25.39,25.37,25.39,54939
20240913,25.38,25.39,25.37,25.38,137849
20240916,25.4,25.4,25.37,25.39,15209
20240917,25.4,25.4,25.39,25.4,20432
20240918,25.42,25.42,25.4,25.42,2424
20240919,25.4,25.4,25.39,25.4,5716
20240920,25.41,25.42,25.38,25.38,8528
20240923,25.41,25.43,25.41,25.43,43741
20240924,25.43,25.61,25.39,25.43,14913
20240925,25.42,25.43,25.4,25.43,31162
20240926,25.45,25.45,25.43,25.45,32203
20240927,25.45,25.45,25.41,25.44,12599
20240930,25.46,25.46,25.44,25.45,56960
20241001,25.32,25.34,25.32,25.34,42660
20241002,25.35,25.35,25.33,25.33,36518
20241003,25.34,25.35,25.34,25.35,1780
20241004,25.38,25.38,25.38,25.38,18702
20241007,25.38,25.4,25.38,25.4,1698
20241008,25.39,25.41,25.38,25.38,9879
20241009,25.4,25.4,25.38,25.39,22852
20241010,25.42,25.42,25.42,25.42,771
20241011,25.43,25.43,25.38,25.38,40917
20241014,25.43,25.43,25.38,25.38,25623
20241015,25.44,25.44,25.43,25.44,24044
20241016,25.45,25.46,25.41,25.46,15859
20241017,25.42,25.46,25.42,25.42,2977
20241018,25.45,25.48,25.45,25.45,5519
20241021,25.49,25.49,25.47,25.47,7777
20241022,25.5,25.51,25.47,25.48,38405
20241023,25.5,25.5,25.48,25.5,1586
20241024,25.49,25.51,25.49,25.49,3837
20241025,25.52,25.53,25.49,25.52,79224
20241028,25.49,25.52,25.49,25.51,16276
20241029,25.5,25.53,25.5,25.51,10580
20241030,25.52,25.55,25.5,25.55,17875
20241031,25.55,25.55,25.52,25.55,13702
20241101,25.5,25.5,25.43,25.45,11561
20241104,25.45,25.45,25.44,25.45,6064
20241105,25.46,25.47,25.44,25.47,18796
20241106,25.46,25.47,25.46,25.47,5143
20241107,25.46,25.46,25.45,25.45,6024
20241108,25.48,25.48,25.46,25.46,12785
20241111,25.48,25.49,25.46,25.48,13575
20241112,25.5,25.5,25.48,25.5,3759
20241113,25.51,25.51,25.48,25.5,4534
20241114,25.5,25.51,25.5,25.51,17311
20241115,25.52,25.52,25.49,25.52,11118
20241118,25.53,25.53,25.5,25.52,3722
20241119,25.51,25.52,25.49,25.52,90840
20241120,25.5,25.53,25.5,25.52,6857
20241121,25.51,25.54,25.5,25.53,204421
20241122,25.53,25.54,25.51,25.54,110789
20241125,25.54,25.54,25.5,25.54,50571
20241126,25.54,25.55,25.51,25.54,25253
20241127,25.53,25.54,25.51,25.54,14033
20241128,25.53,25.53,25.52,25.53,5111
20241129,25.52,25.55,25.5,25.53,20782
20241202,25.42,25.43,25.41,25.43,28177
20241203,25.42,25.43,25.39,25.39,638085
20241204,25.42,25.42,25.4,25.4,49358
20241205,25.41,25.44,25.41,25.43,6618
20241206,25.43,25.44,25.42,25.42,11073
20241209,25.45,25.45,25.42,25.42,30433
20241210,25.45,25.46,25.44,25.44,18288
20241211,25.45,25.47,25.44,25.47,20335
20241212,25.47,25.47,25.44,25.47,68500
20241213,25.48,25.48,25.46,25.47,21782
20241216,25.47,25.49,25.46,25.49,63767
20241217,25.5,25.5,25.47,25.5,122581
20241218,25.5,25.51,25.48,25.48,109285
20241219,25.52,25.53,25.48,25.53,231666
20241220,25.53,25.54,25.51,25.54,77044
20241223,25.54,25.55,25.53,25.55,14733
20241224,25.56,25.56,25.56,25.56,650
20241227,25.56,25.56,25.53,25.53,11273
20241230,25.57,25.57,25.57,25.57,707
20241231,25.58,25.58,25.54,25.54,33648
20250102,25.46,25.46,25.43,25.45,3313
20250103,25.45,25.48,25.45,25.48,27948
20250106,25.49,25.49,25.48,25.48,23833
20250107,25.48,25.48,25.48,25.48,47457
20250108,25.48,25.48,25.45,25.45,188143
20250109,25.48,25.48,25.46,25.48,214600
20250110,25.49,25.49,25.47,25.48,318965
20250113,25.48,25.49,25.47,25.48,314586
20250114,25.48,25.49,25.47,25.48,108478
20250115,25.48,25.48,25.47,25.48,142710
20250116,25.48,25.48,25.47,25.48,43565
20250117,25.49,25.49,25.48,25.49,44873
