Date,Open,High,Low,Close,Volume
20230913,9.94,9.97,9.93,9.95,16623
20230914,10,10,9.9,9.9,7671
20230915,9.99,9.99,9.88,9.9,12803
20230918,9.91,9.91,9.86,9.86,1549
20230919,9.76,9.76,9.73,9.74,13528
20230920,9.83,9.83,9.61,9.61,12780
20230921,9.75,9.75,9.75,9.75,2055
20230922,9.5,9.56,9.5,9.56,5604
20230925,9.62,9.62,9.53,9.62,243
20230926,9.5,9.5,9.5,9.5,1720
20230927,9.45,9.45,9.45,9.45,5285
20230928,9.58,9.58,9.58,9.58,300
20230929,9.49,9.49,9.47,9.47,5798
20231002,9.61,9.61,9.57,9.57,327
20231003,9.68,9.7,9.68,9.7,60
20231004,9.61,9.61,9.43,9.43,1156
20231005,9.42,9.42,9.42,9.42,551
20231006,9.42,9.42,9.42,9.42,0
20231009,9.56,9.59,9.56,9.59,304
20231010,9.65,9.65,9.6,9.6,73
20231011,9.7,9.7,9.7,9.7,53
20231012,9.75,9.85,9.74,9.74,1112
20231013,9.74,9.74,9.74,9.74,0
20231016,9.68,9.68,9.65,9.65,5227
20231017,9.82,9.82,9.76,9.8,647
20231018,9.81,9.83,9.81,9.81,2702
20231019,9.81,9.81,9.8,9.8,815
20231020,9.71,9.71,9.68,9.68,5373
20231023,9.49,9.49,9.49,9.49,38
20231024,9.3,9.3,9.3,9.3,322
20231025,9.49,9.49,9.49,9.49,105
20231026,9.18,9.18,9.15,9.15,5471
20231027,9.15,9.15,9.11,9.11,6057
20231030,9.11,9.11,9.11,9.11,54
20231031,9.01,9.01,8.99,8.99,7654
20231101,9.22,9.22,9.22,9.22,22
20231102,9.1,9.1,9.1,9.1,5543
20231103,9.11,9.11,9,9.04,22070
20231106,9.2,9.2,9.2,9.2,6525
20231107,9.19,9.19,9.19,9.19,40
20231108,9.19,9.19,9.19,9.19,0
20231109,9.19,9.19,9.19,9.19,0
20231110,9.55,9.55,9.55,9.55,200
20231113,9.8,9.8,9.73,9.73,217
20231114,9.73,9.73,9.73,9.73,0
20231115,10.04,10.04,10.04,10.04,540
20231116,9.81,9.81,9.73,9.73,5072
20231117,9.73,9.73,9.73,9.73,0
20231120,9.8,9.88,9.8,9.88,507
20231121,9.94,9.94,9.93,9.93,4011
20231122,9.93,9.93,9.93,9.93,510
20231123,10.01,10.01,9.96,9.96,59
20231124,9.95,9.95,9.95,9.95,10
20231127,10.03,10.03,9.98,9.98,29
20231128,10.09,10.09,10.09,10.09,19
20231129,10.09,10.09,10.09,10.09,0
20231130,10.41,10.41,10.25,10.25,526
20231201,10.25,10.26,10.23,10.26,199
20231204,10.28,10.37,10.28,10.29,166
20231205,10.46,10.46,10.44,10.45,288
20231206,10.45,10.45,10.45,10.45,0
20231207,10.45,10.45,10.45,10.45,0
20231208,10.6,10.6,10.58,10.58,708
20231211,10.82,10.82,10.74,10.74,23
20231212,10.87,10.88,10.79,10.79,1128
20231213,10.79,10.79,10.79,10.79,0
20231214,11.02,11.02,10.89,10.89,203
20231215,10.96,10.96,10.9,10.9,372
20231218,11.05,11.06,11.05,11.05,192
20231219,11.05,11.06,11,11.05,8063
20231220,11.13,11.13,11.05,11.11,7049
20231221,11.11,11.11,10.9,10.9,8202
20231222,10.89,10.89,10.89,10.89,2605
20231227,11.12,11.12,11,11,57
20231228,11,11,11,11,0
20231229,10.96,10.96,10.78,10.78,153
20240102,11.01,11.01,10.85,10.85,98
20240103,10.85,10.85,10.8,10.8,77
20240104,10.51,10.51,10.45,10.45,452
20240105,10.53,10.53,10.46,10.46,10
20240108,10.47,10.47,10.4,10.4,150
20240109,10.4,10.6,10.4,10.6,138
20240110,10.8,10.82,10.75,10.75,1764
20240111,11.02,11.02,11.01,11.01,999
20240112,11.23,11.23,11.13,11.15,274
20240115,11.27,11.27,11.23,11.23,135
20240116,11.31,11.31,11.31,11.31,380
20240117,11.46,11.46,11.35,11.37,2739
20240118,11.34,11.34,11.3,11.3,6743
20240119,11.52,11.52,11.36,11.36,10790
20240122,11.51,11.51,11.4,11.41,816
20240123,11.55,11.67,11.55,11.64,905
20240124,11.68,11.68,11.64,11.68,6164
20240125,11.7,11.7,11.6,11.63,12778
20240129,11.77,11.77,11.52,11.54,3846
20240130,11.76,11.76,11.74,11.75,460
20240131,11.87,11.87,11.71,11.73,4040
20240201,11.74,11.74,11.54,11.55,559
20240202,11.81,11.81,11.59,11.6,2042
20240205,11.6,11.63,11.59,11.59,1762
20240206,11.6,11.6,11.47,11.48,1159
20240207,11.71,11.71,11.71,11.71,11
20240208,11.84,11.84,11.69,11.7,208
20240209,12.03,12.12,12.03,12.1,18435
20240212,12.3,12.3,12.18,12.22,6695
20240213,12.12,12.15,12.12,12.15,4503
20240214,12.14,12.14,12,12.02,1337
20240215,12.4,12.4,12.16,12.16,8454
20240216,12.33,12.33,12.01,12.09,77761
20240219,12.1,12.1,11.91,11.94,490
20240220,11.96,11.96,11.92,11.92,4155
20240221,11.82,11.82,11.25,11.28,23234
20240222,11.01,11.17,11.01,11.14,2310
20240223,11.14,11.36,11.14,11.2,5560
20240226,11.55,11.55,11.32,11.32,13153
20240227,11.71,11.71,11.53,11.53,337
20240228,11.64,11.68,11.64,11.67,2179
20240229,11.8,11.8,11.78,11.79,551
20240301,11.8,11.8,11.73,11.74,14
20240304,11.72,11.76,11.72,11.76,7840
20240305,12,12,11.63,11.64,1456
20240306,11.61,11.75,11.61,11.74,12177
20240307,11.73,11.73,11.4,11.4,2166
20240308,11.4,11.51,11.4,11.51,9321
20240311,11.5,11.5,11.35,11.48,4967
20240312,11.64,11.67,11.35,11.66,14129
20240313,11.82,11.82,11.69,11.69,83
20240314,11.81,11.81,11.64,11.65,91
20240315,11.67,11.67,11.54,11.59,750
20240318,11.51,11.64,11.4,11.43,685
20240319,11.44,11.45,11.43,11.45,88
20240320,11.47,11.47,11.42,11.42,89
20240321,11.55,11.55,11.47,11.49,11
20240322,11.65,11.65,11.5,11.63,4650
20240325,11.64,11.64,11.46,11.47,6653
20240326,11.64,11.64,11.37,11.4,2493
20240327,11.45,11.5,11.45,11.5,3755
20240328,11.46,11.46,11.39,11.4,2223
20240402,11.52,11.52,11.47,11.48,2602
20240403,11.5,11.5,11.36,11.36,6023
20240404,11.38,11.38,11.31,11.31,201
20240405,11.34,11.34,11.09,11.1,6845
20240408,11.1,11.23,11.1,11.17,5521
20240409,11.16,11.16,11.15,11.16,1634
20240410,11.43,11.43,11.2,11.2,1765
20240411,11.26,11.26,11.23,11.26,3052
20240412,11.28,11.3,11.28,11.3,6616
20240415,11.39,11.39,11.08,11.13,322
20240416,11.08,11.08,10.85,10.85,938
20240417,11.25,11.25,10.88,10.88,463
20240418,10.98,10.98,10.77,10.77,57
20240419,10.87,10.87,10.71,10.74,5155
20240422,10.77,10.8,10.77,10.78,56
20240423,10.81,10.84,10.8,10.84,4195
20240424,11.01,11.01,10.96,10.96,1867
20240426,11,11,10.88,10.89,4538
20240429,11.01,11.19,10.98,10.98,1904
20240430,10.99,11,10.97,11,949
20240501,10.88,10.91,10.88,10.91,149
20240502,10.98,11.03,10.98,11.03,50
20240503,10.84,10.85,10.82,10.83,7947
20240506,11.01,11.01,10.89,10.9,4792
20240507,11.04,11.12,11.04,11.12,5178
20240508,11.28,11.28,11.06,11.06,1235
20240509,11.05,11.05,10.93,10.95,1738
20240510,10.98,10.99,10.95,10.95,96
20240513,11,11.01,11,11,111
20240514,11.11,11.11,11.1,11.1,102
20240515,11.1,11.23,11.1,11.14,370
20240516,11.16,11.25,11.16,11.23,1765
20240517,11.19,11.21,11.18,11.18,3107
20240520,11.21,11.21,11.16,11.16,248
20240521,11.09,11.12,11.09,11.12,9168
20240522,11.25,11.25,11.14,11.155,5665
20240523,11.2,11.24,11.2,11.23,3721
20240524,11.32,11.32,11.13,11.14,9176
20240527,11.18,11.18,11.12,11.14,1681
20240528,11.13,11.14,11.11,11.11,3984
20240529,10.96,10.97,10.93,10.94,167
20240530,10.9,10.96,10.89,10.92,2077
20240531,10.89,10.89,10.67,10.7,3975
20240603,10.64,10.7,10.64,10.69,1339
20240604,10.69,10.7,10.5,10.535,1384
20240605,10.52,10.53,10.51,10.52,17
20240606,10.63,10.7,10.63,10.67,4175
20240607,10.71,10.73,10.69,10.69,8
20240611,10.72,10.93,10.72,10.93,328
20240612,10.99,10.99,10.94,10.94,688
20240613,10.99,11,10.975,11,16
20240614,10.95,10.95,10.84,10.86,13995
20240617,10.805,10.83,10.79,10.8,148
20240618,10.76,10.82,10.76,10.81,8998
20240619,10.75,10.75,10.58,10.6,4056
20240620,10.8,10.8,10.56,10.59,6414
20240621,10.55,10.59,10.55,10.59,85
20240624,10.7,10.7,10.675,10.69,2439
20240625,10.74,10.74,10.63,10.68,5620
20240626,10.69,10.7,10.63,10.63,3487
20240627,10.71,10.72,10.71,10.72,2437
20240628,10.77,10.98,10.74,10.9,1432
20240701,10.98,11.02,10.92,11.02,148
20240702,11.01,11.01,10.92,10.95,4851
20240703,10.98,10.98,10.93,10.94,26
20240704,11,11,10.91,10.91,8263
20240705,10.9,10.91,10.87,10.9,69
20240708,10.92,10.92,10.9,10.9,103
20240709,10.92,10.93,10.89,10.89,10
20240710,10.89,10.89,10.73,10.76,4998
20240711,10.8,10.84,10.69,10.71,8994
20240712,10.83,10.83,10.78,10.79,5273
20240715,10.92,10.95,10.92,10.95,3528
20240716,11.06,11.11,11.06,11.09,6272
20240717,11.12,11.17,11.11,11.14,5037
20240718,11.11,11.11,10.99,11.01,280
20240719,10.92,10.92,10.81,10.81,4810
20240722,10.81,10.85,10.79,10.83,6651
20240723,10.83,10.88,10.83,10.88,996
20240724,10.99,11.01,10.99,11.01,273
20240725,10.96,10.96,10.91,10.92,2936
20240726,11.02,11.04,11.01,11.04,3624
20240729,11.09,11.12,11.09,11.12,5586
20240730,11.21,11.21,10.97,11.02,3257
20240731,11.12,11.26,11.11,11.26,2527
20240801,11.26,11.26,11.12,11.15,154
20240802,11,11,10.83,10.83,15984
20240805,10.75,10.75,10.47,10.47,3098
