Date,Open,High,Low,Close,Volume
20150626,79,79,78.01,78.1,2086
20150629,74,74.58,70.4,73.01,12772
20150630,70.79,74.83,70.79,74.14,1050
20150701,74.86,74.86,74.86,74.86,30
20150702,72.71,73.2,72.1,73.2,891
20150703,69.67,70.18,67.2,67.26,24367
20150706,67.7,71.86,67.52,68.83,14264
20150707,69.21,69.21,66.92,67.61,6082
20150708,64.47,64.47,62.86,62.86,4313
20150709,58.63,64.21,58.63,64.21,8539
20150710,66.02,71.33,66.02,69.5,6880
20150713,72.4,72.4,68.91,69.12,11805
20150714,72.87,72.9,68.33,68.39,21568
20150715,70.83,70.83,67.68,68.24,21025
20150716,69.2,74.76,69.2,71.37,44800
20150717,69.08,71.99,69.08,71.99,11780
20150720,73.1,73.1,69.5,70.27,11235
20150721,70.88,72.02,69.39,72.02,10689
20150722,72.37,72.37,70.4,70.4,11450
20150723,73.07,74.5,72.27,74.5,5836
20150724,75,75.76,74.77,74.99,2628
20150727,72.72,72.88,71.25,71.29,1810
20150728,67.59,68.04,67.5,67.5,775
20150729,67.7,68.25,67.7,67.71,752
20150730,68.48,68.87,68.3,68.84,5000
20150731,67.54,68.23,67.54,67.71,4000
20150803,67.71,67.71,67.71,67.71,0
20150804,68.08,68.13,68.08,68.13,1000
20150805,68.55,68.55,68.55,68.55,400
20150806,68.43,68.53,68.09,68.53,6000
20150807,67.26,68.51,67.26,68.32,8900
20150810,68.29,70.03,68.29,69.96,5208
20150811,71.64,72.43,70.58,70.6,6646
20150812,70.32,70.74,69.99,69.99,4500
20150813,68.52,68.52,68.52,68.52,100
20150814,69.09,69.15,68.86,68.86,2500
20150817,68.48,68.48,67.91,67.91,3000
20150818,69.67,69.7,67.7,67.7,4500
20150819,64.93,64.94,63.65,64.14,6252
20150820,64.88,65.65,64.88,65.48,2628
20150821,64.64,64.64,64.12,64.13,3500
20150824,60.87,60.87,55.92,57.74,17273
20150825,52.87,54.91,51.72,53.14,29162
20150826,52.56,54.14,52.56,54.14,370
20150827,53.62,54.24,53.2,53.93,5680
20150828,58.2,58.2,56.63,56.63,482
20150831,57.34,57.34,56.57,56.86,4000
20150901,56.86,56.86,56.86,56.86,0
20150902,56.86,56.86,56.86,56.86,0
20150903,56.86,56.86,56.86,56.86,0
20150904,57.23,57.24,56.82,56.82,2500
20150907,59.42,59.55,59.21,59.42,4500
20150908,60.57,60.57,57.19,57.58,6973
20150909,59.14,60.06,59.14,60.06,2700
20150910,59.25,59.95,59.25,59.95,1008
20150911,59.95,59.95,59.95,59.95,0
20150914,57.45,57.73,57.45,57.73,2000
20150915,57.73,57.73,57.73,57.73,0
20150916,55.72,55.74,54.59,54.59,5000
20150917,58.1,58.15,57.34,57.63,4780
20150918,57.05,57.14,56.76,57.14,1497
20150921,56.5,57.07,56.5,57.07,1800
20150922,58.44,59.35,58.44,59.17,4300
20150923,58.65,58.8,58.33,58.33,4554
20150924,59.58,59.61,59.58,59.61,1000
20150925,59.61,59.61,59.61,59.61,0
20150928,57,57.48,57,57.48,2000
20150929,57.16,57.93,57.08,57.1,4000
20150930,57.64,58.09,57.64,58.09,5020
20151001,58.03,58.03,57.78,57.78,1860
20151002,57.78,57.78,57.78,57.78,0
20151005,57.78,57.78,57.78,57.78,0
20151006,57.78,57.78,57.78,57.78,0
20151007,58.97,59.2,58.88,59.2,4000
20151008,59,59,59,59,100
20151009,59.28,59.28,57.88,58.02,3520
20151012,58.25,58.28,58.25,58.28,1000
20151013,58.28,58.28,58.28,58.28,0
20151014,60.76,60.76,60.39,60.39,659
20151015,58.89,59.87,58.89,59.78,1335
20151016,59.78,59.78,59.78,59.78,0
20151019,62.46,62.46,61.98,61.98,2000
20151020,61.23,61.23,61.23,61.23,75
20151021,62,62,62,62,550
20151022,59.9,60.17,59.9,59.93,750
20151023,62.5,62.5,62.5,62.5,100
20151026,62.5,62.5,62.5,62.5,0
20151027,62.22,62.22,61.5,61.5,3016
20151028,61.5,61.5,61.5,61.5,0
20151029,62.74,62.77,62.72,62.77,1159
20151030,62.77,62.77,62.77,62.77,0
20151102,62.77,62.77,62.77,62.77,0
20151103,62,62,61.82,61.82,3000
20151104,62.29,62.58,62.29,62.51,2600
20151105,64.88,66.75,64.88,66.75,2000
20151106,66.75,66.75,66.75,66.75,0
20151109,69.83,69.83,69.83,69.83,1500
20151110,68.43,69.34,68.28,69.34,1030
20151111,69.34,69.34,69.34,69.34,0
20151112,69.34,69.34,69.34,69.34,0
20151113,66.94,66.94,66.86,66.86,900
20151116,65.86,65.86,65.86,65.86,1000
20151117,68.28,68.28,68.26,68.26,400
20151118,68.26,68.26,68.26,68.26,0
20151119,68.26,68.26,68.26,68.26,0
20151120,68.26,68.26,68.26,68.26,0
20151123,68.26,68.26,68.26,68.26,0
20151124,65.28,65.28,65.28,65.28,350
20151125,65.45,65.45,65.24,65.24,360
20151126,66.39,66.39,66.39,66.39,500
20151127,66.39,66.39,66.39,66.39,8
20151130,62.35,62.38,61.62,61.62,832
20151201,63.07,63.07,61.88,61.88,5700
20151202,62.91,62.91,62.91,62.91,500
20151203,62.91,62.91,62.91,62.91,0
20151204,64.41,64.41,63.39,63.39,8500
20151207,63.42,63.62,63.42,63.62,3500
20151208,62.69,62.73,62.69,62.73,580
20151209,63.37,63.41,63.37,63.41,1500
20151210,63.41,63.41,63.41,63.41,0
20151211,63.41,63.41,63.41,63.41,0
20151214,63.41,63.41,63.41,63.41,0
20151215,63.41,63.41,63.41,63.41,0
20151216,63.41,63.41,63.41,63.41,0
20151217,65.03,65.03,65.03,65.03,160
20151218,65.03,65.03,65.03,65.03,0
20151221,65.03,65.03,65.03,65.03,0
20151222,64.5,64.5,63.51,63.51,200
20151223,63.51,63.51,63.51,63.51,0
20151224,63.51,63.51,63.51,63.51,0
20151229,63.51,63.51,63.51,63.51,0
20151230,63.51,63.51,63.51,63.51,0
20151231,63.51,63.51,63.51,63.51,0
20160104,58.87,58.87,58.87,58.87,100
20160105,56.36,57.86,56.36,57.86,126
20160106,57.86,57.86,57.86,57.86,0
20160107,57.46,57.56,52.96,54.75,3230
20160108,54.56,54.57,54.54,54.54,1180
20160111,55.11,55.11,55.1,55.1,1000
20160112,54.27,54.27,54.27,54.27,500
20160113,54.27,54.27,54.27,54.27,0
20160114,54.27,54.27,54.27,54.27,0
20160115,54.27,54.27,54.27,54.27,0
20160118,54.03,54.03,54.03,54.03,25
20160119,55.62,55.62,55.62,55.62,275
20160120,54.98,54.98,53.7,53.7,582
20160121,53.95,53.95,53.95,53.95,1000
20160122,52.85,52.85,52.07,52.07,2000
20160125,52.68,52.68,52.57,52.57,550
20160127,49.06,49.06,49.06,49.06,500
20160128,49.06,49.06,49.06,49.06,0
20160129,47.44,47.44,47.44,47.44,100
20160201,48.71,48.71,48.71,48.71,27
20160202,47.43,47.43,47.43,47.43,100
20160203,47.43,47.43,47.43,47.43,0
20160204,47.43,47.43,47.43,47.43,0
20160205,47.43,47.43,47.43,47.43,0
20160208,47.43,47.43,47.43,47.43,0
20160209,49.13,49.13,49.13,49.13,3000
20160210,49.13,49.13,49.13,49.13,0
20160211,49.13,49.13,49.13,49.13,0
20160212,46.85,46.85,46.85,46.85,284
20160215,49.62,49.66,49.62,49.66,1000
20160216,50,50.02,49.52,49.52,1700
20160217,50.83,50.83,50.78,50.78,540
20160218,50.78,50.78,50.78,50.78,0
20160219,50.63,50.63,50.63,50.63,40
20160222,50.63,50.63,50.63,50.63,0
20160223,50.68,50.68,50.68,50.68,40
20160224,50.84,51.07,50.84,51.07,1000
20160225,50.22,50.22,49.55,49.55,2040
20160226,48.13,48.13,48.13,48.13,200
20160229,48.13,48.13,48.13,48.13,0
20160301,48.13,48.13,48.13,48.13,0
20160302,48.3,48.3,48.3,48.3,500
20160303,49.67,49.67,49.36,49.46,237
20160304,49.46,49.46,49.46,49.46,0
20160307,49.68,49.69,49.49,49.5,3500
20160308,49.37,49.42,48.71,48.71,1500
20160309,48.6,48.6,48.6,48.6,500
20160310,48.39,48.39,48.39,48.39,500
20160311,48.11,48.24,48.11,48.17,2000
20160314,48.17,48.17,48.17,48.17,0
20160315,48.17,48.17,48.17,48.17,0
20160316,49.5,49.5,49.09,49.09,2200
20160317,49.09,49.09,49.09,49.09,0
20160318,49.09,49.09,49.09,49.09,0
20160321,50.79,51.52,50.79,51.52,1500
20160322,51.4,51.4,51.4,51.4,385
20160323,50.56,50.56,50.26,50.26,1000
20160324,50.68,50.68,50.68,50.68,500
20160329,49.37,49.37,49.37,49.37,1000
20160330,49.44,49.77,49.44,49.77,2000
20160331,50.73,50.73,50.72,50.72,350
20160401,50.72,50.72,50.72,50.72,0
20160404,50.72,50.72,50.72,50.72,0
20160405,51.42,51.45,51.23,51.23,1500
20160406,51.23,51.23,51.23,51.23,0
20160407,51.51,51.6,51.51,51.6,1000
20160408,50.65,50.65,50.65,50.65,60
20160411,50.65,50.65,50.65,50.65,0
20160412,50.82,50.96,50.7,50.7,1850
20160413,51.57,51.57,51.56,51.56,360
20160414,51.56,51.56,51.56,51.56,0
20160415,51.56,51.56,51.56,51.56,0
20160418,51.56,51.56,51.56,51.56,0
20160419,51.56,51.56,51.56,51.56,0
20160420,49.26,49.36,48.83,48.99,3062
20160421,48.99,48.99,48.99,48.99,0
20160422,48.99,48.99,48.99,48.99,0
20160426,48.99,48.99,48.99,48.99,0
20160427,50.01,50.09,50.01,50.09,1085
20160428,50.5,50.55,49.98,49.98,2000
20160429,49.96,49.96,49.96,49.96,12
20160502,49.96,49.96,49.96,49.96,0
20160503,49.96,49.96,49.96,49.96,0
20160504,49.96,49.96,49.96,49.96,0
