Date,Open,High,Low,Close,Volume
20231116,14.99,15.14,14.98,15.06,23989
20231117,15.31,15.31,15.06,15.09,15018
20231120,15.01,15.01,14.9,14.92,43225
20231121,15.04,15.05,14.97,15,6943
20231122,15.03,15.05,15.01,15.05,3157
20231123,15.1,15.1,15.09,15.09,370
20231124,15.11,15.11,15.07,15.1,10570
20231127,15.08,15.09,15.04,15.04,4330
20231128,15.02,15.02,15,15.01,20668
20231129,14.95,14.98,14.92,14.98,883
20231130,15.09,15.09,15,15.08,72969
20231201,15.12,15.13,15.09,15.12,34865
20231204,15.14,15.14,14.98,15.05,48905
20231205,15.27,15.27,15.04,15.11,39543
20231206,15.16,15.17,15.14,15.14,5464
20231207,15.13,15.13,15.1,15.1,1428
20231208,15.05,15.09,15.04,15.05,7878
20231211,15.18,15.21,15.18,15.19,8373
20231212,15.32,15.32,15.24,15.27,4937
20231213,15.41,15.41,15.38,15.41,81793
20231214,15.37,15.38,15.25,15.3,22092
20231215,15.44,15.44,15.19,15.19,17101
20231218,15.22,15.22,15.18,15.21,41871
20231219,15.29,15.29,15.25,15.27,29348
20231220,15.27,15.3,15.27,15.28,78651
20231221,15.15,15.16,15.11,15.16,18955
20231222,15.13,15.19,15.13,15.18,19716
20231227,15.18,15.23,15.18,15.19,8198
20231228,15.21,15.21,15.15,15.2,7777
20231229,15.23,15.24,15.2,15.2,7626
20240102,15.35,15.35,15.21,15.22,2336
20240103,15.21,15.23,15.16,15.21,2454
20240104,15.26,15.26,15.11,15.14,20214
20240105,15.18,15.24,15.18,15.24,81
20240108,15.2,15.2,15.16,15.16,47005
20240109,15.33,15.38,15.33,15.37,31011
20240110,15.37,15.44,15.37,15.4,11655
20240111,15.52,15.52,15.48,15.48,11688
20240112,15.57,15.58,15.53,15.56,32393
20240115,15.6,15.6,15.59,15.59,407
20240116,15.67,15.71,15.66,15.7,16731
20240117,15.79,15.79,15.74,15.74,1664
20240118,15.79,15.8,15.75,15.76,11513
20240119,15.84,15.84,15.8,15.83,10599
20240122,15.96,15.99,15.96,15.99,7808
20240123,16.06,16.07,15.99,15.99,12782
20240124,16.06,16.1,16.03,16.09,12125
20240125,16.09,16.09,16.03,16.03,3752
20240129,16.09,16.09,16.03,16.04,6475
20240130,16.1,16.15,16.1,16.15,18553
20240131,16.07,16.24,16.07,16.2,20064
20240201,16.11,16.16,16.11,16.15,684
20240202,16.3,16.3,16.21,16.21,89331
20240205,16.46,16.46,16.37,16.37,7257
20240206,16.44,16.44,16.33,16.33,26399
20240207,16.3,16.31,16.28,16.28,29234
20240208,16.48,16.48,16.42,16.47,3515
20240209,16.5,16.59,16.5,16.57,17213
20240212,16.63,16.64,16.61,16.64,12415
20240213,16.59,16.59,16.53,16.58,15597
20240214,16.56,16.57,16.5,16.53,14586
20240215,16.63,16.63,16.58,16.6,684
20240216,16.68,16.69,16.65,16.69,7799
20240219,16.53,16.54,16.46,16.48,6558
20240220,16.55,16.55,16.44,16.44,11038
20240221,16.43,16.43,16.3,16.3,128281
20240222,16.46,16.46,16.37,16.45,9626
20240223,16.51,16.58,16.5,16.55,15375
20240226,16.56,16.57,16.51,16.53,51683
20240227,16.69,16.69,16.6,16.6,1966
20240228,16.64,16.66,16.59,16.64,3970
20240229,16.7,16.71,16.64,16.68,2871
20240301,16.74,16.74,16.7,16.74,12818
20240304,16.72,16.81,16.72,16.75,1184
20240305,16.78,16.78,16.74,16.74,35797
20240306,16.64,16.64,16.59,16.59,19420
20240307,16.5,16.51,16.42,16.46,12284
20240308,16.6,16.6,16.54,16.54,11343
20240311,16.55,16.55,16.39,16.44,33989
20240312,16.54,16.54,16.48,16.49,50041
20240313,16.55,16.7,16.55,16.64,15550
20240314,16.59,16.63,16.59,16.61,6410
20240315,16.66,16.69,16.63,16.64,109710
20240318,16.51,16.59,16.51,16.59,9260
20240319,16.68,16.68,16.66,16.68,1149
20240320,16.75,16.82,16.75,16.77,3830
20240321,16.84,16.85,16.77,16.78,9459
20240322,16.8,16.95,16.8,16.93,18971
20240325,16.88,16.91,16.77,16.8,4054
20240326,16.79,16.79,16.76,16.79,15521
20240327,16.84,16.9,16.83,16.9,5544
20240328,16.93,16.93,16.83,16.84,33935
20240402,16.89,16.96,16.88,16.92,13278
20240403,16.96,16.96,16.67,16.68,17508
20240404,16.61,16.63,16.58,16.6,16005
20240405,16.43,16.43,16.3,16.4,21033
20240408,16.54,16.54,16.46,16.46,11078
20240409,16.44,16.48,16.44,16.45,8207
20240410,16.46,16.48,16.45,16.47,16085
20240411,16.53,16.55,16.51,16.51,18340
20240412,16.51,16.54,16.5,16.54,9043
20240415,16.52,16.52,16.49,16.51,22393
20240416,16.37,16.4,16.35,16.35,10846
20240417,16.44,16.47,16.38,16.38,2633
20240418,16.33,16.34,16.31,16.33,9808
20240419,16.28,16.28,16.15,16.22,15202
20240422,16.28,16.32,16.28,16.31,6329
20240423,16.3,16.3,16.26,16.26,3496
20240424,16.45,16.45,16.39,16.4,3212
20240426,16.3,16.35,16.3,16.34,2210
20240429,16.38,16.38,16.3,16.3,13055
20240430,16.3,16.37,16.3,16.35,41062
20240501,16.32,16.32,16.01,16.22,17592
20240502,16.2,16.24,16.19,16.19,13211
20240503,16.1,16.18,16.09,16.09,61111
20240506,16.14,16.23,16.14,16.21,31315
20240507,16.33,16.41,16.29,16.41,39985
20240508,16.47,16.47,16.45,16.45,30963
20240509,16.44,16.49,16.44,16.46,571
20240510,16.46,16.47,16.45,16.46,9402
20240513,16.48,16.54,16.48,16.52,3012
20240514,16.5,16.5,16.47,16.47,360
20240515,16.48,16.49,16.43,16.45,22382
20240516,16.57,16.65,16.55,16.65,53147
20240517,16.51,16.6,16.51,16.56,5548
20240520,16.57,16.58,16.53,16.58,18608
20240521,16.58,16.6,16.55,16.6,336
20240522,16.6,16.6,16.55,16.59,1474
20240523,16.64,16.71,16.64,16.71,93195
20240524,16.57,16.58,16.56,16.58,1764
20240527,16.54,16.54,16.49,16.53,9411
20240528,16.47,16.47,16.46,16.47,6835
20240529,16.38,16.38,16.31,16.34,7312
20240530,16.25,16.26,16.24,16.25,61102
20240531,16.15,16.15,16.09,16.14,5097
20240603,16.26,16.33,16.26,16.33,21722
20240604,16.1,16.15,16.1,16.14,27367
20240605,16.28,16.29,16.26,16.28,3745
20240606,16.09,16.38,16.09,16.37,866
20240607,16.42,16.43,16.39,16.41,8124
20240611,16.54,16.57,16.53,16.55,8325
20240612,16.5,16.51,16.48,16.5,448
20240613,16.49,16.52,16.47,16.48,12356
20240614,16.48,16.51,16.47,16.49,72966
20240617,16.56,16.56,16.52,16.54,6737
20240618,16.67,16.67,16.63,16.67,3339
20240619,16.61,16.61,16.57,16.6,87
20240620,16.65,16.65,16.52,16.59,17587
20240621,16.66,16.66,16.6,16.6,4313
20240624,15.99,16.72,15.99,16.71,5306
20240625,16.69,16.7,16.67,16.7,12047
20240626,16.75,16.75,16.68,16.68,194
20240627,16.6,16.62,16.59,16.61,4041
20240628,16.75,16.77,16.75,16.76,2452
20240701,16.75,16.75,16.42,16.44,3514
20240702,16.42,16.44,16.38,16.43,7623
20240703,16.44,16.5,16.44,16.49,10232
20240704,16.42,16.42,16.38,16.41,1017
20240705,16.4,16.4,16.38,16.39,1145
20240708,16.37,16.42,16.37,16.4,3580
20240709,16.4,16.46,16.4,16.45,5664
20240710,16.39,16.39,16.36,16.36,2110
20240711,16.48,16.48,16.41,16.46,11970
20240712,16.41,16.44,16.4,16.41,6341
20240715,16.58,16.58,16.535,16.56,6289
20240716,16.6,16.75,16.6,16.75,69393
20240717,16.84,16.84,16.76,16.76,3740
20240718,16.74,16.78,16.7,16.7,933
20240719,16.67,16.67,16.64,16.64,8149
20240722,16.61,16.65,16.58,16.63,2590
20240723,16.78,16.8,16.76,16.79,16314
20240724,16.76,16.78,16.74,16.78,4983
20240725,16.63,16.7,16.58,16.69,37851
20240726,16.71,16.71,16.67,16.67,2800
20240729,16.87,16.87,16.85,16.85,398
20240730,16.76,16.76,16.75,16.75,2191
20240731,16.79,17.08,16.79,17.08,212
20240801,17.1,17.1,17.03,17.1,11252
20240802,17,17,16.735,16.74,71798
20240805,16.77,16.77,16.35,16.58,149524
20240806,16.35,16.44,16.24,16.36,67810
20240807,16.25,16.44,16.25,16.39,52431
20240808,16.17,16.3,16.15,16.22,48236
20240809,16.4,16.41,16.35,16.35,6443
20240812,16.54,16.54,16.49,16.51,8032
20240813,16.59,16.59,16.49,16.52,18876
20240814,16.52,16.59,16.52,16.55,9343
20240815,16.79,16.82,16.68,16.68,8742
20240816,16.88,16.92,16.88,16.92,7488
20240819,16.8,16.84,16.77,16.77,298
20240820,16.83,16.89,16.83,16.87,529
20240821,16.81,16.87,16.81,16.87,20342
20240822,16.93,16.94,16.91,16.94,367
20240823,16.95,16.96,16.94,16.94,20466
20240826,16.8,16.87,16.8,16.87,2463
20240827,16.92,16.92,16.87,16.89,6807
20240828,16.85,16.89,16.85,16.89,5245
20240829,16.75,16.79,16.74,16.79,47757
20240830,16.91,16.92,16.86,16.86,32126
20240902,17.02,17.06,17.02,17.06,392
20240903,17,17.1,16.98,17.1,313
20240904,16.95,16.96,16.88,16.88,1479
20240905,16.89,16.9,16.88,16.9,378
20240906,16.75,16.75,16.68,16.72,4139
20240909,16.7,16.78,16.7,16.78,666
20240910,16.88,16.92,16.85,16.86,7683
20240911,16.9,16.92,16.88,16.88,640
20240912,16.93,16.96,16.93,16.96,289
20240913,16.94,16.95,16.9,16.92,65726
20240916,16.99,17.07,16.99,16.99,1121
20240917,17.02,17.04,16.99,16.99,1702
20240918,16.94,16.99,16.92,16.99,350
20240919,17,17,17,17,20
20240920,17.01,17.01,16.96,16.98,1303
20240923,17.04,17.04,16.99,16.99,1060
20240924,16.97,16.97,16.89,16.93,1074
20240925,16.77,16.78,16.74,16.77,1679
20240926,16.87,16.92,16.87,16.9,2383
20240927,16.8,16.87,16.79,16.83,5873
20240930,16.78,16.78,16.67,16.67,2812
20241001,16.8,16.8,16.69,16.69,4045
20241002,16.705,16.705,16.67,16.69,12077
20241003,16.75,16.75,16.7,16.75,104
20241004,16.76,16.825,16.76,16.79,5904
20241007,17.07,17.07,17.03,17.04,1616
20241008,16.96,17.01,16.96,17.01,3833
20241009,17.18,17.18,17.14,17.16,11206
20241010,17.36,17.36,17.34,17.34,770
20241011,17.34,17.34,17.3,17.3,768
20241014,17.47,17.47,17.39,17.39,1191
20241015,17.53,17.64,17.53,17.58,399
20241016,17.45,17.5,17.41,17.46,902
20241017,17.62,17.62,17.47,17.47,8769
20241018,17.45,17.5,17.43,17.46,850
20241021,17.44,17.5,17.44,17.5,7648
20241022,17.51,17.53,17.45,17.46,9618
20241023,17.35,17.36,17.35,17.36,8438
20241024,17.38,17.38,17.32,17.32,1844
20241025,17.42,17.43,17.39,17.43,13268
20241028,17.5,17.6,17.5,17.6,1350
20241029,17.6,17.62,17.57,17.61,7052
20241030,17.72,17.74,17.68,17.69,10384
20241031,17.58,17.63,17.57,17.62,74457
20241101,17.43,17.43,17.38,17.38,1914
20241104,17.6,17.6,17.38,17.39,2476
20241105,17.75,17.75,17.41,17.43,33500
20241106,17.62,17.94,17.62,17.92,14310
20241107,18.11,18.11,17.89,17.89,26217
20241108,17.9,17.94,17.89,17.94,440
20241111,18.14,18.19,18.14,18.14,771
20241112,18.27,18.32,18.25,18.32,12433
20241113,18.47,18.47,18.24,18.24,163
20241114,18.46,18.49,18.46,18.49,12408
20241115,18.39,18.39,18.3,18.34,9653
20241118,18.3,18.3,18.19,18.21,4483
20241119,18.11,18.11,18.04,18.08,4262
20241120,18.1,18.1,18.01,18.06,13083
20241121,18.24,18.24,18,18,1754
20241122,18.15,18.25,18.15,18.23,6918
20241125,18.37,18.39,18.36,18.39,9729
20241126,18.53,18.56,18.45,18.45,46703
20241127,18.65,18.65,18.59,18.59,1885
20241128,18.59,18.59,18.48,18.55,5810
20241129,18.55,18.57,18.51,18.52,27
20241202,18.51,18.6,18.51,18.55,10974
20241203,18.73,18.78,18.73,18.76,572
20241204,18.71,18.93,18.7,18.87,12253
20241205,18.8,19.04,18.8,18.99,753
20241206,18.98,18.98,18.86,18.9,6074
20241209,18.86,19.12,18.86,19.12,5867
20241210,19.06,19.06,18.75,18.8,257
20241211,18.89,18.93,18.86,18.86,1900
20241212,19.04,19.04,18.8,18.8,5618
20241213,18.8,18.8,18.77,18.77,4245
20241216,18.75,18.75,18.72,18.72,7771
20241217,18.86,18.86,18.7,18.71,2893
20241218,18.77,18.77,18.66,18.76,82
20241219,18.48,18.7,18.48,18.52,59567
20241220,18.52,18.52,18.39,18.39,4727
20241223,18.62,18.62,18.54,18.54,16838
20241224,18.57,18.58,18.57,18.58,3710
20241227,18.85,18.9,18.77,18.8,21379
20241230,18.77,18.77,18.55,18.55,182
20241231,18.66,18.66,18.45,18.52,6659
20250102,18.57,18.57,18.45,18.45,1020
20250103,18.51,18.51,18.4,18.44,1049
20250106,18.51,18.62,18.5,18.57,6756
20250107,18.8,18.8,18.5,18.5,6853
20250108,18.55,18.55,18.41,18.51,5506
