Date,Open,High,Low,Close,Volume
20240212,1.745,1.745,1.745,1.745,11406
20240213,1.745,1.745,1.745,1.745,48980
20240214,1.745,1.745,1.745,1.745,0
20240215,1.745,1.745,1.745,1.745,0
20240216,1.74,1.74,1.74,1.74,1583
20240219,1.74,1.74,1.725,1.725,121867
20240220,1.725,1.725,1.72,1.72,61503
20240221,1.715,1.715,1.715,1.715,100000
20240222,1.715,1.715,1.715,1.715,0
20240223,1.715,1.715,1.715,1.715,0
20240226,1.715,1.715,1.715,1.715,0
20240227,1.745,1.745,1.745,1.745,3428
20240228,1.745,1.745,1.745,1.745,0
20240229,1.795,1.795,1.795,1.795,73
20240301,1.795,1.795,1.795,1.795,9
20240304,1.745,1.745,1.745,1.745,3
20240305,1.735,1.735,1.735,1.735,11560
20240306,1.72,1.72,1.72,1.72,8720
20240307,1.72,1.72,1.72,1.72,0
20240308,1.725,1.725,1.725,1.725,2777
20240311,1.73,1.73,1.73,1.73,3
20240312,1.73,1.73,1.73,1.73,0
20240313,1.73,1.73,1.73,1.73,0
20240314,1.745,1.745,1.745,1.745,70
20240315,1.745,1.745,1.745,1.745,0
20240318,1.72,1.72,1.72,1.72,175003
20240319,1.725,1.725,1.725,1.725,100000
20240320,1.725,1.725,1.725,1.725,0
20240321,1.725,1.725,1.725,1.725,0
20240322,1.725,1.725,1.725,1.725,0
20240325,1.72,1.72,1.72,1.72,3
20240326,1.72,1.72,1.72,1.72,0
20240327,1.72,1.72,1.72,1.72,0
20240328,1.72,1.72,1.72,1.72,0
20240402,1.77,1.77,1.71,1.71,13403
20240403,1.715,1.715,1.71,1.71,23604
20240404,1.695,1.695,1.695,1.695,60000
20240405,1.675,1.675,1.675,1.675,2900
20240408,1.685,1.685,1.685,1.685,3
20240409,1.695,1.695,1.69,1.69,2
20240410,1.69,1.69,1.69,1.69,0
20240411,1.675,1.675,1.675,1.675,8955
20240412,1.685,1.685,1.685,1.685,8955
20240415,1.665,1.665,1.665,1.665,1
20240416,1.65,1.65,1.65,1.65,15150
20240417,1.645,1.645,1.645,1.645,29303
20240418,1.64,1.64,1.62,1.625,3557
20240419,1.625,1.625,1.605,1.605,12728
20240422,1.63,1.63,1.625,1.625,122702
20240423,1.625,1.625,1.625,1.625,0
20240424,1.625,1.625,1.625,1.625,0
20240426,1.66,1.665,1.66,1.665,35065
20240429,1.665,1.665,1.665,1.665,42042
20240430,1.665,1.665,1.665,1.665,0
20240501,1.63,1.63,1.63,1.63,735
20240502,1.63,1.63,1.63,1.63,0
20240503,1.63,1.63,1.63,1.63,0
20240506,1.63,1.63,1.63,1.63,0
20240507,1.63,1.63,1.63,1.63,0
20240508,1.685,1.685,1.685,1.685,29673
20240509,1.685,1.685,1.685,1.685,67
20240510,1.685,1.685,1.685,1.685,0
20240513,1.7,1.7,1.695,1.7,64850
20240514,1.7,1.7,1.7,1.7,0
20240515,1.7075,1.71,1.7075,1.71,176236
20240516,1.71,1.71,1.71,1.71,0
20240517,1.725,1.725,1.72,1.72,18299
20240520,1.72,1.72,1.72,1.72,0
20240521,1.72,1.72,1.72,1.72,0
20240522,1.72,1.725,1.72,1.725,46713
20240523,1.725,1.725,1.725,1.725,6473
20240524,1.72,1.72,1.71,1.71,44075
20240527,1.705,1.705,1.705,1.705,24000
20240528,1.705,1.705,1.705,1.705,0
20240529,1.705,1.705,1.705,1.705,0
20240530,1.705,1.705,1.705,1.705,0
20240531,1.705,1.705,1.705,1.705,0
