Date,Open,High,Low,Close,Volume
20240212,1.805,1.81,1.805,1.81,42026
20240213,1.805,1.81,1.805,1.81,210691
20240214,1.81,1.81,1.79,1.79,42400
20240215,1.79,1.79,1.79,1.79,0
20240216,1.805,1.805,1.805,1.805,40829
20240219,1.81,1.81,1.79,1.79,7122
20240220,1.82,1.82,1.78,1.78,132683
20240221,1.785,1.785,1.77,1.775,62749
20240222,1.775,1.775,1.775,1.775,0
20240223,1.775,1.775,1.775,1.775,0
20240226,1.81,1.81,1.81,1.81,5525
20240227,1.81,1.81,1.81,1.81,33
20240228,1.81,1.81,1.81,1.81,0
20240229,1.82,1.82,1.815,1.815,189635
20240301,1.83,1.83,1.83,1.83,127
20240304,1.81,1.81,1.81,1.81,19124
20240305,1.805,1.805,1.805,1.805,38674
20240306,1.805,1.805,1.805,1.805,0
20240307,1.765,1.765,1.765,1.765,288
20240308,1.77,1.77,1.77,1.77,5650
20240311,1.77,1.77,1.77,1.77,0
20240312,1.78,1.78,1.78,1.78,2808
20240313,1.79,1.79,1.79,1.79,8500
20240314,1.79,1.79,1.79,1.79,0
20240315,1.795,1.795,1.795,1.795,27855
20240318,1.775,1.775,1.775,1.775,5000
20240319,1.775,1.775,1.775,1.775,0
20240320,1.79,1.79,1.79,1.79,600
20240321,1.79,1.79,1.79,1.79,84635
20240322,1.8,1.8,1.8,1.8,19444
20240325,1.78,1.78,1.78,1.78,117390
20240326,1.79,1.79,1.79,1.79,79
20240327,1.77,1.77,1.77,1.77,2820
20240328,1.77,1.77,1.77,1.77,0
20240402,1.81,1.81,1.78,1.78,719
20240403,1.78,1.78,1.765,1.765,186289
20240404,1.745,1.75,1.74,1.74,346042
20240405,1.725,1.73,1.725,1.73,63268
20240408,1.74,1.74,1.74,1.74,500
20240409,1.74,1.74,1.74,1.74,120208
20240410,1.74,1.74,1.74,1.74,0
20240411,1.74,1.74,1.74,1.74,85501
20240412,1.75,1.75,1.75,1.75,1580
20240415,1.75,1.75,1.75,1.75,0
20240416,1.73,1.73,1.73,1.73,32080
20240417,1.73,1.73,1.73,1.73,0
20240418,1.715,1.715,1.705,1.715,6254
20240419,1.715,1.715,1.715,1.715,0
20240422,1.71,1.71,1.71,1.71,58000
20240423,1.71,1.71,1.71,1.71,0
20240424,1.73,1.73,1.72,1.72,54000
20240426,1.72,1.72,1.72,1.72,0
20240429,1.725,1.725,1.72,1.72,340806
20240430,1.715,1.715,1.715,1.715,150000
20240501,1.715,1.715,1.715,1.715,0
20240502,1.7,1.705,1.7,1.705,47927
20240503,1.705,1.705,1.705,1.705,8000
20240506,1.705,1.705,1.705,1.705,2000
20240507,1.715,1.715,1.715,1.715,23500
20240508,1.735,1.735,1.735,1.735,60000
20240509,1.735,1.735,1.735,1.735,0
20240510,1.74,1.74,1.74,1.74,4000
20240513,1.745,1.75,1.745,1.75,31683
20240514,1.75,1.75,1.75,1.75,27337
20240515,1.7475,1.7475,1.7475,1.7475,171000
20240516,1.74,1.745,1.74,1.745,19043
20240517,1.755,1.755,1.755,1.755,12700
20240520,1.75,1.75,1.75,1.75,14571
20240521,1.75,1.75,1.75,1.75,0
20240522,1.765,1.765,1.75,1.75,28685
20240523,1.775,1.775,1.775,1.775,2021
20240524,1.76,1.765,1.76,1.765,86490
20240527,1.755,1.755,1.755,1.755,3600
20240528,1.75,1.75,1.745,1.745,28794
20240529,1.735,1.735,1.735,1.735,772180
20240530,1.725,1.725,1.725,1.725,4494
20240531,1.7,1.7,1.7,1.7,21977
20240603,1.7,1.7,1.7,1.7,3018
20240604,1.685,1.685,1.685,1.685,49192
20240605,1.705,1.705,1.705,1.705,294296
20240606,1.71,1.715,1.71,1.715,86174
20240607,1.725,1.725,1.725,1.725,5800
20240611,1.725,1.73,1.725,1.73,9630
20240612,1.725,1.725,1.725,1.725,348
20240613,1.725,1.725,1.725,1.725,0
20240614,1.73,1.73,1.73,1.73,49000
20240617,1.73,1.73,1.73,1.73,0
20240618,1.73,1.735,1.73,1.735,31664
20240619,1.72,1.72,1.72,1.72,23250
20240620,1.725,1.725,1.725,1.725,62950
20240621,1.725,1.725,1.725,1.725,23000
20240624,1.735,1.735,1.735,1.735,17272
20240625,1.735,1.735,1.735,1.735,157208
20240626,1.72,1.72,1.72,1.72,20321
20240627,1.715,1.72,1.715,1.72,2395
20240628,1.73,1.735,1.73,1.735,110820
20240701,1.685,1.685,1.63,1.63,75000
20240702,1.63,1.63,1.63,1.63,0
20240703,1.63,1.63,1.625,1.625,3317
20240704,1.625,1.625,1.62,1.62,3105
20240705,1.62,1.62,1.62,1.62,16058
20240708,1.625,1.625,1.625,1.625,5000
20240709,1.625,1.625,1.625,1.625,62882
20240710,1.61,1.615,1.61,1.615,16
20240711,1.615,1.615,1.615,1.615,0
20240712,1.615,1.615,1.615,1.615,12727
20240715,1.625,1.625,1.615,1.615,11695
20240716,1.62,1.625,1.62,1.625,87160
20240717,1.625,1.625,1.625,1.625,0
20240718,1.625,1.625,1.625,1.625,0
20240719,1.64,1.645,1.635,1.645,229519
20240722,1.635,1.635,1.635,1.635,18418
20240723,1.66,1.665,1.66,1.665,41741
20240724,1.655,1.655,1.655,1.655,15550
20240725,1.64,1.64,1.64,1.64,132
20240726,1.65,1.65,1.65,1.65,18710
20240729,1.67,1.675,1.67,1.675,3386
20240730,1.675,1.675,1.675,1.675,0
20240731,1.675,1.675,1.675,1.675,0
20240801,1.69,1.69,1.69,1.69,60000
20240802,1.69,1.69,1.69,1.69,0
20240805,1.67,1.67,1.66,1.66,93363
20240806,1.655,1.655,1.655,1.655,18323
20240807,1.655,1.66,1.655,1.66,14700
20240808,1.66,1.66,1.66,1.66,0
20240809,1.66,1.66,1.66,1.66,0
20240812,1.66,1.66,1.66,1.66,0
20240813,1.66,1.66,1.66,1.66,0
20240814,1.665,1.665,1.665,1.665,45250
20240815,1.66,1.66,1.66,1.66,146
20240816,1.67,1.68,1.67,1.68,13974
20240819,1.665,1.665,1.66,1.66,40502
20240820,1.665,1.665,1.665,1.665,8665
20240821,1.66,1.66,1.66,1.66,11891
20240822,1.66,1.66,1.66,1.66,6000
20240823,1.66,1.665,1.66,1.665,26980
20240826,1.665,1.665,1.665,1.665,0
20240827,1.645,1.645,1.64,1.64,24770
20240828,1.645,1.65,1.645,1.65,34481
20240829,1.645,1.65,1.645,1.65,3041
20240830,1.665,1.665,1.665,1.665,71677
20240902,1.665,1.665,1.665,1.665,24025
20240903,1.665,1.665,1.665,1.665,0
20240904,1.67,1.67,1.67,1.67,55567
20240905,1.67,1.67,1.67,1.67,0
20240906,1.665,1.67,1.665,1.665,9466
20240909,1.67,1.67,1.67,1.67,59740
20240910,1.67,1.67,1.67,1.67,0
20240911,1.7,1.7,1.7,1.7,74
20240912,1.705,1.705,1.705,1.705,17550
20240913,1.705,1.705,1.705,1.705,0
20240916,1.705,1.705,1.705,1.705,0
20240917,1.7,1.7,1.695,1.7,9942
20240918,1.7,1.7,1.7,1.7,0
20240919,1.7,1.7,1.7,1.7,0
20240920,1.69,1.69,1.685,1.685,60089
20240923,1.685,1.685,1.685,1.685,325
20240924,1.675,1.675,1.675,1.675,1542
20240925,1.675,1.675,1.675,1.675,0
20240926,1.66,1.66,1.66,1.66,5909
20240927,1.665,1.665,1.66,1.66,88314
20240930,1.66,1.66,1.66,1.66,0
20241001,1.655,1.655,1.655,1.655,6232
20241002,1.65,1.655,1.65,1.655,9025
20241003,1.655,1.655,1.655,1.655,0
20241004,1.655,1.655,1.655,1.655,0
20241007,1.655,1.655,1.655,1.655,0
20241008,1.655,1.655,1.655,1.655,0
20241009,1.655,1.655,1.655,1.655,0
20241010,1.68,1.68,1.68,1.68,10418
20241011,1.68,1.68,1.68,1.68,0
20241014,1.68,1.68,1.68,1.68,0
20241015,1.7,1.7,1.7,1.7,3429
20241016,1.705,1.705,1.7,1.705,29646
20241017,1.7,1.7,1.7,1.7,20600
20241018,1.7,1.7,1.7,1.7,0
20241021,1.7,1.7,1.7,1.7,0
20241022,1.7,1.7,1.7,1.7,0
20241023,1.695,1.695,1.695,1.695,14670
20241024,1.695,1.695,1.695,1.695,0
20241025,1.69,1.69,1.685,1.685,165198
20241028,1.685,1.685,1.685,1.685,0
20241029,1.7,1.7,1.7,1.7,14879
20241030,1.7,1.7,1.7,1.7,0
20241031,1.7,1.7,1.7,1.7,0
20241101,1.69,1.69,1.69,1.69,24000
20241104,1.69,1.69,1.69,1.69,0
20241105,1.7,1.7,1.7,1.7,7396
20241106,1.7,1.7,1.7,1.7,0
20241107,1.735,1.735,1.735,1.735,140403
20241108,1.72,1.72,1.72,1.72,24600
20241111,1.74,1.74,1.74,1.74,15005
20241112,1.74,1.745,1.74,1.745,15503
20241113,1.745,1.745,1.745,1.745,0
20241114,1.78,1.78,1.775,1.775,58901
20241115,1.775,1.775,1.775,1.775,0
20241118,1.73,1.73,1.73,1.73,12
20241119,1.73,1.73,1.73,1.73,0
20241120,1.725,1.725,1.725,1.725,10256
20241121,1.725,1.725,1.725,1.725,31335
20241122,1.725,1.725,1.725,1.725,0
20241125,1.725,1.725,1.725,1.725,0
20241126,1.76,1.76,1.76,1.76,22500
20241127,1.76,1.76,1.76,1.76,0
20241128,1.77,1.77,1.77,1.77,368
20241129,1.77,1.77,1.77,1.77,0
20241202,1.765,1.765,1.765,1.765,926
20241203,1.765,1.765,1.765,1.765,0
20241204,1.78,1.78,1.78,1.78,25
20241205,1.78,1.78,1.78,1.78,0
20241206,1.81,1.81,1.81,1.81,15219
20241209,1.81,1.81,1.81,1.81,0
20241210,1.825,1.83,1.825,1.83,8536
20241211,1.83,1.83,1.83,1.83,0
20241212,1.83,1.83,1.83,1.83,0
20241213,1.83,1.83,1.83,1.83,0
20241216,1.845,1.845,1.845,1.845,21621
20241217,1.84,1.84,1.84,1.84,28000
20241218,1.845,1.85,1.845,1.85,10520
20241219,1.83,1.83,1.82,1.825,22771
20241220,1.815,1.815,1.815,1.815,5265
20241223,1.815,1.815,1.815,1.815,0
20241224,1.83,1.83,1.83,1.83,48
20241227,1.88,1.88,1.88,1.88,18
20241230,1.88,1.88,1.88,1.88,0
20241231,1.82,1.82,1.82,1.82,149
20250102,1.83,1.83,1.83,1.83,4000
20250103,1.83,1.83,1.83,1.83,0
