Date,Open,High,Low,Close,Volume
20210224,15,15,14.15,14.16,16421
20210225,14.4,14.42,14.21,14.26,249917
20210226,14.04,14.04,13.78,13.83,142706
20210301,14.29,14.29,14.08,14.21,38748
20210302,14.41,14.48,14.36,14.41,51309
20210303,13.98,14.01,13.91,14,77239
20210304,13.34,13.35,13.14,13.19,330258
20210305,13.15,13.15,12.95,13.05,248693
20210308,13.61,13.61,13.11,13.11,213140
20210309,13.09,13.15,13.03,13.12,122156
20210310,13.34,13.57,13.34,13.53,79679
20210311,13.73,13.73,13.34,13.46,46119
20210312,14,14,13.78,13.85,28439
20210315,13.78,13.82,13.74,13.75,26710
20210316,14.22,14.22,13.88,13.98,38531
20210317,13.98,13.98,13.79,13.82,11359
20210318,13.82,13.82,13.69,13.71,25688
20210319,13.58,13.58,13.22,13.28,31300
20210322,13.7,13.7,13.32,13.52,108895
20210323,13.68,13.71,13.65,13.68,44682
20210324,13.8,14.13,13.8,13.96,111154
20210325,13.55,13.55,13.4,13.45,141760
20210326,13.39,13.43,13.38,13.43,25088
20210329,13.58,13.58,13.32,13.35,106248
20210330,13.27,13.27,13.18,13.2,37131
20210331,13.26,13.29,13.25,13.28,19422
20210401,13.63,13.73,13.58,13.73,17926
20210406,14,14,13.95,13.96,28691
20210407,14.07,14.07,14.02,14.05,22171
20210408,14.01,14.08,13.96,14.05,35747
20210409,14.14,14.2,14.12,14.15,34101
20210412,14.29,14.29,14.06,14.14,26193
20210413,14.28,14.28,14.15,14.19,20376
20210414,14.29,14.41,14.29,14.35,15287
20210415,14.42,14.42,14.02,14.11,18670
20210416,14.31,14.31,14.22,14.26,129609
20210419,14.26,14.26,14.15,14.21,13294
20210420,14.21,14.34,13.9,13.91,35712
20210421,13.76,13.77,13.72,13.76,12516
20210422,13.76,13.84,13.76,13.84,59382
20210423,13.85,13.97,13.85,13.95,43064
20210426,14.07,14.07,14,14,5656
20210427,14.45,14.48,14.43,14.48,14519
20210428,14.52,14.52,14.43,14.48,38222
20210429,14.5,14.52,14.41,14.5,131281
20210430,14.13,14.13,14.08,14.08,39813
20210503,14.07,14.16,14.07,14.16,10077
20210504,14.13,14.13,13.7,13.74,46157
20210505,13.53,13.7,13.5,13.51,15917
20210506,13.38,13.38,13.31,13.32,111802
20210507,13.32,13.32,13,13.04,22015
20210510,13,13.04,12.97,12.97,50407
20210511,12.83,12.83,12.63,12.7,37165
20210512,12.79,13.03,12.79,12.99,9042
20210513,12.91,12.91,12.81,12.85,7484
20210514,12.97,12.97,12.69,12.72,11484
20210517,13.02,13.02,12.95,13.01,4824
20210518,13,13,12.9,12.92,8544
20210519,13.22,13.22,12.9,12.9,14153
20210520,13.19,13.19,13,13.07,4405
20210521,13.26,13.37,13.26,13.34,6502
20210524,13.4,13.4,13.3,13.3,4263
20210525,13.43,13.46,13.43,13.46,3930
20210526,13.5,13.5,13.4,13.41,23611
20210527,13.57,13.6,13.57,13.59,1700
20210528,13.59,13.59,13.55,13.56,25700
20210531,13.63,13.63,13.58,13.58,7151
20210601,13.6,13.6,13.5,13.5,5709
20210602,13.53,13.53,13.43,13.49,5370
20210603,13.59,13.59,13.54,13.58,2215
20210604,13.58,13.58,13.4,13.45,10197
20210607,13.44,13.45,13.41,13.41,6345
20210608,13.58,13.68,13.58,13.65,33494
20210609,13.76,13.8,13.76,13.77,8491
20210610,13.8,13.8,13.77,13.8,2164
20210611,13.96,14,13.96,13.98,15915
20210615,14.12,14.4,14.12,14.38,22835
20210616,14.28,14.28,14.24,14.27,9888
20210617,14.25,14.34,14.25,14.31,24500
20210618,14.83,14.95,14.83,14.92,14413
20210621,15,15,14.95,14.98,68148
20210622,15.03,15.03,14.95,14.96,9277
20210623,15.06,15.1,15.06,15.1,2237
20210624,15.1,15.11,15.03,15.05,2109
20210625,15.15,15.15,15.02,15.07,22049
20210628,15.08,15.16,15.08,15.16,12896
20210629,15.17,15.3,15.17,15.3,3984
20210630,15.28,15.53,15.28,15.48,30969
20210701,15.49,15.49,15.18,15.19,69414
20210702,15.5,15.5,15.2,15.2,8086
20210705,15.6,15.6,15.23,15.25,4677
20210706,15.49,15.49,15.1,15.1,8965
20210707,15.5,15.6,15.5,15.57,12230
20210708,15.61,15.61,15.54,15.55,7320
20210709,15.4,15.43,15.37,15.42,51596
20210712,15.43,15.49,15.43,15.49,13953
20210713,15.67,15.67,15.33,15.33,10222
20210714,15.39,15.39,15.33,15.33,5074
20210715,15.4,15.4,15.01,15.11,24308
20210716,15.17,15.17,14.9,14.9,18370
20210719,15.1,15.1,15.03,15.06,12483
20210720,15.1,15.27,15.1,15.26,24504
20210721,15.51,15.51,15.46,15.5,10761
20210722,15.88,15.88,15.5,15.5,16648
20210723,15.91,15.91,15.57,15.6,12485
20210726,16.09,16.09,15.7,15.71,63941
20210727,15.53,15.53,15.5,15.51,21760
20210728,15.68,15.68,15.3,15.35,21719
20210729,15.56,15.58,15.52,15.55,5445
20210730,15.7,15.7,15.33,15.35,85441
20210802,15.65,15.65,15.55,15.57,12014
20210803,15.9,15.9,15.45,15.48,31252
20210804,15.84,15.84,15.46,15.5,19084
20210805,15.64,15.64,15.62,15.62,22409
20210806,15.76,15.77,15.75,15.76,10326
20210809,15.8,15.87,15.8,15.84,15690
20210810,16.07,16.08,16.05,16.07,61750
20210811,15.83,15.85,15.81,15.85,12149
20210812,15.73,15.74,15.7,15.71,17315
20210813,15.86,15.97,15.86,15.95,12704
20210816,15.95,15.95,15.88,15.94,4232
20210817,15.93,15.93,15.84,15.87,39900
20210818,15.94,15.94,15.87,15.94,9352
20210819,15.91,15.99,15.91,15.99,16936
20210820,16.05,16.12,16.05,16.11,12735
20210823,16.15,16.32,16.15,16.3,41644
20210824,16.4,16.45,16.4,16.4,19569
20210825,16.55,16.68,16.54,16.55,16284
20210826,16.8,16.8,16.48,16.5,49168
20210827,16.5,16.65,16.5,16.61,13622
20210830,16.94,16.94,16.61,16.66,93497
20210831,16.99,16.99,16.71,16.73,26049
20210901,16.7,16.81,16.7,16.8,11714
20210902,17.08,17.08,16.76,16.79,16921
20210903,16.9,16.9,16.79,16.79,15605
20210906,16.99,16.99,16.89,16.92,16064
20210907,16.92,16.98,16.85,16.98,30009
20210908,17.01,17.01,16.87,16.9,17501
20210909,16.79,16.79,16.67,16.67,35199
20210910,16.66,16.67,16.62,16.64,16476
20210913,16.85,16.85,16.43,16.48,13353
20210914,16.42,16.44,16.34,16.44,8866
20210915,16.64,16.64,16.45,16.48,9320
20210916,16.62,16.87,16.47,16.55,18691
20210917,16.92,16.92,16.7,16.72,11491
20210920,16.9,16.9,16.76,16.78,75678
20210921,16.7,16.7,16.5,16.56,20520
20210922,16.75,16.75,16.61,16.7,15803
20210923,16.92,16.93,16.88,16.92,14434
20210924,17.12,17.12,16.87,16.89,5806
20210927,17.12,17.12,16.95,17,5656
20210928,17.05,17.05,16.62,16.63,26689
20210929,16.57,16.57,16.2,16.23,54223
20210930,16.23,16.26,16.23,16.26,18158
20211001,16.27,16.27,16.08,16.12,18776
20211004,16.21,16.3,16.14,16.19,15400
20211005,15.95,15.95,15.67,15.76,39192
20211006,15.95,15.95,15.8,15.8,7393
20211007,16.08,16.18,16.06,16.15,6117
20211008,16.15,16.28,16.15,16.17,7293
20211011,16.28,16.28,15.89,15.91,11150
20211012,15.92,15.92,15.72,15.75,7271
20211013,16,16.04,16,16.04,11824
20211014,16.07,16.43,16.07,16.36,10621
20211015,16.53,16.68,16.52,16.6,6246
20211018,16.7,16.7,16.43,16.5,12084
20211019,16.69,16.69,16.58,16.59,9342
20211020,16.62,16.76,16.62,16.69,7701
20211021,16.87,16.87,16.54,16.62,13825
20211022,16.7,16.94,16.7,16.89,26525
20211025,16.88,16.89,16.8,16.83,7939
20211026,16.85,16.96,16.85,16.91,32618
20211027,16.95,16.95,16.72,16.76,9865
20211028,16.69,16.69,16.58,16.58,23539
20211029,16.62,16.69,16.62,16.64,49809
20211101,16.71,16.87,16.71,16.84,5127
20211102,16.95,16.95,16.85,16.9,1711
20211103,17.07,17.14,16.93,16.97,16807
20211104,17.13,17.13,17.11,17.12,27773
20211105,17.3,17.39,17.26,17.34,26054
20211108,17.03,17.03,16.96,16.97,38931
20211109,17.1,17.12,17.07,17.09,13053
20211110,17.1,17.22,17.1,17.18,16268
20211111,16.81,16.81,16.71,16.77,64911
20211112,16.8,16.94,16.8,16.86,9827
20211115,17.03,17.17,17.03,17.11,16488
20211116,17.11,17.11,17.03,17.04,15881
20211117,17.18,17.25,17.18,17.23,12694
20211118,17.15,17.15,17.06,17.06,29054
20211119,16.83,16.89,16.75,16.89,19474
20211122,16.75,16.75,16.63,16.64,32969
20211123,16.5,16.5,16.04,16.06,46656
20211124,15.75,15.75,15.7,15.73,26600
20211125,15.98,16,15.95,16,17381
20211126,16.04,16.06,16,16.04,99220
20211129,15.83,16.19,15.81,16.17,178732
20211130,16.32,16.32,16.21,16.24,9941
20211201,16.09,16.09,15.98,16.05,31122
20211202,15.25,15.3,15.2,15.3,25658
20211203,15.49,15.49,15.37,15.49,28494
20211206,15.26,15.26,15.16,15.19,37278
20211207,15.21,15.21,15.12,15.13,22483
20211208,15.57,15.66,15.57,15.66,12069
20211209,15.8,15.8,15.71,15.74,11655
20211210,15.43,15.43,15.33,15.34,204373
20211213,15.05,15.05,15,15.03,26897
20211214,15.02,15.12,14.97,15.12,33991
20211215,14.86,14.86,14.78,14.8,16829
20211216,14.92,15,14.92,14.98,25876
20211217,14.62,14.63,14.5,14.58,35276
20211220,14.99,15.1,14.84,14.9,10174
20211221,14.78,14.98,14.78,14.98,6316
20211222,15.27,15.3,15.25,15.25,5876
20211223,15.16,15.16,15.1,15.13,7555
20211224,15.31,15.31,15.11,15.11,1907
20211229,15.09,15.09,15,15.03,5756
20211230,14.94,14.94,14.83,14.86,4304
20211231,15,15.03,14.94,14.98,6149
20220104,14.93,14.98,14.87,14.89,5200
20220105,14.36,14.36,14.25,14.26,13319
20220106,13.78,13.78,13.66,13.7,39954
20220107,13.66,13.89,13.66,13.85,2961
20220110,13.7,13.7,13.66,13.69,13107
20220111,13.89,13.89,13.81,13.82,30720
20220112,13.97,14.04,13.97,14.03,18931
20220113,13.86,13.86,13.72,13.72,17432
20220114,13.28,13.28,13.21,13.25,21353
20220117,13.3,13.41,13.3,13.34,13752
20220118,13.34,13.4,13.3,13.3,4732
20220119,13.21,13.21,13.04,13.04,15070
20220120,13.1,13.2,13.09,13.2,36187
20220121,12.95,12.97,12.81,12.91,33954
20220124,12.62,12.76,12.6,12.73,65354
20220125,12.76,12.9,12.69,12.7,42635
20220127,12.34,12.43,12.13,12.18,29740
20220128,12.49,12.5,12.33,12.39,79920
20220131,12.87,12.87,12.71,12.83,8942
20220201,13.18,13.38,13.18,13.35,10212
20220202,13.46,13.53,13.43,13.53,20138
20220203,13.55,13.76,12.82,12.89,97082
20220204,12.85,12.85,12.68,12.71,36901
20220207,12.81,13.04,12.81,12.98,24516
20220208,13,13,12.9,12.9,3600
20220209,12.94,13.1,12.94,13.08,10049
20220210,13.38,13.39,13.31,13.32,51207
20220211,13.13,13.13,13.05,13.05,22527
20220214,12.78,12.78,12.66,12.77,12476
20220215,12.84,12.84,12.8,12.8,3850
20220216,13.01,13.01,12.91,12.91,9210
20220217,12.49,12.49,12.39,12.41,30377
20220218,11.95,11.99,11.87,11.97,39112
20220221,11.7,11.7,11.5,11.66,42160
20220222,11.38,11.38,11.3,11.35,8630
20220223,11.35,11.59,11.35,11.59,10933
20220224,11.55,11.55,10.78,10.81,82019
20220225,11.38,11.55,11.38,11.45,24802
20220228,11.54,11.54,11.35,11.39,16838
20220301,11.85,11.9,11.81,11.82,9571
20220302,11.82,11.82,11.71,11.72,4202
20220303,11.8,11.82,11.78,11.81,19787
20220304,11.53,11.53,11.27,11.27,46846
20220307,11.16,11.16,10.79,10.86,43010
20220308,10.75,10.82,10.71,10.77,21722
20220309,10.75,10.81,10.74,10.76,64220
20220310,11.16,11.18,11.09,11.09,10436
20220311,10.97,10.97,10.8,10.85,21800
20220314,10.76,10.76,10.7,10.75,25253
20220315,10.45,10.46,10.37,10.45,33174
20220316,10.64,10.69,10.64,10.68,9446
20220317,11.12,11.13,11.06,11.11,4176
20220318,11.24,11.24,11.19,11.21,4840
20220321,11.51,11.66,11.51,11.6,23259
20220322,11.74,11.77,11.71,11.71,7935
20220323,11.88,11.93,11.88,11.93,7733
20220324,11.83,11.83,11.76,11.83,19475
20220325,11.83,11.86,11.82,11.85,14159
20220328,11.8,11.8,11.57,11.6,4114
20220329,11.83,11.91,11.83,11.9,3439
20220330,12.01,12.24,12.01,12.19,15488
20220331,12.19,12.19,12.08,12.12,24465
20220401,12,12,11.915,11.96,10943
20220404,11.96,12,11.95,12,11442
20220405,12.03,12.22,12.03,12.12,5824
20220406,11.94,11.94,11.85,11.87,15953
20220407,11.71,11.71,11.58,11.64,18722
20220408,11.68,11.68,11.65,11.67,6794
20220411,11.64,11.64,11.42,11.42,6909
20220412,11.6,11.62,11.53,11.53,5244
20220413,11.58,11.67,11.58,11.67,4751
20220414,11.67,11.86,11.67,11.86,5607
20220419,11.7,11.7,11.53,11.57,25704
20220420,11.57,11.61,11.57,11.59,23250
20220421,11.46,11.46,11.37,11.38,7040
20220422,11.09,11.13,11.01,11.12,11771
20220426,11.5,11.5,11.38,11.39,5237
20220427,11.13,11.13,10.99,11.01,7085
20220428,11.15,11.2,11.11,11.19,11020
20220429,11.19,11.39,11.19,11.39,19788
20220502,11.13,11.24,11.13,11.23,8348
20220503,11.3,11.32,11.27,11.31,14260
20220504,11.15,11.16,11.1,11.12,11291
20220505,11.24,11.24,11.12,11.18,7601
20220506,10.9,10.9,10.68,10.77,33730
20220509,10.54,10.54,10.35,10.44,11683
20220510,10.16,10.25,10.07,10.25,35147
20220511,10.1,10.19,10.1,10.17,9769
20220512,9.91,9.91,9.78,9.79,55421
20220513,9.95,10.11,9.95,10.09,17421
20220516,10.32,10.45,10.32,10.36,6945
20220517,10.07,10.07,9.95,10,11185
20220518,10,10,9.94,9.99,8396
20220519,9.63,9.63,9.57,9.61,12080
20220520,9.99,10.06,9.99,10.04,23012
20220523,10.04,10.04,9.93,9.95,37161
20220524,9.95,9.95,9.7,9.7,61033
20220525,9.5,9.53,9.43,9.48,38366
20220526,9.7,9.8,9.7,9.73,11958
20220527,9.88,10.01,9.88,9.91,4328
20220530,10.23,10.47,10.23,10.47,6718
20220531,10.48,10.48,10.33,10.34,2509
20220601,10.13,10.18,10.09,10.11,17831
20220602,10.11,10.11,10,10,2008
20220603,10.42,10.42,10.34,10.34,5839
20220606,10.24,10.24,10.19,10.24,3393
20220607,10.2,10.2,10.03,10.06,8862
20220608,10.1,10.28,10.1,10.24,6199
20220609,10.36,10.38,10.34,10.34,8467
20220610,10.17,10.17,10.12,10.17,5741
20220614,9.37,9.46,9.32,9.46,68053
20220615,9.44,9.44,9.36,9.41,9910
20220616,9.54,9.62,9.53,9.53,8763
20220617,9.05,9.16,9.02,9.16,25959
