Date,Open,High,Low,Close,Volume
20210310,10.78,10.79,10.51,10.51,349719
20210311,10.62,10.69,10.53,10.69,233012
20210312,11.11,11.21,11.06,11.11,148349
20210315,11.2,11.2,11.09,11.09,166671
20210316,11.08,11.1,11,11.04,156116
20210317,10.83,10.83,10.64,10.64,201517
20210318,10.62,10.62,10.34,10.35,100180
20210319,10.16,10.16,10,10.02,124403
20210322,10.5,10.5,10.09,10.18,154104
20210323,10.41,10.46,10.36,10.37,69390
20210324,10.47,10.47,10.33,10.35,167513
20210325,10.38,10.38,9.98,10.02,145752
20210326,9.97,10.03,9.94,10.03,31918
20210329,10.11,10.11,10,10.01,264197
20210330,9.98,9.98,9.86,9.92,121055
20210331,10.28,10.39,10.28,10.3,96134
20210401,10.56,10.79,10.56,10.79,53345
20210406,11.09,11.09,10.39,10.4,116133
20210407,10.64,10.64,10.45,10.48,48033
20210408,10.37,10.38,10.3,10.33,101923
20210409,10.65,10.65,10.3,10.34,131229
20210412,10.33,10.34,10.3,10.32,80840
20210413,10.34,10.34,10.17,10.18,70033
20210414,10.3,10.39,10.29,10.36,22677
20210415,10.25,10.34,10.2,10.28,95322
20210416,10.1,10.12,10.06,10.1,84650
20210419,10.31,10.35,10.31,10.33,33695
20210420,10.01,10.01,9.94,9.97,98534
20210421,9.97,9.97,9.85,9.93,273375
20210422,10.01,10.08,10.01,10.04,121203
20210423,10.41,10.5,10.41,10.49,61367
20210426,10.74,10.74,10.62,10.65,26930
20210427,10.73,10.78,10.72,10.74,31026
20210428,10.72,10.77,10.69,10.71,68645
20210429,10.81,10.81,10.51,10.59,86482
20210430,10.57,10.57,10.22,10.22,94765
20210503,10.1,10.1,10.04,10.06,80346
20210504,10,10,9.79,9.82,107208
20210505,9.69,9.69,9,9.32,126151
20210506,9.33,9.33,9.25,9.27,86479
20210507,9.2,9.2,9.02,9.02,73518
20210510,9.15,9.16,9.13,9.14,49373
20210511,8.99,8.99,8.56,8.65,171069
20210512,8.7,8.8,8.7,8.78,51580
20210513,8.62,8.72,8.61,8.66,362240
20210514,8.64,8.66,8.6,8.66,39162
20210517,8.88,8.93,8.87,8.9,187453
20210518,8.84,8.89,8.84,8.89,38396
20210519,8.99,9.01,8.93,8.97,18620
20210520,9.13,9.24,9.13,9.24,11930
20210521,9.39,9.47,9.39,9.47,22071
20210524,9.59,9.59,9.49,9.52,9030
20210525,9.52,9.53,9.5,9.52,14919
20210526,9.51,9.54,9.49,9.5,22723
20210527,9.68,9.71,9.68,9.7,32730
20210528,9.74,9.81,9.74,9.77,38432
20210531,9.83,9.83,9.78,9.78,36614
20210601,9.83,9.83,9.75,9.8,51674
20210602,9.8,9.8,9.75,9.76,41179
20210603,9.8,9.8,9.67,9.7,18237
20210604,9.65,9.65,9.55,9.58,8982
20210607,9.59,9.61,9.57,9.6,23346
20210608,9.68,9.72,9.63,9.64,22415
20210609,9.8,9.85,9.8,9.84,126595
20210610,9.9,9.9,9.73,9.77,22556
20210611,9.77,9.89,9.73,9.78,76369
20210615,9.92,9.98,9.92,9.94,32934
20210616,9.78,9.78,9.7,9.72,27981
20210617,9.72,9.87,9.72,9.84,6988
20210618,10.04,10.15,10.04,10.15,12142
20210621,10.09,10.09,9.93,9.96,10508
20210622,10.06,10.14,10.01,10.03,15342
20210623,10.15,10.18,10.12,10.18,99975
20210624,10.22,10.33,10.22,10.26,13880
20210625,10.23,10.26,10.21,10.26,6350
20210628,10.26,10.32,10.26,10.3,9856
20210629,10.66,10.72,10.66,10.7,38497
20210630,10.94,10.94,10.78,10.81,60632
20210701,10.8,10.8,10.73,10.74,10469
20210702,10.8,10.8,10.63,10.65,46563
20210705,10.69,10.69,10.6,10.6,29458
20210706,10.6,10.6,10.5,10.5,11301
20210707,10.66,10.78,10.66,10.76,99508
20210708,10.74,10.74,10.58,10.66,25505
20210709,10.5,10.56,10.45,10.52,16364
20210712,10.5,10.71,10.45,10.5,13130
20210713,10.55,10.64,10.55,10.58,30846
20210714,10.5,10.5,10.38,10.4,24482
20210715,10.2,10.2,10.08,10.13,24923
20210716,10,10,9.86,9.92,58683
20210719,9.85,9.87,9.76,9.87,59786
20210720,9.88,10.13,9.86,9.91,23424
20210721,10.08,10.11,10.02,10.1,27379
20210722,10.4,10.47,10.37,10.4,39406
20210723,10.45,10.45,10.32,10.34,17056
20210726,10.31,10.31,10.03,10.04,53013
20210727,10,10.02,9.95,9.95,43482
20210728,9.87,9.9,9.8,9.87,47804
20210729,10.2,10.23,10.2,10.22,22669
20210730,10.13,10.13,10.04,10.07,131312
20210802,10.2,10.28,10.2,10.27,37067
20210803,10.2,10.25,10.19,10.19,95181
20210804,10.27,10.34,10.27,10.33,96396
20210805,10.33,10.35,10.29,10.3,35131
20210806,10.25,10.28,10.23,10.26,27513
20210809,10.21,10.21,10.15,10.19,47739
20210810,10.42,10.49,10.42,10.45,24837
20210811,10.46,10.47,10.44,10.45,35523
20210812,10.3,10.3,10.22,10.25,72407
20210813,10.21,10.23,10.2,10.2,43695
20210816,10.18,10.18,9.97,9.97,86873
20210817,9.95,9.95,9.87,9.88,38923
20210818,9.8,9.9,9.8,9.87,41476
20210819,10,10.08,9.97,9.97,31422
20210820,10.05,10.05,9.95,10.01,42352
20210823,10.19,10.23,10.17,10.21,39024
20210824,10.4,10.4,10.32,10.36,30023
20210825,10.37,10.43,10.37,10.43,17557
20210826,10.42,10.42,10.38,10.39,45392
20210827,10.38,10.44,10.35,10.4,14526
20210830,10.4,10.46,10.38,10.45,52492
20210831,10.53,10.58,10.53,10.58,41722
20210901,10.58,10.6,10.52,10.53,31741
20210902,10.57,10.68,10.52,10.6,37417
20210903,10.69,10.69,10.6,10.6,67633
20210906,10.69,10.69,10.41,10.41,77576
20210907,10.5,10.51,10.4,10.43,26214
20210908,10.45,10.5,10.39,10.43,28325
20210909,10.38,10.38,10.12,10.14,68381
20210910,10.18,10.31,10.18,10.31,38211
20210913,10.2,10.2,10.05,10.07,90715
20210914,10.24,10.3,10.24,10.29,16936
20210915,10.34,10.34,10.3,10.3,17933
20210916,10.24,10.29,10.13,10.14,42813
20210917,10.25,10.25,10.1,10.13,28202
20210920,10.24,10.24,10.14,10.18,79556
20210921,10.05,10.05,9.93,10,61149
20210922,10.15,10.15,10.03,10.12,16774
20210923,10.22,10.32,10.22,10.31,33012
20210924,10.29,10.29,10.24,10.26,10058
20210927,10.09,10.1,10.07,10.09,41011
20210928,10.19,10.19,10.14,10.18,35114
20210929,10.04,10.07,9.98,9.98,29516
20210930,9.98,9.98,9.9,9.95,36689
20211001,9.93,9.93,9.8,9.82,38981
20211004,9.96,9.96,9.79,9.83,112886
20211005,9.75,9.75,9.43,9.5,54991
20211006,9.64,9.64,9.48,9.49,19565
20211007,9.64,9.64,9.54,9.57,17506
20211008,9.72,9.72,9.61,9.63,29219
20211011,9.62,9.62,9.53,9.61,27627
20211012,9.64,9.79,9.64,9.68,26879
20211013,10.01,10.13,10.01,10.13,112315
20211014,10.21,10.45,10.21,10.44,27799
20211015,10.4,10.4,10.24,10.31,24130
20211018,10.33,10.33,10.22,10.26,29363
20211019,10.35,10.39,10.26,10.26,24001
20211020,10.44,10.59,10.44,10.5,63779
20211021,10.57,10.57,10.42,10.45,20113
20211022,10.5,10.59,10.5,10.54,79786
20211025,10.49,10.49,10.42,10.45,41814
20211026,10.63,10.71,10.63,10.66,78037
20211027,10.7,10.73,10.6,10.63,85668
20211028,10.74,10.85,10.74,10.84,53117
20211029,11.07,11.24,11.07,11.15,68642
20211101,11.31,11.37,11.31,11.36,37892
20211102,11.56,11.59,11.51,11.57,26783
20211103,11.68,11.68,11.3,11.33,90242
20211104,11.3,11.3,11.08,11.09,127798
20211105,11.21,11.21,11.1,11.15,32052
20211108,10.99,11.04,10.88,11.03,108924
20211109,11.18,11.31,11.18,11.28,287342
20211110,11.24,11.24,11.04,11.04,141182
20211111,11.09,11.09,11.02,11.08,224770
20211112,11.33,11.52,11.33,11.5,96778
20211115,11.6,11.6,11.48,11.5,118270
20211116,11.43,11.44,11.32,11.34,161815
20211117,11.46,11.46,11.35,11.37,139171
20211118,11.33,11.38,11.3,11.32,80177
20211119,11.19,11.19,11.09,11.15,209591
20211122,11.34,11.37,11.31,11.33,102711
20211123,11.25,11.25,11.1,11.14,90148
20211124,11.05,11.05,10.91,10.93,175655
20211125,11.06,11.06,10.94,10.99,219675
20211126,11.11,11.11,10.96,10.98,190299
20211129,10.95,11.03,10.92,10.98,157648
20211130,11.03,11.09,11.03,11.08,130099
20211201,10.92,10.95,10.87,10.93,111876
20211202,10.75,10.76,10.5,10.59,89203
20211203,10.48,10.48,10.38,10.48,125678
20211206,10.39,10.39,10.15,10.24,208714
20211207,10.21,10.21,10.16,10.17,58851
20211208,10.5,10.5,10.4,10.46,56464
20211209,10.5,10.5,10.35,10.37,56624
20211210,10.4,10.4,10.09,10.09,53751
20211213,9.97,10.06,9.97,10.03,92751
20211214,10,10.03,9.97,10,73311
20211215,10,10,9.55,9.64,96732
20211216,9.64,9.74,9.64,9.71,106284
20211217,9.65,9.65,9.42,9.42,106715
20211220,9.4,9.57,9.39,9.42,27976
20211221,9.35,9.39,9.17,9.24,40352
20211222,9.45,9.5,9.43,9.49,98643
20211223,9.46,9.48,9.43,9.44,29201
20211224,9.77,9.99,9.41,9.41,16615
20211229,9.33,9.33,9.22,9.24,51879
20211230,9.16,9.16,9.1,9.1,31010
20211231,9.25,9.29,9.23,9.23,16562
20220104,9.41,9.47,9.34,9.36,29272
20220105,9.36,9.36,9.12,9.13,60908
20220106,9,9,8.74,8.74,114200
20220107,8.77,8.8,8.69,8.7,61649
20220110,8.72,8.72,8.61,8.65,95500
20220111,8.67,8.67,8.55,8.56,71597
20220112,8.56,8.7,8.56,8.68,45096
20220113,8.69,8.69,8.57,8.58,36067
20220114,8.68,8.68,8.49,8.53,98410
20220117,8.6,8.6,8.45,8.47,52685
20220118,8.52,8.52,8.48,8.48,77006
20220119,8.39,8.39,8.2,8.23,71974
20220120,8.23,8.23,8.1,8.17,44221
20220121,8.15,8.22,8.15,8.2,91788
20220124,7.94,7.95,7.82,7.93,150286
20220125,7.89,7.97,7.84,7.86,108152
20220127,7.86,7.86,7.65,7.71,52304
20220128,7.75,7.75,7.67,7.68,32758
20220131,7.81,7.82,7.75,7.8,70696
20220201,8.2,8.2,8.14,8.17,74218
20220202,8.31,8.6,8.18,8.2,106935
20220203,8.22,8.6,8.05,8.08,38399
20220204,8.13,8.21,7.88,7.92,54730
20220207,8.06,8.06,7.93,7.97,19535
20220208,7.94,7.94,7.84,7.85,41361
20220209,8,8.03,7.95,8.03,91459
20220210,8.13,8.21,8.13,8.16,13301
20220211,8.11,8.11,7.98,8,37704
20220214,7.92,7.92,7.79,7.87,27145
20220215,7.86,7.86,7.76,7.81,36065
20220216,8.05,8.22,8.05,8.15,14801
20220217,8.2,8.2,8.07,8.07,18939
20220218,8.07,8.07,7.95,8.05,5775
20220221,7.88,7.88,7.73,7.84,56324
20220222,7.69,7.69,7.6,7.67,32503
20220223,7.7,7.71,7.62,7.64,21354
20220224,7.61,7.61,7.31,7.4,67864
20220225,8.04,8.17,8.04,8.11,52156
20220228,8.2,8.25,8.13,8.19,79474
20220301,8.8,9,8.8,8.97,71885
20220302,8.96,8.96,8.8,8.81,24524
20220303,8.76,8.76,8.66,8.68,23674
20220304,8.49,8.49,8.25,8.26,43323
20220307,8.3,8.3,8,8.04,62856
20220308,8.34,8.54,8.34,8.47,32252
20220309,8.96,9.24,8.96,9.24,94491
20220310,9.22,9.22,9.14,9.15,98625
20220311,9.1,9.1,8.97,8.99,66868
20220314,9,9.06,8.95,9.06,40235
20220315,8.75,8.76,8.66,8.72,22084
20220316,8.8,8.86,8.79,8.82,33028
20220317,9.1,9.14,8.94,8.97,13540
20220318,8.99,9.06,8.99,9.01,3030
20220321,9.21,9.21,9.06,9.08,37957
20220322,9,9.08,8.97,8.97,25014
20220323,9,9.14,9,9.14,85000
20220324,9.25,9.25,8.98,9.07,18865
20220325,9.1,9.1,9,9.04,7904
20220328,9,9,8.82,8.83,50259
20220329,8.9,8.94,8.88,8.94,24562
20220330,9.1,9.1,9,9.03,33235
20220331,9.1,9.1,9.01,9.08,8803
20220401,9.08,9.08,9.03,9.07,16374
20220404,9.08,9.08,9.03,9.06,25955
20220405,9.22,9.28,9.17,9.17,12227
20220406,9.18,9.2,9.06,9.09,15597
20220407,9.01,9.01,8.91,8.96,8736
20220408,9,9,8.87,8.91,34782
20220411,8.85,8.85,8.72,8.74,8209
20220412,8.79,8.79,8.65,8.7,6149
20220413,8.6,8.65,8.58,8.65,9980
20220414,8.75,8.75,8.65,8.69,1130
20220419,8.65,8.65,8.57,8.61,36953
20220420,8.62,8.65,8.6,8.6,11353
20220421,8.56,8.56,8.47,8.48,29642
20220422,8.4,8.4,8.05,8.14,22538
20220426,8.16,8.19,8.15,8.16,23534
20220427,8.08,8.08,8,8.05,36417
20220428,8.1,8.18,8.1,8.17,11513
20220429,8.2,8.2,8.1,8.11,9585
20220502,8.17,8.17,8.07,8.15,24319
20220503,8.15,8.15,8.02,8.03,24008
20220504,8.04,8.19,8.04,8.15,20414
20220505,8.24,8.4,8.24,8.4,5607
20220506,8.18,8.18,8.05,8.1,28761
20220509,7.89,7.89,7.805,7.83,59805
20220510,7.57,7.57,7.43,7.54,47436
20220511,7.54,7.57,7.5,7.56,12826
20220512,7.41,7.41,7.32,7.34,32402
20220513,7.32,7.36,7.32,7.34,30586
20220516,7.56,7.59,7.55,7.57,23726
20220517,7.59,7.59,7.5,7.51,43041
20220518,7.6,7.77,7.6,7.75,13841
20220519,7.76,7.82,7.76,7.81,17846
20220520,7.92,8.09,7.92,8.02,105797
20220523,8.19,8.19,8.05,8.12,8189
20220524,8.25,8.25,8.07,8.07,29938
20220525,8.14,8.14,8.01,8.07,16213
20220526,8.11,8.16,8.1,8.13,17332
20220527,8.29,8.3,8.21,8.21,33548
20220530,8.38,8.44,8.36,8.44,34041
20220531,8.49,8.49,8.34,8.4,15509
20220601,8.35,8.35,8.29,8.29,17954
20220602,8.25,8.25,8.18,8.22,7937
20220603,8.4,8.43,8.38,8.43,19371
20220606,8.44,8.5,8.43,8.49,27853
20220607,8.62,8.67,8.59,8.59,17153
20220608,8.61,8.66,8.61,8.66,44427
20220609,8.65,8.65,8.5,8.59,40235
20220610,8.51,8.54,8.49,8.5,23840
20220614,8.1,8.12,8.05,8.12,54158
20220615,8.02,8.06,8,8.02,22542
20220616,8.11,8.13,8.08,8.08,9426
20220617,7.81,7.86,7.77,7.86,23408
20220620,8.13,8.21,8.13,8.15,20322
20220621,8.2,8.3,8.2,8.3,22356
20220622,8.35,8.35,8.25,8.27,38472
20220623,8.28,8.36,8.28,8.35,16571
20220624,8.48,8.6,8.48,8.59,17910
20220627,8.52,8.59,8.49,8.55,66855
20220628,8.54,8.69,8.54,8.65,12158
20220629,8.47,8.5,8.43,8.49,17453
20220630,8.36,8.36,8.19,8.19,26094
20220701,8.19,8.33,8.19,8.31,8644
20220704,8.5,8.54,8.5,8.5,8522
20220705,8.5,8.5,8.47,8.48,4449
20220706,8.51,8.52,8.46,8.51,12218
20220707,8.59,8.59,8.47,8.48,1380
20220708,8.65,8.8,8.65,8.78,7561
20220711,8.89,8.89,8.85,8.86,27804
20220712,8.75,8.83,8.75,8.8,12128
20220713,8.66,8.66,8.62,8.65,20018
20220714,8.66,8.69,8.66,8.69,3018
20220715,8.77,8.77,8.66,8.69,7065
20220718,8.49,8.53,8.45,8.53,8959
20220719,8.6,8.64,8.58,8.59,10386
20220720,8.62,8.69,8.62,8.65,14321
20220721,8.71,8.72,8.66,8.72,1589
20220722,8.69,8.69,8.6,8.6,15601
20220725,8.57,8.62,8.57,8.59,7640
20220726,8.59,8.62,8.57,8.62,3743
20220727,8.59,8.64,8.55,8.62,43779
20220728,9,9.2,9,9.15,7293
20220729,9.35,9.56,9.35,9.56,41073
20220801,9.6,9.67,9.6,9.61,42717
20220802,9.5,9.55,9.42,9.52,126446
20220803,9.63,9.66,9.62,9.62,10352
20220804,9.62,9.62,9.53,9.54,6552
20220805,9.59,9.79,9.59,9.78,53607
