Date,Open,High,Low,Close,Volume
20180605,24.99,25,24.96,25,7149
20180606,25,25,24.96,24.96,7970
20180607,24.9,24.9,24.84,24.84,3820
20180608,24.89,24.9,24.89,24.9,268
20180612,24.9,24.9,24.9,24.9,0
20180613,24.94,24.94,24.93,24.93,9200
20180614,24.93,24.93,24.93,24.93,0
20180615,24.93,24.93,24.93,24.93,0
20180618,24.93,24.93,24.93,24.93,0
20180619,24.93,24.93,24.93,24.93,0
20180620,25.15,25.15,25.15,25.15,2447
20180621,25.15,25.15,25.09,25.09,412
20180622,25.09,25.09,25.09,25.09,0
20180625,25.09,25.09,25.09,25.09,0
20180626,25.19,25.19,25.19,25.19,100
20180627,25.16,25.18,25.16,25.18,11000
20180628,25.19,25.2,25.17,25.17,3544
20180629,25.17,25.17,25.17,25.17,0
20180702,25.16,25.16,25.12,25.12,13800
20180703,25.14,25.14,25.13,25.14,10540
20180704,25.2,25.2,25.12,25.12,1649
20180705,25.14,25.14,25.11,25.11,8194
20180706,25.14,25.14,25.1,25.1,25039
20180709,25.11,25.13,25.1,25.11,9900
20180710,25.11,25.11,25.11,25.11,0
20180711,25.1,25.1,25.1,25.1,9088
20180712,25.09,25.09,25.08,25.08,2700
20180713,25.08,25.08,25.07,25.07,8795
20180716,25.1,25.1,25.1,25.1,1193
20180717,25.1,25.1,25.1,25.1,0
20180718,25.1,25.1,25.1,25.1,0
20180719,25.08,25.08,25.01,25.01,4000
20180720,25.04,25.04,25.04,25.04,32
20180723,25.04,25.04,25.01,25.01,2881
20180724,24.98,24.98,24.95,24.95,9400
20180725,24.98,25.02,24.98,25.02,6600
20180726,24.99,25,24.99,25,3600
20180727,25.08,25.08,25.08,25.08,2000
20180730,25.11,25.11,25.09,25.09,8415
20180731,25.11,25.11,25.05,25.11,5534
20180801,24.95,24.95,24.94,24.94,1100
20180802,24.92,24.93,24.9,24.93,14747
20180803,24.89,24.92,24.89,24.92,43820
20180806,24.93,24.97,24.93,24.97,2150
20180807,25,25.01,24.99,25,30250
20180808,24.98,25.01,24.98,25.01,25552
20180809,25.04,25.04,25.04,25.04,43991
20180810,25.06,25.1,25.06,25.1,139807
20180813,25.17,25.17,25.16,25.16,16033
20180814,25.16,25.16,25.14,25.16,18087
20180815,25.16,25.18,25.16,25.17,8554
20180816,25.22,25.23,25.19,25.19,14230
20180817,25.23,25.23,25.21,25.21,1350
20180820,25.24,25.24,25.23,25.24,7330
20180821,25.26,25.26,25.26,25.26,3959
20180822,25.24,25.25,25.24,25.24,6220
20180823,25.27,25.29,25.25,25.25,2798
20180824,25.28,25.28,25.25,25.25,106593
20180827,25.24,25.26,25.24,25.26,30702
20180828,25.23,25.23,25.2,25.21,5983
20180829,25.21,25.21,25.2,25.21,7898
20180830,25.25,25.25,25.25,25.25,7920
20180831,25.31,25.31,25.31,25.31,1000
20180903,25.27,25.31,25.25,25.25,8946
20180904,25.29,25.29,25.26,25.26,17580
20180905,25.23,25.23,25.2,25.21,4478
20180906,25.21,25.21,25.2,25.2,7611
20180907,25.28,25.28,25.27,25.27,13526
20180910,25.19,25.22,25.18,25.22,15599
20180911,25.21,25.21,25.2,25.2,4200
20180912,25.2,25.2,25.2,25.2,800
20180913,25.2,25.2,25.2,25.2,0
20180914,25.24,25.24,25.16,25.16,8780
20180917,25.12,25.14,25.12,25.13,10714
20180918,25.13,25.13,25.07,25.1,11747
20180919,25.08,25.08,25,25.02,10250
20180920,24.99,25,24.99,25,6293
20180921,25.02,25.02,25,25.02,88310
20180924,25.08,25.08,24.99,24.99,71473
20180925,24.99,24.99,24.93,24.93,592700
20180926,24.95,24.95,24.95,24.95,3841
20180927,25.02,25.02,25.01,25.01,3418
20180928,25.04,25.04,25.04,25.04,10000
20181001,24.99,24.99,24.99,24.99,11680
20181002,24.99,25.01,24.99,25.01,13620
20181003,25.03,25.09,25.03,25.07,12027
20181004,24.98,24.99,24.96,24.99,17379
20181005,24.99,25,24.97,25,22130
20181008,24.96,24.96,24.9,24.94,19124
20181009,24.94,24.95,24.9,24.9,16310
20181010,24.94,24.96,24.94,24.94,11136
20181011,24.97,24.97,24.95,24.95,5730
20181012,24.96,24.96,24.92,24.94,17413
20181015,25.02,25.02,25,25,3578
20181016,24.98,24.99,24.97,24.97,7973
20181017,24.99,25,24.98,24.99,9506
20181018,24.97,24.99,24.96,24.96,29059
20181019,25.05,25.05,25.04,25.04,7700
20181022,25.02,25.04,24.98,25.02,10692
20181023,25.05,25.06,25.03,25.05,73115
20181024,25.09,25.09,25.09,25.09,15332
20181025,25.16,25.16,25.15,25.16,6956
20181026,25.16,25.2,25.16,25.16,12196
20181029,25.23,25.24,25.23,25.24,7466
20181030,25.23,25.24,25.22,25.22,5377
