Date,Open,High,Low,Close,Volume
20211104,11.25,11.36,11.19,11.19,2359910
20211105,11.27,11.28,11.22,11.28,1069993
20211108,11.3,11.56,11.18,11.52,2147212
20211109,12.07,12.42,12.07,12.37,1149699
20211110,12.22,12.22,11.81,11.83,853486
20211111,11.29,11.29,11.14,11.24,806103
20211112,11.86,12.02,11.86,11.94,480798
20211115,12.2,12.36,12.05,12.27,347635
20211116,11.7,11.7,11.24,11.29,998233
20211117,11.27,11.28,11.13,11.18,354762
20211118,11.09,11.22,10.91,10.98,377363
20211119,10.5,10.65,10.3,10.43,342126
20211122,10.93,11.26,10.93,11.04,542034
20211123,10.56,10.96,10.43,10.48,430810
20211124,10.6,10.69,10.54,10.59,480685
20211125,10.74,10.89,10.74,10.79,217614
20211126,11,11.05,10.89,10.91,315564
20211129,10.7,10.88,10.51,10.76,507720
20211130,10.97,10.98,10.56,10.6,314708
20211201,10.61,10.68,10.56,10.62,294214
20211202,10.68,10.68,10.19,10.26,348045
20211203,10.38,10.38,9.88,9.96,479674
20211206,9.35,9.35,8.6,8.69,408627
20211207,8.88,9.11,8.84,9.05,269545
20211208,9.33,9.35,9.23,9.26,107821
20211209,9.33,9.33,9.11,9.15,116394
20211210,8.82,8.82,8.56,8.61,240721
20211213,8.65,8.7,8.49,8.53,213341
20211214,8.05,8.2,7.96,8.04,232130
20211215,8.08,8.11,8.05,8.06,131169
20211216,8.16,8.34,8.16,8.28,108044
20211217,8.27,8.27,7.8,7.84,218138
20211220,7.84,7.9,7.71,7.76,155807
20211221,7.7,7.79,7.6,7.78,292399
20211222,7.95,8,7.87,7.96,63617
20211223,7.99,7.99,7.82,7.89,53119
20211224,8.02,8.45,8.02,8.42,70258
20211229,8.13,8.15,8.08,8.1,280469
20211230,8.08,8.1,7.64,7.68,148760
20211231,7.81,7.85,7.8,7.81,79883
20220104,7.81,7.85,7.77,7.81,142235
20220105,7.75,7.75,7.62,7.66,109668
20220106,7.08,7.08,6.98,7.01,319054
20220107,7.2,7.2,6.86,6.91,297910
20220110,6.92,7.04,6.88,6.96,161743
20220111,6.83,6.83,6.76,6.8,204157
20220112,7.02,7.13,7.02,7.07,110097
20220113,7.18,7.22,7.1,7.13,96126
20220114,7,7,6.8,6.83,133560
20220117,7,7,6.9,6.9,65445
20220118,6.99,7.03,6.84,6.84,293105
20220119,6.56,6.59,6.4,6.41,267630
20220120,6.4,6.4,6.26,6.32,88650
20220121,6.28,6.28,5.87,5.95,166999
20220124,5.58,5.58,5.3,5.37,360606
20220125,5.44,5.63,5.37,5.38,1074188
20220127,5.48,5.53,5.28,5.32,417581
20220128,5.3,5.39,5.26,5.3,147623
20220131,5.52,5.6,5.38,5.42,202780
20220201,5.71,5.91,5.71,5.86,155599
20220202,6.06,6.34,6,6.02,105303
20220203,6,6,5.5,5.53,136203
20220204,5.53,5.67,5.53,5.62,124516
20220207,5.9,6.23,5.9,6.2,392442
20220208,6.38,6.38,6.25,6.31,242541
20220209,6.41,6.41,6.26,6.29,72686
20220210,6.57,6.7,6.57,6.59,89892
20220211,6.6,6.6,6.4,6.4,248644
20220214,6.38,6.38,6.17,6.22,72261
20220215,6.22,6.26,6.15,6.23,119154
20220216,6.49,6.58,6.49,6.53,185751
20220217,6.53,6.53,6.37,6.41,69401
20220218,6.2,6.2,5.955,6,204202
20220221,5.81,5.81,5.55,5.75,205914
20220222,5.6,5.6,5.31,5.33,229875
20220223,5.51,5.7,5.51,5.6,124538
20220224,5.5,5.55,4.95,5,432347
20220225,5.59,5.7,5.59,5.62,323740
20220228,5.7,5.7,5.42,5.47,344514
20220301,6.02,6.12,6.01,6.1,92495
20220302,6.13,6.13,6.02,6.06,41044
20220303,6.15,6.15,6.03,6.03,26278
20220304,5.85,5.85,5.5,5.56,166635
20220307,5.56,5.56,4.96,5.03,317713
20220308,5.02,5.13,5.02,5.1,127540
20220309,5.26,5.43,5.15,5.41,128394
20220310,5.6,5.7,5.45,5.45,316083
20220311,5.61,5.61,5.4,5.42,39780
20220314,5.34,5.34,5.16,5.27,63777
20220315,5.11,5.14,5.04,5.06,140359
20220316,5.14,5.32,5.13,5.16,191635
20220317,5.51,5.6,5.51,5.58,125028
20220318,5.7,5.7,5.62,5.66,42824
20220321,5.91,5.94,5.8,5.83,89764
20220322,5.84,6.02,5.83,6.01,130750
20220323,6.08,6.24,6.08,6.19,173498
20220324,6.2,6.21,6.13,6.21,122024
20220325,6.27,6.39,6.27,6.36,87152
20220328,6.4,6.42,6.34,6.38,219334
20220329,6.51,6.6,6.51,6.57,140161
20220330,6.57,6.64,6.57,6.59,110080
20220331,6.4,6.4,6.35,6.38,104303
20220401,6.16,6.16,6.02,6.05,180299
20220404,6.13,6.13,6.02,6.07,54240
20220405,6.13,6.26,6.13,6.2,32485
20220406,6.01,6.01,5.74,5.82,197502
20220407,5.5,5.56,5.48,5.56,96093
20220408,5.55,5.55,5.49,5.52,48634
20220411,5.34,5.34,5.27,5.32,113121
20220412,5.18,5.19,5.11,5.18,111149
20220413,5.13,5.19,5.12,5.19,145451
20220414,5.27,5.3,5.24,5.29,68134
20220419,5.26,5.26,5.07,5.08,276862
20220420,5.19,5.21,5.17,5.18,114810
20220421,5.18,5.2,5.08,5.1,123084
20220422,4.8,4.88,4.75,4.83,369244
20220426,4.87,4.9,4.87,4.89,130322
20220427,4.8,4.8,4.52,4.56,220351
20220428,4.63,4.66,4.61,4.64,114190
20220429,4.68,4.7,4.63,4.66,179487
20220502,4.59,4.59,4.4,4.49,159802
20220503,4.56,4.6,4.54,4.54,100620
20220504,4.52,4.57,4.52,4.54,79442
20220505,4.67,4.67,4.61,4.64,61817
20220506,4.34,4.34,4.25,4.3,171323
20220509,4,4,3.93,3.97,284542
20220510,3.45,3.57,3.36,3.57,429134
20220511,3.37,3.43,3.34,3.42,277273
20220512,3.08,3.08,2.75,2.78,760889
20220513,2.98,3.15,2.98,3.13,417389
20220516,3.3,3.37,3.25,3.25,330472
20220517,3.1,3.1,3.05,3.08,107260
20220518,3.23,3.26,3.2,3.2,222606
20220519,3,3.02,2.96,3,213074
20220520,3.11,3.16,3.11,3.12,170228
20220523,3.08,3.09,3.04,3.06,141165
20220524,3,3,2.96,2.96,179303
20220525,2.94,2.94,2.82,2.84,259212
20220526,2.92,2.93,2.9,2.9,98794
20220527,2.99,3.01,2.95,2.95,86137
20220530,3.06,3.21,3.06,3.21,129705
20220531,3.37,3.42,3.33,3.35,256222
20220601,3.25,3.25,3.19,3.19,104521
20220602,2.97,2.97,2.93,2.96,115137
20220603,3.08,3.1,3.08,3.09,155139
20220606,2.99,3.08,2.95,3.07,62264
20220607,3.02,3.02,2.87,2.88,256579
20220608,2.99,3.02,2.94,2.96,280548
20220609,2.99,3.01,2.99,3,40430
20220610,2.88,2.89,2.83,2.87,122976
20220614,2.75,2.75,2.24,2.38,715547
20220615,2.42,2.44,2.34,2.36,192936
20220616,2.53,2.58,2.48,2.48,173659
20220617,2.29,2.34,2.26,2.32,194100
20220620,2.37,2.39,2.3,2.32,190458
20220621,2.37,2.46,2.37,2.46,175341
20220622,2.5,2.5,2.43,2.43,122992
20220623,2.35,2.39,2.33,2.39,106762
20220624,2.48,2.54,2.48,2.53,131754
20220627,2.56,2.63,2.56,2.6,229686
20220628,2.5,2.52,2.47,2.5,88506
20220629,2.37,2.37,2.32,2.34,99493
20220630,2.28,2.28,2.23,2.23,167827
20220701,2.2,2.27,2.18,2.18,152284
20220704,2.2,2.2,2.17,2.18,46150
20220705,2.24,2.27,2.23,2.25,74959
20220706,2.34,2.38,2.32,2.34,34343
20220707,2.36,2.36,2.32,2.32,45787
20220708,2.5,2.56,2.5,2.52,89846
20220711,2.52,2.52,2.47,2.47,98742
20220712,2.42,2.42,2.38,2.38,41553
