Date,Open,High,Low,Close,Volume
20231113,14.23,14.23,14.15,14.15,5200
20231114,14.25,14.27,14.23,14.27,10903
20231115,14.5,14.53,14.46,14.48,23684
20231116,14.57,14.57,14.405,14.405,34714
20231117,14.4,14.41,14.37,14.37,10075
20231120,14.39,14.41,14.39,14.41,25867
20231121,14.44,14.45,14.44,14.45,1052
20231122,14.42,14.42,14.42,14.42,1957
20231123,14.39,14.39,14.32,14.32,80596
20231124,14.38,14.38,14.35,14.35,11716
20231127,14.35,14.35,14.26,14.26,774
20231128,14.26,14.34,14.26,14.3,20906
20231129,14.33,14.37,14.33,14.37,23716
20231130,14.42,14.42,14.42,14.42,69
20231201,14.39,14.39,14.35,14.35,20028
20231204,14.61,14.61,14.55,14.55,877
20231205,14.55,14.55,14.42,14.42,10121
20231206,14.41,14.6,14.41,14.6,4939
20231207,14.59,14.59,14.59,14.59,68
20231208,14.55,14.63,14.55,14.63,754
20231211,14.67,14.67,14.67,14.67,144
20231212,14.66,14.66,14.66,14.66,5
20231213,14.7,14.75,14.7,14.75,1303
20231214,14.96,14.96,14.96,14.96,3608
20231215,15.1,15.13,15.08,15.13,6512
20231218,15.05,15.09,15.05,15.08,1412
20231219,15.13,15.15,15.13,15.15,32
20231220,15.3,15.3,15.3,15.3,654
20231221,15.27,15.27,15.27,15.27,7
20231222,15.28,15.28,15.27,15.27,2950
20231227,15.38,15.43,15.38,15.42,47
20231228,15.46,15.47,15.46,15.47,32
20231229,15.48,15.48,15.45,15.45,13
20240102,15.29,15.4,15.29,15.38,265
20240103,15.33,15.33,15.27,15.28,1580
20240104,15.22,15.22,15.2,15.2,28
20240105,15.21,15.21,15.21,15.21,157
20240108,15.13,15.13,15.13,15.13,17
20240109,15.13,15.13,15.13,15.13,0
20240110,15.23,15.23,15.13,15.14,50002
20240111,15.14,15.14,15.14,15.14,0
20240112,15.17,15.2,15.17,15.19,41
20240115,15.19,15.22,15.19,15.22,14219
20240116,15.17,15.17,15.05,15.05,12911
20240117,14.97,14.97,14.89,14.89,10
20240118,14.89,14.89,14.89,14.89,10
20240119,14.89,15.17,14.89,15.17,25840
20240122,15.09,15.12,15.09,15.11,146
20240123,15.2,15.2,15.2,15.2,4
20240124,15.19,15.19,15.19,15.19,10000
20240125,15.25,15.27,15.25,15.27,3336
20240129,15.3,15.34,15.3,15.34,1087
20240130,15.42,15.44,15.37,15.37,13114
