Date,Open,High,Low,Close,Volume
20230502,1.415,1.42,1.415,1.42,139312
20230503,1.415,1.415,1.415,1.415,12030
20230504,1.41,1.415,1.405,1.405,141230
20230505,1.4,1.4,1.4,1.4,15
20230508,1.41,1.41,1.41,1.41,135413
20230509,1.41,1.41,1.41,1.41,53329
20230510,1.41,1.41,1.41,1.41,168331
20230511,1.42,1.42,1.42,1.42,70000
20230512,1.42,1.42,1.42,1.42,0
20230515,1.42,1.42,1.42,1.42,1000
20230516,1.42,1.42,1.42,1.42,0
20230517,1.415,1.415,1.415,1.415,125823
20230518,1.42,1.42,1.42,1.42,105000
20230519,1.42,1.42,1.42,1.42,0
20230522,1.42,1.42,1.42,1.42,0
20230523,1.445,1.445,1.44,1.44,28383
20230524,1.405,1.405,1.4,1.4,109956
20230525,1.4,1.4,1.4,1.4,0
20230526,1.4,1.4,1.4,1.4,0
20230529,1.435,1.435,1.435,1.435,31470
20230530,1.435,1.435,1.435,1.435,5000
20230531,1.43,1.43,1.43,1.43,22005
20230601,1.42,1.42,1.42,1.42,194155
20230602,1.42,1.42,1.42,1.42,0
20230605,1.445,1.445,1.445,1.445,27644
20230606,1.435,1.435,1.435,1.435,95000
20230607,1.44,1.44,1.44,1.44,54676
20230608,1.44,1.44,1.435,1.435,100036
20230609,1.44,1.44,1.44,1.44,51271
20230613,1.47,1.47,1.47,1.47,3450
20230614,1.465,1.465,1.465,1.465,8000
20230615,1.465,1.465,1.465,1.465,0
20230616,1.475,1.475,1.475,1.475,122163
20230619,1.475,1.475,1.475,1.475,16800
20230620,1.465,1.465,1.465,1.465,41572
20230621,1.46,1.46,1.46,1.46,13600
20230622,1.46,1.46,1.455,1.455,74192
20230623,1.455,1.455,1.45,1.45,45777
20230626,1.45,1.45,1.45,1.45,0
20230627,1.45,1.45,1.45,1.45,0
20230628,1.46,1.465,1.46,1.46,72000
20230629,1.465,1.465,1.465,1.465,3000
20230630,1.475,1.48,1.475,1.48,34777
20230703,1.48,1.48,1.48,1.48,0
