Date,Open,High,Low,Close,Volume
20191211,25.04,25.06,25.04,25.05,830
20191212,25.02,25.02,25.02,25.02,1797
20191213,25,25.02,25,25.02,13974
20191216,25.02,25.02,25.02,25.02,10000
20191217,25.02,25.02,25.02,25.02,0
20191218,25.02,25.02,25.02,25.02,0
20191219,25.24,25.24,25.2,25.2,1680
20191220,25.2,25.2,25.2,25.2,200
20191223,25.2,25.2,25.2,25.2,0
20191224,25.2,25.2,25.2,25.2,0
20191227,25.2,25.2,25.2,25.2,0
20191230,25.1,25.1,25.1,25.1,2045
20191231,25.02,25.02,25.02,25.02,1931
20200102,24.95,24.95,24.95,24.95,801
20200103,24.95,24.95,24.95,24.95,0
20200106,25.1,25.1,25.1,25.1,500
20200107,25.1,25.1,25.1,25.1,0
20200108,25.1,25.1,25.1,25.1,0
20200109,25.39,25.39,25.39,25.39,40
20200110,25.39,25.39,25.39,25.39,0
20200113,25.39,25.39,25.39,25.39,0
20200114,25.49,25.49,25.49,25.49,412
20200115,25.49,25.49,25.49,25.49,0
20200116,25.49,25.49,25.49,25.49,0
20200117,25.49,25.49,25.49,25.49,0
20200120,25.71,25.71,25.71,25.71,77
20200121,25.69,25.69,25.69,25.69,396
20200122,25.69,25.69,25.69,25.69,0
20200123,25.73,25.74,25.68,25.68,20845
20200124,25.68,25.68,25.68,25.68,0
20200128,25.68,25.68,25.68,25.68,5000
20200129,25.67,25.7,25.67,25.7,27947
20200130,25.69,25.69,25.69,25.69,80
20200131,25.69,25.69,25.69,25.69,0
20200203,25.63,25.65,25.63,25.65,5048
20200204,25.65,25.65,25.65,25.65,0
20200205,25.65,25.65,25.65,25.65,0
20200206,25.65,25.65,25.65,25.65,0
20200207,25.65,25.65,25.65,25.65,0
20200210,25.83,25.85,25.83,25.85,3138
20200211,25.85,25.85,25.85,25.85,0
20200212,25.85,25.85,25.85,25.85,0
20200213,25.85,25.85,25.85,25.85,0
20200214,25.85,25.85,25.85,25.85,0
20200217,25.85,25.85,25.85,25.85,0
20200218,26.02,26.02,26.02,26.02,684
20200219,26.03,26.03,26.03,26.03,196
20200220,26.03,26.03,26.03,26.03,0
20200221,26.03,26.03,26.03,26.03,0
20200224,25.93,25.93,25.9,25.9,408
20200225,25.63,25.65,25.63,25.65,10193
20200226,25.65,25.65,25.65,25.65,0
20200227,25.46,25.46,25.34,25.34,235
20200228,25,25.01,25,25.01,520
20200302,25.01,25.01,25.01,25.01,0
20200303,25.25,25.25,25.14,25.14,2980
20200304,25.14,25.14,25.14,25.14,0
20200305,25.14,25.14,25.14,25.14,0
20200306,24.98,24.98,24.93,24.93,795
20200309,24.29,24.3,24.29,24.3,10061
20200310,24.3,24.3,24.3,24.3,0
20200311,24.3,24.3,24.3,24.3,0
20200312,24.3,24.3,24.3,24.3,0
20200313,22.3,22.3,22.3,22.3,38
20200316,22.3,22.3,22.3,22.3,0
20200317,22.3,22.3,22.3,22.3,0
20200318,22.3,22.3,22.3,22.3,0
20200319,22.2,22.2,22.2,22.2,60
20200320,22.2,22.2,22.2,22.2,0
20200323,21.58,21.58,21.58,21.58,380
20200324,21.58,21.58,21.58,21.58,0
20200325,21.58,21.58,21.58,21.58,0
20200326,21.58,21.58,21.58,21.58,0
20200327,21.58,21.58,21.58,21.58,0
20200330,21.58,21.58,21.58,21.58,0
20200331,21.58,21.58,21.58,21.58,0
20200401,21.58,21.58,21.58,21.58,0
20200402,21.58,21.58,21.58,21.58,0
20200403,21.58,21.58,21.58,21.58,0
20200406,22.88,22.88,22.88,22.88,407
20200407,22.88,22.88,22.88,22.88,0
20200408,22.88,22.88,22.88,22.88,0
20200409,22.88,22.88,22.88,22.88,0
20200414,23.16,23.16,23.16,23.16,431
20200415,23.16,23.16,23.16,23.16,0
20200416,23.16,23.16,23.16,23.16,0
20200417,23.16,23.16,23.16,23.16,0
20200420,23.5,23.5,23.5,23.5,1072
20200421,23.5,23.5,23.5,23.5,0
20200422,23.5,23.5,23.5,23.5,0
20200423,23.5,23.5,23.5,23.5,0
20200424,23.5,23.5,23.5,23.5,0
20200427,23.17,23.17,23.17,23.17,300
20200428,23.17,23.17,23.17,23.17,0
20200429,23.17,23.17,23.17,23.17,0
20200430,23.17,23.17,23.17,23.17,0
20200501,23.17,23.17,23.17,23.17,0
20200504,23.17,23.17,23.17,23.17,0
20200505,23.17,23.17,23.17,23.17,0
20200506,23.17,23.17,23.17,23.17,0
20200507,23.17,23.17,23.17,23.17,0
20200508,23.17,23.17,23.17,23.17,0
20200511,23.17,23.17,23.17,23.17,0
20200512,23.17,23.17,23.17,23.17,0
20200513,23.17,23.17,23.17,23.17,0
20200514,23.17,23.17,23.17,23.17,0
20200515,23.17,23.17,23.17,23.17,0
20200518,23.54,23.54,23.54,23.54,173
20200519,23.54,23.54,23.54,23.54,0
20200520,23.54,23.54,23.54,23.54,0
20200521,23.54,23.54,23.54,23.54,0
20200522,23.7,23.7,23.7,23.7,4000
20200525,23.77,23.77,23.77,23.77,210
20200526,23.77,23.77,23.77,23.77,0
20200527,24.04,24.04,24.04,24.04,2070
20200528,24.28,24.28,24.28,24.28,1235
20200529,24.28,24.28,24.28,24.28,0
20200601,24.28,24.28,24.28,24.28,0
20200602,24.28,24.28,24.28,24.28,0
20200603,24.15,24.15,24.15,24.15,206
20200604,24.15,24.15,24.15,24.15,0
20200605,24.15,24.15,24.15,24.15,0
20200609,24.5,24.5,24.5,24.5,400
20200610,24.5,24.5,24.5,24.5,0
20200611,24.41,24.41,24.35,24.35,3982
20200612,24.35,24.35,24.35,24.35,0
20200615,24.06,24.06,24.06,24.06,415
20200616,24.06,24.06,24.06,24.06,0
20200617,24.36,24.36,24.36,24.36,1630
20200618,24.33,24.33,24.3,24.3,4365
20200619,24.3,24.3,24.3,24.3,0
20200622,24.3,24.3,24.3,24.3,20
20200623,24.35,24.35,24.35,24.35,40
20200624,24.35,24.35,24.35,24.35,0
20200625,24.22,24.22,24.15,24.15,2091
20200626,24.15,24.15,24.15,24.15,0
20200629,24.15,24.15,24.15,24.15,0
20200630,24.15,24.15,24.15,24.15,0
20200701,24.15,24.15,24.15,24.15,0
20200702,24.15,24.15,24.15,24.15,0
20200703,24.32,24.32,24.32,24.32,205
20200706,24.32,24.32,24.32,24.32,0
20200707,24.32,24.32,24.32,24.32,0
20200708,24.32,24.32,24.32,24.32,0
20200709,24.31,24.33,24.31,24.33,822
20200710,24.33,24.33,24.33,24.33,0
20200713,24.35,24.35,24.35,24.35,4100
20200714,24.26,24.26,24.26,24.26,22
20200715,24.26,24.26,24.26,24.26,0
20200716,24.26,24.26,24.26,24.26,0
20200717,24.26,24.26,24.26,24.26,0
20200720,24.26,24.26,24.26,24.26,0
20200721,24.47,24.47,24.47,24.47,50
20200722,24.45,24.45,24.45,24.45,375
20200723,24.45,24.45,24.45,24.45,0
20200724,24.36,24.36,24.36,24.36,271
20200727,24.35,24.35,24.35,24.35,400
20200728,24.35,24.35,24.35,24.35,0
20200729,24.35,24.35,24.35,24.35,0
20200730,24.35,24.35,24.35,24.35,0
20200731,24.35,24.35,24.35,24.35,0
20200803,24.35,24.35,24.35,24.35,0
20200804,24.35,24.35,24.35,24.35,0
20200805,24.35,24.35,24.35,24.35,0
20200806,24.35,24.35,24.35,24.35,0
