Date,Open,High,Low,Close,Volume
20231113,27.56,27.6,27.56,27.57,60050
20231114,27.68,27.68,27.68,27.68,36
20231115,28.28,28.33,28.28,28.32,4801
20231116,28.29,28.3,28.29,28.3,396
20231117,28.26,28.26,28.26,28.26,36
20231120,28.37,28.37,28.35,28.35,54
20231121,28.35,28.35,28.35,28.35,0
20231122,28.35,28.35,28.35,28.35,35
20231123,28.46,28.48,28.46,28.48,71
20231124,28.52,28.52,28.51,28.51,70
20231127,28.54,28.54,28.48,28.48,9547
20231128,28.49,28.49,28.49,28.49,515
20231129,28.44,28.46,28.44,28.46,48
20231130,28.46,28.46,28.46,28.46,3
20231201,28.63,28.63,28.63,28.63,163
20231204,28.98,28.98,28.83,28.83,40060
20231205,28.83,28.83,28.83,28.83,0
20231206,28.75,28.87,28.75,28.87,384
20231207,28.69,28.69,28.69,28.69,34
20231208,28.79,28.8,28.79,28.8,1975
20231211,29.01,29.01,29.01,29.01,34
20231212,29.07,29.07,29.07,29.07,34
20231213,29.17,29.17,29.17,29.17,18
20231214,29.17,29.17,29.17,29.17,0
20231215,29.17,29.17,29.17,29.17,0
20231218,29.17,29.17,29.17,29.17,0
20231219,29.17,29.17,29.17,29.17,0
20231220,29.97,30.04,29.97,30.04,3529
20231221,29.65,29.66,29.65,29.66,1013
20231222,29.92,29.92,29.82,29.82,322
20231227,30.17,30.17,30.13,30.17,7
20231228,30.18,30.23,30.13,30.16,26030
20231229,30.17,30.17,30.16,30.16,193
20240102,30.06,30.06,30.06,30.06,202
20240103,30.06,30.06,30.06,30.06,0
20240104,29.64,29.64,29.64,29.64,33
20240105,29.6,29.6,29.6,29.6,5000
20240108,29.6,29.6,29.6,29.6,0
20240109,29.97,29.97,29.97,29.97,30
20240110,29.84,29.88,29.84,29.88,1131
20240111,30,30.04,30,30.01,1093
20240112,29.88,29.88,29.88,29.88,11
20240115,30,30,30,30,335
20240116,29.88,29.88,29.83,29.83,605
20240117,29.83,29.83,29.83,29.83,0
20240118,29.54,29.54,29.54,29.54,28
20240119,29.54,29.54,29.54,29.54,0
20240122,30.07,30.07,30.06,30.06,67
20240123,30.23,30.23,30.23,30.23,65
20240124,30.3,30.3,30.22,30.22,597
20240125,30.21,30.21,30.21,30.21,3
20240129,30.21,30.21,30.21,30.21,0
20240130,30.74,30.74,30.72,30.72,807
20240131,30.55,30.55,30.55,30.55,20
20240201,30.33,30.35,30.33,30.35,166
20240202,30.63,30.63,30.63,30.63,120
20240205,30.65,30.65,30.62,30.62,354
20240206,30.51,30.51,30.51,30.51,64
20240207,30.51,30.51,30.51,30.51,0
20240208,30.71,30.71,30.71,30.71,5665
20240209,30.82,30.82,30.75,30.75,4751
20240212,30.96,30.96,30.96,30.96,20
20240213,30.96,30.96,30.96,30.96,0
20240214,30.96,30.96,30.96,30.96,0
20240215,30.87,30.87,30.87,30.87,52
20240216,31.15,31.15,31.15,31.15,160
20240219,31.08,31.08,31.08,31.08,2895
20240220,31.03,31.03,30.97,30.97,1640
20240221,30.92,30.92,30.89,30.89,118
20240222,30.89,30.89,30.89,30.89,0
20240223,31.48,31.48,31.44,31.46,16186
20240226,31.49,31.49,31.43,31.43,12821
20240227,31.43,31.43,31.37,31.37,3324
20240228,31.46,31.46,31.46,31.46,377
20240229,31.42,31.49,31.42,31.49,66022
20240301,31.67,31.67,31.67,31.67,4523
20240304,31.78,31.78,31.78,31.78,1263
20240305,31.76,31.76,31.76,31.76,30
20240306,31.64,31.64,31.64,31.64,2218
20240307,31.77,31.77,31.77,31.77,604
20240308,32.02,32.08,32.02,32.08,1447
20240311,32.08,32.08,31.83,31.83,3882
20240312,31.88,31.88,31.88,31.88,570
20240313,32.12,32.12,32.07,32.07,7342
20240314,32.08,32.12,32.08,32.12,5321
20240315,31.94,31.94,31.92,31.92,5286
20240318,31.91,31.98,31.91,31.97,56799
20240319,31.99,31.99,31.97,31.97,3259
20240320,32.2,32.2,32.14,32.14,4536
20240321,32.14,32.14,32.14,32.14,0
20240322,32.75,32.76,32.73,32.73,7
20240325,32.6,32.6,32.57,32.57,2586
20240326,32.58,32.58,32.58,32.58,8605
20240327,32.53,32.61,32.53,32.61,5634
20240328,32.8,32.8,32.73,32.73,8291
20240402,32.66,32.69,32.65,32.68,9587
20240403,32.45,32.45,32.39,32.41,4236
20240404,32.63,32.69,32.63,32.69,8527
20240405,32.28,32.29,32.27,32.29,16345
20240408,32.56,32.56,32.5,32.5,6535
20240409,32.63,32.63,32.61,32.61,2
20240410,32.65,32.69,32.65,32.66,62946
20240411,32.31,32.31,32.28,32.31,1857
20240412,32.39,32.44,32.39,32.4,1149
20240415,32.21,32.21,32.2,32.2,13179
20240416,31.7,31.7,31.62,31.62,5823
20240417,31.56,31.63,31.56,31.57,6841
20240418,31.42,31.51,31.42,31.5,19889
20240419,32.28,32.28,30.83,31.03,4808
20240422,31.32,31.43,31.32,31.43,195
20240423,31.58,31.61,31.58,31.61,10829
20240424,31.93,32.02,31.93,32.02,9219
20240426,32.11,32.11,31.88,31.88,162
20240429,32.02,32.04,32.02,32.03,6673
20240430,32.02,32.02,32.02,32.02,4849
20240501,31.59,31.65,31.59,31.65,5392
20240502,31.74,31.74,31.69,31.69,1937
20240503,31.82,31.82,31.82,31.82,314
20240506,32.15,32.15,32.13,32.13,1474
20240507,32.36,32.41,32.36,32.41,631
20240508,32.43,32.43,32.42,32.42,1068
20240509,32.46,32.46,32.38,32.38,32
20240510,32.74,32.74,32.71,32.72,1504
20240513,32.68,32.72,32.68,32.72,8444
20240514,32.72,32.72,32.68,32.68,3991
20240515,32.96,32.96,32.91,32.91,3418
20240516,33.17,33.19,33.16,33.18,48865
20240517,33.01,33.01,32.99,33.01,995
20240520,33.14,33.15,33.14,33.14,3296
20240521,33.14,33.14,33.12,33.12,1486
20240522,33.15,33.15,33.11,33.11,210
20240523,33.02,33.13,33.02,33.07,2942
20240524,32.75,32.76,32.68,32.68,1142
20240527,32.91,32.91,32.9,32.9,1188
20240528,33.02,33.05,33.01,33.05,1227
20240529,32.92,32.92,32.83,32.83,36
20240530,32.52,32.55,32.44,32.47,1769
