Date,Open,High,Low,Close,Volume
20191210,25.27,25.27,25.27,25.27,1
20191211,25.27,25.27,25.27,25.27,0
20191212,25.25,25.25,25.25,25.25,39
20191213,25.27,25.27,25.25,25.25,10138
20191216,25.39,25.42,25.39,25.42,10890
20191217,25.57,25.57,25.57,25.57,114
20191218,25.62,25.62,25.62,25.62,11723
20191219,25.62,25.62,25.49,25.49,3307
20191220,25.53,25.53,25.49,25.49,545
20191223,25.49,25.49,25.49,25.49,200
20191224,25.42,25.42,25.42,25.42,250
20191227,25.42,25.42,25.42,25.42,0
20191230,25.42,25.42,25.35,25.35,8775
20191231,25.27,25.27,25.26,25.26,947
20200102,25.26,25.26,25.26,25.26,50
20200103,25.5,25.5,25.37,25.37,4500
20200106,25.38,25.38,25.35,25.35,358
20200107,25.35,25.35,25.35,25.35,0
20200108,25.53,25.53,25.53,25.53,500
20200109,25.53,25.53,25.53,25.53,0
20200110,25.53,25.53,25.53,25.53,0
20200113,25.53,25.53,25.53,25.53,0
20200114,25.89,25.89,25.89,25.89,386
20200115,25.9,25.9,25.9,25.9,995
20200116,26.01,26.01,26.01,26.01,112
20200117,26.14,26.14,26.14,26.14,768
20200120,26.18,26.18,26.18,26.18,381
20200121,26.18,26.18,26.12,26.12,320
20200122,26.17,26.17,26.17,26.17,191
20200123,26.17,26.17,26.17,26.17,0
20200124,26.27,26.27,26.25,26.25,4843
20200128,26.07,26.19,26.06,26.11,8235
20200129,26.1,26.1,26.1,26.1,382
20200130,26.15,26.15,26.15,26.15,1021
20200131,26.15,26.15,26.15,26.15,0
20200203,25.99,25.99,25.99,25.99,350
20200204,26.05,26.05,26.05,26.05,38
20200205,26.05,26.05,26.05,26.05,0
20200206,26.05,26.05,26.05,26.05,0
20200207,26.32,26.32,26.3,26.3,1480
20200210,26.3,26.3,26.27,26.27,55
20200211,26.27,26.27,26.27,26.27,0
20200212,26.27,26.27,26.27,26.27,0
20200213,26.51,26.52,26.5,26.5,993
20200214,26.52,26.53,26.5,26.53,856
20200217,26.54,26.54,26.53,26.53,1515
20200218,26.53,26.53,26.53,26.53,0
