Date,Open,High,Low,Close,Volume
20191205,24.74,24.74,24.74,24.74,25
20191206,24.8,24.8,24.8,24.8,606
20191209,24.8,24.8,24.8,24.8,0
20191210,24.89,24.92,24.87,24.87,3636
20191211,24.93,24.93,24.93,24.93,91
20191212,24.91,24.91,24.87,24.87,339
20191213,24.9,24.93,24.86,24.9,5512
20191216,25.07,25.07,25.06,25.07,10407
20191217,25.26,25.31,25.25,25.31,620
20191218,25.31,25.31,25.28,25.3,3140
20191219,25.39,25.39,25.22,25.22,3192
20191220,25.24,25.24,25.15,25.17,2021
20191223,25.17,25.17,25.13,25.13,348
20191224,25.13,25.13,25.1,25.1,7636
20191227,25.1,25.1,25.1,25.1,0
20191230,25.02,25.02,25.02,25.02,40
20191231,24.93,24.93,24.85,24.85,3331
20200102,24.84,24.93,24.84,24.93,1080
20200103,25.19,25.2,25.04,25.04,3675
20200106,25.02,25.02,24.98,24.98,991
20200107,25.2,25.32,25.2,25.31,240
20200108,25.33,25.33,25.18,25.23,4275
20200109,25.49,25.5,25.49,25.5,140
20200110,25.61,25.64,25.61,25.64,278
20200113,25.48,25.48,25.47,25.48,256
20200114,25.64,25.67,25.64,25.67,11069
20200115,25.68,25.68,25.68,25.68,1000
20200116,25.81,25.81,25.8,25.8,721
20200117,25.99,25.99,25.92,25.92,365
20200120,26.03,26.03,26.02,26.02,1162
20200121,26.02,26.02,25.92,25.92,373
20200122,26.17,26.17,26.17,26.17,37
20200123,26.06,26.2,25.93,25.93,481
20200124,26.04,26.07,26.04,26.07,1031
20200128,25.86,25.93,25.79,25.82,10563
20200129,25.9,25.97,25.9,25.97,75
20200130,25.97,25.97,25.82,25.86,1910
20200131,25.86,25.86,25.86,25.86,0
20200203,25.65,25.71,25.61,25.71,1463
20200204,25.78,25.87,25.78,25.87,506
20200205,25.87,25.87,25.87,25.87,0
20200206,26.09,26.15,26.09,26.15,985
20200207,26.17,26.17,26.07,26.07,1237
20200210,26.09,26.13,26.04,26.13,1122
20200211,26.32,26.32,26.32,26.32,2000
20200212,26.27,26.27,26.26,26.26,226
20200213,26.39,26.39,26.35,26.35,1044
20200214,26.35,26.35,26.35,26.35,0
20200217,26.43,26.43,26.43,26.43,360
20200218,26.4,26.4,26.4,26.4,112
20200219,26.4,26.43,26.4,26.4,1214
20200220,26.58,26.63,26.58,26.59,1024
20200221,26.55,26.61,26.55,26.59,293
20200224,26.31,26.31,26.11,26.11,1041
20200225,25.56,25.72,25.56,25.72,1789
20200226,25.27,25.31,25.27,25.3,2741
