Date,Open,High,Low,Close,Volume
20211103,10.06,10.07,10.06,10.07,30055
20211104,10.07,10.07,10.05,10.05,2900
20211105,10.07,10.07,10.07,10.07,1000
20211108,10.1,10.1,10.09,10.09,5500
20211109,10.09,10.09,10.09,10.09,0
20211110,10.09,10.09,10.09,10.09,750
20211111,10.09,10.09,10.09,10.09,0
20211112,10.08,10.08,10.04,10.04,1487
20211115,10.05,10.05,10.05,10.05,1500
20211116,10.04,10.05,10.04,10.05,3700
20211117,10.03,10.03,10.03,10.03,1200
20211118,10.04,10.04,10.04,10.04,5000
20211119,10.04,10.04,10.04,10.04,75
20211122,10.04,10.04,10.04,10.04,0
20211123,10.02,10.02,9.99,10.01,22488
20211124,10.01,10.02,10.01,10.02,4990
20211125,10,10,10,10,1500
20211126,9.98,9.98,9.98,9.98,21000
20211129,9.96,10,9.96,10,575
20211130,9.95,9.95,9.95,9.95,100
20211201,9.94,9.94,9.94,9.94,5000
20211202,9.94,9.94,9.94,9.94,0
20211203,9.95,9.95,9.95,9.95,100
20211206,9.95,9.95,9.95,9.95,0
20211207,9.97,9.97,9.97,9.97,100
20211208,10,10,10,10,15047
20211209,10,10,10,10,0
20211210,10,10,10,10,0
20211213,10,10,10,10,4000
20211214,10,10,10,10,10350
20211215,10,10,10,10,0
20211216,10,10,10,10,0
20211217,10,10,10,10,0
20211220,10,10,10,10,5000
20211221,10,10,10,10,11979
20211222,10,10,10,10,0
20211223,10,10,10,10,0
20211224,10,10,10,10,0
20211229,10.04,10.04,10.03,10.04,56419
20211230,9.99,10,9.97,9.98,54094
20211231,9.98,9.98,9.98,9.98,0
20220104,9.97,9.97,9.97,9.97,11320
20220105,9.98,9.98,9.98,9.98,4000
20220106,9.96,9.96,9.96,9.96,79
20220107,9.99,9.99,9.99,9.99,1604
20220110,9.99,9.99,9.99,9.99,0
20220111,9.99,9.99,9.99,9.99,26500
20220112,9.99,9.99,9.99,9.99,0
20220113,10,10,9.99,9.99,2549
20220114,9.99,9.99,9.99,9.99,1057
20220117,9.99,9.99,9.99,9.99,0
20220118,9.99,9.99,9.99,9.99,0
20220119,9.99,9.99,9.99,9.99,0
20220120,9.99,9.99,9.99,9.99,0
20220121,9.99,9.99,9.99,9.99,0
20220124,9.99,9.99,9.99,9.99,0
20220125,9.94,9.94,9.94,9.94,100
20220127,9.92,9.92,9.92,9.92,10800
20220128,9.92,9.92,9.92,9.92,0
20220131,9.92,9.92,9.92,9.92,0
20220201,9.86,9.86,9.86,9.86,2500
20220202,9.86,9.86,9.86,9.86,0
20220203,9.93,9.93,9.93,9.93,92
20220204,9.93,9.93,9.93,9.93,0
20220207,9.92,9.92,9.92,9.92,12109
20220208,9.88,9.88,9.87,9.87,5222
20220209,9.8,9.8,9.8,9.8,5036
20220210,9.8,9.8,9.8,9.8,0
20220211,9.8,9.8,9.8,9.8,0
20220214,9.8,9.8,9.8,9.8,0
20220215,9.8,9.8,9.8,9.8,0
