Date,Open,High,Low,Close,Volume
20211215,11.82,11.82,11.77,11.77,2083
20211216,11.77,11.81,11.76,11.81,75778
20211217,11.76,11.77,11.46,11.5,78660
20211220,11.56,11.56,11.3,11.35,27037
20211221,11.5,11.5,11.29,11.36,8165
20211222,11.58,11.58,11.5,11.57,1856
20211223,11.77,11.77,11.67,11.67,7088
20211224,12.1,12.1,11.82,11.82,2919
20211229,11.85,11.85,11.81,11.84,12774
20211230,11.72,11.72,11.67,11.7,12527
20211231,11.94,11.94,11.88,11.9,2067
20220104,12.44,12.44,12.27,12.36,3358
20220105,12.34,12.34,12.15,12.16,15052
20220106,12.01,12.01,11.84,11.88,25419
20220107,12.03,12.03,11.9,11.91,31845
20220110,11.91,11.91,11.73,11.8,34719
20220111,11.85,11.85,11.69,11.71,13963
20220112,11.91,11.93,11.91,11.92,1096
20220113,12.06,12.06,11.89,11.9,5274
20220114,12.13,12.13,11.72,11.79,5239
20220117,12.05,12.05,11.87,11.87,770
20220118,12.01,12.01,11.9,11.9,1683
20220119,11.74,11.74,11.5,11.5,27248
20220120,11.4,11.4,11.21,11.35,20383
20220121,11.31,11.31,11.06,11.11,57617
20220124,11,11.01,10.95,10.98,110130
20220125,10.9,10.9,10.6,10.6,17343
20220127,10.67,10.67,10.34,10.34,37545
20220128,10.39,10.39,10.14,10.17,41157
20220131,10.25,10.29,10.21,10.27,14369
20220201,10.59,10.69,10.59,10.66,8963
20220202,10.88,10.89,10.77,10.81,16567
20220203,11.04,11.26,10.5,10.5,92160
20220204,10.61,10.61,10.4,10.45,26797
20220207,10.51,10.58,10.5,10.54,17510
20220208,10.6,10.6,10.42,10.45,48198
20220209,10.68,10.68,10.53,10.58,13650
20220210,10.91,11.08,10.91,10.91,1646
20220211,10.73,10.73,10.61,10.62,13446
20220214,10.41,10.41,10.28,10.37,42303
20220215,10.42,10.42,10.32,10.36,12306
20220216,10.63,10.9,10.63,10.8,848
20220217,10.91,10.91,10.7,10.7,2374
20220218,10.62,10.62,10.53,10.6,11224
20220221,10.41,10.41,10.22,10.34,6325
20220222,10.05,10.05,9.95,9.95,31629
20220223,10.05,10.13,10.05,10.13,21811
20220224,10.06,10.06,9.5,9.57,76291
20220225,9.94,9.99,9.915,9.93,10977
20220228,10.01,10.01,9.78,9.81,47683
20220301,9.93,10.15,9.93,10.105,42863
20220302,9.83,9.83,9.7,9.71,7087
20220303,9.79,9.79,9.68,9.7,782
20220304,9.41,9.41,9.08,9.08,37412
20220307,9.1,9.1,8.5,8.52,6791
20220308,8.5,8.5,8.4,8.41,6370
20220309,8.51,8.75,8.51,8.71,47123
20220310,9.1,9.1,9.02,9.02,18034
20220311,8.85,8.85,8.65,8.68,2644
20220314,8.68,8.71,8.62,8.65,41053
20220315,8.49,8.53,8.45,8.5,49825
20220316,8.64,8.65,8.63,8.63,16584
20220317,9.11,9.27,9.11,9.21,30758
20220318,9.22,9.22,9.08,9.09,1937
20220321,9.24,9.52,9.24,9.32,13984
20220322,9.32,9.34,9.22,9.24,479
20220323,9.34,9.51,9.34,9.48,11186
20220324,9.42,9.42,9.3,9.41,5276
20220325,9.54,9.54,9.4,9.4,11530
20220328,9.3,9.3,9.22,9.24,11534
20220329,9.42,9.47,9.42,9.46,1335
20220330,9.79,9.82,9.76,9.78,14792
20220331,9.8,9.8,9.72,9.74,8885
20220401,9.66,9.66,9.55,9.59,14381
20220404,9.62,9.62,9.5,9.55,21786
20220405,9.6,9.72,9.6,9.63,14053
20220406,9.37,9.37,9.25,9.26,6463
20220407,9.17,9.17,9.06,9.13,6740
20220408,9.14,9.14,9.04,9.06,3038
20220411,9.06,9.06,8.88,8.88,8961
20220412,8.88,8.88,8.79,8.8,2852
20220413,8.79,8.93,8.79,8.93,3970
20220414,9.03,9.08,9,9.08,12461
20220419,9.29,9.29,8.94,8.96,12862
20220420,9.13,9.14,9.11,9.13,1326
20220421,9.13,9.13,9.06,9.06,9736
20220422,8.94,8.95,8.83,8.95,16957
20220426,9.06,9.06,8.97,8.99,12208
20220427,8.65,8.65,8.58,8.64,9106
20220428,8.77,8.79,8.74,8.79,2497
20220429,8.9,8.92,8.83,8.92,85331
20220502,8.9,8.9,8.82,8.87,1689
20220503,8.92,8.96,8.92,8.96,6274
20220504,8.88,8.88,8.82,8.82,9064
20220505,8.9,8.93,8.86,8.93,27763
20220506,8.8,8.8,8.53,8.57,56969
20220509,8.51,8.51,8.41,8.42,14905
20220510,8.18,8.18,8.08,8.17,8203
20220511,8.19,8.26,8.18,8.26,14965
20220512,8.08,8.08,8,8.01,11621
20220513,8.27,8.31,8.27,8.31,5713
20220516,8.45,8.55,8.43,8.5,3567
20220517,8.42,8.42,8.35,8.37,1518
20220518,8.62,8.63,8.6,8.61,2996
20220519,8.3,8.4,8.3,8.36,9474
20220520,8.49,8.62,8.49,8.59,6381
20220523,8.59,8.59,8.45,8.48,20312
20220524,8.65,8.65,8.27,8.3,2331
20220525,8.24,8.24,8.17,8.19,415
