Date,Open,High,Low,Close,Volume
20160809,4.99,4.99,4.98,4.98,11440
20160810,4.98,4.98,4.98,4.98,0
20160811,4.98,4.98,4.98,4.98,0
20160812,5.01,5.01,5,5,2695
20160815,5,5,5,5,3989
20160816,4.99,4.99,4.99,4.99,2699
20160817,4.97,4.97,4.97,4.97,1392
20160818,4.96,4.96,4.96,4.96,1500
20160819,4.94,4.94,4.94,4.94,26725
20160822,4.93,4.93,4.92,4.92,22381
20160823,4.95,4.96,4.95,4.95,25597
20160824,4.96,4.96,4.95,4.95,9036
20160825,4.92,4.92,4.91,4.91,20989
20160826,4.89,4.89,4.89,4.89,9120
20160829,4.89,4.89,4.89,4.89,6538
20160830,4.89,4.89,4.89,4.89,13204
20160831,4.88,4.91,4.88,4.88,152002
20160901,4.85,4.85,4.85,4.85,2164
20160902,4.82,4.82,4.82,4.82,3631
20160905,4.87,4.87,4.87,4.87,8884
20160906,4.86,4.86,4.86,4.86,21000
20160907,4.87,4.87,4.87,4.87,12500
20160908,4.87,4.87,4.87,4.87,0
20160909,4.87,4.87,4.87,4.87,919
20160912,4.77,4.77,4.75,4.75,3241
20160913,4.85,4.85,4.85,4.85,3700
20160914,4.85,4.85,4.85,4.85,0
20160915,4.85,4.85,4.85,4.85,0
20160916,4.83,4.83,4.83,4.83,37000
20160919,4.89,4.89,4.89,4.89,4000
20160920,4.87,4.87,4.87,4.87,104053
20160921,4.87,4.87,4.87,4.87,0
20160922,4.91,4.93,4.91,4.93,2853
20160923,4.93,4.93,4.93,4.93,0
20160926,4.93,4.94,4.93,4.94,63500
20160927,4.89,4.89,4.88,4.88,28650
20160928,4.89,4.89,4.88,4.88,38100
20160929,4.9,4.9,4.9,4.9,61000
20160930,4.8,4.8,4.8,4.8,3412
20161003,4.8,4.8,4.8,4.8,0
20161004,4.84,4.84,4.84,4.84,10000
20161005,4.83,4.83,4.83,4.83,1000
20161006,4.83,4.83,4.83,4.83,0
20161007,4.83,4.83,4.83,4.83,22500
20161010,4.84,4.84,4.84,4.84,300
20161011,4.87,4.87,4.87,4.87,2000
20161012,4.78,4.78,4.78,4.78,1000
20161013,4.73,4.73,4.73,4.73,6610
20161014,4.73,4.75,4.73,4.75,14300
20161017,4.7,4.7,4.7,4.7,130
20161018,4.71,4.71,4.71,4.71,5500
20161019,4.75,4.75,4.75,4.75,110
20161020,4.73,4.73,4.73,4.73,315
20161021,4.74,4.74,4.74,4.74,3130
20161024,4.7,4.71,4.7,4.71,6295
20161025,4.71,4.71,4.71,4.71,0
20161026,4.67,4.67,4.66,4.66,18475
20161027,4.66,4.66,4.66,4.66,0
20161028,4.67,4.67,4.66,4.66,2200
20161031,4.59,4.6,4.59,4.6,16450
20161101,4.6,4.6,4.6,4.6,0
20161102,4.55,4.55,4.55,4.55,1098
20161103,4.5,4.5,4.47,4.47,5450
20161104,4.5,4.5,4.46,4.46,9550
20161107,4.46,4.46,4.46,4.46,0
20161108,4.57,4.57,4.57,4.57,12000
20161109,4.57,4.57,4.36,4.4,17300
20161110,4.75,4.76,4.75,4.76,147340
20161111,4.8,4.8,4.79,4.8,44023
20161114,4.74,4.75,4.74,4.75,9200
20161115,4.72,4.72,4.72,4.72,1300
20161116,4.73,4.73,4.69,4.69,6050
20161117,4.69,4.69,4.69,4.69,0
20161118,4.73,4.73,4.73,4.73,1675
20161121,4.68,4.69,4.68,4.69,240799
20161122,4.68,4.7,4.68,4.7,230046
20161123,4.62,4.62,4.61,4.61,57592
20161124,4.62,4.62,4.61,4.61,21614
20161125,4.64,4.64,4.63,4.63,14606
20161128,4.67,4.67,4.65,4.65,43095
20161129,4.63,4.63,4.62,4.63,3986
20161130,4.63,4.63,4.63,4.63,0
20161201,4.62,4.62,4.62,4.62,268
20161202,4.58,4.58,4.58,4.58,22788
20161205,4.57,4.57,4.57,4.57,3185
20161206,4.59,4.59,4.58,4.58,60326
20161207,4.57,4.59,4.57,4.59,52108
20161208,4.59,4.59,4.59,4.59,0
20161209,4.55,4.56,4.55,4.56,18000
20161212,4.64,4.64,4.64,4.64,8500
20161213,4.65,4.65,4.64,4.64,9059
20161214,4.7,4.71,4.68,4.71,30211
20161215,4.71,4.71,4.71,4.71,0
20161216,4.72,4.72,4.72,4.72,1676
20161219,4.73,4.74,4.73,4.74,6731
20161220,4.74,4.74,4.74,4.74,0
20161221,4.71,4.71,4.71,4.71,10500
20161222,4.69,4.69,4.66,4.66,11040
20161223,4.66,4.66,4.66,4.66,0
20161228,4.66,4.66,4.66,4.66,0
20161229,4.66,4.66,4.66,4.66,0
20161230,4.66,4.66,4.66,4.66,0
20170103,4.66,4.66,4.66,4.66,0
20170104,4.66,4.66,4.66,4.66,0
20170105,4.77,4.79,4.77,4.79,7131
20170106,4.79,4.79,4.79,4.79,0
20170109,4.85,4.85,4.85,4.85,3000
20170110,4.84,4.85,4.84,4.84,14357
20170111,4.84,4.84,4.84,4.84,0
20170112,4.82,4.82,4.82,4.82,3900
20170113,4.82,4.82,4.82,4.82,0
20170116,4.82,4.82,4.79,4.79,1900
20170117,4.78,4.78,4.78,4.78,10000
20170118,4.78,4.78,4.78,4.78,6300
20170119,4.77,4.78,4.77,4.78,16600
20170120,4.76,4.76,4.75,4.75,64324
20170123,4.73,4.73,4.7,4.7,22570
20170124,4.7,4.7,4.7,4.7,7220
20170125,4.65,4.66,4.65,4.66,11000
20170127,4.71,4.71,4.71,4.71,1100
20170130,4.72,4.72,4.69,4.71,35650
20170131,4.67,4.67,4.67,4.67,5245
20170201,4.72,4.76,4.72,4.75,10242
20170202,4.78,4.78,4.78,4.78,6300
20170203,4.78,4.78,4.78,4.78,0
20170206,4.78,4.78,4.78,4.78,0
20170207,4.78,4.78,4.78,4.78,1300
20170208,4.82,4.82,4.82,4.82,7000
20170209,4.82,4.82,4.82,4.82,0
20170210,4.84,4.84,4.84,4.84,8000
20170213,4.87,4.88,4.87,4.88,578244
20170214,4.9,4.9,4.87,4.87,16851
20170215,4.9,4.9,4.89,4.89,10000
20170216,4.95,4.96,4.94,4.94,12000
20170217,4.97,4.97,4.97,4.97,100
20170220,4.97,4.97,4.96,4.96,8890
20170221,4.97,4.98,4.97,4.98,2102
20170222,4.98,4.98,4.98,4.98,0
20170223,4.98,4.98,4.98,4.98,0
20170224,5.02,5.02,5,5,50300
20170227,5,5,5,5,0
20170228,5,5,5,5,0
20170301,5.06,5.06,5.06,5.06,4900
20170302,5.1,5.1,5.1,5.1,4901
20170303,5.11,5.11,5.11,5.11,39050
20170306,5.11,5.11,5.11,5.11,6930
20170307,5.11,5.11,5.11,5.11,2459
20170308,5.06,5.06,5.05,5.05,5500
20170309,5.05,5.08,5.05,5.08,26844
20170310,5.11,5.11,5.11,5.11,51620
20170313,5.1,5.1,5.09,5.09,114866
20170314,5.13,5.13,5.1,5.1,30156
20170315,5.11,5.12,5.11,5.12,14257
20170316,5.12,5.12,5.12,5.12,0
20170317,5.13,5.13,5.12,5.12,15491
20170320,5.07,5.07,5.07,5.07,200
20170321,5.07,5.1,5.07,5.1,8042
20170322,5.04,5.04,5.04,5.04,2000
20170323,5.04,5.04,5.04,5.04,2000
20170324,5.05,5.05,5.05,5.05,3968
20170327,5.02,5.02,5.02,5.02,22338
20170328,5.04,5.04,5.04,5.04,1288
20170329,5.05,5.06,5.05,5.06,7900
20170330,5.06,5.06,5.06,5.06,0
20170331,5.06,5.06,5.06,5.06,3952
20170403,5.07,5.07,5.04,5.06,10490
20170404,5.06,5.06,5.06,5.06,4495
20170405,5.06,5.06,5.06,5.06,0
20170406,5.04,5.04,5.03,5.03,3687
20170407,5.05,5.05,5.04,5.04,16245
