Date,Open,High,Low,Close,Volume
20230608,6.09,6.11,6.07,6.11,1756397
20230609,6.13,6.13,6.1,6.11,98105
20230613,6.1,6.14,6.1,6.14,969178
20230614,6.15,6.16,6.14,6.15,494713
20230615,6.16,6.16,6.13,6.13,289660
20230616,6.17,6.17,6.12,6.15,277293
20230619,6.14,6.14,6.11,6.12,375151
20230620,6.12,6.12,6.09,6.09,47331
20230621,6.05,6.05,6.05,6.05,16181
20230622,6.05,6.05,6.05,6.05,33250
20230623,6.08,6.08,6.06,6.06,45991
20230626,6.08,6.08,6.08,6.08,56209
20230627,6.08,6.09,6.07,6.09,13819
20230628,6.11,6.16,6.11,6.16,51541
20230629,6.16,6.16,6.15,6.15,30788
20230630,6.16,6.17,6.15,6.16,13040
20230703,6.16,6.21,6.16,6.19,81983
20230704,6.2,6.23,6.2,6.23,23756
20230705,6.2,6.2,6.16,6.16,14146
20230706,6.15,6.16,6.08,6.08,281827
20230707,6.05,6.09,6.05,6.09,185730
20230710,6.07,6.08,6.05,6.05,98616
20230711,6.07,6.12,6.07,6.1,711267
20230712,6.04,6.15,6.04,6.13,32289
20230713,6.15,6.15,6.15,6.15,8640
20230714,6.14,6.14,6.11,6.11,388961
20230717,6.13,6.13,6.12,6.13,125606
20230718,6.15,6.16,6.11,6.12,257487
20230719,6.1,6.12,6.1,6.12,67714
20230720,6.11,6.13,6.08,6.08,81785
20230721,6.08,6.09,6.07,6.09,9762
20230724,6.12,6.12,6.12,6.12,32491
20230725,6.12,6.17,6.12,6.16,61597
20230726,6.17,6.17,6.15,6.15,37568
20230727,6.15,6.22,6.15,6.2,39470
20230728,6.22,6.41,6.21,6.41,41548
20230731,6.41,6.42,6.41,6.42,81
20230801,6.42,6.42,6.39,6.39,2153
20230802,6.39,6.39,6.39,6.39,0
20230803,6.35,6.36,6.35,6.36,20562
20230804,6.42,6.42,6.37,6.37,20078
20230807,6.37,6.38,6.36,6.37,2674
20230808,6.34,6.34,6.32,6.32,2843
20230809,6.32,6.32,6.32,6.32,80
20230810,6.32,6.32,6.3,6.3,6896
20230811,6.34,6.34,6.29,6.29,18114
20230814,6.22,6.22,6.22,6.22,2677
20230815,6.21,6.21,6.21,6.21,3448
20230816,6.19,6.21,6.19,6.21,9406
20230817,6.27,6.27,6.27,6.27,5000
20230818,6.22,6.22,6.22,6.22,800
20230821,6.15,6.17,6.15,6.16,32936
20230822,6.14,6.14,6.14,6.14,22736
20230823,6.14,6.14,6.14,6.14,13384
20230824,6.18,6.2,6.18,6.2,12900
20230825,6.12,6.21,6.12,6.21,14241
20230828,6.23,6.26,6.22,6.22,552
20230829,6.22,6.28,6.22,6.28,20968
20230830,6,6.29,6,6.26,30655
20230831,6.27,6.27,6.23,6.23,57226
20230901,6.23,6.23,6.23,6.23,0
20230904,6.3,6.38,6.3,6.38,3053
20230905,6.37,6.4,6.37,6.4,8062
20230906,6.39,6.39,6.37,6.38,18420
20230907,6.38,6.38,6.38,6.38,0
20230908,6.23,6.23,6.23,6.23,3023
20230911,6.24,6.24,6.24,6.24,5435
20230912,6.24,6.24,6.24,6.24,0
20230913,6.28,6.28,6.27,6.27,7354
20230914,6.27,6.27,6.27,6.27,0
20230915,6.27,6.27,6.27,6.27,0
20230918,6.27,6.27,6.27,6.27,0
20230919,6.27,6.27,6.27,6.27,0
20230920,6.15,6.15,6.15,6.15,154
20230921,6.11,6.11,6.11,6.11,6692
