Date,Open,High,Low,Close,Volume
20200213,12.05,12.06,12.05,12.06,68648
20200214,12.09,12.09,12.09,12.09,5140
20200217,12.06,12.06,12.06,12.06,13290
20200218,12.11,12.11,12.11,12.11,4084
20200219,12.09,12.09,12.09,12.09,250
20200220,12.12,12.12,12.11,12.11,4825
20200221,12.13,12.15,12.13,12.15,11781
20200224,12.15,12.15,12.12,12.12,14881
20200225,12.09,12.09,12.03,12.03,3706
20200226,12.12,12.12,12.12,12.12,1660
20200227,12.12,12.12,12.12,12.12,0
20200228,12.12,12.12,12.12,12.12,0
20200302,11.97,11.97,11.94,11.94,4200
20200303,11.96,11.99,11.95,11.95,1501
20200304,11.95,11.95,11.95,11.95,0
20200305,12,12,12,12,1500
20200306,12,12,12,12,0
20200309,11.82,11.85,11.82,11.85,1667
20200310,11.48,11.48,11.48,11.48,400
20200311,11.48,11.48,11.48,11.48,0
20200312,11.48,11.48,11.48,11.48,0
20200313,10.96,10.96,10.96,10.96,45
20200316,10.73,10.73,10.73,10.73,2050
20200317,10.75,10.75,10.75,10.75,930
20200318,10.75,10.75,10.75,10.75,0
20200319,10.75,10.75,10.75,10.75,0
20200320,10.43,10.43,10.43,10.43,500
20200323,10,10.01,10,10.01,5050
20200324,10.01,10.01,10.01,10.01,45
20200325,9.97,9.97,9.97,9.97,5267
20200326,9.97,9.97,9.97,9.97,0
20200327,9.97,9.97,9.97,9.97,0
20200330,9.97,9.97,9.97,9.97,0
20200331,9.97,9.97,9.97,9.97,0
20200401,9.98,9.98,9.98,9.98,2213
20200402,9.98,9.98,9.98,9.98,0
20200403,9.98,9.98,9.98,9.98,0
20200406,10.01,10.01,10.01,10.01,10
20200407,10.1,10.1,10.1,10.1,200
20200408,10.1,10.1,10.1,10.1,0
20200409,10.02,10.02,10.02,10.02,30
20200414,9.81,9.81,9.81,9.81,248
20200415,9.85,9.85,9.85,9.85,1650
20200416,9.97,10.08,9.97,10.08,40854
20200417,10.07,10.07,10.07,10.07,20256
20200420,10.07,10.07,10.07,10.07,4750
20200421,10.09,10.09,10.09,10.09,2000
20200422,10.09,10.09,10.09,10.09,0
20200423,9.97,9.97,9.97,9.97,6878
20200424,9.89,9.89,9.89,9.89,500
20200427,9.89,9.89,9.89,9.89,0
20200428,9.85,9.85,9.75,9.75,1101
20200429,9.75,9.75,9.75,9.75,0
20200430,9.81,9.81,9.81,9.81,19263
20200501,9.91,9.91,9.9,9.9,9055
20200504,9.86,9.86,9.81,9.81,4050
20200505,9.81,9.81,9.81,9.81,0
20200506,9.81,9.81,9.81,9.81,0
20200507,10.04,10.04,10.04,10.04,716
20200508,10.09,10.09,10.09,10.09,1500
20200511,10.09,10.09,10.09,10.09,0
20200512,10.31,10.31,10.31,10.31,484
20200513,10.31,10.31,10.31,10.31,0
20200514,10.35,10.35,10.35,10.35,2238
20200515,10.35,10.35,10.35,10.35,0
20200518,10.33,10.33,10.27,10.27,5813
20200519,10.27,10.27,10.27,10.27,0
20200520,10.44,10.44,10.44,10.44,700
20200521,10.56,10.56,10.56,10.56,300
20200522,10.56,10.56,10.56,10.56,0
20200525,10.56,10.56,10.56,10.56,0
20200526,10.71,10.71,10.71,10.71,1000
20200527,10.71,10.71,10.71,10.71,0
20200528,10.79,10.79,10.79,10.79,4640
20200529,10.74,10.74,10.74,10.74,1860
20200601,10.72,10.72,10.72,10.72,931
20200602,10.67,10.67,10.67,10.67,50029
20200603,10.67,10.67,10.67,10.67,0
20200604,10.71,10.71,10.71,10.71,5500
20200605,10.79,10.85,10.79,10.85,16510
20200609,10.85,11.01,10.85,11.01,5485
20200610,11.01,11.01,11.01,11.01,1910
20200611,11.01,11.01,11.01,11.01,0
20200612,11.08,11.08,11.02,11.03,113089
20200615,11.01,11.06,11.01,11.04,38093
20200616,10.86,10.97,10.86,10.97,2168
20200617,11.14,11.14,11.14,11.14,2032
20200618,11.1,11.11,11.1,11.11,113081
20200619,11.06,11.06,11.06,11.06,372
20200622,11.08,11.08,11.08,11.08,256
20200623,11.08,11.08,11.08,11.08,0
20200624,11.08,11.08,11.08,11.08,0
20200625,11.13,11.17,11.13,11.17,360
20200626,11.17,11.17,11.17,11.17,2327
20200629,11.15,11.15,11.14,11.15,13538
20200630,11.14,11.14,11.14,11.14,7473
20200701,11.14,11.14,11.14,11.14,4887
20200702,11.08,11.08,11.08,11.08,2698
20200703,11.13,11.17,11.13,11.17,99223
20200706,11.14,11.14,11.09,11.09,4741
20200707,11.15,11.15,11.15,11.15,8175
20200708,11.18,11.18,11.18,11.18,3755
20200709,11.15,11.15,11.13,11.13,7860
20200710,11.15,11.15,11.15,11.15,1924
20200713,11.15,11.15,11.15,11.15,300
20200714,11.15,11.15,11.15,11.15,530
20200715,11.11,11.11,11.11,11.11,832
20200716,11.09,11.09,11.09,11.09,2691
20200717,11.08,11.12,11.08,11.12,9596
20200720,11.13,11.17,11.13,11.17,1950
20200721,11.11,11.16,11.11,11.16,2917
20200722,11.16,11.16,11.16,11.16,251
