Date,Open,High,Low,Close,Volume
20220331,12.75,12.75,12.68,12.72,5859
20220401,12.56,12.56,12.5,12.55,2566
20220404,12.74,12.77,12.72,12.77,10746
20220405,12.77,12.77,12.65,12.65,3566
20220406,12.5,12.5,12.48,12.5,2892
20220407,12.39,12.4,12.38,12.4,5183
20220408,12.5,12.52,12.5,12.52,697
20220411,12.43,12.43,12.29,12.29,1145
20220412,12.17,12.17,12.05,12.05,1846
20220413,12.04,12.06,12.04,12.06,121
20220414,12.2,12.24,12.2,12.24,90
20220419,12.24,12.24,11.88,11.88,3512
20220420,12.12,12.12,12.09,12.1,11115
20220421,12.07,12.07,12.05,12.05,338
20220422,11.8,11.8,11.64,11.64,4533
20220426,11.64,11.64,11.64,11.64,0
20220427,11.34,11.34,11.34,11.34,4078
20220428,11.2,11.2,11,11,55400
20220429,11,11.04,11,11.04,10114
20220502,11.04,11.04,11.04,11.04,0
20220503,11.04,11.04,11.04,11.04,0
20220504,11.04,11.04,11.04,11.04,0
20220505,11.04,11.04,11.04,11.04,0
20220506,10.72,10.72,10.62,10.64,2250
20220509,10.64,10.64,10.64,10.64,0
20220510,9.89,9.89,9.81,9.85,13112
20220511,9.79,9.83,9.79,9.82,11400
20220512,9.6,9.6,9.6,9.6,1000
20220513,9.89,9.91,9.89,9.91,4000
20220516,10.39,10.39,10.36,10.36,7420
20220517,10.26,10.26,10.19,10.19,149
20220518,10.32,10.32,10.32,10.32,10000
20220519,10,10.06,10,10,1300
20220520,10.18,10.19,10.18,10.19,2490
20220523,10.32,10.32,10.32,10.32,54
20220524,10.2,10.2,10.14,10.14,10196
20220525,10.14,10.14,10.14,10.14,0
20220526,10.14,10.14,10.14,10.14,0
20220527,10.05,10.05,10,10,250
20220530,10.24,10.24,10.24,10.24,78
20220531,10.28,10.28,10.28,10.28,20
20220601,10.18,10.2,10.18,10.2,780
20220602,9.9,9.9,9.9,9.9,147
20220603,9.9,9.9,9.9,9.9,0
20220606,9.9,9.9,9.9,9.9,0
20220607,9.9,9.9,9.9,9.9,0
20220608,10.15,10.15,10.15,10.15,250
20220609,10.15,10.15,10.15,10.15,0
20220610,10.15,10.15,10.15,10.15,0
20220614,9.53,9.53,9.5,9.5,97
20220615,9.5,9.5,9.5,9.5,0
20220616,9.5,9.5,9.5,9.5,0
20220617,9.5,9.5,9.5,9.5,0
20220620,9.51,9.51,9.51,9.51,500
20220621,9.51,9.51,9.51,9.51,0
20220622,9.62,9.62,9.62,9.62,189
20220623,9.62,9.62,9.62,9.62,0
20220624,10.38,10.38,10.38,10.38,47
20220627,10.66,10.66,10.66,10.66,27
20220628,10.66,10.66,10.66,10.66,0
20220629,10.66,10.66,10.66,10.66,0
20220630,10.66,10.66,10.66,10.66,0
20220701,10.1,10.1,10.1,10.1,100
20220704,10.42,10.42,10.42,10.42,100
20220705,10.42,10.42,10.42,10.42,0
20220706,10.42,10.42,10.42,10.42,0
20220707,10.42,10.42,10.42,10.42,0
20220708,10.42,10.42,10.42,10.42,0
20220711,10.42,10.42,10.42,10.42,0
20220712,10.42,10.42,10.42,10.42,0
20220713,10.42,10.42,10.42,10.42,0
20220714,10.42,10.42,10.42,10.42,0
20220715,10.42,10.42,10.42,10.42,0
20220718,10.42,10.42,10.42,10.42,0
20220719,10.42,10.42,10.42,10.42,0
20220720,10.42,10.42,10.42,10.42,0
20220721,10.97,10.97,10.97,10.97,30
20220722,10.97,10.97,10.97,10.97,0
20220725,10.97,10.97,10.97,10.97,0
20220726,10.97,10.97,10.97,10.97,0
20220727,10.97,10.97,10.97,10.97,2640
20220728,11.04,11.04,11.04,11.04,100
20220729,11.04,11.04,11.04,11.04,0
20220801,11.04,11.04,11.04,11.04,0
20220802,11.04,11.04,11.04,11.04,0
20220803,11.57,11.57,11.51,11.51,2200
20220804,11.67,11.67,11.67,11.67,12
20220805,11.67,11.67,11.67,11.67,0
20220808,11.67,11.67,11.67,11.67,0
20220809,11.67,11.67,11.67,11.67,0
20220810,11.24,11.24,11.24,11.24,250
20220811,11.24,11.24,11.24,11.24,0
20220812,11.24,11.24,11.24,11.24,0
20220815,11.24,11.24,11.24,11.24,0
20220816,11.24,11.24,11.24,11.24,0
20220817,11.71,11.72,11.7,11.72,798
20220818,11.68,11.68,11.59,11.59,149
20220819,11.59,11.59,11.59,11.59,0
20220822,11.24,11.24,11.2,11.2,937
20220823,11.2,11.2,11.2,11.2,0
20220824,10.99,10.99,10.99,10.99,91
20220825,10.99,10.99,10.99,10.99,0
20220826,11.28,11.28,11.28,11.28,88
20220829,11.28,11.28,11.28,11.28,0
20220830,11.28,11.28,11.28,11.28,0
20220831,11.28,11.28,11.28,11.28,0
20220901,11.28,11.28,11.28,11.28,0
20220902,11.28,11.28,11.28,11.28,0
20220905,11.28,11.28,11.28,11.28,0
20220906,11.28,11.28,11.28,11.28,0
20220907,11.28,11.28,11.28,11.28,0
20220908,11.06,11.06,11.06,11.06,250
20220909,11.22,11.22,11.22,11.22,1000
20220912,11.22,11.22,11.22,11.22,0
20220913,11.22,11.22,11.22,11.22,0
20220914,11.22,11.22,11.22,11.22,0
20220915,11.22,11.22,11.22,11.22,0
20220916,11.25,11.25,11.25,11.25,5
20220919,11.01,11.01,11.01,11.01,454
20220920,11.01,11.01,11.01,11.01,0
20220921,11.01,11.01,11.01,11.01,0
20220923,11.01,11.01,11.01,11.01,0
20220926,11.01,11.01,11.01,11.01,0
20220927,11.01,11.01,11.01,11.01,0
20220928,11.01,11.01,11.01,11.01,0
20220929,11.01,11.01,11.01,11.01,0
20220930,11.01,11.01,11.01,11.01,0
20221003,11.01,11.01,11.01,11.01,0
20221004,10.69,10.69,10.69,10.69,540
20221005,10.69,10.69,10.69,10.69,0
20221006,10.69,10.69,10.69,10.69,0
20221007,11.11,11.11,11.1,11.1,5430
20221010,11.1,11.1,11.1,11.1,0
