Date,Open,High,Low,Close,Volume
20180507,4.04,4.04,4.01,4.01,2745
20180508,4.01,4.01,4.01,4.01,0
20180509,4.01,4.01,4.01,4.01,7500
20180510,4.01,4.01,4.01,4.01,0
20180511,4.03,4.03,4.03,4.03,2750
20180514,4.05,4.05,4.05,4.05,2960
20180515,4.05,4.05,4.04,4.04,40080
20180516,4.04,4.04,4.04,4.04,0
20180517,4.06,4.06,4.06,4.06,91525
20180518,4.06,4.06,4.06,4.06,0
20180521,4.04,4.04,4.04,4.04,1660
20180522,4.02,4.02,4.02,4.02,10000
20180523,4.03,4.04,4.03,4.04,22600
20180524,4.04,4.04,4.02,4.02,6596
20180525,4.01,4.01,4.01,4.01,1250
20180528,4.01,4.01,4,4,11300
20180529,4,4,4,4,1250
20180530,3.96,3.96,3.95,3.95,200750
20180531,3.975,3.98,3.975,3.98,65915
20180601,3.98,3.98,3.98,3.98,0
20180604,3.95,3.95,3.95,3.95,4800
20180605,3.96,3.96,3.96,3.96,17600
20180606,3.96,3.96,3.96,3.96,0
20180607,4,4,4,4,24400
20180608,4,4,4,4,0
20180612,3.99,3.99,3.97,3.97,7500
20180613,3.97,3.97,3.97,3.97,0
20180614,3.97,3.98,3.96,3.98,13930
20180615,4.03,4.03,4.03,4.03,5855
20180618,4.02,4.02,4.02,4.02,2500
20180619,4.02,4.02,4,4,62500
20180620,4.07,4.07,4.07,4.07,13475
20180621,4.08,4.11,4.08,4.11,77625
20180622,4.11,4.11,4.11,4.11,0
20180625,4.1,4.1,4.1,4.1,460
20180626,4.08,4.08,4.08,4.08,37750
20180627,4.08,4.11,4.08,4.11,20250
20180628,4.12,4.12,4.12,4.12,4850
20180629,4.13,4.13,4.13,4.13,12500
20180702,4.1,4.12,4.1,4.1,42613
20180703,4.1,4.1,4.1,4.1,0
20180704,4.09,4.1,4.09,4.1,26112
20180705,4.1,4.1,4.1,4.1,0
20180706,4.12,4.12,4.12,4.12,3500
20180709,4.18,4.18,4.17,4.17,24513
20180710,4.18,4.18,4.16,4.16,71000
20180711,4.13,4.13,4.13,4.13,150000
20180712,4.13,4.17,4.13,4.17,33000
20180713,4.17,4.17,4.15,4.15,17354
20180716,4.15,4.15,4.15,4.15,0
20180717,4.13,4.13,4.13,4.13,18100
20180718,4.13,4.14,4.12,4.14,34750
20180719,4.14,4.17,4.14,4.17,12000
20180720,4.15,4.17,4.15,4.17,28725
20180723,4.15,4.15,4.13,4.14,48950
20180724,4.15,4.15,4.15,4.15,18220
20180725,4.14,4.14,4.14,4.14,9661
20180726,4.14,4.14,4.14,4.14,0
20180727,4.15,4.15,4.14,4.14,24500
20180730,4.15,4.15,4.15,4.15,10000
20180731,4.15,4.16,4.15,4.16,219
20180801,4.15,4.15,4.15,4.15,3100
20180802,4.09,4.09,4.09,4.09,8294
20180803,4.09,4.09,4.09,4.09,8960
20180806,4.12,4.12,4.12,4.12,2390
20180807,4.1,4.11,4.09,4.11,10000
20180808,4.11,4.11,4.11,4.11,0
20180809,4.14,4.16,4.14,4.16,30140
20180810,4.15,4.16,4.15,4.16,27043
20180813,4.16,4.16,4.1,4.1,21885
20180814,4.1,4.1,4.1,4.1,0
20180815,4.14,4.14,4.14,4.14,3000
20180816,4.17,4.17,4.17,4.17,27000
20180817,4.18,4.18,4.17,4.17,1874
20180820,4.19,4.19,4.19,4.19,5220
20180821,4.17,4.17,4.15,4.15,6000
20180822,4.12,4.13,4.11,4.12,25575
20180823,4.13,4.13,4.11,4.11,33891
20180824,4.1,4.11,4.1,4.11,1667
20180827,4.11,4.11,4.11,4.11,3900
20180828,4.15,4.15,4.14,4.14,20070
20180829,4.14,4.14,4.14,4.14,2300
20180830,4.17,4.17,4.16,4.16,7550
20180831,4.15,4.15,4.14,4.14,10063
20180903,4.12,4.13,4.12,4.13,29050
20180904,4.12,4.12,4.1,4.1,110440
20180905,4.08,4.08,4.08,4.08,7500
20180906,4.05,4.05,4.05,4.05,6100
20180907,4.04,4.04,4.04,4.04,7200
20180910,4.05,4.06,4.05,4.06,5650
20180911,4.06,4.06,4.06,4.06,0
20180912,4.05,4.07,4.05,4.07,30250
20180913,4.05,4.05,4.05,4.05,22000
20180914,4.06,4.06,4.06,4.06,7172
20180917,4.06,4.06,4.06,4.06,10000
20180918,4.06,4.08,4.06,4.07,32058
20180919,4.07,4.07,4.07,4.07,0
20180920,4.08,4.09,4.08,4.09,42970
20180921,4.11,4.11,4.11,4.11,3600
20180924,4.11,4.11,4.11,4.11,0
20180925,4.1,4.1,4.1,4.1,1216
20180926,4.1,4.1,4.1,4.1,0
20180927,4.11,4.11,4.11,4.11,8850
20180928,4.11,4.13,4.11,4.13,1984
20181001,4.1,4.1,4.1,4.1,700
20181002,4.07,4.07,4.07,4.07,156
20181003,4.08,4.08,4.08,4.08,122375
20181004,4.08,4.08,4.08,4.08,0
20181005,4.08,4.08,4.08,4.08,0
20181008,4.08,4.08,4.08,4.08,122000
20181009,4.07,4.07,4.03,4.03,36500
20181010,4.03,4.03,4.03,4.03,0
20181011,3.97,3.97,3.95,3.95,6725
20181012,3.94,3.94,3.92,3.92,8800
20181015,3.92,3.92,3.9,3.9,1907
20181016,3.9,3.9,3.9,3.9,0
20181017,3.92,3.92,3.92,3.92,10000
20181018,3.93,3.95,3.93,3.95,30000
20181019,3.94,3.94,3.94,3.94,3100
20181022,3.93,3.93,3.93,3.93,8027
20181023,3.92,3.92,3.9,3.9,1000
20181024,3.9,3.9,3.9,3.9,0
20181025,3.8,3.8,3.8,3.8,2560
20181026,3.77,3.77,3.73,3.73,33700
20181029,3.8,3.8,3.8,3.8,2600
20181030,3.78,3.78,3.76,3.76,5243
20181031,3.84,3.84,3.84,3.84,20000
20181101,3.86,3.86,3.85,3.85,17750
20181102,3.85,3.85,3.85,3.85,0
20181105,3.85,3.85,3.85,3.85,0
20181106,3.85,3.85,3.85,3.85,0
20181107,3.88,3.9,3.88,3.9,28914
20181108,3.92,3.92,3.92,3.92,25000
20181109,3.92,3.92,3.92,3.92,6707
20181112,3.9,3.9,3.9,3.9,5000
20181113,3.9,3.9,3.88,3.88,14438
20181114,3.82,3.82,3.82,3.82,1550
20181115,3.79,3.79,3.79,3.79,5000
20181116,3.79,3.79,3.79,3.79,0
20181119,3.77,3.77,3.75,3.75,2427
20181120,3.75,3.75,3.75,3.75,0
20181121,3.75,3.75,3.69,3.69,7975
20181122,3.69,3.69,3.69,3.69,0
20181123,3.69,3.69,3.69,3.69,0
20181126,3.69,3.69,3.69,3.69,0
20181127,3.69,3.69,3.69,3.69,0
20181128,3.69,3.69,3.69,3.69,0
20181129,3.69,3.69,3.69,3.69,0
20181130,3.79,3.79,3.79,3.79,6470
20181203,3.79,3.79,3.79,3.79,0
20181204,3.8,3.8,3.78,3.78,20582
20181205,3.78,3.78,3.78,3.78,0
20181206,3.78,3.78,3.78,3.78,0
20181207,3.78,3.78,3.78,3.78,0
20181210,3.71,3.71,3.68,3.68,8803
20181211,3.68,3.68,3.68,3.68,0
20181212,3.68,3.68,3.68,3.68,0
20181213,3.68,3.68,3.68,3.68,0
20181214,3.7,3.7,3.69,3.69,6341
20181217,3.69,3.69,3.69,3.69,13750
20181218,3.69,3.69,3.69,3.69,0
20181219,3.67,3.67,3.66,3.66,40000
20181220,3.66,3.66,3.66,3.66,300
20181221,3.61,3.63,3.61,3.61,4538
20181224,3.61,3.61,3.61,3.61,0
20181227,3.62,3.62,3.62,3.62,1276
20181228,3.69,3.69,3.69,3.69,250
20181231,3.69,3.69,3.69,3.69,0
20190102,3.64,3.64,3.64,3.64,303
20190103,3.68,3.68,3.68,3.68,12668
20190104,3.64,3.64,3.63,3.63,1145
20190107,3.63,3.63,3.63,3.63,0
20190108,3.63,3.63,3.63,3.63,0
20190109,3.73,3.73,3.73,3.73,7030
20190110,3.73,3.73,3.73,3.73,0
20190111,3.73,3.73,3.73,3.73,0
20190114,3.73,3.73,3.73,3.73,0
20190115,3.73,3.73,3.73,3.73,0
20190116,3.73,3.73,3.73,3.73,0
20190117,3.73,3.73,3.73,3.73,0
20190118,3.73,3.73,3.73,3.73,0
20190121,3.79,3.79,3.79,3.79,25000
20190122,3.81,3.81,3.81,3.81,1312
20190123,3.78,3.78,3.78,3.78,2800
20190124,3.78,3.78,3.78,3.78,0
20190125,3.78,3.78,3.78,3.78,0
20190129,3.78,3.78,3.78,3.78,0
20190130,3.8,3.8,3.8,3.8,2650
20190131,3.76,3.76,3.76,3.76,1256
20190201,3.76,3.76,3.76,3.76,19330
20190204,3.79,3.79,3.78,3.78,20900
20190205,3.78,3.78,3.78,3.78,0
20190206,3.78,3.78,3.78,3.78,0
20190207,3.78,3.78,3.78,3.78,0
20190208,3.78,3.78,3.78,3.78,0
20190211,3.88,3.88,3.88,3.88,1000
20190212,3.88,3.88,3.88,3.88,36500
20190213,3.92,3.92,3.91,3.91,18800
20190214,3.92,3.92,3.92,3.92,2200
20190215,3.91,3.91,3.91,3.91,20000
20190218,3.92,3.92,3.92,3.92,2675
20190219,3.94,3.94,3.92,3.92,22538
20190220,3.93,3.95,3.9,3.9,14615
20190221,3.95,3.95,3.93,3.93,3730
20190222,3.93,3.93,3.93,3.93,0
20190225,3.99,3.99,3.99,3.99,63600
20190226,3.99,3.99,3.99,3.99,0
20190227,4,4,3.98,3.98,74739
20190228,4,4,4,4,23761
20190301,4.02,4.02,4.02,4.02,605
20190304,4.02,4.03,4.02,4.03,14500
20190305,4.03,4.03,4.03,4.03,0
20190306,4.04,4.04,4.04,4.04,2277
20190307,4.03,4.05,4.03,4.05,34750
20190308,4.05,4.05,4.05,4.05,0
20190311,4.05,4.05,4.05,4.05,0
20190312,4.05,4.05,4.05,4.05,0
20190313,3.99,3.99,3.99,3.99,1270
20190314,3.98,3.98,3.98,3.98,37250
20190315,3.99,3.99,3.99,3.99,17750
20190318,4,4,4,4,14038
20190319,4,4,4,4,0
20190320,4,4,4,4,0
20190321,4,4,3.98,3.98,6250
20190322,4,4,4,4,12310
20190325,4,4,4,4,0
20190326,3.97,3.97,3.97,3.97,8623
20190327,3.97,3.97,3.97,3.97,0
20190328,3.95,3.99,3.95,3.99,30460
20190329,3.99,3.99,3.99,3.99,12750
20190401,4.02,4.02,4.02,4.02,34000
20190402,4,4,4,4,25250
20190403,4,4,4,4,0
20190404,4.01,4.01,4.01,4.01,1250
20190405,4,4,4,4,496
20190408,4,4,4,4,0
20190409,4,4,4,4,0
20190410,3.97,3.98,3.97,3.98,61750
20190411,3.99,3.99,3.99,3.99,247
20190412,3.99,3.99,3.99,3.99,0
20190415,4.01,4.01,4.01,4.01,18750
