Date,Open,High,Low,Close,Volume
20180219,8.14,8.14,8.14,8.14,165
20180220,8.14,8.14,8.14,8.14,0
20180221,8.25,8.25,8.25,8.25,4380
20180222,8.25,8.28,8.24,8.27,7872
20180223,8.26,8.29,8.26,8.29,2000
20180226,8.29,8.29,8.29,8.29,600
20180227,8.35,8.36,8.35,8.36,2650
20180228,8.29,8.29,8.25,8.25,9329
20180301,8.25,8.25,8.23,8.23,931
20180302,8.17,8.17,8.17,8.17,3000
20180305,8.17,8.17,8.17,8.17,0
20180306,8.17,8.17,8.17,8.17,0
20180307,8.17,8.17,8.17,8.17,0
20180308,8.22,8.24,8.22,8.24,3440
20180309,8.3,8.3,8.3,8.3,3350
20180312,8.3,8.3,8.3,8.3,2409
20180313,8.27,8.27,8.27,8.27,120
20180314,8.27,8.27,8.27,8.27,0
20180315,8.17,8.18,8.17,8.18,10087
20180316,8.25,8.25,8.25,8.25,3150
20180319,8.23,8.23,8.21,8.21,10001
20180320,8.22,8.22,8.21,8.21,7197
20180321,8.24,8.24,8.21,8.21,2652
20180322,8.16,8.16,8.14,8.14,11550
20180323,8.05,8.05,8.05,8.05,650
20180326,7.99,8.01,7.99,8.01,6322
20180327,8.01,8.01,8.01,8.01,0
20180328,8.01,8.01,8.01,8.01,0
20180329,8.04,8.04,8.02,8.02,14125
20180403,7.96,7.96,7.96,7.96,8765
20180404,7.96,7.96,7.96,7.96,0
20180405,8.02,8.02,8.02,8.02,6480
20180406,8.02,8.02,8.02,8.02,0
20180409,8.01,8.01,8.01,8.01,28617
20180410,8.04,8.04,8.04,8.04,3585
20180411,8,8,8,8,9625
20180412,7.95,7.96,7.95,7.96,32573
20180413,7.98,7.99,7.98,7.98,31850
20180416,7.96,7.97,7.96,7.96,14565
20180417,7.99,7.99,7.96,7.96,54727
20180418,7.95,7.95,7.95,7.95,16935
20180419,7.96,7.96,7.94,7.94,38580
20180420,7.94,7.94,7.94,7.94,0
20180423,7.94,7.94,7.94,7.94,0
20180424,7.95,7.95,7.95,7.95,3140
20180426,8.01,8.01,7.98,7.98,60756
20180427,8,8,7.99,7.99,1750
20180430,8.08,8.08,8.08,8.08,3444
20180501,8.08,8.08,8.08,8.08,622
20180502,8.17,8.17,8.17,8.17,7550
20180503,8.2,8.26,8.2,8.26,9160
20180504,8.26,8.26,8.26,8.26,0
20180507,8.17,8.17,8.17,8.17,2450
20180508,8.21,8.22,8.21,8.22,5343
20180509,8.22,8.22,8.22,8.22,0
20180510,8.22,8.22,8.22,8.22,0
20180511,8.19,8.19,8.17,8.17,27637
20180514,8.15,8.15,8.15,8.15,1150
20180515,8.17,8.17,8.14,8.14,5508
20180516,8.14,8.14,8.14,8.14,0
20180517,8.14,8.14,8.14,8.14,0
20180518,8.15,8.15,8.15,8.15,9240
20180521,8.14,8.16,8.14,8.16,3387
20180522,8.06,8.1,8.06,8.1,14994
20180523,8.1,8.1,8.1,8.1,0
20180524,8.08,8.08,8.08,8.08,11212
20180525,8.1,8.1,8.1,8.1,4245
20180528,8.09,8.09,8.09,8.09,3080
20180529,8.06,8.06,8.06,8.06,240
20180530,8.05,8.05,8.05,8.05,2450
20180531,8.07,8.07,8.07,8.07,3871
20180601,8.06,8.06,8.06,8.06,5204
20180604,8.05,8.05,8.05,8.05,9537
20180605,8.05,8.05,8.05,8.05,0
20180606,8.05,8.05,8.05,8.05,10780
20180607,8.05,8.05,8.05,8.05,0
20180608,8.05,8.05,8.05,8.05,0
20180612,8.1,8.1,8.09,8.1,14435
20180613,8.14,8.14,8.08,8.09,34805
20180614,8.09,8.09,8.08,8.08,7993
20180615,8.14,8.18,8.14,8.18,10871
20180618,8.19,8.19,8.19,8.19,8100
20180619,8.19,8.19,8.19,8.19,0
20180620,8.19,8.19,8.19,8.19,13815
20180621,8.2,8.29,8.2,8.28,16519
20180622,8.26,8.3,8.26,8.3,46070
20180625,8.27,8.27,8.25,8.25,9795
20180626,8.28,8.28,8.28,8.28,16840
20180627,8.27,8.27,8.27,8.27,10268
20180628,8.28,8.29,8.28,8.28,57111
20180629,8.3,8.3,8.28,8.28,24591
20180702,8.28,8.28,8.28,8.28,0
20180703,8.28,8.28,8.28,8.28,0
20180704,8.28,8.28,8.28,8.28,0
20180705,8.26,8.27,8.26,8.27,24827
20180706,8.27,8.31,8.27,8.31,4716
20180709,8.33,8.34,8.33,8.33,24175
20180710,8.31,8.32,8.31,8.32,14533
20180711,8.24,8.24,8.24,8.24,2915
20180712,8.32,8.32,8.32,8.32,1680
20180713,8.27,8.27,8.27,8.27,585
20180716,8.27,8.27,8.27,8.27,0
20180717,8.27,8.27,8.26,8.26,29650
20180718,8.26,8.26,8.26,8.26,0
20180719,8.26,8.26,8.26,8.26,0
20180720,8.26,8.26,8.26,8.26,2550
20180723,8.29,8.29,8.21,8.24,6285
20180724,8.23,8.23,8.23,8.23,4655
20180725,8.21,8.21,8.21,8.21,3000
20180726,8.21,8.21,8.21,8.21,0
20180727,8.21,8.21,8.21,8.21,0
20180730,8.21,8.21,8.21,8.21,0
20180731,8.21,8.21,8.21,8.21,0
20180801,8.21,8.21,8.21,8.21,0
20180802,8.21,8.21,8.21,8.21,0
20180803,8.24,8.25,8.24,8.24,17500
20180806,8.24,8.24,8.24,8.24,0
20180807,8.26,8.26,8.26,8.26,13108
20180808,8.24,8.24,8.24,8.24,406
20180809,8.28,8.28,8.28,8.28,1242
20180810,8.28,8.28,8.28,8.28,9625
20180813,8.26,8.26,8.25,8.25,4888
20180814,8.25,8.25,8.25,8.25,0
20180815,8.33,8.33,8.33,8.33,1231
20180816,8.33,8.33,8.33,8.33,0
20180817,8.42,8.43,8.42,8.43,12092
20180820,8.49,8.49,8.48,8.48,58739
20180821,8.48,8.48,8.48,8.48,0
20180822,8.39,8.39,8.39,8.39,1185
20180823,8.38,8.38,8.35,8.35,6935
20180824,8.36,8.36,8.36,8.36,57026
20180827,8.33,8.33,8.3,8.3,7923
20180828,8.35,8.35,8.35,8.35,31425
20180829,8.36,8.36,8.36,8.36,6000
20180830,8.4,8.4,8.4,8.4,17800
20180831,8.4,8.4,8.4,8.4,0
20180903,8.4,8.4,8.36,8.36,2383
20180904,8.36,8.36,8.36,8.36,0
20180905,8.27,8.27,8.26,8.27,31713
20180906,8.22,8.22,8.19,8.19,21799
20180907,8.16,8.16,8.16,8.16,2395
20180910,8.16,8.16,8.16,8.16,9260
20180911,8.16,8.16,8.16,8.16,0
20180912,8.16,8.16,8.16,8.16,0
20180913,8.18,8.18,8.18,8.18,6110
20180914,8.2,8.2,8.2,8.2,41365
20180917,8.22,8.24,8.22,8.24,54408
20180918,8.25,8.25,8.23,8.23,33160
20180919,8.24,8.24,8.24,8.24,10518
20180920,8.24,8.24,8.24,8.24,0
20180921,8.22,8.22,8.21,8.21,113482
20180924,8.2,8.22,8.18,8.18,11558
20180925,8.19,8.19,8.19,8.19,5745
20180926,8.19,8.19,8.18,8.18,1000
20180927,8.21,8.21,8.2,8.2,373
20180928,8.21,8.25,8.21,8.25,12750
20181001,8.08,8.08,8.07,8.08,18000
20181002,8.05,8.08,8.02,8.02,7277
20181003,8.04,8.04,8.04,8.04,16665
20181004,8.1,8.1,8.09,8.09,6406
20181005,8.11,8.11,8.11,8.11,9851
20181008,8.03,8.03,8.03,8.03,565
20181009,7.99,7.99,7.96,7.96,15882
20181010,7.93,7.99,7.93,7.99,1319
20181011,7.99,7.99,7.99,7.99,0
20181012,7.75,7.75,7.75,7.75,761
20181015,7.66,7.69,7.64,7.69,12884
20181016,7.7,7.73,7.7,7.72,10448
20181017,7.8,7.8,7.79,7.79,2592
20181018,7.79,7.79,7.79,7.79,0
20181019,7.8,7.85,7.8,7.83,9999
20181022,7.84,7.84,7.82,7.82,3670
20181023,7.75,7.76,7.75,7.76,1074
20181024,7.77,7.77,7.77,7.77,3860
20181025,7.56,7.56,7.56,7.56,20510
20181026,7.45,7.45,7.4,7.4,5295
20181029,7.4,7.4,7.4,7.4,0
20181030,7.52,7.56,7.52,7.56,972
20181031,7.64,7.64,7.62,7.62,4937
20181101,7.63,7.64,7.62,7.63,38825
20181102,7.57,7.59,7.57,7.59,4149
20181105,7.59,7.59,7.59,7.59,1116
20181106,7.64,7.64,7.64,7.64,3000
20181107,7.68,7.71,7.68,7.71,6151
20181108,7.73,7.74,7.72,7.73,20596
20181109,7.76,7.76,7.75,7.76,12704
20181112,7.79,7.8,7.79,7.8,15639
20181113,7.76,7.76,7.75,7.75,8600
20181114,7.75,7.75,7.75,7.75,0
20181115,7.62,7.62,7.62,7.62,1043
20181116,7.62,7.62,7.62,7.62,0
20181119,7.61,7.61,7.57,7.57,13251
20181120,7.56,7.56,7.56,7.56,427
20181121,7.5,7.53,7.5,7.52,39872
20181122,7.56,7.56,7.56,7.56,273
20181123,7.63,7.63,7.63,7.63,366
20181126,7.63,7.63,7.63,7.63,0
20181127,7.63,7.63,7.63,7.63,0
20181128,7.63,7.63,7.63,7.63,0
20181129,7.69,7.69,7.69,7.69,166328
20181130,7.61,7.61,7.6,7.6,6500
20181203,7.63,7.63,7.63,7.63,1315
20181204,7.63,7.63,7.63,7.63,0
20181205,7.52,7.52,7.52,7.52,1304
20181206,7.52,7.52,7.52,7.52,0
20181207,7.53,7.53,7.53,7.53,15259
20181210,7.4,7.4,7.4,7.4,1073
20181211,7.37,7.37,7.32,7.32,19608
20181212,7.38,7.38,7.38,7.38,533
20181213,7.43,7.43,7.43,7.43,7404
20181214,7.37,7.37,7.37,7.37,618
20181217,7.36,7.36,7.36,7.36,11301
20181218,7.34,7.36,7.32,7.32,10058
20181219,7.31,7.31,7.31,7.31,4748
20181220,7.34,7.34,7.34,7.34,135
20181221,7.17,7.17,7.17,7.17,4184
20181224,7.2,7.2,7.2,7.2,1389
20181227,7.2,7.2,7.2,7.2,0
20181228,7.2,7.2,7.2,7.2,0
20181231,7.45,7.45,7.45,7.45,4335
20190102,7.32,7.32,7.32,7.32,4546
20190103,7.32,7.32,7.32,7.32,0
20190104,7.32,7.32,7.32,7.32,0
20190107,7.36,7.36,7.33,7.33,11768
20190108,7.31,7.37,7.31,7.37,12435
20190109,7.39,7.39,7.39,7.39,1389
20190110,7.43,7.43,7.39,7.39,20862
20190111,7.39,7.39,7.39,7.39,0
20190114,7.44,7.44,7.44,7.44,100
20190115,7.47,7.47,7.47,7.47,158
20190116,7.51,7.51,7.51,7.51,10040
20190117,7.49,7.49,7.49,7.49,427
20190118,7.49,7.49,7.49,7.49,0
20190121,7.6,7.6,7.6,7.6,3220
20190122,7.6,7.6,7.6,7.6,0
20190123,7.56,7.56,7.56,7.56,2988
20190124,7.55,7.55,7.54,7.54,1894
20190125,7.55,7.61,7.55,7.61,33350
20190129,7.59,7.6,7.59,7.6,15403
20190130,7.57,7.57,7.57,7.57,5237
20190131,7.57,7.57,7.57,7.57,0
20190201,7.52,7.52,7.52,7.52,1171
20190204,7.51,7.51,7.51,7.51,1805
20190205,7.52,7.52,7.52,7.52,12212
20190206,7.52,7.52,7.52,7.52,0
20190207,7.78,7.78,7.78,7.78,1315
20190208,7.78,7.78,7.78,7.78,0
20190211,7.77,7.77,7.77,7.77,16010
20190212,7.77,7.77,7.77,7.77,2574
20190213,7.81,7.81,7.81,7.81,33600
20190214,7.81,7.81,7.81,7.81,0
20190215,7.77,7.77,7.77,7.77,1250
20190218,7.86,7.86,7.81,7.81,1290
20190219,7.89,7.89,7.87,7.89,4133
20190220,7.88,7.88,7.83,7.83,15111
20190221,7.83,7.83,7.83,7.83,0
20190222,7.94,7.96,7.94,7.94,9445
20190225,7.94,7.94,7.9,7.9,4258
20190226,7.9,7.9,7.9,7.9,0
20190227,7.9,7.9,7.9,7.9,0
20190228,7.91,7.91,7.91,7.91,11210
20190301,8.04,8.04,8.04,8.04,4133
20190304,8.07,8.07,8.07,8.07,16882
20190305,8.03,8.03,8.03,8.03,5947
20190306,8.03,8.03,8.03,8.03,0
20190307,8.03,8.03,8.03,8.03,0
20190308,8.03,8.03,8.03,8.03,0
20190311,8.03,8.03,8.03,8.03,0
20190312,8.11,8.11,8.11,8.11,2116
20190313,8.11,8.11,8.11,8.11,0
20190314,8.05,8.05,8.05,8.05,1077
20190315,8.07,8.07,8.07,8.07,372
20190318,8.1,8.1,8.1,8.1,524
20190319,8.07,8.07,8.07,8.07,4532
20190320,8.07,8.07,8.07,8.07,0
20190321,7.99,8.02,7.99,8.02,3546
20190322,8.08,8.08,8.08,8.08,603
20190325,8.08,8.08,8.08,8.08,0
20190326,7.99,7.99,7.99,7.99,9851
20190327,7.99,7.99,7.99,7.99,0
20190328,7.99,7.99,7.99,7.99,0
20190329,8.09,8.11,8.08,8.08,5675
20190401,8.08,8.08,8.08,8.08,0
20190402,8.07,8.08,8.07,8.08,5833
20190403,8.1,8.1,8.09,8.09,22080
20190404,8.06,8.07,8.06,8.07,11236
20190405,8.07,8.07,8.07,8.07,0
20190408,8.01,8.01,8.01,8.01,12308
20190409,8.01,8.01,8.01,8.01,0
20190410,8.01,8.01,8.01,8.01,0
20190411,8.01,8.01,8.01,8.01,0
20190412,8.01,8.01,8.01,8.01,0
20190415,8.04,8.04,8.03,8.03,11244
20190416,8.08,8.08,8.08,8.08,1200
20190417,8.11,8.11,8.11,8.11,2351
20190418,8.1,8.1,8.1,8.1,1432
20190423,8.1,8.1,8.1,8.1,0
20190424,8.24,8.27,8.24,8.27,24289
20190426,8.27,8.27,8.27,8.27,0
20190429,8.27,8.27,8.27,8.27,0
20190430,8.27,8.27,8.27,8.27,0
20190501,8.27,8.27,8.27,8.27,0
20190502,8.2,8.2,8.18,8.18,7085
20190503,8.18,8.18,8.18,8.18,0
20190506,8.18,8.18,8.18,8.18,0
20190507,8.18,8.18,8.18,8.18,130
20190508,8.13,8.13,8.08,8.08,7734
20190509,8.07,8.14,8.07,8.13,47909
20190510,8.13,8.13,8.13,8.13,0
20190513,8.13,8.13,8.13,8.13,0
20190514,8.06,8.06,8.06,8.06,3060
20190515,8.06,8.06,8.06,8.06,0
20190516,8.06,8.06,8.06,8.06,0
20190517,8.06,8.06,8.06,8.06,0
20190520,8.1,8.38,8.1,8.36,9470
20190521,8.39,8.39,8.39,8.39,150
20190522,8.39,8.39,8.39,8.39,0
20190523,8.48,8.49,8.48,8.49,14246
20190524,8.41,8.41,8.41,8.41,30860
20190527,8.39,8.39,8.39,8.39,5835
20190528,8.43,8.43,8.43,8.43,2520
20190529,8.4,8.4,8.39,8.4,6038
20190530,8.35,8.36,8.33,8.36,11293
20190531,8.36,8.36,8.36,8.36,0
20190603,8.27,8.27,8.27,8.27,1203
20190604,8.24,8.26,8.23,8.23,30347
20190605,8.34,8.34,8.29,8.31,20865
20190606,8.31,8.31,8.31,8.31,0
20190607,8.31,8.31,8.31,8.31,0
20190611,8.31,8.31,8.31,8.31,0
20190612,8.55,8.55,8.55,8.55,4148
20190613,8.5,8.5,8.5,8.5,4117
20190614,8.49,8.49,8.47,8.47,1409
20190617,8.45,8.45,8.43,8.43,4520
20190618,8.43,8.43,8.43,8.43,0
20190619,8.57,8.57,8.57,8.57,54313
20190620,8.57,8.57,8.57,8.57,0
