Date,Open,High,Low,Close,Volume
20180412,20.3,20.3,20.27,20.27,1737
20180413,20.36,20.36,20.22,20.22,1815
20180416,20,20,19.98,19.98,1250
20180417,20.01,20.01,20.01,20.01,14
20180418,20.02,20.02,20.02,20.02,74
20180419,20.17,20.17,20.17,20.17,2397
20180420,20.16,20.18,20.16,20.16,2358
20180423,20.18,20.18,20.09,20.09,6057
20180424,20.17,20.17,20.17,20.17,1000
20180426,20.02,20.02,19.95,19.95,2000
20180427,20.26,20.26,20.21,20.21,12375
20180430,20.21,20.21,20.21,20.21,0
20180501,20.29,20.29,20.29,20.29,2450
20180502,20.38,20.44,20.38,20.44,2020
20180503,20.05,20.05,19.99,20,1700
20180504,19.92,19.92,19.92,19.92,100
20180507,19.92,19.92,19.92,19.92,0
20180508,20.29,20.29,20.29,20.29,500
20180509,20.41,20.5,20.41,20.5,2960
20180510,20.41,20.41,20.41,20.41,12439
20180511,20.66,20.69,20.66,20.69,3384
20180514,20.63,20.65,20.63,20.65,9894
20180515,20.75,20.75,20.61,20.61,9021
20180516,20.61,20.61,20.61,20.61,0
20180517,20.66,20.66,20.66,20.66,3875
20180518,20.66,20.66,20.66,20.66,0
20180521,20.4,20.43,20.4,20.43,745
20180522,20.43,20.43,20.43,20.43,0
20180523,20.38,20.38,20.38,20.38,982
20180524,20.29,20.29,20.29,20.29,450
20180525,20.29,20.29,20.29,20.29,0
20180528,20.5,20.53,20.44,20.53,23070
20180529,20.56,20.56,20.56,20.56,486
20180530,20.2,20.2,20.2,20.2,3050
20180531,20.2,20.2,20.2,20.2,0
20180601,20.23,20.23,20.23,20.23,200
20180604,20.23,20.23,20.23,20.23,0
20180605,20.45,20.46,20.45,20.46,5025
20180606,20.46,20.46,20.46,20.46,0
20180607,20.46,20.46,20.46,20.46,0
20180608,20.41,20.41,20.41,20.41,1950
20180612,20.41,20.41,20.41,20.41,0
20180613,20.41,20.41,20.41,20.41,0
20180614,20.35,20.35,20.24,20.24,5228
20180615,20.3,20.36,20.3,20.33,803
20180618,20.33,20.33,20.33,20.33,0
20180619,20,20,19.93,19.93,1400
20180620,19.95,19.97,19.95,19.97,3811
20180621,19.97,19.97,19.97,19.97,0
20180622,19.68,19.68,19.68,19.68,1270
20180625,19.64,19.64,19.64,19.64,202
20180626,19.4,19.4,19.39,19.39,1278
20180627,19.45,19.45,19.45,19.45,204
20180628,19.45,19.45,19.45,19.45,0
20180629,19.1,19.28,19.1,19.28,22344
20180702,19.28,19.28,19.28,19.28,0
20180703,19.28,19.28,19.28,19.28,0
20180704,19.04,19.04,19.04,19.04,2360
20180705,19.04,19.04,19.04,19.04,0
20180706,19.04,19.04,19.04,19.04,0
20180709,19.07,19.13,19.07,19.13,510
20180710,19.13,19.13,19.13,19.13,0
20180711,19.13,19.13,19.13,19.13,0
20180712,19.25,19.28,19.24,19.26,27642
20180713,19.35,19.35,19.35,19.35,4400
20180716,19.35,19.35,19.35,19.35,0
20180717,19.35,19.35,19.35,19.35,0
20180718,19.42,19.42,19.42,19.42,300
20180719,19.42,19.42,19.42,19.42,0
20180720,19.18,19.18,19.18,19.18,10000
20180723,19.14,19.14,19.14,19.14,900
20180724,19.24,19.24,19.15,19.15,563
20180725,19.15,19.15,19.15,19.15,250
20180726,19.15,19.15,19.15,19.15,0
20180727,19.15,19.15,19.15,19.15,0
20180730,19.5,19.51,19.5,19.51,1556
20180731,19.36,19.36,19.3,19.3,1159
20180801,19.3,19.3,19.3,19.3,1985
20180802,19.3,19.3,19.3,19.3,0
20180803,19.3,19.3,19.3,19.3,0
20180806,19.3,19.3,19.3,19.3,0
20180807,19.3,19.3,19.3,19.3,0
20180808,19.3,19.3,19.3,19.3,0
20180809,19.13,19.13,19.13,19.13,9985
20180810,19.13,19.13,19.13,19.13,0
20180813,19,19,18.8,18.8,1410
20180814,18.78,18.78,18.78,18.78,1199
20180815,18.64,18.64,18.64,18.64,309
20180816,18.35,18.35,18.35,18.35,80
20180817,18.35,18.47,18.35,18.47,568
20180820,18.34,18.34,18.3,18.3,4577
20180821,18.34,18.34,18.34,18.34,1360
20180822,18.54,18.6,18.54,18.6,4769
20180823,18.6,18.6,18.6,18.6,0
20180824,18.6,18.6,18.6,18.6,0
20180827,18.84,18.84,18.84,18.84,785
20180828,19.04,19.04,19.04,19.04,367
20180829,19.04,19.04,19.04,19.04,0
20180830,19.24,19.24,19.22,19.22,750
20180831,19.22,19.22,19.22,19.22,0
20180903,19.22,19.22,19.22,19.22,557
20180904,19.1,19.1,18.97,18.97,2914
20180905,18.78,18.78,18.78,18.78,6620
20180906,18.48,18.55,18.48,18.55,862
20180907,18.55,18.55,18.41,18.41,1265
20180910,18.51,18.51,18.5,18.5,842
20180911,18.29,18.29,18.16,18.16,593
20180912,18.16,18.16,18.16,18.16,0
20180913,17.9,17.9,17.9,17.9,440
20180914,18.14,18.14,18.14,18.14,280
20180917,18.24,18.24,18.14,18.14,2446
20180918,17.96,17.96,17.96,17.96,150
20180919,18.09,18.09,18.09,18.09,1520
20180920,18.15,18.15,18.15,18.15,82
20180921,18.4,18.4,18.4,18.4,1086
20180924,18.4,18.4,18.4,18.4,0
20180925,18.42,18.42,18.42,18.42,273
20180926,18.59,18.59,18.59,18.59,550
20180927,18.55,18.55,18.55,18.55,1600
20180928,18.55,18.55,18.55,18.55,0
20181001,18.61,18.61,18.61,18.61,84
20181002,18.61,18.61,18.51,18.51,1363
20181003,18.51,18.51,18.51,18.51,0
20181004,18.41,18.43,18.38,18.43,4482
20181005,18.11,18.13,18.11,18.13,798
20181008,18.13,18.13,18.13,18.13,0
20181009,18.13,18.13,18.13,18.13,0
20181010,17.8,17.81,17.8,17.81,763
20181011,17.39,17.39,17.18,17.18,1408
20181012,17,17.39,17,17.39,404
20181015,17.43,17.43,17.43,17.43,1430
20181016,17.38,17.4,17.38,17.4,1446
20181017,17.74,17.75,17.74,17.75,30300
20181018,17.57,17.57,17.53,17.53,1179
20181019,17.32,17.32,17.32,17.32,427
20181022,17.35,17.35,17.35,17.35,600
20181023,17.35,17.35,17.35,17.35,0
20181024,17.4,17.4,17.4,17.4,1143
20181025,16.95,16.95,16.95,16.95,120
20181026,17.08,17.08,16.95,16.98,1271
20181029,17.02,17.02,17.01,17.01,1036
20181030,16.87,16.87,16.85,16.85,556
20181031,16.95,16.95,16.95,16.95,1180
20181101,17.29,17.29,17.29,17.29,33785
20181102,17.48,17.48,17.48,17.48,1228
20181105,17.77,17.78,17.7,17.7,750
20181106,17.77,17.77,17.77,17.77,562
20181107,17.65,17.65,17.65,17.65,268
20181108,17.8,17.8,17.8,17.8,122
20181109,17.8,17.8,17.8,17.8,0
20181112,17.56,17.56,17.56,17.56,290
20181113,17.36,17.44,17.36,17.44,35493
20181114,17.38,17.41,17.38,17.41,18840
20181115,17.35,17.35,17.35,17.35,340
20181116,17.67,17.67,17.67,17.67,758
20181119,17.51,17.51,17.51,17.51,847
20181120,17.38,17.38,17.35,17.35,1766
20181121,17.35,17.35,17.35,17.35,461
20181122,17.42,17.43,17.42,17.43,1383
20181123,17.5,17.5,17.5,17.5,290
20181126,17.34,17.35,17.34,17.35,1311
20181127,17.35,17.35,17.35,17.35,0
20181128,17.65,17.65,17.61,17.61,2153
20181129,17.61,17.61,17.61,17.61,0
20181130,17.56,17.56,17.56,17.56,1527
20181203,17.81,17.91,17.79,17.79,6310
20181204,17.72,17.72,17.72,17.72,160
20181205,17.65,17.65,17.65,17.65,550
20181206,17.65,17.65,17.65,17.65,254
20181207,17.65,17.65,17.65,17.65,0
20181210,17.65,17.65,17.65,17.65,0
20181211,17.65,17.65,17.65,17.65,0
20181212,17.65,17.65,17.65,17.65,0
20181213,17.36,17.36,17.36,17.36,230
20181214,17.36,17.36,17.36,17.36,0
20181217,17.19,17.19,17.19,17.19,530
20181218,16.94,16.94,16.94,16.94,398
20181219,17.08,17.11,17.08,17.11,1954
20181220,17.06,17.11,17.05,17.05,4406
20181221,17.05,17.05,17.05,17.05,0
20181224,17,17.05,17,17.03,2108
20181227,17.2,17.2,17.18,17.18,728
20181228,17.24,17.24,17.23,17.23,733
20181231,17.23,17.23,17.23,17.23,0
20190102,17.21,17.21,17.21,17.21,280
20190103,17.7,17.7,17.42,17.42,800
20190104,17.22,17.22,17.22,17.22,290
20190107,17.4,17.4,17.4,17.4,1167
20190108,17.21,17.21,17.21,17.21,537
20190109,17.28,17.42,17.28,17.42,226
20190110,17.53,17.53,17.53,17.53,6000
20190111,17.72,17.72,17.51,17.51,3246
20190114,17.51,17.51,17.51,17.51,0
20190115,17.45,17.59,17.42,17.58,3539
20190116,17.58,17.58,17.58,17.58,0
20190117,17.98,17.98,17.87,17.87,8703
20190118,17.9,17.9,17.9,17.9,3300
20190121,18.04,18.04,17.93,17.93,14150
20190122,18.06,18.06,18,18,2059
20190123,18,18,18,18,0
20190124,18,18,18,18,0
20190125,18.54,18.58,18.54,18.58,3028
20190129,18.47,18.47,18.21,18.21,1495
20190130,18.53,18.53,18.29,18.29,596
20190131,18.56,18.56,18.53,18.53,6099
20190201,18.68,18.68,18.6,18.6,6193
20190204,18.6,18.6,18.6,18.6,0
20190205,18.54,18.54,18.54,18.54,168
20190206,19.11,19.11,19.11,19.11,3004
20190207,19.11,19.11,19.11,19.11,0
20190208,18.81,18.81,18.81,18.81,280
20190211,18.8,18.8,18.8,18.8,1860
20190212,18.76,18.76,18.76,18.76,303
20190213,18.88,18.88,18.88,18.88,1145
20190214,18.86,18.86,18.76,18.76,1220
20190215,18.66,18.66,18.66,18.66,886
20190218,18.7,18.7,18.7,18.7,161
20190219,18.8,18.81,18.8,18.81,5261
20190220,18.78,18.78,18.67,18.67,11529
20190221,18.82,18.84,18.82,18.84,1078
20190222,18.88,19,18.88,19,4572
20190225,19.1,19.1,19.05,19.05,977
20190226,19.05,19.05,19.05,19.05,196
20190227,18.95,19.11,18.95,19.08,3727
20190228,19,19.01,19,19.01,5821
20190301,18.83,18.89,18.82,18.83,8794
20190304,19.01,19.09,19.01,19.08,14960
20190305,18.93,18.96,18.91,18.91,7705
20190306,19.02,19.14,19.02,19.14,4067
20190307,19.05,19.05,18.98,18.98,6848
20190308,18.73,18.73,18.6,18.6,80157
20190311,18.58,18.67,18.58,18.67,6908
20190312,18.9,18.9,18.89,18.89,1772
20190313,18.82,18.83,18.82,18.83,6747
20190314,18.81,18.81,18.81,18.81,7963
20190315,18.77,18.86,18.76,18.86,6070
20190318,19.05,19.05,19.01,19.02,2476
20190319,19.07,19.13,19.07,19.13,814
20190320,19.22,19.22,19.17,19.17,9980
20190321,19.16,19.16,19.11,19.11,5666
20190322,19.16,19.16,19.11,19.11,591
20190325,18.77,18.78,18.75,18.75,1343
20190326,18.79,18.8,18.76,18.76,2899
20190327,18.7,18.78,18.69,18.78,13827
20190328,18.48,18.58,18.48,18.56,1301
20190329,18.71,18.82,18.71,18.82,243
20190401,18.82,18.82,18.82,18.82,0
20190402,19.17,19.17,19.07,19.07,4059
20190403,19.25,19.25,19.25,19.25,1985
20190404,19.21,19.22,19.21,19.22,2082
20190405,19.23,19.23,19.23,19.23,777
20190408,19.15,19.15,19.15,19.15,33
20190409,19.22,19.3,19.22,19.3,12384
20190410,19.27,19.32,19.26,19.26,4561
20190411,19.29,19.31,19.29,19.31,1685
20190412,19.18,19.18,19.14,19.14,6231
20190415,19.14,19.2,19.14,19.19,2226
20190416,19.12,19.22,19.11,19.22,7680
20190417,19.04,19.04,19.04,19.04,334
20190418,19.1,19.1,19.09,19.09,1300
20190423,19.17,19.2,19.17,19.2,7826
20190424,19.2,19.2,19.2,19.2,0
20190426,19.17,19.17,19.1,19.1,7609
20190429,19.14,19.14,19.13,19.14,7217
20190430,19.15,19.15,19.03,19.06,9783
20190501,19.18,19.33,19.18,19.33,6542
