Date,Open,High,Low,Close,Volume
20240613,25.58,25.58,25.51,25.51,2000
20240614,25.61,25.61,25.61,25.61,1
20240617,25.73,25.79,25.73,25.79,41
20240618,25.79,25.83,25.77,25.77,2946
20240619,25.9,26.06,25.89,26.06,6001
20240620,26.18,26.22,26.11,26.22,1133
20240621,26.02,26.02,25.88,25.96,12189
20240624,25.94,25.95,25.9,25.9,10000
20240625,25.9,25.9,25.9,25.9,0
20240626,25.9,25.9,25.9,25.9,19
20240627,25.76,25.76,25.62,25.62,12026
20240628,25.62,25.62,25.62,25.62,0
20240701,25.62,25.62,25.62,25.62,0
20240702,26.05,26.1,26.05,26.1,4000
20240703,26.1,26.1,26.1,26.1,0
20240704,26.26,26.34,26.25,26.28,8150
20240705,26.36,26.4,26.36,26.4,2199
20240708,26.46,26.49,26.45,26.48,4103
20240709,26.63,26.63,26.62,26.63,66
20240710,26.68,26.68,26.63,26.67,14474
20240711,26.76,26.76,26.76,26.76,653
20240712,26.88,26.88,26.72,26.74,10004
20240715,26.87,26.87,26.59,26.63,4549
20240716,26.72,26.81,26.72,26.81,2609
20240717,26.82,26.82,26.82,26.82,3700
20240718,26.6,26.62,26.47,26.51,16479
20240719,26.47,26.48,26.38,26.38,6241
20240722,26.28,26.29,26.08,26.08,42496
20240723,26.39,26.43,26.35,26.41,9750
20240724,26.46,26.51,26.45,26.48,6092
20240725,26.39,26.39,26.26,26.38,12131
20240726,26.4,26.4,26.36,26.36,9182
20240729,26.67,26.67,26.66,26.66,1010
20240730,26.4,26.4,26.4,26.4,19
20240731,26.96,26.96,26.96,26.96,1
20240801,27.02,27.11,27.02,27.09,10570
20240802,26.89,26.89,26.5,26.5,13207
20240805,26.07,26.1,26.07,26.1,59
20240806,25.6,25.6,25.35,25.38,916
20240807,25.41,25.75,25.32,25.67,12749
20240808,25.71,25.71,25.64,25.64,47
20240809,25.94,25.94,25.94,25.94,116
20240812,26.31,26.31,26.21,26.21,48
20240813,26.12,26.24,26.12,26.24,71
20240814,26.24,26.24,26.24,26.24,0
20240815,26.4,26.44,26.36,26.36,5714
20240816,26.71,26.75,26.7,26.75,992
20240819,26.82,26.82,26.72,26.72,3320
20240820,26.8,26.8,26.7,26.78,6092
20240821,27,27,26.55,26.59,4629
20240822,26.68,26.68,26.68,26.68,31
20240823,26.5,26.5,26.48,26.48,2391
20240826,26.49,26.53,26.48,26.48,1649
20240827,26.52,26.52,26.43,26.43,4207
20240828,26.39,26.41,26.22,26.41,11880
20240829,26.27,26.27,26.2,26.2,2018
20240830,26.34,26.34,26.34,26.34,57
20240902,26.39,26.42,26.39,26.42,61
20240903,26.35,26.41,26.35,26.41,1574
20240904,26.3,26.3,25.88,25.88,3171
20240905,26.06,26.17,26.06,26.17,237
20240906,25.95,25.95,25.95,25.95,11
20240909,25.81,26,25.81,26,4738
20240910,26,26.05,25.97,25.97,2008
20240911,26.09,26.09,25.98,25.98,1254
20240912,25.98,25.98,25.98,25.98,0
20240913,26.23,26.23,26.23,26.23,574
20240916,26.4,26.51,26.4,26.51,7106
20240917,26.42,26.42,26.34,26.38,551
20240918,26.48,26.48,26.37,26.37,275
20240919,26.25,26.44,26.19,26.4,4071
20240920,26.67,26.67,26.54,26.54,3927
20240923,27,27,26.47,26.49,19600
20240924,26.47,26.6,26.36,26.6,33306
20240925,26.86,26.86,26.69,26.84,6465
20240926,27.06,27.06,26.98,26.98,4038
20240927,27.28,27.28,26.99,27.1,17499
20240930,27.3,27.3,26.63,26.75,15861
20241001,26.1,26.1,26,26.01,6044
20241002,26.22,26.25,26.2,26.25,10011
20241003,26.25,26.25,26.05,26.05,14120
20241004,26.05,26.18,26.03,26.04,6232
20241007,26.38,26.45,26.29,26.29,11546
20241008,26.28,26.48,26.28,26.47,7091
20241009,26.53,26.58,26.5,26.5,12094
20241010,26.7,26.7,26.43,26.43,6075
