Date,Open,High,Low,Close,Volume
20200910,10.1,10.1,10.04,10.08,178072
20200911,10.06,10.06,9.92,9.95,68041
20200914,10.03,10.03,9.85,9.93,108769
20200915,10.15,10.17,10.01,10.03,70291
20200916,10.14,10.17,10.14,10.16,76306
20200917,10.18,10.18,9.96,9.96,117963
20200918,10.05,10.06,9.96,10.06,42225
20200921,10.11,10.11,9.92,9.95,81843
20200922,10.2,10.21,10.14,10.15,39816
20200923,10.2,10.37,10.2,10.36,31874
20200924,10.35,10.35,10.16,10.24,56646
20200925,10.44,10.44,10.25,10.29,29730
20200928,10.57,10.57,10.43,10.45,41956
20200929,10.53,10.57,10.48,10.55,53080
20200930,10.41,10.48,10.37,10.37,60557
20201001,10.38,10.58,10.38,10.4,38901
20201002,10.52,10.54,10.3,10.32,55422
20201005,10.33,10.37,10.26,10.29,24324
20201006,10.4,10.47,10.35,10.39,62097
20201007,10.42,10.48,10.42,10.48,29140
20201008,10.53,10.54,10.49,10.52,172723
20201009,10.51,10.51,10.45,10.49,124803
20201012,10.5,10.51,10.4,10.49,41583
20201013,10.53,10.6,10.53,10.57,50975
20201014,10.67,10.73,10.67,10.73,40775
20201015,10.76,10.76,10.52,10.52,87729
20201016,10.52,10.6,10.5,10.57,64972
20201019,10.6,10.65,10.53,10.61,67719
20201020,10.67,10.67,10.51,10.58,59085
20201021,10.6,10.6,10.52,10.52,43723
20201022,10.49,10.49,10.37,10.4,47752
20201023,10.45,10.52,10.4,10.45,23511
20201026,10.49,10.49,10.36,10.36,68653
20201027,10.49,10.49,10.36,10.41,10908
20201028,10.43,10.56,10.43,10.5,46420
20201029,10.48,10.54,10.45,10.54,14866
20201030,10.67,10.67,10.41,10.46,41741
20201102,10.44,10.44,10.29,10.29,37432
20201103,10.43,10.43,10.3,10.33,15454
20201104,10.37,10.52,10.23,10.48,79428
20201105,10.57,10.83,10.57,10.83,75762
20201106,10.89,10.89,10.63,10.66,54680
20201109,10.8,10.99,10.8,10.99,69626
20201110,10.49,10.49,10.1,10.17,221181
20201111,9.96,10,9.76,9.82,177527
20201112,9.98,10.89,9.98,10.03,30390
20201113,10.37,10.37,10.18,10.29,43569
20201116,10.45,10.45,10.38,10.38,8006
20201117,10.41,10.41,10.15,10.15,95228
20201118,10.17,10.22,10.17,10.2,35813
20201119,10.24,10.24,10.1,10.16,44464
20201120,10.28,10.58,10.28,10.45,15564
20201123,10.5,10.54,10.5,10.53,34151
20201124,10.55,10.6,10.53,10.6,32218
20201125,10.59,10.59,10.39,10.44,70027
20201126,10.49,10.53,10.48,10.53,22465
20201127,10.59,10.71,10.51,10.56,22403
20201130,10.59,10.8,10.59,10.64,22655
20201201,10.79,10.85,10.76,10.82,23362
20201202,10.87,10.87,10.68,10.69,41788
20201203,10.75,10.77,10.72,10.74,37498
20201204,10.77,10.77,10.71,10.75,17610
20201207,10.9,10.98,10.85,10.93,26260
20201208,11,11.06,11,11.02,18009
20201209,11.06,11.13,11.05,11.05,32830
20201210,11.06,11.06,10.86,10.89,26950
20201211,10.92,10.92,10.8,10.83,18557
20201214,10.85,10.91,10.83,10.83,22979
20201215,10.95,10.95,10.86,10.91,34963
20201216,11.01,11.01,10.87,10.92,26364
20201217,11,11.09,10.95,11.08,14103
20201218,11.19,11.19,11.1,11.1,21331
20201221,11.17,11.33,11.09,11.14,28996
20201222,11.14,11.14,11.06,11.07,30290
20201223,11.24,11.3,11.12,11.17,16603
20201224,11.22,11.22,11.01,11.01,39885
20201229,11.15,11.4,10.86,10.91,42223
20201230,10.95,10.95,10.9,10.9,1670
20201231,11.21,11.21,11.05,11.06,3473
20210104,11.34,11.34,10.98,11.04,17773
20210105,11.05,11.1,11.04,11.05,31862
20210106,11.33,11.33,11.05,11.06,26709
20210107,10.94,10.99,10.88,10.92,40781
20210108,11.09,11.23,11,11.22,24465
20210111,11.4,11.44,11.38,11.41,56637
20210112,11.33,11.36,11.28,11.33,77287
20210113,11.29,11.32,11.23,11.32,24133
20210114,11.41,11.47,11.4,11.45,39271
20210115,11.44,11.44,11.37,11.44,54821
20210118,11.44,11.44,11.37,11.43,23404
20210119,11.45,11.7,11.45,11.55,29229
20210120,11.82,11.82,11.6,11.61,34311
20210121,11.83,11.84,11.64,11.69,52103
20210122,11.69,11.78,11.68,11.78,31091
20210125,11.94,12.1,11.94,12.1,56537
20210127,11.91,11.93,11.73,11.81,213692
20210128,11.73,11.73,11.54,11.68,62412
20210129,11.71,11.8,11.55,11.61,103276
20210201,11.59,11.65,11.4,11.62,62874
20210202,12,12.03,11.87,12.01,64077
20210203,12.13,12.3,12.1,12.19,162508
20210204,12.33,12.33,12.01,12.03,41792
20210205,12.1,12.25,12.1,12.25,69200
20210208,12.45,12.45,12.23,12.33,51917
20210209,12.49,12.5,12.31,12.36,82981
20210210,12.67,12.67,12.4,12.5,64242
20210211,12.68,12.68,12.53,12.57,58168
20210212,12.63,12.63,12.59,12.6,42335
20210215,12.63,12.65,12.6,12.6,30563
20210216,12.63,12.67,12.61,12.63,57119
20210217,12.73,12.73,12.47,12.54,51091
20210218,12.63,12.63,12.32,12.34,40277
20210219,12.31,12.31,12.17,12.25,53990
20210222,12.24,12.33,12.06,12.07,53003
20210223,11.75,11.75,11.54,11.73,65977
20210224,11.73,11.73,11.4,11.43,55914
20210225,11.41,11.43,11.33,11.42,55928
20210226,11.26,11.3,11.06,11.1,80333
20210301,11.26,11.47,11.26,11.41,38810
20210302,11.7,11.7,11.58,11.58,49787
20210303,11.57,11.57,11.36,11.46,16828
20210304,11.31,11.31,11.09,11.15,36103
20210305,10.99,10.99,10.71,10.85,88104
20210308,10.91,11.07,10.69,10.69,79232
20210309,10.6,10.6,10.26,10.42,66150
20210310,10.9,10.9,10.67,10.69,54324
20210311,10.75,10.75,10.48,10.61,86513
20210312,10.75,10.87,10.75,10.84,52022
20210315,10.84,10.9,10.71,10.75,38483
20210316,10.95,10.95,10.82,10.91,70637
20210317,10.95,10.98,10.92,10.93,15336
20210318,10.93,10.93,10.78,10.79,20165
20210319,10.7,10.7,10.52,10.57,35179
20210322,10.63,10.73,10.62,10.71,33489
20210323,10.74,10.79,10.73,10.75,32552
20210324,10.75,10.85,10.75,10.78,45665
20210325,10.72,10.72,10.49,10.52,60631
20210326,10.46,10.61,10.45,10.61,27236
20210329,10.66,10.72,10.6,10.64,28227
20210330,10.7,10.7,10.6,10.6,11205
20210331,10.63,10.76,10.63,10.71,31229
20210401,10.75,11.01,10.75,11.01,24055
20210406,11.2,11.25,11.13,11.14,23509
20210407,11.25,11.25,11.13,11.18,32917
20210408,11.23,11.23,11.15,11.22,26449
20210409,11.26,11.33,11.26,11.32,24352
20210412,11.35,11.35,11.2,11.2,23585
20210413,11.2,11.25,11.2,11.22,11691
20210414,11.28,11.35,11.28,11.34,47844
20210415,11.37,11.37,11.13,11.18,105095
20210416,11.38,11.46,11.27,11.31,45560
20210419,11.29,11.31,11.23,11.26,97413
20210420,11.26,11.26,11.03,11.05,64201
20210421,11.03,11.04,10.9,10.95,62632
20210422,11.03,11.03,10.98,11.03,24129
20210423,11.08,11.14,11.07,11.09,26927
20210426,11.2,11.23,11.18,11.18,20482
20210427,11.26,11.32,11.25,11.26,27758
20210428,11.29,11.31,11.25,11.3,31713
20210429,11.46,11.47,11.21,11.26,47043
20210430,11.3,11.32,11.12,11.15,54245
20210503,11.32,11.33,11.09,11.11,55561
20210504,11.1,11.1,10.95,11,61364
20210505,10.87,10.89,10.83,10.85,64105
20210506,10.85,10.95,10.72,10.74,45479
20210507,10.87,10.87,10.66,10.67,47349
20210510,10.65,10.74,10.65,10.71,45418
20210511,10.7,10.7,10.22,10.3,89459
20210512,10.31,10.74,10.31,10.43,21335
20210513,10.45,10.45,10.17,10.18,66078
20210514,10.2,10.2,10.03,10.13,54066
20210517,10.49,10.49,10.23,10.27,30006
20210518,10.5,10.53,10.27,10.33,34916
20210519,10.3,10.39,10.3,10.35,46816
20210520,10.36,10.51,10.36,10.49,12572
20210521,10.56,10.82,10.56,10.75,26641
20210524,10.75,10.79,10.71,10.71,34651
20210525,10.82,11.1,10.82,10.91,40152
20210526,10.96,10.98,10.9,10.91,22360
20210527,10.97,10.97,10.87,10.91,20141
