Date,Open,High,Low,Close,Volume
20160721,50.72,50.72,50.6,50.6,1037
20160722,50.48,50.58,50.48,50.58,2039
20160725,50.7,50.7,50.69,50.69,1000
20160726,50.61,50.61,50.6,50.6,1100
20160727,51.06,51.06,51.06,51.06,975
20160728,51.21,51.21,51.21,51.21,50
20160729,50.91,50.91,50.91,50.91,10
20160801,50.91,50.91,50.91,50.91,0
20160802,50.91,50.91,50.91,50.91,0
20160803,50.91,50.91,50.91,50.91,0
20160804,49.75,49.75,49.75,49.75,200
20160805,49.77,49.77,49.77,49.77,160
20160808,50.36,50.36,50.36,50.36,1
20160809,50.36,50.36,50.36,50.36,0
20160810,50.6,50.6,50.6,50.6,1000
20160811,50.6,50.6,50.6,50.6,0
20160812,50.6,50.6,50.6,50.6,0
20160815,50.6,50.6,50.6,50.6,0
20160816,50.6,50.6,50.6,50.6,0
20160817,50.6,50.6,50.6,50.6,0
20160818,50.6,50.6,50.6,50.6,0
20160819,50.6,50.6,50.6,50.6,0
20160822,50.6,50.6,50.6,50.6,0
20160823,50.6,50.6,50.6,50.6,0
20160824,50.6,50.6,50.6,50.6,0
20160825,50.6,50.6,50.6,50.6,0
20160826,51.38,51.38,51.38,51.38,600
20160829,51.38,51.38,51.38,51.38,0
20160830,51.38,51.38,51.38,51.38,0
20160831,51.38,51.38,51.38,51.38,0
20160901,51.99,51.99,51.96,51.96,1362
20160902,51.96,51.96,51.96,51.96,0
20160905,51.96,51.96,51.96,51.96,0
20160906,51.96,51.96,51.96,51.96,0
20160907,52.32,52.32,52.32,52.32,10
20160908,52.45,52.45,52.45,52.45,580
20160909,52.77,52.77,52.77,52.77,10
20160912,52.77,52.77,52.77,52.77,0
20160913,52.77,52.77,52.77,52.77,0
20160914,52.77,52.77,52.77,52.77,0
20160915,51.6,51.6,51.6,51.6,194
20160916,51.6,51.6,51.6,51.6,0
20160919,51.6,51.6,51.6,51.6,0
20160920,51.6,51.6,51.6,51.6,0
20160921,51.6,51.6,51.6,51.6,0
20160922,51.6,51.6,51.6,51.6,0
20160923,51.98,51.98,51.98,51.98,385
20160926,51.98,51.98,51.98,51.98,0
20160927,51.98,51.98,51.98,51.98,0
20160928,51.98,51.98,51.98,51.98,0
20160929,51.98,51.98,51.98,51.98,0
20160930,51.98,51.98,51.98,51.98,0
20161003,51.28,51.28,51.28,51.28,210
20161004,51.28,51.28,51.28,51.28,0
20161005,51.28,51.28,51.28,51.28,0
20161006,51.28,51.28,51.28,51.28,0
20161007,51.28,51.28,51.28,51.28,0
20161010,51.56,51.56,51.56,51.56,76
20161011,51.87,51.87,51.87,51.87,260
20161012,51.43,51.43,51.38,51.38,549
20161013,51.38,51.38,51.38,51.38,0
20161014,50.75,50.75,50.53,50.55,396
20161017,50.75,50.75,50.75,50.75,500
20161018,50.55,50.55,50.55,50.55,250
20161019,50.55,50.55,50.55,50.55,0
20161020,50.92,50.92,50.9,50.9,690
20161021,50.9,50.9,50.9,50.9,0
20161024,51.27,51.32,51.27,51.32,1900
20161025,51.55,51.55,51.55,51.55,300
20161026,51.55,51.55,51.55,51.55,0
20161027,51.55,51.55,51.55,51.55,0
20161028,51.56,51.56,51.44,51.44,21
20161031,51.44,51.44,51.44,51.44,0
20161101,51.44,51.44,51.44,51.44,0
20161102,51.44,51.44,51.44,51.44,0
20161103,51.44,51.44,51.44,51.44,0
20161104,49.92,49.92,49.87,49.87,1170
20161107,49.99,50,49.99,50,300
20161108,50,50,50,50,0
20161109,50,50,50,50,600
20161110,50.85,50.89,50.85,50.89,9889
20161111,50.89,50.89,50.89,50.89,195
20161114,50.7,50.7,50.7,50.7,1175
20161115,50.7,50.7,50.7,50.7,0
20161116,50.8,50.8,50.8,50.8,787
20161117,50.3,50.3,50.3,50.3,33
20161118,50.3,50.3,50.3,50.3,0
20161121,50.3,50.3,50.3,50.3,0
20161122,51.03,51.03,51.03,51.03,440
20161123,51.11,51.12,51.11,51.12,1980
20161124,51.12,51.12,51.12,51.12,0
20161125,50.82,50.82,50.82,50.82,100
20161128,50.84,50.84,50.84,50.84,535
20161129,49.85,49.85,49.85,49.85,600
20161130,49.85,49.85,49.85,49.85,0
20161201,49.85,49.85,49.85,49.85,0
20161202,49.85,49.85,49.85,49.85,0
20161205,49.85,49.85,49.85,49.85,0
20161206,49.85,49.85,49.85,49.85,0
20161207,49.85,49.85,49.85,49.85,0
20161208,49.85,49.85,49.85,49.85,0
20161209,49.85,49.85,49.85,49.85,0
20161212,49.85,49.85,49.85,49.85,0
20161213,49.85,49.85,49.85,49.85,0
20161214,53.85,53.85,53.85,53.85,385
20161215,53.85,53.85,53.85,53.85,0
20161216,53.85,53.85,53.85,53.85,0
20161219,53.85,53.85,53.85,53.85,0
20161220,53.85,53.85,53.85,53.85,0
20161221,54.8,54.8,54.8,54.8,36
20161222,54.8,54.8,54.8,54.8,0
20161223,54.8,54.8,54.8,54.8,0
20161228,54.8,54.8,54.8,54.8,0
20161229,54.8,54.8,54.8,54.8,0
20161230,54.8,54.8,54.8,54.8,0
20170103,54.8,54.8,54.8,54.8,0
20170104,55.65,55.65,55.65,55.65,500
20170105,55.9,56.05,55.9,55.9,1752
20170106,55.9,55.9,55.9,55.9,0
20170109,55.94,55.94,55.9,55.9,310
20170110,55.9,55.9,55.9,55.9,0
20170111,55.9,55.9,55.9,55.9,0
20170112,54.81,54.81,54.81,54.81,357
20170113,54.59,54.59,54.59,54.59,10
20170116,54.59,54.59,54.59,54.59,0
20170117,54.4,54.4,54.4,54.4,420
20170118,54.4,54.4,54.4,54.4,0
20170119,54.4,54.4,54.4,54.4,0
20170120,54.4,54.4,54.4,54.4,0
20170123,54.4,54.4,54.4,54.4,0
20170124,54.4,54.4,54.4,54.4,0
20170125,54.4,54.4,54.4,54.4,0
20170127,54.87,54.87,54.87,54.87,100
20170130,54.59,54.59,54.59,54.59,146
20170131,54.1,54.1,53.76,53.76,192
20170201,54.06,54.06,54.06,54.06,92
20170202,54.06,54.06,54.06,54.06,0
20170203,54.06,54.06,54.06,54.06,0
20170206,54.06,54.06,54.06,54.06,0
20170207,54.06,54.06,54.06,54.06,0
20170208,54.06,54.06,54.06,54.06,0
20170209,54.06,54.06,54.06,54.06,0
20170210,53.54,53.54,53.54,53.54,2406
20170213,53.54,53.54,53.54,53.54,0
20170214,53.42,53.42,53.42,53.42,30
20170215,53.42,53.42,53.42,53.42,0
20170216,53.45,53.54,53.45,53.54,496
20170217,53.63,53.63,53.63,53.63,20
20170220,53.7,53.7,53.6,53.6,192
20170221,53.52,53.52,53.4,53.4,2425
20170222,53.4,53.4,53.4,53.4,0
20170223,53.4,53.4,53.4,53.4,0
20170224,53.4,53.4,53.4,53.4,0
20170227,53.4,53.4,53.4,53.4,0
20170228,53.4,53.4,53.4,53.4,0
20170301,53.4,53.4,53.4,53.4,0
20170302,53.4,53.4,53.4,53.4,0
20170303,53.4,53.4,53.4,53.4,0
20170306,55.25,55.25,55.25,55.25,800
20170307,55.4,55.4,55.18,55.18,1384
20170308,55.18,55.18,55.18,55.18,0
20170309,55.18,55.18,55.18,55.18,0
20170310,55.5,55.5,55.5,55.5,100
20170313,55.5,55.5,55.5,55.5,0
20170314,55.5,55.5,55.5,55.5,0
20170315,55.92,55.92,55.73,55.78,331
20170316,55.48,55.76,55.48,55.62,2967
20170317,56.59,56.59,56.59,56.59,400
20170320,56.23,56.23,56.23,56.23,87
20170321,56.23,56.23,56.23,56.23,0
20170322,56.11,56.11,56.11,56.11,177
20170323,56.43,56.47,56.43,56.47,1062
20170324,56.47,56.47,56.47,56.47,0
20170327,56.47,56.47,56.47,56.47,0
20170328,57.56,57.56,57.56,57.56,105
20170329,57.46,57.46,57.46,57.46,174
20170330,57.46,57.46,57.46,57.46,0
20170331,57.5,57.5,56.89,56.89,318
20170403,56.89,56.89,56.89,56.89,0
20170404,56.89,56.89,56.89,56.89,0
20170405,57.5,57.5,57.5,57.5,52
20170406,57.5,57.5,57.5,57.5,0
20170407,57.76,57.78,57.76,57.78,136
20170410,57.87,58.03,57.87,58.03,151
20170411,57.57,57.57,57.4,57.4,255
20170412,57.66,57.7,57.66,57.7,610
20170413,57.18,57.18,57.18,57.18,300
20170418,56.73,56.91,56.73,56.91,985
20170419,56.89,56.89,56.89,56.89,430
20170420,57.1,57.1,57.1,57.1,87
20170421,57.1,57.1,57.1,57.1,36
20170424,57.1,57.1,57.1,57.1,0
20170426,61.26,61.48,61.26,61.48,4119
20170427,61.11,61.14,61.1,61.11,2657
20170428,61.11,61.11,60.75,60.75,5000
20170501,60.82,60.82,60.82,60.82,600
20170502,60.69,60.75,60.68,60.75,4635
20170503,60.75,60.75,60.75,60.75,0
20170504,62.2,62.2,62.05,62.05,7116
20170505,63.41,63.65,63.41,63.65,1557
20170508,64.26,64.26,64.16,64.16,848
20170509,63.54,63.8,63.5,63.8,1505
20170510,63.7,63.7,63.5,63.5,4963
20170511,63.63,63.81,63.63,63.74,2171
20170512,63.18,63.18,63.07,63.07,320
20170515,63.68,63.68,63.68,63.68,310
20170516,63.7,63.93,63.69,63.8,7725
20170517,64.29,64.4,64.29,64.3,2199
20170518,63.58,63.58,63.3,63.3,2089
20170519,63.3,63.3,63.3,63.3,0
20170522,64.18,64.18,64.09,64.09,542
20170523,63.81,63.81,63.71,63.71,856
20170524,64.06,64.08,64.05,64.08,1023
20170525,63.95,64.05,63.95,64.05,1490
20170526,64.05,64.09,63.91,63.91,730
20170529,63.8,63.8,63.77,63.78,834
20170530,63.55,63.55,63.35,63.45,3961
20170531,63.5,63.5,63.5,63.5,471
20170601,64.33,64.35,64.3,64.3,852
20170602,64.88,65.03,64.88,64.89,1718
20170605,65,65.02,64.57,64.57,3692
20170606,64.2,64.2,63.99,63.99,3967
20170607,63.85,63.85,63.45,63.45,1598
20170608,63.3,63.36,63.24,63.24,3643
20170609,63.36,63.43,63.35,63.41,1780
20170613,62.79,62.79,62.63,62.69,22501
20170614,63.15,63.17,63,63,7311
20170615,62.55,62.55,62.21,62.36,1701
20170616,61.94,62,61.8,62,3336
20170619,62.36,62.48,62.36,62.48,3546
20170620,62.74,62.83,62.74,62.81,11688
20170621,62.4,62.54,62.31,62.31,2528
20170622,62.58,62.75,62.58,62.72,2436
20170623,62.66,62.68,62.46,62.46,2148
20170626,62.48,62.51,62.48,62.5,1815
20170627,62.73,62.73,62.64,62.64,855
20170628,62.89,62.89,62.78,62.82,2491
20170629,63.09,63.11,63.07,63.07,7679
20170630,61.56,61.56,60.6,60.7,2192
20170703,60.8,60.8,60.78,60.79,1892
20170704,61,61.1,61,61.1,5387
20170705,61.16,61.18,61.16,61.18,2900
20170706,61.5,61.5,61.4,61.4,4412
20170707,61.61,61.61,61.57,61.57,400
20170710,61.7,61.7,61.67,61.67,2045
20170711,61.68,61.74,61.6,61.74,8195
20170712,61.93,61.93,61.66,61.66,3100
20170713,62.06,62.11,61.8,62.08,12177
20170714,61.63,61.79,61.63,61.63,1585
20170717,61.8,61.8,61.25,61.31,8061
20170718,61.35,61.35,60.54,60.54,5567
20170719,60.25,60.3,60.12,60.15,2396
20170720,60.15,60.43,59.89,60.29,9107
20170721,60.75,61.12,60.75,60.82,2819
20170724,60.27,60.27,60.2,60.2,2511
20170725,60.3,60.3,60.29,60.29,413
20170726,60.55,60.57,60.53,60.57,1363
20170727,60.52,60.52,60.16,60.24,5852
20170728,60.41,60.43,60.24,60.3,3483
20170731,60.4,60.4,60.3,60.3,4980
20170801,60.33,60.33,60.15,60.26,4363
20170802,61.09,61.21,61.09,61.11,2993
20170803,60.93,61.22,60.92,61.06,14802
20170804,61.18,61.25,61.08,61.15,20010
20170807,61.73,61.8,61.54,61.71,5915
20170808,61.7,61.8,61.7,61.72,1221
20170809,61.5,61.56,61.34,61.44,4803
20170810,61.2,61.2,61.09,61.09,2190
20170811,60.45,60.57,60.42,60.57,2198
20170814,60.34,60.76,60.34,60.76,2395
20170815,61.27,61.28,61.27,61.27,948
20170816,61.4,61.47,61.35,61.35,2311
20170817,60.93,63.98,60.9,63.98,835
20170818,63.87,63.87,60.5,60.58,5130
20170821,60.36,60.36,60.3,60.32,3877
20170822,60.17,60.37,60.16,60.37,4240
20170823,60.89,60.9,60.88,60.89,1577
20170824,60.8,60.87,60.72,60.87,2010
20170825,60.95,60.95,60.92,60.94,3515
20170828,61,61.04,60.87,60.87,1727
20170829,60.63,60.68,60.63,60.68,495
20170830,60.58,60.58,60.38,60.38,1560
