Date,Open,High,Low,Close,Volume
20170109,6.06,6.07,6.06,6.07,885185
20170110,6.02,6.02,6.02,6.02,330
20170111,6.05,6.05,6.03,6.03,60602
20170112,6.03,6.03,6.03,6.03,0
20170113,5.95,5.95,5.95,5.95,1000
20170116,5.95,5.95,5.95,5.95,0
20170117,5.97,5.98,5.96,5.96,9140
20170118,5.92,5.93,5.92,5.92,100650
20170119,5.94,5.95,5.94,5.95,83478
20170120,5.92,5.92,5.91,5.91,27801
20170123,5.91,5.91,5.89,5.9,54138
20170124,5.88,5.89,5.87,5.88,62389
20170125,5.89,5.89,5.89,5.89,19654
20170127,5.96,5.96,5.96,5.96,11106
20170130,5.96,5.96,5.92,5.92,37827
20170131,5.92,5.92,5.9,5.9,36191
20170201,5.91,5.91,5.91,5.91,5650
20170202,5.9,5.9,5.9,5.9,5100
20170203,5.83,5.84,5.83,5.84,19052
20170206,5.84,5.84,5.84,5.84,0
20170207,5.86,5.87,5.85,5.86,40059
20170208,5.89,5.89,5.89,5.89,9781
20170209,5.89,5.89,5.89,5.89,0
20170210,5.95,5.96,5.95,5.95,24916
20170213,5.95,5.95,5.95,5.95,134
20170214,5.98,6,5.98,5.99,22462
20170215,6,6,6,6,46120
20170216,6,6,6,6,19026
20170217,6.01,6.01,6,6.01,11614
20170220,6.05,6.05,6.05,6.05,1350
20170221,6.05,6.05,6.05,6.05,11372
20170222,6.06,6.06,6.05,6.05,22414
20170223,6.05,6.05,6.05,6.05,8977
20170224,6.04,6.05,6.04,6.05,17223
20170227,6.09,6.09,6.07,6.09,21319
20170228,6.08,6.08,6.08,6.08,24561
20170301,6.08,6.08,6.08,6.08,7300
20170302,6.13,6.14,6.13,6.14,80213
20170303,6.2,6.2,6.19,6.19,18460
20170306,6.19,6.19,6.15,6.18,6943
20170307,6.17,6.17,6.15,6.16,13454
20170308,6.14,6.14,6.13,6.13,18242
20170309,6.19,6.22,6.19,6.22,13752
20170310,6.25,6.25,6.25,6.25,1925
20170313,6.25,6.25,6.25,6.25,0
20170314,6.23,6.23,6.21,6.21,3080
20170315,6.21,6.21,6.2,6.21,27772
20170316,6.17,6.17,6.15,6.17,80880
20170317,6.17,6.18,6.17,6.17,5181
20170320,6.16,6.16,6.15,6.15,9139
20170321,6.12,6.13,6.12,6.13,8262
20170322,6.09,6.1,6.08,6.09,23541
20170323,6.13,6.13,6.13,6.13,6855
20170324,6.17,6.17,6.17,6.17,9162
20170327,6.17,6.17,6.15,6.15,21443
20170328,6.2,6.21,6.2,6.21,66342
20170329,6.2,6.2,6.2,6.2,9021
20170330,6.2,6.2,6.2,6.2,8324
20170331,6.2,6.2,6.19,6.2,5812
20170403,6.2,6.23,6.2,6.23,24634
20170404,6.22,6.22,6.2,6.21,27190
20170405,6.26,6.26,6.24,6.25,23124
20170406,6.22,6.23,6.22,6.23,138712
20170407,6.26,6.26,6.23,6.25,14699
20170410,6.28,6.3,6.28,6.3,21856
20170411,6.29,6.29,6.28,6.29,12479
20170412,6.28,6.29,6.28,6.29,22649
20170413,6.25,6.26,6.21,6.21,47232
20170418,6.22,6.23,6.22,6.23,22460
20170419,6.22,6.25,6.22,6.25,25056
20170420,6.28,6.28,6.28,6.28,17665
20170421,6.31,6.31,6.3,6.31,17636
20170424,6.31,6.31,6.31,6.31,0
20170426,6.39,6.42,6.39,6.41,124813
20170427,6.44,6.46,6.43,6.46,13243
20170428,6.5,6.52,6.49,6.5,53124
20170501,6.49,6.49,6.49,6.49,6326
20170502,6.47,6.47,6.45,6.46,36801
20170503,6.49,6.5,6.49,6.5,4282
20170504,6.57,6.58,6.57,6.57,68327
20170505,6.6,6.62,6.6,6.62,18653
20170508,6.64,6.65,6.63,6.65,23526
20170509,6.65,6.67,6.64,6.67,16837
20170510,6.68,6.68,6.67,6.67,54055
20170511,6.67,6.69,6.67,6.69,22616
20170512,6.66,6.66,6.65,6.65,27060
20170515,6.67,6.67,6.66,6.67,416762
20170516,6.66,6.66,6.65,6.66,93800
20170517,6.63,6.64,6.63,6.64,10531
20170518,6.57,6.57,6.54,6.55,110169
20170519,6.59,6.59,6.59,6.59,14229
20170522,6.63,6.63,6.62,6.63,16826
20170523,6.63,6.63,6.61,6.61,11710
20170524,6.65,6.65,6.65,6.65,124150
20170525,6.65,6.66,6.65,6.66,24676
20170526,6.72,6.74,6.72,6.73,15752
20170529,6.72,6.74,6.72,6.74,52430
20170530,6.73,6.74,6.72,6.73,57925
20170531,6.72,6.73,6.7,6.72,35470
20170601,6.74,6.78,6.74,6.77,124909
20170602,6.85,6.85,6.82,6.85,19665
20170605,6.8,6.8,6.78,6.8,219054
20170606,6.78,6.78,6.75,6.75,26664
20170607,6.72,6.72,6.69,6.7,226186
20170608,6.7,6.7,6.69,6.69,22270
20170609,6.69,6.7,6.69,6.7,12960
20170613,6.66,6.66,6.6,6.61,46141
20170614,6.65,6.66,6.64,6.64,134301
20170615,6.6,6.6,6.56,6.57,78459
20170616,6.57,6.58,6.56,6.57,144020
20170619,6.55,6.56,6.55,6.55,67803
20170620,6.63,6.64,6.6,6.6,63746
20170621,6.6,6.61,6.6,6.61,134180
20170622,6.64,6.64,6.63,6.64,24098
20170623,6.65,6.65,6.64,6.64,51353
20170626,6.62,6.63,6.62,6.63,44132
20170627,6.62,6.62,6.6,6.6,24772
20170628,6.58,6.58,6.53,6.55,63163
20170629,6.58,6.59,6.55,6.58,123977
20170630,6.46,6.46,6.43,6.43,118619
20170703,6.5,6.5,6.39,6.41,25607
20170704,6.38,6.4,6.36,6.4,81752
20170705,6.41,6.41,6.4,6.4,74757
20170706,6.46,6.46,6.44,6.44,34129
20170707,6.42,6.43,6.41,6.41,46789
20170710,6.43,6.45,6.43,6.45,101749
20170711,6.45,6.45,6.44,6.45,6385
20170712,6.44,6.44,6.41,6.42,127262
20170713,6.46,6.47,6.45,6.45,112842
20170714,6.42,6.42,6.41,6.41,129808
20170717,6.42,6.42,6.4,6.4,106295
20170718,6.41,6.41,6.32,6.32,150841
20170719,6.32,6.32,6.31,6.31,78128
20170720,6.31,6.34,6.31,6.32,25110
20170721,6.35,6.39,6.34,6.38,190329
20170724,6.36,6.36,6.35,6.36,83300
20170725,6.35,6.36,6.34,6.34,46448
20170726,6.35,6.37,6.35,6.37,27413
20170727,6.32,6.33,6.28,6.29,74272
20170728,6.31,6.31,6.3,6.31,213848
20170731,6.32,6.33,6.3,6.3,46422
20170801,6.3,6.32,6.3,6.31,386275
20170802,6.37,6.39,6.37,6.38,224494
20170803,6.39,6.41,6.39,6.41,167840
20170804,6.39,6.4,6.38,6.38,264527
20170807,6.41,6.42,6.4,6.42,197278
20170808,6.44,6.44,6.43,6.44,21318
20170809,6.44,6.45,6.44,6.44,253517
20170810,6.45,6.45,6.44,6.45,118834
20170811,6.37,6.38,6.36,6.37,276986
20170814,6.38,6.39,6.37,6.39,223293
20170815,6.47,6.47,6.46,6.47,53903
20170816,6.48,6.48,6.47,6.47,42827
20170817,6.42,6.42,6.41,6.41,213864
20170818,6.36,6.37,6.35,6.37,233424
20170821,6.34,6.34,6.31,6.33,220532
20170822,6.32,6.33,6.32,6.33,195369
20170823,6.41,6.41,6.4,6.4,183823
20170824,6.37,6.37,6.36,6.37,45249
20170825,6.39,6.39,6.37,6.38,124417
20170828,6.36,6.36,6.35,6.35,18990
20170829,6.34,6.35,6.33,6.35,40890
20170830,6.39,6.39,6.34,6.34,22993
20170831,6.43,6.43,6.42,6.43,108400
20170901,6.43,6.44,6.42,6.42,8096
20170904,6.4,6.4,6.39,6.39,13266
20170905,6.41,6.41,6.39,6.39,6485
20170906,6.35,6.37,6.35,6.37,19836
20170907,6.37,6.38,6.37,6.38,19144
20170908,6.36,6.37,6.33,6.33,53252
20170911,6.4,6.4,6.4,6.4,7289
20170912,6.46,6.47,6.46,6.46,47170
20170913,6.47,6.47,6.45,6.45,16580
20170914,6.47,6.47,6.45,6.45,11071
20170915,6.44,6.45,6.43,6.45,31542
20170918,6.46,6.46,6.45,6.46,32530
20170919,6.48,6.5,6.48,6.5,6246
20170920,6.46,6.47,6.45,6.45,3246
