Date,Open,High,Low,Close,Volume
20090202,19.99,19.99,19.99,19.99,5942
20090203,19.76,19.93,19.61,19.82,19898
20090204,19.51,19.6,19.43,19.53,13345
20090205,19.9,19.9,19.4,19.65,2648
20090206,19.7,19.95,19.7,19.92,4076
20090209,19.62,19.82,19.57,19.75,6155
20090210,19.27,19.57,19.27,19.57,7554
20090211,20.38,20.41,20.35,20.41,1241
20090212,20.87,21.14,20.86,21.08,3812
20090213,21.08,21.08,20.79,20.79,3193
20090216,21.15,21.15,21.15,21.15,1500
20090217,21.4,22.11,21.4,22.11,1760
20090218,22.5,22.68,22.14,22.47,6031
20090219,22.62,22.62,22.47,22.59,1693
20090220,21.9,22.11,21.9,22.11,1328
20090223,22.39,22.55,22.14,22.15,6770
20090224,22.56,22.56,22.38,22.4,4418
20090225,22,22,21.13,21.35,2224
20090226,21.3,21.3,21.08,21.2,2301
20090227,20.83,20.83,20.34,20.41,1882
20090302,20.93,21.13,20.93,21.1,3082
20090303,20.75,20.75,20.32,20.32,3027
20090304,20.17,20.34,20.17,20.24,2380
20090305,20.26,20.37,20.26,20.35,2104
20090306,20.86,20.87,20.8,20.82,6699
20090309,20.68,20.68,20.62,20.62,985
20090310,21.8,21.8,20.3,20.3,5157
20090311,20.3,20.8,19.45,19.74,3627
20090312,20,20,19.78,19.8,2000
20090313,19.9,20.01,19.85,20.01,1100
20090316,19.9,19.9,19.85,19.9,7061
20090317,19.7,21.35,19.63,21.35,12988
20090318,19.36,19.36,19.2,19.26,3646
20090319,19.5,19.5,18.91,18.91,7374
20090320,19.8,19.91,19.71,19.85,5642
20090323,20.07,20.08,19.78,19.78,14640
20090324,19.85,19.85,19.4,19.59,3775
20090325,19.37,19.37,19.37,19.37,255
20090326,19.44,19.44,19.36,19.4,745
20090327,19.46,19.49,19.45,19.49,1640
20090330,19.41,19.41,19.35,19.35,1765
20090331,19.2,19.2,19.05,19.2,16727
20090401,19.04,19.04,18.97,19,3140
20090402,18.79,18.79,18.72,18.72,667
20090403,18.49,18.49,18.17,18.23,11200
20090406,18.23,18.23,18.23,18.23,0
20090407,17.55,17.6,17.35,17.36,8225
20090408,17.51,17.57,17.51,17.57,1888
20090409,17.57,17.57,17.57,17.57,0
20090414,17.53,17.53,17.52,17.53,640
20090415,17.82,17.82,17.82,17.82,1000
20090416,17.69,17.69,17.69,17.69,2500
20090417,17.6,17.6,17.05,17.05,2315
20090420,16.56,16.68,16.56,16.63,13643
20090421,18.5,18.5,18.5,18.5,270
20090422,17.12,17.12,17.12,17.12,200
20090423,17.77,17.82,17.71,17.71,5303
20090424,17.98,17.98,17.98,17.98,300
20090427,18.51,18.51,18.41,18.42,12086
20090428,18.32,18.32,18.3,18.3,482
20090429,18.23,18.23,17.75,17.75,400
20090430,17.45,17.65,17.44,17.49,283
20090501,17.14,17.24,17.14,17.19,691
20090504,17.19,17.19,17.19,17.19,0
20090505,17.9,17.92,17.8,17.83,10639
20090506,18.11,18.31,18.11,18.2,5651
20090507,18.35,18.45,18.27,18.32,10000
20090508,18.45,18.59,18.45,18.59,11762
20090511,18.7,18.7,18.19,18.43,440
20090512,18.25,18.25,18.25,18.25,30
20090513,18.84,18.85,18.82,18.82,1623
20090514,18.51,18.78,18.51,18.56,444
20090515,18.72,18.74,18.51,18.74,2300
20090518,18.75,18.75,18.75,18.75,195
20090519,18.04,18.3,18.04,18.3,825
20090520,18.31,18.41,18.31,18.41,4111
20090521,18.73,18.73,18.73,18.73,240
20090522,18.65,18.77,18.65,18.77,899
20090525,19.09,19.09,18.81,18.81,900
20090526,18.81,18.81,18.81,18.81,0
20090527,18.8,18.8,18.42,18.42,717
20090528,19.06,19.06,19.06,19.06,245
20090529,19.57,19.57,19.4,19.52,12087
20090601,19.87,19.91,19.87,19.91,351
20090602,19.35,19.5,19.23,19.5,1076
20090603,19.86,19.86,19.7,19.7,1840
20090604,19.41,19.41,19.26,19.26,2070
20090605,19.25,20,19.25,19.65,1718
20090609,18.83,18.85,18.83,18.85,5690
20090610,18.85,18.85,18.85,18.85,0
20090611,18.9,18.9,18.85,18.85,1555
20090612,18.9,18.9,18.73,18.73,429
20090615,18,18.34,18,18.18,1375
20090616,17.94,18.06,17.88,18.06,1550
20090617,17.84,17.84,17.84,17.84,801
20090618,18.18,18.18,18.18,18.18,300
20090619,18.2,18.2,17.77,17.82,2300
20090622,17.53,17.6,17.53,17.6,758
20090623,17.7,17.7,17.67,17.67,75
20090624,17.63,17.63,17.63,17.63,280
20090625,17.7,17.7,17.5,17.6,2155
20090626,18,18,17.61,17.7,2798
20090629,17.48,17.61,17.32,17.61,1280
20090630,17.09,17.09,17.09,17.09,100
20090701,17.2,17.2,17.06,17.06,440
20090702,17.11,17.25,17.11,17.25,1033
20090703,17.02,17.02,17.02,17.02,1000
20090706,16.9,16.9,16.9,16.9,592
20090707,16.9,16.9,16.9,16.9,0
20090708,16.7,16.7,16.7,16.7,500
20090709,16.52,16.68,16.52,16.68,762
20090710,16.68,16.68,16.5,16.5,1060
20090713,16.3,16.3,16.3,16.3,4720
20090714,16.45,16.53,16.45,16.52,1040
20090715,16.52,16.52,16.3,16.3,1231
20090716,16.63,16.65,16.6,16.6,1700
20090717,16.73,16.73,16.71,16.71,600
20090720,16.81,16.81,16.81,16.81,600
20090721,18,18,16.9,16.93,2200
20090722,16.73,16.73,16.73,16.73,600
20090723,16.86,16.86,16.7,16.7,780
20090724,16.76,16.76,16.76,16.76,1000
20090727,17.01,17.1,17,17.1,4629
20090728,17.1,17.1,17.1,17.1,0
20090729,16.66,16.68,16.5,16.5,10668
20090730,16.4,16.4,16.3,16.3,1500
20090731,16.4,16.45,16.4,16.45,280
20090803,16.8,16.85,16.8,16.85,1450
20090804,16.9,16.9,16.85,16.85,2550
20090805,17.32,17.32,17.27,17.27,500
20090806,17.27,17.27,17.27,17.27,0
20090807,17.32,17.32,17.3,17.3,680
20090810,17.47,17.47,17.47,17.47,2000
20090811,17.32,17.32,17.32,17.32,400
20090812,17.32,17.32,17.32,17.32,0
20090813,17.38,17.4,17.32,17.4,7678
20090814,17.82,17.82,17.8,17.8,1150
20090817,17.62,17.62,17.62,17.62,350
20090818,17.5,17.5,17.18,17.18,4100
20090819,17.1,17.1,16.82,16.82,10585
20090820,16.88,16.88,16.88,16.88,296
20090821,16.88,16.88,16.88,16.88,0
20090824,17.04,17.04,17.04,17.04,300
20090825,16.8,16.8,16.8,16.8,30
20090826,17.18,17.2,17.18,17.2,445
20090827,17.2,17.2,17.2,17.2,0
20090828,17.14,17.14,17.14,17.14,799
20090831,17.46,17.46,17.46,17.46,500
20090901,17.67,17.85,17.67,17.85,1525
20090902,17.9,18.25,17.9,18.16,7220
20090903,18.44,18.55,18.43,18.55,2476
20090904,19.27,19.27,19.15,19.21,3408
20090907,19.15,19.15,18.88,19.07,1530
20090908,19.18,19.3,19.18,19.3,5178
20090909,19.14,19.28,19.14,19.28,8315
20090910,19.05,19.09,19.05,19.09,1049
20090911,19.41,19.49,19.3,19.48,2960
20090914,19.52,19.52,19.11,19.11,2293
20090915,19.32,19.32,19.32,19.32,250
20090916,19.62,19.74,19.62,19.74,14950
20090917,19.9,19.9,19.9,19.9,300
20090918,19.8,19.8,19.7,19.7,2901
20090921,19.31,19.31,19.1,19.12,6113
20090922,19.38,19.5,19.38,19.45,1510
20090923,19.45,19.45,19.45,19.45,0
20090924,19.45,19.45,19.45,19.45,0
20090925,18.7,18.7,18.7,18.7,150
20090928,18.42,18.42,18.31,18.31,1580
20090929,18.31,18.31,18.31,18.31,0
20090930,18.31,18.31,18.31,18.31,0
20091001,18.77,18.77,18.77,18.77,200
20091002,18.77,18.82,18.73,18.82,3713
20091005,18.52,18.52,18.52,18.52,300
20091006,19,19.27,18.86,19.08,10970
20091007,19.6,19.6,19.6,19.6,375
20091008,19.75,19.75,19.75,19.75,800
20091009,19.7,19.7,19.5,19.5,2960
20091012,19.63,19.63,19.63,19.63,1900
20091013,19.61,19.61,19.51,19.51,3300
20091014,19.71,19.73,19.53,19.73,12440
20091015,19.73,19.73,19.73,19.73,0
20091016,18.9,18.92,18.75,18.83,5261
20091019,19.05,19.05,18.96,18.96,355
20091020,19.2,19.2,19.2,19.2,3000
20091021,18.89,18.89,18.89,18.89,211
20091022,19.07,19.07,19.05,19.05,1025
20091023,19.02,19.02,19.02,19.02,250
20091026,19.02,19.02,19.02,19.02,3000
20091027,18.62,18.72,18.62,18.72,660
