Date,Open,High,Low,Close,Volume
20090204,30.31,30.31,30.31,30.31,100
20090205,30.31,30.31,30.31,30.31,0
20090206,30.31,30.31,30.31,30.31,0
20090209,32.12,32.12,32.12,32.12,400
20090210,32.12,32.12,32.12,32.12,0
20090211,32.12,32.12,32.12,32.12,0
20090212,32.12,32.12,32.12,32.12,0
20090213,32.12,32.12,32.12,32.12,0
20090216,32.64,32.64,32.64,32.64,400
20090217,32.64,32.64,32.64,32.64,0
20090218,32.64,32.64,32.64,32.64,0
20090219,32.64,32.64,32.64,32.64,0
20090220,32.64,32.64,32.64,32.64,0
20090223,32.64,32.64,32.64,32.64,0
20090224,32.64,32.64,32.64,32.64,0
20090225,32.64,32.64,32.64,32.64,0
20090226,31.08,31.08,31.08,31.08,50
20090227,31.4,31.4,31.4,31.4,750
20090302,31.4,31.4,31.4,31.4,0
20090303,31.4,31.4,31.4,31.4,0
20090304,31.4,31.4,31.4,31.4,0
20090305,31.4,31.4,31.4,31.4,0
20090306,31.4,31.4,31.4,31.4,0
20090309,31.4,31.4,31.4,31.4,0
20090310,31.4,31.4,31.4,31.4,0
20090311,31.4,31.4,31.4,31.4,0
20090312,31.4,31.4,31.4,31.4,0
20090313,31.4,31.4,31.4,31.4,0
20090316,31.4,31.4,31.4,31.4,0
20090317,31.4,31.4,31.4,31.4,0
20090318,31.4,31.4,31.4,31.4,0
20090319,31.4,31.4,31.4,31.4,0
20090320,31.4,31.4,31.4,31.4,0
20090323,31.4,31.4,31.4,31.4,0
20090324,31.4,31.4,31.4,31.4,0
20090325,31.4,31.4,31.4,31.4,0
20090326,31.4,31.4,31.4,31.4,0
20090327,31.4,31.4,31.4,31.4,0
20090330,31.4,31.4,31.4,31.4,0
20090331,31.4,31.4,31.4,31.4,0
20090401,31.4,31.4,31.4,31.4,0
20090402,31.4,31.4,31.4,31.4,0
20090403,31.4,31.4,31.4,31.4,0
20090406,31.07,31.07,31.07,31.07,500
20090407,31.07,31.07,31.07,31.07,0
20090408,31.07,31.07,31.07,31.07,0
20090409,31.07,31.07,31.07,31.07,0
20090414,31.07,31.07,31.07,31.07,0
20090415,31.07,31.07,31.07,31.07,0
20090416,31.07,31.07,31.07,31.07,0
20090417,31.07,31.07,31.07,31.07,0
20090420,31.07,31.07,31.07,31.07,0
20090421,31.07,31.07,31.07,31.07,0
20090422,31.07,31.07,31.07,31.07,0
20090423,31.07,31.07,31.07,31.07,0
20090424,31.07,31.07,31.07,31.07,0
20090427,31.07,31.07,31.07,31.07,0
20090428,31.07,31.07,31.07,31.07,0
20090429,31.07,31.07,31.07,31.07,0
20090430,31.07,31.07,31.07,31.07,0
20090501,31.07,31.07,31.07,31.07,0
20090504,29.04,29.05,29.04,29.05,600
20090505,29.05,29.05,29.05,29.05,0
20090506,29.05,29.05,29.05,29.05,0
20090507,29.05,29.05,29.05,29.05,0
20090508,29.05,29.05,29.05,29.05,0
20090511,29.05,29.05,29.05,29.05,0
20090512,29.05,29.05,29.05,29.05,0
20090513,29.05,29.05,29.05,29.05,0
20090514,29.05,29.05,29.05,29.05,0
20090515,29.05,29.05,29.05,29.05,0
20090518,29.05,29.05,29.05,29.05,0
20090519,29.05,29.05,29.05,29.05,0
20090520,29.05,29.05,29.05,29.05,0
20090521,29.05,29.05,29.05,29.05,0
20090522,29.05,29.05,29.05,29.05,0
20090525,29.05,29.05,29.05,29.05,0
20090526,29.05,29.05,29.05,29.05,0
20090527,29.05,29.05,29.05,29.05,0
20090528,29.05,29.05,29.05,29.05,0
20090529,29.34,29.34,29.34,29.34,500
20090601,30,30,30,30,200
20090602,30,30,30,30,0
20090603,30,30,30,30,0
20090604,30,30,30,30,0
20090605,30,30,30,30,0
20090609,31.84,31.84,31.84,31.84,100
20090610,31.84,31.84,31.84,31.84,0
20090611,31.84,31.84,31.84,31.84,0
20090612,31.84,31.84,31.84,31.84,0
20090615,31.84,31.84,31.84,31.84,0
20090616,31.84,31.84,31.84,31.84,0
20090617,31.84,31.84,31.84,31.84,0
20090618,31.84,31.84,31.84,31.84,0
20090619,31.84,31.84,31.84,31.84,0
20090622,31.84,31.84,31.84,31.84,0
20090623,31.84,31.84,31.84,31.84,0
20090624,31.84,31.84,31.84,31.84,0
20090625,31.84,31.84,31.84,31.84,0
20090626,31.84,31.84,31.84,31.84,0
