Date,Open,High,Low,Close,Volume
20090202,104.22,104.22,104.22,104.22,95
20090203,104.22,104.22,104.22,104.22,0
20090204,99.58,99.63,99.58,99.63,200
20090205,99.63,99.63,99.63,99.63,0
20090206,99.63,99.63,99.63,99.63,0
20090209,99.63,99.63,99.63,99.63,0
20090210,96.7,98.47,96.7,98.47,101
20090211,102.25,102.25,102.25,102.25,100
20090212,105.32,105.35,104.72,105.35,1130
20090213,105.35,105.62,105.31,105.38,230
20090216,105.6,105.6,105.6,105.6,94
20090217,106.66,109.26,106.66,109.26,200
20090218,112.15,112.15,111.32,111.32,430
20090219,111.32,111.32,111.32,111.32,0
20090220,111.03,111.03,111.03,111.03,89
20090223,112.49,112.49,111.17,111.17,158
20090224,111.17,111.17,111.17,111.17,0
20090225,111.17,111.17,111.17,111.17,0
20090226,111.17,111.17,111.17,111.17,0
20090227,105.19,105.53,105.19,105.53,76
20090302,108.93,108.93,108.93,108.93,14
20090303,106.39,106.39,106.39,106.39,18
20090304,104.76,104.76,104.76,104.76,50
20090305,104.76,104.76,104.76,104.76,0
20090306,106.56,106.56,106.41,106.43,657
20090309,106.43,106.43,106.43,106.43,0
20090310,104.69,105.14,104.69,105,1186
20090311,101.28,101.28,101.28,101.28,12
20090312,103.02,103.12,103.02,103.02,388
20090313,103.02,103.02,103.02,103.02,0
20090316,103.02,103.02,103.02,103.02,0
20090317,102.09,102.09,102.09,102.09,4
20090318,102.09,102.09,102.09,102.09,0
20090319,99.28,99.28,99.28,99.28,100
20090320,101.97,101.97,101.94,101.94,51
20090323,101.94,101.94,101.94,101.94,0
20090324,99,99,99,99,100
20090325,98.67,98.67,98.67,98.67,50
20090326,99.25,99.25,99.25,99.25,4
20090327,99.25,99.25,99.25,99.25,0
20090330,99.97,99.97,99.93,99.93,68
20090331,99.93,99.93,99.93,99.93,0
20090401,99.93,99.93,99.93,99.93,0
20090402,99.93,99.93,99.93,99.93,0
20090403,99.93,99.93,99.93,99.93,0
20090406,93.07,93.07,92.59,92.68,2502
20090407,93.48,93.48,93.43,93.43,19
20090408,93.43,93.43,93.43,93.43,0
20090409,94.24,94.24,94.24,94.24,100
20090414,93.75,93.75,93.75,93.75,500
20090415,95,95,95,95,200
20090416,95,95,95,95,0
20090417,92.23,92.23,92.23,92.23,150
20090420,92.23,92.23,92.23,92.23,0
20090421,92.23,92.23,92.23,92.23,0
20090422,94.36,94.36,94.36,94.36,100
20090423,94.36,94.36,94.36,94.36,0
20090424,94.36,94.36,94.36,94.36,0
20090427,96.81,96.81,96.81,96.81,50
20090428,100,100,95.98,95.98,125
20090429,95.98,95.98,95.98,95.98,0
20090430,95.98,95.98,95.98,95.98,0
20090501,95.98,95.98,95.98,95.98,0
20090504,95.98,95.98,95.98,95.98,0
20090505,95.98,95.98,95.98,95.98,0
20090506,95.98,95.98,95.98,95.98,0
20090507,95.98,95.98,95.98,95.98,0
20090508,93,93,92.79,92.79,123
20090511,92.79,92.79,92.79,92.79,0
20090512,91.81,91.81,91.81,91.81,2
20090513,91.81,91.81,91.81,91.81,0
20090514,91.81,91.81,91.81,91.81,0
20090515,91.81,91.81,91.81,91.81,0
20090518,91.81,91.81,91.81,91.81,0
20090519,91.81,91.81,91.81,91.81,0
20090520,91.59,91.59,91.59,91.59,26
20090521,92.17,92.17,91.62,91.62,200
20090522,91.62,91.62,91.62,91.62,0
20090525,93.1,93.1,93.1,93.1,10
20090526,93.1,93.1,93.1,93.1,0
20090527,92.5,92.5,92.5,92.5,50
20090528,92.5,92.5,92.5,92.5,0
20090529,93.5,93.5,93.11,93.5,2500
20090601,93.5,93.5,93.5,93.5,0
20090602,93.5,93.5,93.5,93.5,0
20090603,93.5,93.5,93.5,93.5,0
20090604,93.5,93.5,93.5,93.5,0
20090605,93.5,93.5,93.5,93.5,0
20090609,93.5,93.5,93.5,93.5,200
20090610,93.05,94,93.05,93.33,2700
20090611,93.33,93.33,93.33,93.33,0
20090612,93.33,93.33,93.33,93.33,0
20090615,89.89,89.89,89.89,89.89,15
20090616,89.89,89.89,89.89,89.89,0
20090617,89.89,89.89,89.89,89.89,0
20090618,89.89,89.89,89.89,89.89,0
20090619,89.09,89.09,89.09,89.09,12
20090622,88.72,88.72,88.72,88.72,100
20090623,88.72,88.72,88.72,88.72,0
20090624,88.8,88.8,88.8,88.8,844
20090625,88.8,88.8,88.8,88.8,0
20090626,88.8,88.8,88.8,88.8,0
20090629,89.6,89.6,89.6,89.6,5000
20090630,89.6,89.6,89.6,89.6,0
20090701,89.6,89.6,89.6,89.6,0
20090702,89.6,89.6,89.6,89.6,0
20090703,89.6,89.6,89.6,89.6,0
20090706,89.18,89.18,89.18,89.18,280
20090707,89.18,89.18,89.18,89.18,0
20090708,87.27,87.27,87.27,87.27,3
20090709,87.27,87.27,87.27,87.27,0
20090710,87,87,87,87,30
20090713,87,87,87,87,0
20090714,87,87,87,87,0
20090715,87.1,87.1,87.1,87.1,18
20090716,87.65,87.65,87.65,87.65,52
20090717,87.65,87.65,87.65,87.65,0
20090720,87.65,87.65,87.65,87.65,0
20090721,87.65,87.65,87.65,87.65,0
20090722,87.65,87.65,87.65,87.65,0
20090723,88,88,88,88,15
20090724,88,88,88,88,0
20090727,88,88,88,88,0
20090728,88,88,88,88,0
