Date,Open,High,Low,Close,Volume
20090204,149.26,149.26,149.26,149.26,100
20090205,149.26,149.26,149.26,149.26,0
20090206,149.26,149.26,149.26,149.26,0
20090209,149.26,149.26,149.26,149.26,0
20090210,149.26,149.26,149.26,149.26,0
20090211,149.26,149.26,149.26,149.26,0
20090212,162.65,162.65,162.65,162.65,1
20090213,162.65,162.65,162.65,162.65,0
20090216,162.65,162.65,162.65,162.65,0
20090217,162.65,162.65,162.65,162.65,0
20090218,171.89,172.93,171.89,172.93,501
20090219,172.93,172.93,172.93,172.93,0
20090220,165.58,165.58,165.58,165.58,400
20090223,167.5,167.5,167.5,167.5,100
20090224,167.5,167.5,167.5,167.5,0
20090225,167.5,167.5,167.5,167.5,0
20090226,162.53,162.53,161.55,161.77,1150
20090227,161.77,161.77,161.77,161.77,0
20090302,171.82,172.4,171.82,172.4,61
20090303,172.4,172.4,172.4,172.4,0
20090304,164.14,164.14,164.14,164.14,1
20090305,164.14,164.14,164.14,164.14,0
20090306,164.14,164.14,164.14,164.14,0
20090309,167.37,167.37,167.37,167.37,500
20090310,167.77,167.77,167.77,167.77,10
20090311,167.77,167.77,167.77,167.77,0
20090312,167.77,167.77,167.77,167.77,0
20090313,167.77,167.77,167.77,167.77,0
20090316,160.86,160.86,160.86,160.86,10
20090317,160.86,160.86,160.86,160.86,0
20090318,160.86,160.86,160.86,160.86,0
20090319,157.01,157.01,156.71,156.78,1500
20090320,163.05,163.05,163.05,163.05,500
20090323,163.05,163.05,163.05,163.05,0
20090324,163.05,163.05,163.05,163.05,0
20090325,163.05,163.05,163.05,163.05,0
20090326,163.05,163.05,163.05,163.05,0
20090327,163.05,163.05,163.05,163.05,0
20090330,163.05,163.05,163.05,163.05,0
20090331,162.87,162.87,162.87,162.87,500
20090401,162.87,162.87,162.87,162.87,0
20090402,162.87,162.87,162.87,162.87,0
20090403,162.87,162.87,162.87,162.87,0
20090406,162.87,162.87,162.87,162.87,0
20090407,162.87,162.87,162.87,162.87,0
20090408,162.87,162.87,162.87,162.87,0
20090409,162.87,162.87,162.87,162.87,0
20090414,167.62,168.14,167.62,168.14,850
20090415,171.06,171.06,171.06,171.06,40
20090416,167.07,167.07,167.07,167.07,200
20090417,167.07,167.07,167.07,167.07,0
20090420,167.07,167.07,167.07,167.07,0
20090421,164.44,164.44,164.44,164.44,160
20090422,164.44,164.44,164.44,164.44,0
20090423,164.44,164.44,164.44,164.44,0
20090424,164.44,164.44,164.44,164.44,0
20090427,164.44,164.44,164.44,164.44,0
20090428,164.44,164.44,164.44,164.44,0
20090429,164.44,164.44,164.44,164.44,0
20090430,164.44,164.44,164.44,164.44,0
20090501,150.38,150.38,150.38,150.38,150
20090504,150.38,150.38,150.38,150.38,0
20090505,150.38,150.38,150.38,150.38,0
20090506,150.38,150.38,150.38,150.38,0
20090507,150.38,150.38,150.38,150.38,0
20090508,150.38,150.38,150.38,150.38,0
20090511,150.38,150.38,150.38,150.38,7
20090512,150.38,150.38,150.38,150.38,0
20090513,150.38,150.38,150.38,150.38,0
20090514,150.38,150.38,150.38,150.38,0
20090515,148.26,148.26,148.26,148.26,1
20090518,148.26,148.26,148.26,148.26,0
20090519,148.26,148.26,148.26,148.26,0
20090520,148.26,148.26,148.26,148.26,0
