Date,Open,High,Low,Close,Volume
20190716,9.98,9.98,9.98,9.98,4500
20190717,9.98,9.98,9.98,9.98,0
20190718,9.93,9.99,9.89,9.89,51084
20190719,9.95,9.96,9.95,9.95,16367
20190722,9.96,10,9.93,9.95,7531
20190723,9.95,9.98,9.94,9.97,48211
20190724,10.03,10.05,10.03,10.03,28952
20190725,10.02,10.05,10.02,10.05,19412
20190726,9.99,10.01,9.98,10.01,12738
20190729,10.09,10.1,10.07,10.08,12581
20190730,10.16,10.16,10.1,10.13,22547
20190731,10.08,10.09,10.03,10.07,17863
20190801,10.01,10.02,9.99,10,43624
20190802,9.99,9.99,9.9,9.93,56389
20190805,9.87,9.87,9.75,9.78,18243
20190806,9.51,9.61,9.49,9.56,57063
20190807,9.59,9.68,9.59,9.68,11548
20190808,9.62,9.7,9.62,9.7,14188
20190809,9.71,9.71,9.67,9.67,15751
20190812,9.69,9.69,9.68,9.68,2600
20190813,9.67,9.69,9.67,9.69,1222177
20190814,9.68,9.68,9.61,9.63,361361
20190815,9.52,9.52,9.45,9.45,11274
20190816,9.52,9.52,9.5,9.5,3937
20190819,9.66,9.67,9.625,9.67,22925
20190820,9.71,9.71,9.65,9.65,41874
20190821,9.59,9.62,9.59,9.6,29476
20190822,9.68,9.71,9.68,9.7,10074
20190823,9.71,9.77,9.71,9.77,19322
20190826,9.59,9.66,9.51,9.66,29959
20190827,9.7,9.79,9.64,9.78,36908
20190828,9.68,9.74,9.68,9.73,26539
20190829,9.71,9.71,9.7,9.7,43745
20190830,9.78,9.87,9.78,9.81,72673
20190902,9.82,9.83,9.8,9.83,7811
20190903,9.85,9.9,9.81,9.81,20596
20190904,9.77,9.83,9.77,9.83,8722
20190905,9.9,9.95,9.9,9.95,6706
20190906,9.93,9.93,9.88,9.91,30735
20190909,9.88,9.9,9.88,9.88,6586
20190910,9.85,9.85,9.8,9.83,13279
20190911,9.87,9.92,9.87,9.9,12504
20190912,10,10,9.96,10,34914
20190913,9.98,10.01,9.94,10,10262
20190916,10.05,10.06,10.02,10.02,13693
20190917,10,10.06,10,10.02,5550
20190918,10.08,10.08,10.05,10.08,5287
20190919,10.09,10.19,10.08,10.14,24457
20190920,10.21,10.23,10.19,10.22,19427
20190923,10.2,10.22,10.19,10.21,19631
20190924,10.2,10.2,10.18,10.18,11041
20190925,10.1,10.1,10.05,10.09,15078
20190926,10.08,10.09,10.06,10.06,32179
20190927,10.13,10.16,10.13,10.14,8657
20190930,10.17,10.19,10.16,10.18,21097
20191001,10.18,10.24,10.15,10.24,9692
20191002,10.12,10.13,10.11,10.11,15945
20191003,9.86,9.86,9.8,9.8,36698
20191004,9.82,9.82,9.78,9.82,36558
20191007,9.83,9.86,9.82,9.82,17012
20191008,9.89,9.94,9.89,9.93,11197
20191009,9.84,9.84,9.77,9.77,11341
20191010,9.8,9.83,9.77,9.81,7869
20191011,9.91,9.99,9.91,9.95,34466
20191014,10.14,10.18,10.14,10.14,3221
20191015,10.19,10.22,10.11,10.11,61266
20191016,10.33,10.33,10.28,10.31,67831
20191017,10.29,10.29,10.235,10.25,61965
20191018,10.3,10.3,10.19,10.21,124051
20191021,10.23,10.25,10.2,10.2,10010
20191022,10.25,10.26,10.2,10.25,64645
20191023,10.25,10.25,10.2,10.23,8141
20191024,10.31,10.36,10.3,10.32,18774
20191025,10.48,10.48,10.43,10.44,28699
20191028,10.44,10.47,10.41,10.41,11935
20191029,10.45,10.45,10.4,10.4,22697
20191030,10.43,10.43,10.33,10.35,25189
20191031,10.38,10.44,10.32,10.35,23494
20191101,10.28,10.34,10.28,10.34,29452
20191104,10.38,10.41,10.33,10.33,10593
20191105,10.42,10.49,10.42,10.43,27507
20191106,10.46,10.48,10.41,10.45,38821
20191107,10.44,10.48,10.44,10.45,29606
20191108,10.45,10.46,10.37,10.37,120682
20191111,10.43,10.43,10.38,10.38,40144
20191112,10.4,10.43,10.4,10.43,56292
20191113,10.45,10.48,10.41,10.42,25454
20191114,10.43,10.53,10.43,10.5,43712
20191115,10.55,10.55,10.5,10.54,39303
20191118,10.54,10.54,10.46,10.51,32395
20191119,10.57,10.58,10.52,10.57,12889
20191120,10.55,10.56,10.48,10.5,37480
20191121,10.5,10.5,10.41,10.43,37303
20191122,10.5,10.51,10.43,10.48,30751
20191125,10.59,10.59,10.52,10.52,19792
20191126,10.65,10.71,10.64,10.69,31422
20191127,10.69,10.69,10.625,10.68,49822
20191128,10.71,10.79,10.71,10.74,23548
20191129,10.77,10.77,10.67,10.7,78207
20191202,10.66,10.68,10.65,10.68,31125
20191203,10.63,10.63,10.48,10.48,96325
20191204,10.45,10.45,10.33,10.36,58177
20191205,10.46,10.47,10.45,10.45,48981
20191206,10.39,10.45,10.39,10.45,13833
20191209,10.58,10.58,10.52,10.55,69889
20191210,10.55,10.6,10.53,10.55,13726
20191211,10.58,10.66,10.51,10.56,78820
20191212,10.52,10.54,10.51,10.54,62900
20191213,10.72,10.87,10.71,10.76,217575
20191216,10.92,10.93,10.85,10.93,170659
20191217,11.02,11.1,10.99,11.02,159677
20191218,10.93,10.95,10.88,10.94,144006
20191219,10.95,11.01,10.9,10.9,93211
20191220,10.9,10.9,10.84,10.86,128614
20191223,10.89,10.92,10.8,10.81,30630
20191224,10.8,10.82,10.8,10.8,32475
20191227,10.95,10.95,10.88,10.88,17459
20191230,10.96,10.96,10.86,10.89,26166
20191231,10.8,10.8,10.75,10.75,35617
20200102,10.76,10.81,10.75,10.77,5323
20200103,10.85,10.85,10.75,10.75,21603
20200106,10.85,10.85,10.75,10.8,21987
20200107,10.9,10.98,10.9,10.9,97983
20200108,10.9,10.91,10.78,10.86,63254
20200109,10.91,10.96,10.9,10.93,31176
20200110,11.07,11.07,10.9,10.9,44609
20200113,10.89,10.89,10.75,10.78,80091
20200114,10.8,10.85,10.8,10.81,39230
20200115,10.85,10.85,10.82,10.85,39397
20200116,10.87,10.92,10.83,10.92,72013
20200117,10.92,10.92,10.86,10.88,69617
20200120,10.97,10.97,10.92,10.94,17553
20200121,10.93,10.93,10.86,10.86,46038
20200122,10.86,10.96,10.86,10.94,120755
20200123,10.93,10.95,10.88,10.89,72327
20200124,10.9,10.91,10.88,10.91,37100
20200128,10.78,10.8,10.75,10.79,33703
20200129,10.83,10.86,10.82,10.86,10637
20200130,10.85,10.86,10.82,10.82,43088
20200131,10.94,11,10.82,10.89,34089
20200203,10.78,10.83,10.73,10.82,44341
20200204,10.72,10.82,10.67,10.76,89545
20200205,10.84,10.9,10.8,10.81,218050
20200206,10.89,10.93,10.845,10.93,212672
