Date,Open,High,Low,Close,Volume
20200302,10.07,10.32,10.04,10.26,41992
20200303,10.68,10.75,10.55,10.59,74335
20200304,10.34,10.52,10.29,10.51,75302
20200305,10.59,10.59,10.49,10.49,25495
20200306,10.36,10.41,10.17,10.17,27972
20200309,9.61,9.61,9.48,9.61,36152
20200310,9.54,9.89,9.54,9.89,26713
20200311,9.88,9.9,9.7,9.7,20743
20200312,9.75,9.75,9.13,9.34,36923
20200313,9,9.22,8.5,8.95,22604
20200316,9,9.22,8.91,9.18,11113
20200317,8.73,9.06,8.73,9.05,13510
20200318,8.88,8.9,8.58,8.62,40181
20200319,9.29,9.29,8.9,8.9,547
20200320,9.25,9.49,9.25,9.29,6782
20200323,9.29,9.29,8.7,8.9,7181
20200324,9.5,9.59,9.2,9.53,8256
20200325,9.89,9.89,9.52,9.53,14900
20200326,9.9,9.91,9.67,9.79,22157
20200327,9.91,9.93,9.55,9.64,17608
20200330,9.34,9.49,9.33,9.49,18677
20200331,9.71,9.79,9.62,9.63,39455
20200401,9.72,9.75,9.63,9.66,15388
20200402,9.44,9.54,9.4,9.5,26657
20200403,9.5,9.53,9.35,9.35,37406
20200406,9.74,9.94,9.7,9.93,31284
20200407,9.99,10,9.8,9.91,47775
20200408,9.97,10.05,9.89,10,16329
20200409,9.99,10,9.82,9.87,38448
20200414,10.09,10.29,10.08,10.27,43402
20200415,10.5,10.55,10.47,10.53,71570
20200416,10.66,10.88,10.66,10.88,41938
20200417,11.17,11.2,11.1,11.17,199867
20200420,10.81,10.91,10.77,10.82,112208
20200421,10.92,10.99,10.81,10.81,53397
20200422,10.66,10.66,10.54,10.62,45250
20200423,10.81,10.89,10.8,10.82,23100
20200424,10.62,10.64,10.57,10.63,52995
20200427,10.83,10.94,10.77,10.87,46847
20200428,11.07,11.07,10.84,10.91,82996
20200429,10.91,11.12,10.73,10.78,129944
20200430,11.15,11.36,11.15,11.32,284952
20200501,11.32,11.32,10.81,10.82,103403
20200504,10.65,10.71,10.56,10.67,64932
20200505,10.88,10.92,10.85,10.9,103524
20200506,10.94,11,10.9,11,52062
20200507,11.1,11.15,11.05,11.13,132670
20200508,11.14,11.22,11.12,11.21,71842
20200511,11.29,11.3,11.25,11.25,109539
20200512,11.36,11.45,11.35,11.37,48819
20200513,11.1,11.23,11.06,11.18,51420
20200514,11.15,11.15,11.06,11.06,24220
20200515,11.19,11.27,11.17,11.17,54932
20200518,11.53,11.55,11.5,11.54,20856
20200519,11.71,11.71,11.62,11.62,25274
20200520,11.73,11.73,11.62,11.67,14227
20200521,11.78,11.81,11.75,11.77,97848
20200522,11.8,11.8,11.65,11.65,166285
20200525,11.78,11.83,11.74,11.83,139551
20200526,11.88,11.95,11.87,11.94,55831
20200527,11.94,11.94,11.55,11.7,69452
20200528,11.54,11.57,11.43,11.46,69774
20200529,11.37,11.4,11.3,11.34,45874
20200601,11.41,11.41,11.33,11.34,42270
20200602,11.41,11.43,11.36,11.43,74764
20200603,11.77,11.77,11.2,11.3,82107
20200604,11.37,11.42,11.29,11.31,79658
20200605,11.16,11.16,11.07,11.08,164519
20200609,11.35,11.48,11.35,11.47,61525
20200610,11.69,11.71,11.62,11.62,57124
20200611,11.76,11.79,11.73,11.73,136500
20200612,11.63,11.76,11.59,11.72,88667
20200615,11.48,11.49,11.29,11.33,90424
20200616,11.67,11.86,11.67,11.86,56588
20200617,11.91,11.93,11.88,11.89,130503
20200618,11.99,11.99,11.85,11.95,22246
20200619,12,12.09,12,12.09,29314
20200622,11.93,11.99,11.89,11.92,50950
20200623,12,12.05,11.89,12.03,58084
20200624,12.11,12.15,12.02,12.09,28512
20200625,11.99,12,11.85,11.92,42032
20200626,12.08,12.09,12,12.07,29302
20200629,11.51,11.65,11.47,11.48,64323
20200630,11.69,11.72,11.61,11.65,27804
20200701,11.72,11.77,11.7,11.77,44790
20200702,11.92,12.04,11.92,12.04,20432
20200703,12.2,12.3,12.16,12.2,53559
20200706,12.2,12.35,12.2,12.33,21802
20200707,12.79,12.85,12.75,12.85,83529
20200708,12.85,12.85,12.74,12.74,65966
20200709,13.08,13.14,13.01,13.12,47051
20200710,13.37,13.37,13.19,13.26,68037
20200713,13.75,13.75,13.6,13.75,53343
20200714,13.35,13.36,13.2,13.23,118532
20200715,13.3,13.31,13.12,13.15,55138
20200716,13.17,13.17,13.01,13.07,75339
20200717,13.03,13.1,12.96,12.98,120993
20200720,12.98,12.99,12.9,12.9,40843
20200721,13.42,13.64,13.42,13.56,78214
20200722,13.15,13.17,13.05,13.07,129692
20200723,13.05,13.09,13.01,13.06,48714
20200724,12.9,12.9,12.63,12.68,128166
20200727,12.58,12.68,12.54,12.68,111837
20200728,13,13,12.74,12.8,59363
20200729,12.67,12.67,12.51,12.52,79123
20200730,12.7,12.74,12.68,12.7,70800
20200731,13,13,12.85,12.87,146524
20200803,12.93,13.1,12.93,12.99,59509
20200804,13.13,13.26,13.13,13.18,36771
20200805,13.27,13.27,13.16,13.22,54642
20200806,13.25,13.25,13.12,13.2,38914
20200807,13.32,13.44,13.3,13.3,43336
20200810,13.28,13.28,13.16,13.25,42048
20200811,13.15,13.21,13.13,13.21,31268
20200812,13.03,13.06,12.95,13.05,84886
20200813,13.34,13.35,13.26,13.26,68182
20200814,13.53,13.59,13.47,13.48,57075
20200817,13.41,13.44,13.32,13.43,77808
20200818,13.86,13.86,13.72,13.75,53322
