Date,Open,High,Low,Close,Volume
20240531,9.87,9.87,9.87,9.87,123
20240603,9.83,9.86,9.83,9.86,203
20240604,9.87,9.87,9.87,9.87,8106
20240605,9.89,9.89,9.89,9.89,2525
20240606,9.89,9.89,9.89,9.89,0
20240607,9.89,9.89,9.89,9.89,0
20240611,9.89,9.89,9.89,9.89,0
20240612,9.94,9.94,9.94,9.94,100
20240613,10,10,10,10,2000
20240614,10,10,10,10,0
20240617,9.96,9.96,9.96,9.96,1
20240618,9.96,9.96,9.96,9.96,0
20240619,9.96,9.96,9.96,9.96,0
20240620,9.96,9.96,9.96,9.96,0
20240621,9.96,9.96,9.96,9.96,0
20240624,9.96,9.96,9.96,9.96,0
20240625,9.91,9.91,9.91,9.91,50
20240626,9.91,9.91,9.91,9.91,0
20240627,9.91,9.91,9.91,9.91,0
20240628,9.91,9.91,9.91,9.91,0
20240701,9.91,9.91,9.91,9.91,0
20240702,9.91,9.91,9.91,9.91,0
20240703,9.63,9.69,9.63,9.69,1500
20240704,9.69,9.69,9.69,9.69,0
20240705,9.69,9.69,9.69,9.69,3095
20240708,9.61,9.61,9.61,9.61,146
20240709,9.61,9.61,9.61,9.61,0
20240710,9.61,9.61,9.61,9.61,0
20240711,9.66,9.66,9.66,9.66,515
20240712,9.66,9.66,9.66,9.66,100
20240715,9.66,9.66,9.66,9.66,0
20240716,9.66,9.66,9.66,9.66,100
20240717,9.66,9.66,9.66,9.66,0
20240718,9.66,9.66,9.66,9.66,0
20240719,9.66,9.66,9.66,9.66,0
20240722,9.66,9.66,9.6,9.6,2865
20240723,9.6,9.6,9.6,9.6,0
20240724,9.69,9.69,9.69,9.69,5103
20240725,9.57,9.57,9.55,9.55,260
20240726,9.58,9.58,9.58,9.58,2610
20240729,9.58,9.58,9.58,9.58,0
20240730,9.6,9.64,9.58,9.64,1263
20240731,9.67,9.67,9.67,9.67,12
20240801,9.84,9.84,9.82,9.82,4071
20240802,9.7,9.7,9.7,9.7,98
20240805,9.51,9.52,9.33,9.33,9329
20240806,9.33,9.33,9.33,9.33,0
20240807,9.8,9.8,9.46,9.46,159
20240808,9.51,9.54,9.48,9.53,16939
20240809,9.61,9.61,9.61,9.61,130
20240812,9.61,9.61,9.61,9.61,0
20240813,9.61,9.61,9.61,9.61,0
20240814,9.62,9.62,9.62,9.62,7
20240815,9.62,9.62,9.62,9.62,0
20240816,9.69,9.72,9.69,9.72,1623
20240819,9.68,9.68,9.68,9.68,109
20240820,9.68,9.68,9.68,9.68,0
20240821,9.47,9.47,9.47,9.47,12
20240822,9.53,9.57,9.53,9.57,624
20240823,9.57,9.57,9.57,9.57,0
20240826,9.57,9.57,9.57,9.57,0
20240827,9.57,9.57,9.57,9.57,0
20240828,9.47,9.47,9.47,9.47,4670
20240829,9.47,9.47,9.47,9.47,0
20240830,9.48,9.48,9.48,9.48,5000
20240902,9.52,9.52,9.52,9.52,3
20240903,9.52,9.52,9.52,9.52,0
20240904,9.43,9.43,9.43,9.43,5246
20240905,9.43,9.43,9.43,9.43,0
20240906,9.43,9.43,9.43,9.43,0
20240909,9.41,9.41,9.41,9.41,55
20240910,9.41,9.41,9.41,9.41,0
20240911,9.5,9.5,9.41,9.41,3350
20240912,9.41,9.41,9.41,9.41,0
20240913,9.43,9.43,9.42,9.42,229
20240916,9.41,9.41,9.41,9.41,1
20240917,9.4,9.4,9.4,9.4,1065
20240918,9.4,9.4,9.4,9.4,0
20240919,9.43,9.43,9.43,9.43,2230
20240920,9.43,9.43,9.43,9.43,0
20240923,9.57,9.57,9.57,9.57,160
20240924,9.6,9.6,9.6,9.6,103
20240925,9.6,9.6,9.6,9.6,0
20240926,9.95,9.97,9.95,9.97,6505
20240927,10.33,10.33,10.33,10.33,11130
20240930,10.28,10.28,10.28,10.28,1750
20241001,10.28,10.28,10.28,10.28,7750
20241002,10.51,10.53,10.51,10.53,2093
20241003,10.53,10.53,10.53,10.53,0
20241004,10.53,10.53,10.53,10.53,0
20241007,10.73,10.73,10.73,10.73,79
20241008,10.73,10.73,10.5,10.5,550
20241009,10.33,10.33,10.33,10.33,96
20241010,10.49,10.49,10.49,10.49,96
20241011,10.59,10.59,10.59,10.59,734
20241014,10.59,10.59,10.59,10.59,0
20241015,10.69,10.69,10.58,10.6,14009
20241016,10.42,10.42,10.42,10.42,50
20241017,10.42,10.42,10.42,10.42,0
20241018,10.45,10.45,10.45,10.45,1
20241021,10.45,10.45,10.45,10.45,0
20241022,10.54,10.54,10.5,10.5,11880
20241023,10.5,10.5,10.5,10.5,0
20241024,10.54,10.54,10.54,10.54,189
20241025,10.54,10.54,10.54,10.54,0
20241028,10.59,10.6,10.59,10.6,8030
20241029,10.6,10.6,10.6,10.6,0
20241030,10.69,10.69,10.69,10.69,2
20241031,10.58,10.58,10.58,10.58,10230
20241101,10.55,10.56,10.5,10.56,5867
20241104,10.5,10.51,10.5,10.51,7145
20241105,10.59,10.59,10.59,10.59,2360
20241106,10.59,10.59,10.59,10.59,0
20241107,10.7,10.7,10.7,10.7,1215
20241108,10.73,10.74,10.73,10.74,383
20241111,10.56,10.56,10.55,10.55,6160
20241112,10.55,10.55,10.55,10.55,0
20241113,10.46,10.46,10.46,10.46,93
20241114,10.49,10.5,10.49,10.5,5906
20241115,10.52,10.58,10.52,10.58,1575
20241118,10.59,10.59,10.59,10.59,2365
20241119,10.54,10.54,10.53,10.53,4843
20241120,10.63,10.63,10.51,10.51,1150
20241121,10.51,10.51,10.51,10.51,9625
20241122,10.45,10.45,10.45,10.45,1943
20241125,10.48,10.48,10.48,10.48,1670
20241126,10.48,10.48,10.48,10.48,0
20241127,10.48,10.48,10.48,10.48,0
20241128,10.48,10.48,10.48,10.48,0
20241129,10.51,10.51,10.51,10.51,475
20241202,10.57,10.57,10.57,10.57,2086
20241203,10.72,10.72,10.72,10.72,1865
20241204,10.82,10.82,10.82,10.82,10
20241205,10.82,10.82,10.82,10.82,0
20241206,10.91,10.91,10.91,10.91,1100
20241209,10.91,10.91,10.91,10.91,0
20241210,11.24,11.24,11.24,11.24,890
20241211,11.25,11.25,11.25,11.25,25
20241212,11.02,11.02,11.02,11.02,48
20241213,11.02,11.02,11.02,11.02,0
20241216,10.94,10.94,10.94,10.94,5
20241217,10.85,10.85,10.85,10.85,460
20241218,10.99,10.99,10.99,10.99,915
20241219,10.99,10.99,10.99,10.99,0
20241220,10.99,10.99,10.99,10.99,0
20241223,10.83,10.83,10.83,10.83,47
20241224,10.83,10.83,10.83,10.83,0
20241227,10.83,10.83,10.83,10.83,0
20241230,10.83,10.83,10.83,10.83,0
20241231,10.83,10.83,10.83,10.83,0
20250102,10.83,10.83,10.83,10.83,0
20250103,10.83,10.83,10.83,10.83,0
20250106,10.83,10.83,10.83,10.83,0
20250107,10.69,10.69,10.69,10.69,5612
20250108,10.69,10.69,10.69,10.69,0
20250109,10.9,10.9,10.89,10.89,2020
20250110,10.89,10.89,10.89,10.89,0
20250113,10.55,10.55,10.55,10.55,4075
20250114,10.55,10.55,10.55,10.55,0
20250115,10.52,10.54,10.52,10.54,51
