Date,Open,High,Low,Close,Volume
20220121,1.355,1.355,1.355,1.355,372
20220124,1.355,1.355,1.355,1.355,73
20220125,1.355,1.355,1.355,1.355,88
20220127,1.355,1.355,1.355,1.355,2375
20220128,1.34,1.34,1.34,1.34,120
20220131,1.34,1.34,1.34,1.34,0
20220201,1.37,1.37,1.37,1.37,76
20220202,1.37,1.37,1.37,1.37,0
20220203,1.37,1.37,1.37,1.37,0
20220204,1.37,1.37,1.37,1.37,0
20220207,1.38,1.395,1.38,1.395,12799
20220208,1.395,1.395,1.395,1.395,214
20220209,1.395,1.395,1.395,1.395,0
20220210,1.395,1.395,1.395,1.395,5000
20220211,1.405,1.405,1.4,1.4,10071
20220214,1.4,1.4,1.395,1.395,538
20220215,1.395,1.395,1.395,1.395,0
20220216,1.375,1.375,1.375,1.375,109
20220217,1.375,1.375,1.375,1.375,0
20220218,1.375,1.375,1.375,1.375,0
20220221,1.36,1.36,1.36,1.36,71
20220222,1.36,1.36,1.36,1.36,0
20220223,1.34,1.34,1.34,1.34,74
20220224,1.32,1.32,1.32,1.32,71
20220225,1.32,1.32,1.32,1.32,0
20220228,1.32,1.32,1.32,1.32,0
20220301,1.32,1.32,1.32,1.32,0
20220302,1.32,1.32,1.32,1.32,0
20220303,1.32,1.32,1.32,1.32,0
20220304,1.32,1.32,1.32,1.32,0
20220307,1.32,1.32,1.31,1.31,187779
20220308,1.33,1.33,1.305,1.305,673838
20220309,1.305,1.315,1.305,1.315,226578
20220310,1.32,1.34,1.32,1.33,108376
20220311,1.335,1.335,1.33,1.33,256551
20220314,1.33,1.33,1.33,1.33,50000
20220315,1.33,1.33,1.33,1.33,0
20220316,1.325,1.325,1.315,1.315,783
20220317,1.33,1.33,1.33,1.33,20000
20220318,1.35,1.355,1.35,1.355,1126
20220321,1.355,1.355,1.355,1.355,0
20220322,1.34,1.34,1.34,1.34,8
20220323,1.375,1.385,1.375,1.385,901
20220324,1.38,1.38,1.38,1.38,797
20220325,1.38,1.38,1.38,1.38,0
20220328,1.39,1.39,1.385,1.39,40206
20220329,1.4,1.4,1.38,1.38,5120
20220330,1.38,1.38,1.38,1.38,10811
20220331,1.38,1.38,1.38,1.38,372
20220401,1.375,1.375,1.375,1.375,541
20220404,1.38,1.38,1.38,1.38,73
20220405,1.38,1.38,1.38,1.38,0
20220406,1.38,1.38,1.38,1.38,384
20220407,1.38,1.38,1.38,1.38,0
20220408,1.38,1.38,1.38,1.38,0
20220411,1.38,1.38,1.38,1.38,127088
20220412,1.38,1.38,1.38,1.38,0
20220413,1.37,1.37,1.37,1.37,11882
20220414,1.4,1.4,1.4,1.4,10000
20220419,1.41,1.41,1.41,1.41,10008
20220420,1.405,1.405,1.4,1.4,3125
20220421,1.44,1.44,1.38,1.38,31544
20220422,1.38,1.38,1.38,1.38,0
20220426,1.38,1.38,1.38,1.38,0
20220427,1.265,1.265,1.255,1.255,10
20220428,1.255,1.255,1.255,1.255,0
20220429,1.295,1.3,1.295,1.3,20000
20220502,1.265,1.265,1.265,1.265,8
20220503,1.265,1.265,1.265,1.265,0
20220504,1.265,1.265,1.265,1.265,0
20220505,1.265,1.265,1.265,1.265,0
20220506,1.265,1.265,1.265,1.265,0
20220509,1.265,1.265,1.265,1.265,0
20220510,1.265,1.265,1.265,1.265,0
20220511,1.19,1.19,1.19,1.19,10000
20220512,1.19,1.19,1.19,1.19,0
20220513,1.19,1.19,1.19,1.19,0
20220516,1.19,1.19,1.19,1.19,0
20220517,1.19,1.19,1.19,1.19,0
20220518,1.19,1.19,1.19,1.19,0
20220519,1.205,1.205,1.205,1.205,30000
20220520,1.205,1.205,1.205,1.205,0
20220523,1.225,1.225,1.225,1.225,40000
20220524,1.225,1.225,1.225,1.225,0
20220525,1.225,1.225,1.225,1.225,0
20220526,1.245,1.245,1.245,1.245,8
20220527,1.245,1.245,1.245,1.245,0
20220530,1.245,1.245,1.245,1.245,0
