Date,Open,High,Low,Close,Volume
20181105,4.2,4.2,4.2,4.2,8000
20181106,4.2,4.2,4.2,4.2,0
20181107,4.18,4.18,4.18,4.18,1238
20181108,4.22,4.22,4.2,4.2,23351
20181109,4.15,4.15,4.15,4.15,278
20181112,4.15,4.15,4.15,4.15,0
20181113,4.11,4.11,4.11,4.11,1000
20181114,4.13,4.13,4.13,4.13,150
20181115,4.13,4.13,4.13,4.13,0
20181116,4.15,4.15,4.15,4.15,10077
20181119,4.15,4.15,4.15,4.15,239
20181120,4.12,4.12,4.12,4.12,250
20181121,4.12,4.12,4.12,4.12,200
20181122,4.12,4.12,4.12,4.12,0
20181123,4.13,4.13,4.13,4.13,8494
20181126,4.13,4.13,4.13,4.13,2420
20181127,4.16,4.16,4.16,4.16,5769
20181128,4.17,4.17,4.17,4.17,13910
20181129,4.17,4.17,4.17,4.17,0
20181130,4.2,4.2,4.2,4.2,8054
20181203,4.22,4.22,4.21,4.21,14370
20181204,4.26,4.26,4.25,4.25,28885
20181205,4.23,4.23,4.23,4.23,3236
20181206,4.23,4.23,4.23,4.23,0
20181207,4.23,4.23,4.23,4.23,0
20181210,4.18,4.18,4.14,4.14,10255
20181211,4.13,4.13,4.11,4.11,17157
20181212,4.13,4.14,4.13,4.14,19125
20181213,4.19,4.19,4.19,4.19,13316
20181214,4.2,4.2,4.2,4.2,120
20181217,4.18,4.18,4.17,4.17,2988
20181218,4.16,4.16,4.16,4.16,1474
20181219,4.17,4.17,4.17,4.17,4455
20181220,4.17,4.17,4.17,4.17,0
20181221,4.19,4.19,4.15,4.17,10259
20181224,4.17,4.17,4.17,4.17,0
20181227,4.17,4.17,4.17,4.17,0
20181228,4.17,4.17,4.17,4.17,0
20181231,4.17,4.17,4.17,4.17,0
20190102,4.17,4.17,4.17,4.17,0
20190103,4.17,4.17,4.17,4.17,0
20190104,4.22,4.22,4.22,4.22,2350
20190107,4.24,4.24,4.24,4.24,10000
20190108,4.23,4.23,4.22,4.22,5995
20190109,4.22,4.22,4.22,4.22,1175
20190110,4.29,4.29,4.29,4.29,31063
20190111,4.29,4.29,4.29,4.29,0
20190114,4.27,4.27,4.27,4.27,10535
20190115,4.27,4.31,4.27,4.31,141254
20190116,4.34,4.34,4.32,4.32,77656
20190117,4.38,4.38,4.32,4.37,58348
20190118,4.38,4.38,4.35,4.35,13378
20190121,4.43,4.43,4.42,4.42,20632
20190122,4.4,4.4,4.38,4.38,7500
20190123,4.39,4.39,4.38,4.39,9620
20190124,4.39,4.39,4.39,4.39,0
20190125,4.39,4.39,4.39,4.39,0
20190129,4.39,4.39,4.39,4.39,0
20190130,4.42,4.42,4.38,4.38,3200
20190131,4.41,4.41,4.38,4.38,4205
20190201,4.37,4.39,4.37,4.39,3500
20190204,4.45,4.45,4.45,4.45,15700
20190205,4.48,4.49,4.45,4.45,7777
20190206,4.49,4.49,4.48,4.48,20860
20190207,4.53,4.53,4.53,4.53,19800
20190208,4.52,4.52,4.51,4.51,11709
20190211,4.5,4.5,4.5,4.5,8000
20190212,4.52,4.52,4.52,4.52,7199
20190213,4.56,4.56,4.53,4.54,12813
20190214,4.53,4.53,4.52,4.52,288104
20190215,4.5,4.53,4.49,4.49,23849
20190218,4.49,4.49,4.43,4.43,16325
20190219,4.46,4.51,4.46,4.49,40672
20190220,4.45,4.48,4.45,4.47,13220
20190221,4.47,4.51,4.47,4.51,13959
20190222,4.52,4.53,4.52,4.53,9866
20190225,4.54,4.57,4.54,4.57,15349
20190226,4.57,4.58,4.57,4.57,28757
20190227,4.55,4.59,4.55,4.59,36290
20190228,4.56,4.56,4.55,4.55,7494
20190301,4.59,4.61,4.55,4.61,23158
20190304,4.62,4.63,4.62,4.63,10330
20190305,4.61,4.61,4.6,4.6,2646
20190306,4.57,4.64,4.57,4.64,10868
20190307,4.62,4.62,4.57,4.57,12000
20190308,4.6,4.6,4.6,4.6,2070
20190311,4.6,4.6,4.55,4.55,12760
20190312,4.55,4.55,4.55,4.55,0
20190313,4.61,4.61,4.61,4.61,131
20190314,4.61,4.61,4.6,4.61,84376
20190315,4.59,4.61,4.59,4.61,10435
20190318,4.6,4.65,4.58,4.65,22145
20190319,4.7,4.7,4.66,4.66,22991
20190320,4.65,4.65,4.65,4.65,5000
20190321,4.66,4.66,4.63,4.64,41393
20190322,4.67,4.67,4.66,4.66,4915
20190325,4.65,4.65,4.61,4.61,8778
20190326,4.59,4.59,4.56,4.59,41325
20190327,4.62,4.62,4.62,4.62,5450
20190328,4.62,4.62,4.62,4.62,0
20190329,4.64,4.64,4.64,4.64,10858
20190401,4.64,4.75,4.64,4.75,7371
20190402,4.8,4.8,4.78,4.79,27692
