Date,Open,High,Low,Close,Volume
20240603,10.04,10.04,10.04,10.04,100
20240604,10.14,10.14,10.13,10.13,5921
20240605,10.13,10.13,10.13,10.13,0
20240606,10.13,10.13,10.13,10.13,0
20240607,10.13,10.13,10.13,10.13,0
20240611,10.13,10.13,10.13,10.13,0
20240612,10.12,10.12,10.12,10.12,20
20240613,10.12,10.12,10.12,10.12,0
20240614,10.13,10.13,10.13,10.13,7000
20240617,10.09,10.09,10.09,10.09,1900
20240618,10.2,10.2,10.2,10.2,10
20240619,10.2,10.2,10.2,10.2,0
20240620,10.2,10.2,10.2,10.2,0
20240621,10.2,10.2,10.2,10.2,0
20240624,10.2,10.2,10.2,10.2,0
20240625,10.2,10.2,10.2,10.2,0
20240626,10.2,10.2,10.2,10.2,0
20240627,10.2,10.2,10.2,10.2,0
20240628,10.35,10.35,10.35,10.35,50
20240701,9.3,9.3,9.3,9.3,50
20240702,9.13,9.13,9.13,9.13,12
20240703,9.15,9.15,9.14,9.14,6750
20240704,9.14,9.14,9.14,9.14,0
20240705,9.14,9.14,9.14,9.14,0
20240708,9.14,9.14,9.14,9.14,0
20240709,9.14,9.14,9.14,9.14,0
20240710,9.14,9.14,9.14,9.14,0
20240711,9.14,9.14,9.14,9.14,0
20240712,9.14,9.14,9.14,9.14,0
20240715,9.45,9.45,9.41,9.41,2961
20240716,9.42,9.42,9.42,9.42,10
20240717,9.52,9.52,9.52,9.52,5200
20240718,9.51,9.51,9.5,9.5,352
20240719,9.5,9.5,9.5,9.5,0
20240722,9.34,9.34,9.33,9.33,329
20240723,9.41,9.41,9.41,9.41,212
20240724,9.39,9.4,9.39,9.4,15216
20240725,9.4,9.4,9.4,9.4,0
20240726,9.4,9.4,9.4,9.4,0
20240729,9.4,9.4,9.4,9.4,0
20240730,9.36,9.36,9.35,9.35,5124
20240731,9.41,9.41,9.41,9.41,9
20240801,9.41,9.41,9.41,9.41,0
20240802,9.36,9.36,9.36,9.36,318
20240805,9.15,9.15,9,9,3882
20240806,9,9,9,9,0
20240807,8.89,8.89,8.89,8.89,1
20240808,8.89,8.89,8.89,8.89,0
20240809,8.89,8.89,8.89,8.89,0
20240812,9.13,9.13,9.12,9.12,700
20240813,9.11,9.11,9.11,9.11,11
20240814,9.17,9.17,9.17,9.17,106
20240815,9.17,9.17,9.17,9.17,0
20240816,9.17,9.17,9.17,9.17,0
20240819,9.28,9.28,9.28,9.28,5000
20240820,9.3,9.3,9.3,9.3,1
20240821,9.3,9.3,9.3,9.3,56
20240822,9.3,9.3,9.3,9.3,0
20240823,9.3,9.3,9.3,9.3,0
20240826,9.3,9.3,9.3,9.3,0
20240827,9.47,9.47,9.42,9.42,62
20240828,9.42,9.42,9.42,9.42,0
20240829,9.4,9.4,9.4,9.4,107
20240830,9.42,9.44,9.42,9.43,779
20240902,9.41,9.41,9.41,9.41,107
20240903,9.46,9.46,9.46,9.46,3
20240904,9.46,9.46,9.46,9.46,0
20240905,9.46,9.46,9.46,9.46,0
20240906,9.36,9.36,9.36,9.36,1
20240909,9.28,9.32,9.24,9.27,94
20240910,9.4,9.4,9.4,9.4,14
20240911,9.36,9.36,9.31,9.31,206
20240912,9.4,9.4,9.4,9.4,52
20240913,9.4,9.4,9.4,9.4,0
20240916,9.51,9.51,9.51,9.51,7
20240917,9.58,9.58,9.58,9.58,502
20240918,9.53,9.57,9.53,9.55,1503
20240919,9.55,9.55,9.55,9.55,0
20240920,9.66,9.73,9.66,9.69,2871
20240923,9.69,9.69,9.69,9.69,0
20240924,9.66,9.66,9.66,9.66,12
20240925,9.63,9.63,9.63,9.63,500
20240926,9.72,9.72,9.72,9.72,514
20240927,9.73,9.73,9.73,9.73,3000
20240930,9.82,9.82,9.82,9.82,50
20241001,9.89,9.89,9.89,9.89,50
20241002,9.89,9.89,9.89,9.89,0
20241003,9.89,9.89,9.89,9.89,0
20241004,9.69,9.69,9.69,9.69,3
20241007,9.69,9.69,9.69,9.69,0
20241008,9.69,9.69,9.69,9.69,0
20241009,9.69,9.69,9.69,9.69,0
20241010,9.69,9.69,9.69,9.69,0
20241011,9.69,9.69,9.69,9.69,0
20241014,9.77,9.78,9.77,9.78,2563
20241015,9.78,9.78,9.78,9.78,0
20241016,9.78,9.78,9.78,9.78,0
20241017,9.78,9.78,9.78,9.78,0
20241018,9.78,9.78,9.78,9.78,0
20241021,9.78,9.78,9.78,9.78,0
20241022,9.66,9.66,9.66,9.66,3300
20241023,9.63,9.63,9.63,9.63,1500
20241024,9.63,9.63,9.63,9.63,0
20241025,9.63,9.63,9.63,9.63,0
