Date,Open,High,Low,Close,Volume
20240603,10,10.23,10,10.23,902
20240604,10.16,10.16,10.06,10.06,2685
20240605,10.2,10.2,9.65,9.7,2890
20240606,10.07,10.11,10.02,10.11,690
20240607,10.11,10.11,10.11,10.11,0
20240611,10.41,10.41,10.41,10.41,990
20240612,10.36,10.38,10.35,10.38,20160
20240613,10.38,10.38,10.35,10.35,2026
20240614,10.35,10.35,10.35,10.35,0
20240617,10.35,10.35,10.35,10.35,0
20240618,10.54,10.55,10.54,10.55,126
20240619,10.52,10.52,10.52,10.52,50
20240620,10.52,10.52,10.52,10.52,0
20240621,10.5,10.5,10.5,10.5,952
20240624,10.51,10.51,10.51,10.51,10
20240625,10.51,10.51,10.51,10.51,0
20240626,10.51,10.51,10.51,10.51,0
20240627,10.64,10.64,10.64,10.64,3504
20240628,10.64,10.64,10.64,10.64,0
20240701,9.63,9.69,9.63,9.69,3089
20240702,9.66,9.69,9.66,9.69,4585
20240703,9.64,9.68,9.63,9.68,12500
20240704,9.63,9.63,9.62,9.62,14
20240705,9.6,9.6,9.6,9.6,1360
20240708,9.6,9.6,9.6,9.6,0
20240709,9.58,9.58,9.58,9.58,519
20240710,9.61,9.61,9.6,9.6,415
20240711,9.6,9.6,9.6,9.6,0
20240712,9.62,9.65,9.61,9.65,11052
20240715,9.65,9.68,9.65,9.66,85
20240716,9.67,9.72,9.67,9.72,3
20240717,9.72,9.72,9.7,9.7,1138
20240718,9.7,9.7,9.64,9.65,2240
20240719,9.77,9.77,9.76,9.76,163
20240722,9.65,9.65,9.61,9.61,2885
20240723,9.76,9.76,9.76,9.76,262
20240724,9.79,9.79,9.79,9.79,3107
20240725,9.78,9.82,9.75,9.82,39908
20240726,9.84,9.87,9.84,9.87,39864
20240729,10.02,10.06,10.02,10.03,40459
20240730,9.94,10.02,9.94,10.02,20546
20240731,10.04,10.11,10.04,10.11,40199
20240801,10.15,10.15,10.08,10.1,23504
20240802,10.1,10.1,10,10,1957
20240805,9.88,9.88,9.84,9.87,23338
20240806,9.76,9.81,9.76,9.79,6618
20240807,9.73,9.73,9.73,9.73,1
20240808,9.73,9.73,9.71,9.71,2730
20240809,9.69,9.69,9.66,9.68,22113
20240812,9.8,9.8,9.72,9.72,178
20240813,9.7,9.71,9.69,9.7,1841
20240814,9.57,9.57,9.53,9.54,2806
20240815,9.54,9.54,9.54,9.54,0
20240816,9.66,9.66,9.59,9.59,958
